unix_timestamp,active_power (mW)
1774622451274734,47200
1774622451317083,47220
1774622451359773,47150
1774622451402582,47170
1774622451445731,47140
1774622451490579,47150
1774622451533673,47170
1774622451576924,47180
1774622451619911,47100
1774622451663051,47140
1774622451705690,47130
1774622451748763,47200
1774622451791922,46980
1774622451834702,47180
1774622451877345,47160
1774622451920348,47180
1774622451963448,47210
1774622452010616,47280
1774622452053766,47180
1774622452096939,47160
1774622452139913,47290
1774622452183071,47180
1774622452225605,47290
1774622452268716,47190
1774622452311876,47160
1774622452354701,47210
1774622452397686,47180
1774622452440625,47140
1774622452483371,47320
1774622452526404,47260
1774622452570702,47190
1774622452613759,47220
1774622452656278,47230
1774622452699220,47220
1774622452742276,47370
1774622452785254,47280
1774622452828347,47270
1774622452870884,47200
1774622452914131,47200
1774622452957169,47190
1774622453000206,47210
1774622453043395,47220
1774622453085944,47250
1774622453130622,47230
1774622453173749,47240
1774622453216707,47230
1774622453259633,47300
1774622453302375,47230
1774622453345627,47200
1774622453388759,47270
1774622453431709,47210
1774622453474632,47190
1774622453517723,47270
1774622453560727,47200
1774622453603776,47260
1774622453646261,47170
1774622453690604,47250
1774622453733532,47240
1774622453776230,47320
1774622453819231,47150
1774622453861798,47200
1774622453904916,47210
1774622453947803,47170
1774622453990278,47230
1774622454033503,47200
1774622454076515,47240
1774622454119504,47200
1774622454162590,47180
1774622454205603,47180
1774622454250670,47270
1774622454293886,47250
1774622454336954,47270
1774622454379875,47230
1774622454422527,47250
1774622454465550,47280
1774622454508538,47360
1774622454551311,47300
1774622454594524,47280
1774622454637808,47110
1774622454680696,47210
1774622454723812,47200
1774622454770707,47220
1774622454813772,47200
1774622454856730,47210
1774622454899503,47220
1774622454942576,47310
1774622454985687,47160
1774622455028706,47250
1774622455071683,47220
1774622455114586,47250
1774622455157729,47150
1774622455200710,47220
1774622455243743,47290
1774622455286724,47280
1774622455330695,47170
1774622455373927,47150
1774622455417122,47210
1774622455460113,47170
1774622455502837,47170
1774622455546025,47230
1774622455589011,47180
1774622455631802,47190
1774622455674901,47230
1774622455717836,47190
1774622455761072,47160
1774622455804168,47220
1774622455850782,47160
1774622455893813,47170
1774622455936691,47210
1774622455979921,47310
1774622456022704,47290
1774622456065682,47210
1774622456108793,47210
1774622456151714,47250
1774622456194634,47290
1774622456237799,47250
1774622456280816,47280
1774622456323784,47180
1774622456370616,47240
1774622456413785,47220
1774622456456587,47330
1774622456499466,47360
1774622456542198,47190
1774622456585375,47220
1774622456628529,47270
1774622456671549,47230
1774622456713953,47380
1774622456756930,47230
1774622456800065,47210
1774622456843190,47270
1774622456885734,47270
1774622456930684,47180
1774622456973758,47140
1774622457016811,47230
1774622457059442,47190
1774622457102377,47140
1774622457145533,47120
1774622457188647,47040
1774622457231522,47130
1774622457274380,47140
1774622457317394,47140
1774622457360574,47180
1774622457403746,47170
1774622457446525,47230
1774622457490710,47160
1774622457533717,47240
1774622457576766,47280
1774622457619724,47250
1774622457662844,47290
1774622457705907,47220
1774622457748879,47250
1774622457791850,47240
1774622457834791,47200
1774622457876983,47280
1774622457920177,47240
1774622457963328,47170
1774622458006363,47150
1774622458050535,47230
1774622458093589,47200
1774622458136552,47200
1774622458179620,47220
1774622458222609,47190
1774622458265709,47230
1774622458308636,47260
1774622458351835,47220
1774622458394407,47160
1774622458437607,47110
1774622458480345,47240
1774622458523304,47330
1774622458566442,47260
1774622458610501,47120
1774622458653649,47110
1774622458696761,47190
1774622458739781,47200
1774622458782813,47180
1774622458825840,47200
1774622458868806,47130
1774622458911805,47090
1774622458954948,47190
1774622458998123,47160
1774622459041170,47200
1774622459083713,47080
1774622459130205,47180
1774622459173311,47160
1774622459216316,47190
1774622459259334,47230
1774622459302444,47220
1774622459345503,47270
1774622459388480,47230
1774622459431457,47200
1774622459474597,47160
1774622459517437,47140
1774622459560591,47130
1774622459603474,47080
1774622459650026,47200
1774622459692628,47270
1774622459735536,47210
1774622459778674,47250
1774622459821530,47240
1774622459864469,47220
1774622459907180,47140
1774622459950249,47210
1774622459993382,47140
1774622460036497,47250
1774622460079659,47170
1774622460122332,47230
1774622460165428,47280
1774622460209884,47270
1774622460252858,47160
1774622460295426,47200
1774622460338556,47190
1774622460381680,47110
