unix_timestamp,active_power (mW)
1774624563944967,48550
1774624563987349,48590
1774624564029995,48570
1774624564072955,48580
1774624564116038,48550
1774624564159151,48560
1774624564202229,48600
1774624564245333,48610
1774624564288357,48610
1774624564330964,48470
1774624564373928,48460
1774624564416899,48510
1774624564460002,48530
1774624564505147,48440
1774624564547879,48600
1774624564590501,48560
1774624564633404,48560
1774624564676524,48520
1774624564719676,48450
1774624564762620,48460
1774624564805774,48420
1774624564848912,48480
1774624564891916,48490
1774624564934990,48510
1774624564977568,48540
1774624565020835,48520
1774624565065253,48510
1774624565108336,48440
1774624565151004,48440
1774624565194115,48440
1774624565237242,48400
1774624565280323,48390
1774624565323330,48390
1774624565366468,48480
1774624565409429,48380
1774624565452567,48320
1774624565495105,48410
1774624565538343,48390
1774624565585207,48460
1774624565628220,48450
1774624565671206,48520
1774624565714192,48450
1774624565756921,48560
1774624565799946,48610
1774624565843021,48470
1774624565885936,48540
1774624565928944,48460
1774624565972075,48540
1774624566014537,48530
1774624566057622,48580
1774624566100658,48500
1774624566145424,48510
1774624566188530,48440
1774624566231745,48450
1774624566274893,48200
1774624566317950,48520
1774624566361032,48500
1774624566404015,48420
1774624566447179,48520
1774624566489686,48470
1774624566532870,48540
1774624566576005,48510
1774624566618828,48510
1774624566665391,48510
1774624566708214,48480
1774624566751262,48590
1774624566794221,48500
1774624566837389,48470
1774624566880622,48550
1774624566923775,48610
1774624566966481,48480
1774624567009633,48440
1774624567052690,48540
1774624567095730,48420
1774624567138816,48440
1774624567185447,48380
1774624567228526,48330
1774624567271628,48350
1774624567314672,48460
1774624567357642,48580
1774624567400737,48540
1774624567443771,48570
1774624567486894,48580
1774624567529851,48550
1774624567572951,48640
1774624567615949,48490
1774624567658770,48530
1774624567705700,48480
1774624567748805,48420
1774624567792009,48510
1774624567835448,48460
1774624567878402,48500
1774624567921365,48570
1774624567964478,48540
1774624568007444,48540
1774624568050376,48560
1774624568093513,48510
1774624568136719,48580
1774624568179719,48460
1774624568225825,48540
1774624568268206,48540
1774624568311038,48480
1774624568354065,48450
1774624568397144,48410
1774624568440075,48480
1774624568482952,48460
1774624568526157,48590
1774624568569091,48500
1774624568612176,48480
1774624568655211,48520
1774624568698382,48470
1774624568741467,48470
1774624568785860,48440
1774624568829014,48490
1774624568871958,48500
1774624568915145,48500
1774624568958210,48460
1774624569001288,48490
1774624569044254,48500
1774624569087391,48600
1774624569130560,48510
1774624569173802,48600
1774624569216836,48570
1774624569259949,48580
1774624569306116,48560
1774624569348417,48510
1774624569391500,48410
1774624569434582,48520
1774624569477555,48540
1774624569520583,48560
1774624569563368,48540
1774624569605856,48460
1774624569648712,48500
1774624569691799,48490
1774624569734827,48530
1774624569777899,48490
1774624569821031,48470
1774624569866321,48460
1774624569909476,48440
1774624569951903,48520
1774624569994886,48540
1774624570037643,48510
1774624570080553,48480
1774624570123585,48450
1774624570166626,48480
1774624570209586,48470
1774624570252867,48420
1774624570295712,48520
1774624570338623,48460
1774624570381749,48520
1774624570426648,48470
1774624570469834,48500
1774624570513043,48560
1774624570555601,48390
1774624570598702,48390
1774624570641588,48330
1774624570684698,48530
1774624570727483,48490
1774624570771032,48520
1774624570813975,48510
1774624570857208,48490
1774624570900248,48450
1774624570946853,48410
1774624570990188,48550
1774624571032691,48350
1774624571075813,48460
1774624571118440,48360
1774624571161213,48500
1774624571204192,48480
1774624571246904,48420
1774624571290041,48370
1774624571332739,48410
1774624571375708,48520
1774624571418914,48470
1774624571462116,48480
1774624571507183,48470
1774624571550367,48510
1774624571593556,48370
1774624571636824,48390
1774624571680074,48340
1774624571723252,48460
1774624571765693,48390
1774624571808754,48450
1774624571851597,48540
1774624571894763,48510
1774624571937840,48420
1774624571980943,48440
1774624572027467,48380
1774624572069890,48340
1774624572112799,48520
1774624572156041,48450
1774624572199185,48440
1774624572242219,48410
1774624572285199,48370
1774624572328187,48360
1774624572371128,48460
1774624572414266,48420
1774624572457197,48460
1774624572500126,48650
1774624572543240,48430
1774624572587738,48330
1774624572630443,48390
1774624572673360,48300
1774624572716310,48350
1774624572759474,48410
1774624572802480,48440
1774624572845631,48450
1774624572888848,48470
1774624572932063,48360
1774624572974676,48430
1774624573017656,48370
1774624573060708,48370
1774624573103719,48410
1774624573147997,48350
1774624573191131,48430
1774624573234400,48510
1774624573277640,48470
1774624573320833,48410
1774624573364385,48400
1774624573407524,48430
1774624573450596,48440
1774624573493759,48490
1774624573537025,48520
1774624573579865,48410
1774624573622830,48450
1774624573668207,48410
1774624573711045,48380
1774624573754003,48360
1774624573796820,48410
1774624573839865,48490
1774624573882888,48430
1774624573925847,48370
1774624573968920,48510
1774624574011549,48360
1774624574055291,48390
1774624574098409,48500
1774624574141362,48410
1774624574184406,48540
1774624574228559,48500
1774624574271640,48430
1774624574314850,48420
1774624574357910,48340
1774624574401022,48400
1774624574444123,48380
1774624574487076,48450
1774624574529616,48620
1774624574572621,48480
1774624574615654,48470
1774624574658583,48570
1774624574701736,48550
1774624574748715,48460
1774624574791583,48430
1774624574834326,48460
1774624574877458,48410
1774624574920467,48430
