unix_timestamp,active_power (mW)
1774624844210927,49400
1774624844253292,49360
1774624844296272,49790
1774624844339359,49780
1774624844382449,49480
1774624844425467,49300
1774624844470591,49420
1774624844513694,49740
1774624844556622,49650
1774624844599570,49700
1774624844642444,49780
1774624844685534,49450
1774624844728637,49350
1774624844771772,49390
1774624844814295,49400
1774624844857464,49390
1774624844900538,49330
1774624844943388,49340
1774624844986499,49270
1774624845030902,49270
1774624845074163,49240
1774624845117334,49300
1774624845160458,49220
1774624845203457,49130
1774624845246625,49280
1774624845289702,49260
1774624845332738,49240
1774624845375891,49260
1774624845418396,49240
1774624845461636,49170
1774624845504758,49250
1774624845551040,49700
1774624845594272,49750
1774624845637400,49770
1774624845680624,49750
1774624845723878,49760
1774624845766667,49800
1774624845809659,49760
1774624845852807,49850
1774624845895929,49830
1774624845938840,49800
1774624845981748,49850
1774624846024822,49840
1774624846071144,49920
1774624846114268,49850
1774624846157442,49870
1774624846200500,49820
1774624846243626,49640
1774624846286759,49770
1774624846329846,49750
1774624846372960,49800
1774624846415912,49830
1774624846458967,50010
1774624846501628,49810
1774624846544525,49870
1774624846591431,49690
1774624846633886,49570
1774624846676956,49660
1774624846719889,49490
1774624846762991,49740
1774624846805725,49580
1774624846848833,49720
1774624846891847,49650
1774624846934962,49830
1774624846978036,49690
1774624847021142,49730
1774624847064007,49740
1774624847106671,49740
1774624847151522,49760
1774624847194284,49700
1774624847237153,49700
1774624847280207,49730
1774624847323180,49740
1774624847366172,49780
1774624847409217,49640
1774624847452102,49580
1774624847495112,49720
1774624847538129,49720
1774624847580820,49790
1774624847623742,49780
1774624847666929,49950
1774624847711664,49800
1774624847754787,49760
1774624847797828,49760
1774624847841015,49750
1774624847884193,49720
1774624847927083,49770
1774624847970372,49750
1774624848013117,49720
1774624848056063,49710
1774624848099087,49740
1774624848142187,49650
1774624848185319,49700
1774624848231973,49760
1774624848275038,49700
1774624848318038,49740
1774624848361201,49660
1774624848404184,49650
1774624848447320,49660
1774624848490449,49720
1774624848533654,49870
1774624848576648,49740
1774624848619728,49760
1774624848662528,49810
1774624848705592,49820
1774624848747966,49850
1774624848792141,49840
1774624848835125,49830
1774624848878249,49790
1774624848921291,49790
1774624848964416,49740
1774624849007526,49760
1774624849050482,49760
1774624849093488,49680
1774624849136628,49710
1774624849179576,49740
1774624849222802,49780
1774624849265667,49830
1774624849312183,49850
1774624849354904,49770
1774624849397645,49760
1774624849440804,49750
1774624849483951,49760
1774624849526891,49750
1774624849569765,49810
1774624849612299,49820
1774624849654954,49790
1774624849698107,49760
1774624849741272,49790
1774624849784280,49720
1774624849827440,49680
1774624849872568,49710
1774624849915717,49620
1774624849958901,49630
1774624850001917,49660
1774624850044972,49780
1774624850088136,49730
1774624850131052,49740
1774624850173987,49750
1774624850216344,49850
1774624850259341,49800
1774624850301877,50900
1774624850344956,52360
1774624850387997,49650
1774624850432801,49640
1774624850475799,49710
1774624850518488,49770
1774624850561585,49710
1774624850604672,49740
1774624850647427,49800
1774624850689856,49640
