unix_timestamp,active_power (mW)
1774626643953163,49730
1774626643995424,49710
1774626644037830,49880
1774626644080987,49850
1774626644123780,49860
1774626644169239,49830
1774626644212379,49940
1774626644255377,50000
1774626644298558,49980
1774626644341583,49910
1774626644384531,50030
1774626644427717,50000
1774626644470908,49840
1774626644514096,50030
1774626644556877,50010
1774626644599834,49990
1774626644642904,49890
1774626644688596,49890
1774626644731687,49810
1774626644774809,49880
1774626644817782,49850
1774626644860549,49940
1774626644903726,49810
1774626644946452,49940
1774626644989368,49850
1774626645032535,49930
1774626645075641,50060
1774626645118830,50040
1774626645161640,49970
1774626645208184,49920
1774626645251234,49920
1774626645294187,49960
1774626645337231,49870
1774626645380394,49820
1774626645423332,49870
1774626645465763,49820
1774626645508671,49790
1774626645551654,49830
1774626645594660,49810
1774626645637722,49810
1774626645680909,49760
1774626645723733,49820
1774626645767766,49830
1774626645810815,49800
1774626645853995,49740
1774626645896803,49850
1774626645939872,49750
1774626645982917,49830
1774626646025900,49810
1774626646069116,49800
1774626646112373,49850
1774626646155452,49770
1774626646198251,49790
1774626646241419,49760
1774626646287199,49730
1774626646330258,49780
1774626646372705,49890
1774626646415867,49840
1774626646459075,49820
1774626646502245,49770
1774626646545038,49940
1774626646588244,49810
1774626646631279,49800
1774626646674202,49720
1774626646717246,49870
1774626646760279,49810
1774626646806669,49840
1774626646849780,49840
1774626646892580,49780
1774626646935464,49690
1774626646978380,49870
1774626647021302,49880
1774626647064329,49930
1774626647106981,49850
1774626647149861,49890
1774626647193115,49870
1774626647236262,49740
1774626647279416,49750
1774626647326205,49870
1774626647369233,49840
1774626647412269,49820
1774626647455282,49830
1774626647498231,49880
1774626647540597,49840
1774626647583229,49760
1774626647625655,49760
1774626647668758,49780
1774626647711555,49820
1774626647754738,49840
1774626647797911,49770
1774626647841168,49800
1774626647885818,49780
1774626647928849,49810
1774626647972090,49780
1774626648015257,49810
1774626648058338,49790
1774626648101371,49840
1774626648144407,49820
1774626648187002,49770
1774626648230126,49740
1774626648273311,49810
1774626648316354,49860
1774626648359285,49710
1774626648405283,49820
1774626648448467,49780
1774626648491637,49780
1774626648534171,49870
1774626648577268,49860
1774626648620357,49790
