benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,477316244,4444276453163,4444753769407,154389230.000,154.389230,0.011,45.00,42.00,45.00,42.00,2.188293,2188.293,1.650482,1650.482,0.040436,40.436,,,2.188293,2188.293
crc32,477384984,4444754174659,4445231559643,154407856.000,154.407856,0.010,42.00,42.00,42.00,42.00,2.186279,2186.279,1.648376,1648.376,0.040390,40.390,,,2.186279,2186.279
crc32,477432956,4445231903307,4445709336263,154421772.000,154.421772,0.009,42.00,42.00,42.00,42.00,2.183929,2183.929,1.646759,1646.759,0.040482,40.482,,,2.183929,2183.929
crc32,477345292,4445709680183,4446187025475,154392015.000,154.392015,0.013,42.00,41.00,42.00,41.00,2.182999,2182.999,1.645828,1645.828,0.040451,40.451,,,2.182999,2182.999
crc32,477394464,4446187349795,4446664744259,154409429.000,154.409429,0.009,41.00,42.00,41.00,42.00,2.180939,2180.939,1.643982,1643.982,0.040466,40.466,,,2.180939,2180.939
crc32,477373156,4446665077423,4447142450579,154402589.000,154.402589,0.009,43.00,42.00,43.00,42.00,2.189713,2189.713,1.652573,1652.573,0.040421,40.421,,,2.189713,2189.713
crc32,477384096,4447142782431,4447620166527,154406158.000,154.406158,0.009,42.00,42.00,42.00,42.00,2.182388,2182.388,1.645782,1645.782,0.040451,40.451,,,2.182388,2182.388
crc32,477430716,4447620497819,4448097928535,154420994.000,154.420994,0.009,42.00,42.00,42.00,42.00,2.183762,2183.762,1.647812,1647.812,0.040497,40.497,,,2.183762,2183.762
crc32,477371092,4448098260351,4448575631443,154402551.000,154.402551,0.009,42.00,42.00,42.00,42.00,2.180130,2180.130,1.644760,1644.760,0.040466,40.466,,,2.180130,2180.130
crc32,477381684,4448575968211,4449053349895,154405693.000,154.405693,0.009,42.00,42.00,42.00,42.00,2.181183,2181.183,1.645172,1645.172,0.040512,40.512,,,2.181183,2181.183
crc32,477379584,4449053683923,4449531063507,154405507.000,154.405507,0.009,42.00,42.00,42.00,42.00,2.185623,2185.623,1.649200,1649.200,0.040466,40.466,,,2.185623,2185.623
crc32,477359332,4449531401547,4450008760879,154401114.000,154.401114,0.009,42.00,41.00,42.00,41.00,2.191589,2191.589,1.655060,1655.060,0.040451,40.451,,,2.191589,2191.589
crc32,477329036,4450009105739,4450486434775,154386930.000,154.386930,0.009,41.00,42.00,41.00,42.00,2.179337,2179.337,1.642624,1642.624,0.040482,40.482,,,2.179337,2179.337
crc32,477403528,4450486765815,4450964169343,154412185.000,154.412185,0.009,42.00,42.00,42.00,42.00,2.179565,2179.565,1.644028,1644.028,0.040466,40.466,,,2.179565,2179.565
crc32,477447872,4450964504799,4451441952671,154427421.000,154.427421,0.009,42.00,42.00,42.00,42.00,2.183716,2183.716,1.647812,1647.812,0.040497,40.497,,,2.183716,2183.716
crc32,477392928,4451442290695,4451919683623,154407967.000,154.407967,0.009,42.00,42.00,42.00,42.00,2.179031,2179.031,1.643539,1643.539,0.040512,40.512,,,2.179031,2179.031
crc32,477297180,4451920014903,4452397312083,154376917.000,154.376917,0.009,42.00,41.00,42.00,41.00,2.175186,2175.186,1.640076,1640.076,0.040527,40.527,,,2.175186,2175.186
crc32,477523804,4452397668399,4452875192203,154452904.000,154.452904,0.010,41.00,41.00,41.00,41.00,2.203217,2203.217,1.667572,1667.572,0.040466,40.466,,,2.203217,2203.217
crc32,477392312,4452875537367,4453352929679,154408092.000,154.408092,0.010,41.00,42.00,41.00,42.00,2.176926,2176.926,1.641678,1641.678,0.040466,40.466,,,2.176926,2176.926
crc32,477427648,4453353261155,4453830688803,154420060.000,154.420060,0.009,42.00,41.00,42.00,41.00,2.186371,2186.371,1.650177,1650.177,0.040558,40.558,,,2.186371,2186.371
crc32,477638224,4453831024919,4454308663143,154490512.000,154.490512,0.009,41.00,42.00,41.00,42.00,2.194077,2194.077,1.655609,1655.609,0.040771,40.771,,,2.194077,2194.077
crc32,477411072,4454309014127,4454786425199,154416342.000,154.416342,0.010,42.00,42.00,42.00,42.00,2.179535,2179.535,1.644485,1644.485,0.040512,40.512,,,2.179535,2179.535
crc32,477402712,4454786767619,4455264170331,154412062.000,154.412062,0.009,42.00,42.00,42.00,42.00,2.178818,2178.818,1.643753,1643.753,0.040543,40.543,,,2.178818,2178.818
crc32,477423592,4455264506583,4455741930175,154419216.000,154.419216,0.009,42.00,42.00,42.00,42.00,2.185394,2185.394,1.650452,1650.452,0.040527,40.527,,,2.185394,2185.394
crc32,477430320,4455742267787,4456219698107,154421272.000,154.421272,0.009,42.00,42.00,42.00,42.00,2.177643,2177.643,1.642502,1642.502,0.040466,40.466,,,2.177643,2177.643
crc32,477288256,4456220035679,4456697323935,154374295.000,154.374295,0.009,42.00,42.00,42.00,42.00,2.179642,2179.642,1.644638,1644.638,0.040482,40.482,,,2.179642,2179.642
crc32,477395420,4456697657183,4457175052603,154409918.000,154.409918,0.009,42.00,42.00,42.00,42.00,2.180878,2180.878,1.645264,1645.264,0.040482,40.482,,,2.180878,2180.878
crc32,477457624,4457175402519,4457652860143,154431372.000,154.431372,0.010,42.00,41.00,42.00,41.00,2.182114,2182.114,1.645767,1645.767,0.040497,40.497,,,2.182114,2182.114
crc32,477413192,4457653200063,4458130613255,154415327.000,154.415327,0.009,41.00,43.00,41.00,43.00,2.178360,2178.360,1.642715,1642.715,0.040558,40.558,,,2.178360,2178.360
crc32,477350272,4458130961915,4458608312187,154399147.000,154.399147,0.009,43.00,42.00,43.00,42.00,2.195572,2195.572,1.656036,1656.036,0.040726,40.726,,,2.195572,2195.572
crc32,477398492,4458608645395,4459086043887,154410922.000,154.410922,0.009,42.00,42.00,42.00,42.00,2.180542,2180.542,1.643982,1643.982,0.040436,40.436,,,2.180542,2180.542
crc32,477386036,4459086379567,4459563765603,154405497.000,154.405497,0.009,42.00,42.00,42.00,42.00,2.180664,2180.664,1.643661,1643.661,0.040497,40.497,,,2.180664,2180.664
crc32,477460756,4459564096431,4460041557187,154431448.000,154.431448,0.009,42.00,42.00,42.00,42.00,2.192444,2192.444,1.654770,1654.770,0.040466,40.466,,,2.192444,2192.444
crc32,477372668,4460041920155,4460519292823,154400993.000,154.400993,0.010,42.00,42.00,42.00,42.00,2.181885,2181.885,1.645950,1645.950,0.040482,40.482,,,2.181885,2181.885
crc32,477430296,4460519623987,4460997054283,154421684.000,154.421684,0.009,42.00,41.00,42.00,42.00,2.182541,2182.541,1.647156,1647.156,0.040512,40.512,,,2.182541,2182.541
