unix_timestamp,active_power (mW)
1774609614654731,42500
1774609614697112,42660
1774609614739295,42480
1774609614781857,42510
1774609614825037,42510
1774609614867718,42580
1774609614912358,42590
1774609614955487,42510
1774609614997904,42480
1774609615041009,42550
1774609615083627,42540
1774609615126477,42470
1774609615169387,42580
1774609615212515,42670
1774609615255442,42520
1774609615298628,42560
1774609615341864,42500
1774609615385050,42520
1774609615428232,42550
1774609615472307,42490
1774609615515109,42520
1774609615558215,42580
1774609615600875,42550
1774609615644023,42580
1774609615686795,42580
1774609615730089,42560
1774609615773256,42510
1774609615816379,42490
1774609615858880,42610
1774609615901825,42620
1774609615945042,42540
1774609615988287,42650
1774609616032212,42680
1774609616075387,42560
1774609616117912,42570
1774609616161019,42570
1774609616203951,42720
1774609616246647,42580
1774609616289260,42540
1774609616332371,42560
1774609616375312,42470
1774609616417695,42500
1774609616460687,42470
1774609616503572,42490
1774609616546320,42380
1774609616592093,42480
1774609616635070,42490
1774609616678087,42610
1774609616721213,42610
1774609616764290,42590
1774609616806911,42610
1774609616849766,42530
1774609616892891,42470
1774609616936263,42450
1774609616979380,42410
1774609617022534,42490
1774609617065606,42410
1774609617111985,42500
1774609617155014,42510
1774609617198077,42420
1774609617241004,42670
1774609617283950,42500
1774609617326774,42590
1774609617369731,42580
1774609617412945,42580
1774609617456078,42590
1774609617499112,42610
1774609617541763,42590
1774609617585011,42600
1774609617631857,42640
1774609617674772,42550
1774609617717598,42530
1774609617760727,42600
1774609617803878,42590
1774609617846393,42550
1774609617889491,42590
1774609617932570,42520
1774609617975697,42610
1774609618018390,42580
1774609618061449,42530
1774609618104615,42560
1774609618147819,42540
1774609618191872,42510
1774609618234614,42660
1774609618277720,42560
1774609618320943,42530
1774609618363944,42710
1774609618406970,42610
1774609618449958,42540
1774609618493152,42590
1774609618536243,42580
1774609618578928,42630
1774609618622004,42620
1774609618664932,42570
1774609618711719,42460
1774609618754924,42500
1774609618798026,42520
1774609618840894,42520
1774609618883735,42470
1774609618926904,42540
1774609618969711,42640
1774609619012687,42490
1774609619055903,42530
1774609619098979,42590
1774609619142058,42600
1774609619185095,42570
1774609619231647,42540
1774609619274475,42640
1774609619317628,42550
1774609619360804,42580
1774609619403756,42540
1774609619446889,42610
1774609619489759,42600
1774609619532849,42450
