unix_timestamp,active_power (mW)
1774610511821168,43680
1774610511863587,42430
1774610511905995,44070
1774610511948919,43840
1774610511991790,43920
1774610512034868,43820
1774610512077735,43860
1774610512120951,43830
1774610512164101,43870
1774610512207024,43990
1774610512250210,43790
1774610512293304,43800
1774610512336453,43830
1774610512380859,43820
1774610512423542,43810
1774610512466677,43770
1774610512509416,43820
1774610512552417,43880
1774610512595524,43900
1774610512638419,43760
1774610512681312,43800
1774610512724524,43810
1774610512767585,43870
1774610512810780,43840
1774610512853605,43870
1774610512900468,43770
1774610512943210,43880
1774610512986379,43910
1774610513029420,43920
1774610513072499,43820
1774610513115547,43820
1774610513158425,43820
1774610513201654,43910
1774610513244748,44020
1774610513287912,43910
1774610513330696,43850
1774610513373741,43850
1774610513420040,43870
1774610513462817,43920
1774610513505983,43790
1774610513548350,43780
1774610513591424,43850
1774610513633683,43870
1774610513676682,43880
1774610513719759,43860
1774610513762754,43850
1774610513805908,43770
1774610513848648,43810
1774610513891844,43800
1774610513934952,43880
1774610513979767,43900
1774610514022954,43880
1774610514065969,43910
1774610514109219,43960
1774610514152138,43920
1774610514195281,44000
1774610514237776,44010
1774610514280876,44180
1774610514323749,43910
1774610514366359,43870
1774610514409516,43890
1774610514452579,43950
1774610514499384,43890
1774610514542247,43880
1774610514585314,43890
1774610514628478,43920
1774610514671560,43940
1774610514714708,43930
1774610514757669,43880
1774610514800862,43750
1774610514843760,43870
1774610514886777,43910
1774610514929982,43870
1774610514973106,43790
1774610515019069,43840
1774610515061762,43880
1774610515104938,43930
1774610515148139,43930
1774610515191409,44000
1774610515234558,43980
1774610515277829,44070
1774610515320915,43870
1774610515363981,43890
1774610515406976,44010
1774610515450075,43980
1774610515493360,43900
1774610515538735,43900
1774610515581316,43890
1774610515624423,43890
1774610515667514,43970
1774610515710663,43900
1774610515753767,43870
1774610515796776,43880
1774610515839794,43880
1774610515882592,43930
1774610515925814,43870
1774610515968925,43860
1774610516011758,43860
1774610516058341,43940
1774610516101375,43830
1774610516144554,43830
1774610516187648,43840
1774610516230637,43860
1774610516273543,43840
1774610516316569,44010
1774610516359456,43990
1774610516402276,44070
1774610516445563,43990
1774610516488721,43870
1774610516531793,43900
1774610516577925,43930
1774610516621046,43970
1774610516663924,43950
1774610516706339,43870
1774610516749617,43880
1774610516792806,43910
1774610516835513,43940
1774610516878655,43930
1774610516921760,43910
1774610516964810,43900
1774610517007929,43850
1774610517050840,43990
1774610517097696,43930
1774610517140821,43840
1774610517183836,43870
1774610517226386,43880
1774610517269607,43920
1774610517312747,44010
1774610517355824,43930
1774610517398759,43930
1774610517441910,43820
1774610517484794,43910
1774610517527611,43960
1774610517570720,43920
1774610517617244,43860
1774610517660329,43910
1774610517703567,43970
1774610517746283,43960
1774610517789436,43880
1774610517832522,43840
1774610517875548,43840
1774610517918691,43940
1774610517961793,43870
1774610518004736,43730
1774610518047702,43760
1774610518090943,43900
1774610518136805,43840
1774610518179880,43850
1774610518223159,43810
1774610518266195,43880
1774610518309120,43880
1774610518352279,44150
1774610518395367,43960
1774610518437571,43940
1774610518480798,43940
1774610518523716,43880
1774610518566523,43910
1774610518609650,43960
1774610518656491,43960
1774610518699620,43850
1774610518742392,43930
1774610518785627,43930
1774610518828857,43960
1774610518871854,43960
1774610518914464,43970
1774610518957706,43950
1774610519000894,43960
1774610519043578,43860
1774610519086680,44030
1774610519129710,43940
1774610519176174,43930
1774610519219215,43900
1774610519262373,43970
1774610519305614,43990
1774610519348763,43930
1774610519391643,44120
1774610519434626,43910
1774610519477690,43910
1774610519520755,44010
1774610519563863,43940
1774610519606558,43940
1774610519649564,44020
1774610519695627,44000
1774610519738458,43980
1774610519781384,44000
1774610519824504,43970
1774610519867591,43950
1774610519910123,43970
1774610519953289,44010
1774610519996451,44020
1774610520039601,43970
1774610520082669,43940
1774610520125304,43960
1774610520168350,44040
1774610520215294,43840
1774610520257937,43850
1774610520300493,43790
1774610520343616,43840
1774610520386514,44010
1774610520429682,43780
1774610520472821,43740
1774610520515773,43890
1774610520558836,43960
1774610520601341,43880
1774610520644578,43780
1774610520687626,43790
1774610520730798,43780
1774610520774952,43800
1774610520817704,43820
1774610520861227,43800
1774610520904383,43730
1774610520947437,43780
1774610520990637,43820
1774610521033647,43840
1774610521076633,43800
1774610521119855,43840
1774610521162759,43750
1774610521205961,43780
1774610521249108,43830
1774610521294556,43890
1774610521337590,43870
1774610521380768,43960
1774610521423714,44030
1774610521466789,43970
1774610521509814,43840
1774610521552832,43910
1774610521595817,44030
1774610521638613,43950
1774610521681754,43950
1774610521724957,43930
1774610521767987,43950
1774610521814226,43830
1774610521857215,43870
1774610521900221,43850
1774610521942969,43820
1774610521986153,43930
1774610522029304,43890
1774610522072385,43840
1774610522115684,43810
1774610522158789,43760
1774610522201817,43820
1774610522244920,43880
1774610522288015,43980
1774610522333934,43900
1774610522376895,43840
1774610522420147,43920
1774610522463313,43960
1774610522506475,43970
1774610522549762,44030
1774610522592108,43880
1774610522634684,43880
1774610522677578,43990
1774610522720787,43970
1774610522763821,43980
1774610522807012,44010
1774610522853605,43960
1774610522896700,44010
1774610522939808,43930
1774610522982852,43910
1774610523025785,43990
1774610523068387,44010
1774610523111517,43970
1774610523154671,43880
1774610523197903,43870
1774610523240995,43940
1774610523283755,43950
1774610523326402,43860
1774610523373243,43830
1774610523416201,43940
1774610523459473,44060
1774610523502686,43960
1774610523545873,43830
1774610523588906,43880
1774610523631823,43870
1774610523674602,43850
1774610523717820,43830
1774610523760770,43960
1774610523803918,43740
1774610523846998,43830
1774610523892835,43820
1774610523935798,43860
1774610523978328,43900
1774610524021504,43800
1774610524064631,43820
1774610524107674,43810
1774610524150816,43820
1774610524193802,43880
1774610524236758,43910
1774610524279648,43770
1774610524322682,43780
1774610524365714,43780
1774610524412492,43840
1774610524455525,43910
1774610524497891,43910
1774610524540892,43810
1774610524584054,43820
1774610524627153,43790
1774610524670388,43900
1774610524713589,43840
1774610524756703,43830
1774610524799869,43770
1774610524842864,43860
1774610524885605,43840
1774610524932088,43880
1774610524975231,43750
1774610525017657,43800
1774610525060761,43820
1774610525103761,43820
1774610525146571,43980
1774610525189819,44020
1774610525232958,44010
1774610525276129,44010
1774610525319309,43960
1774610525362442,43960
1774610525405690,43970
1774610525451792,44040
1774610525494874,44130
1774610525537927,44040
1774610525580756,43960
1774610525623714,43950
1774610525667072,43950
1774610525710172,43960
1774610525753369,43940
1774610525796354,43980
1774610525839139,43980
1774610525882155,43960
1774610525924983,43980
1774610525971590,43950
1774610526014607,43950
1774610526057829,43950
1774610526100959,43910
1774610526143743,43900
1774610526186667,43900
1774610526229801,43930
1774610526272854,43950
1774610526315876,43890
1774610526358693,43920
1774610526401770,43860
1774610526444755,43820
1774610526491219,43900
1774610526534232,43920
1774610526577445,43770
1774610526620678,43830
1774610526663912,43760
1774610526706601,43810
1774610526749602,43910
1774610526792759,43860
1774610526835456,43950
