unix_timestamp,active_power (mW)
1774612323206721,44980
1774612323249152,37040
1774612323292182,42590
1774612323335277,45430
1774612323378478,45040
1774612323421542,45090
1774612323464632,45120
1774612323507795,45030
1774612323554332,45060
1774612323597382,45070
1774612323640566,45130
1774612323683711,45080
1774612323726757,44980
1774612323769865,45040
1774612323812755,45040
1774612323855858,44970
1774612323898885,45020
1774612323942051,44980
1774612323985134,44900
1774612324028154,45040
1774612324074273,45080
1774612324117144,45000
1774612324160239,44990
1774612324203413,45050
1774612324245882,45070
1774612324289022,45060
1774612324331905,45060
1774612324374800,45080
1774612324417216,45060
1774612324460203,45050
1774612324503046,45050
1774612324545834,45110
1774612324588966,45020
1774612324634150,45070
1774612324676892,45140
1774612324719843,45050
1774612324762592,44930
1774612324805765,45000
1774612324848870,45020
1774612324891816,45050
1774612324934675,45090
1774612324977673,45010
1774612325020614,44980
1774612325063634,45050
1774612325106680,45090
1774612325149734,45030
1774612325194064,45030
1774612325237243,44950
1774612325280328,45120
1774612325323307,45090
1774612325365778,45060
1774612325408824,45080
1774612325451759,45060
1774612325494711,45060
1774612325537784,45050
1774612325580485,45110
1774612325623234,45080
1774612325666370,45080
1774612325709300,45070
1774612325754069,45040
1774612325797082,45020
1774612325840022,45040
1774612325883178,44920
1774612325926390,45050
1774612325969609,45000
1774612326012768,45050
1774612326055530,45070
1774612326098550,45000
1774612326141750,44960
1774612326184843,45060
1774612326227806,45020
1774612326273944,45070
1774612326317053,45050
1774612326360115,45010
1774612326402656,44990
1774612326445707,44990
1774612326488765,45030
1774612326531932,45060
1774612326574534,45120
1774612326617743,45040
1774612326660897,45030
1774612326703935,45030
1774612326746574,45210
1774612326789674,45010
1774612326833897,45010
1774612326876616,44940
1774612326919676,44960
1774612326962823,45020
1774612327005769,45010
1774612327048717,45010
1774612327091875,44990
1774612327134730,45030
1774612327177840,45040
1774612327220921,45030
1774612327263991,45060
1774612327306735,45010
1774612327353726,45080
1774612327396835,45060
1774612327439529,45040
1774612327482541,45070
1774612327525731,45080
1774612327568916,45030
1774612327611742,45020
1774612327654773,45050
1774612327697228,45050
1774612327740413,45060
1774612327783656,45070
1774612327826673,45060
1774612327869716,45010
1774612327913617,44970
1774612327956627,45050
1774612327999726,45040
1774612328042312,45050
1774612328085330,45040
1774612328128285,44990
1774612328171377,45020
1774612328213677,45020
1774612328256690,45000
1774612328299918,45030
1774612328342539,45040
1774612328385627,45080
1774612328428739,45090
1774612328473668,45080
1774612328516331,45030
1774612328559553,45040
1774612328602582,45050
1774612328646025,44980
1774612328689171,44990
1774612328732446,44980
1774612328775563,45050
1774612328818709,45160
1774612328861885,45030
1774612328904794,45040
1774612328947620,45050
1774612328993470,45030
1774612329036548,44990
1774612329079341,45020
1774612329121826,45070
1774612329164836,45100
1774612329207707,45120
1774612329250321,45100
1774612329293395,45040
1774612329336222,45050
1774612329379274,45070
1774612329422462,45020
1774612329465770,45000
1774612329508687,45000
1774612329553358,44990
1774612329596349,45000
1774612329639399,44980
1774612329682873,45030
1774612329726025,45060
1774612329769321,45040
1774612329811907,45180
1774612329854584,45070
1774612329897690,45070
1774612329940728,45040
1774612329983753,45060
1774612330026777,45080
1774612330073278,45010
1774612330116331,44920
1774612330159119,45070
