unix_timestamp,active_power (mW)
1774612816220236,45050
1774612816262647,40400
1774612816305691,41300
1774612816348739,44720
1774612816391635,44830
1774612816437026,44910
1774612816480219,45030
1774612816523294,44910
1774612816565886,44800
1774612816608704,44830
1774612816651773,44780
1774612816694663,44760
1774612816737833,44850
1774612816780865,44900
1774612816823564,44900
1774612816866662,45010
1774612816909707,45050
1774612816956838,44860
1774612816999929,44950
1774612817042873,44890
1774612817085717,44860
1774612817128863,45000
1774612817171677,44920
1774612817214662,44970
1774612817257731,45170
1774612817300666,44890
1774612817343792,44860
1774612817386609,44910
1774612817429661,44880
1774612817476628,44880
1774612817519831,44840
1774612817562640,44960
1774612817605851,44930
1774612817648949,44940
1774612817691758,44990
1774612817734667,44960
1774612817777677,44880
1774612817820760,44940
1774612817863814,44930
1774612817906640,44980
1774612817949853,44970
1774612817996266,44860
1774612818039019,44760
1774612818081182,44730
1774612818124420,44830
1774612818167466,44930
1774612818209735,44990
1774612818252883,45100
1774612818295840,44940
1774612818338919,44940
1774612818381793,44860
1774612818424705,44810
1774612818467505,44890
1774612818510516,44880
1774612818556121,44830
1774612818599305,44920
1774612818641975,44910
1774612818685112,45000
1774612818728176,44980
1774612818771351,45010
1774612818814487,45030
1774612818857675,44930
1774612818900663,44900
1774612818943513,44860
1774612818986574,44900
1774612819029565,44850
1774612819076007,44870
1774612819119109,44950
1774612819161709,45040
1774612819204772,44960
1774612819247872,44920
1774612819290459,45010
1774612819333514,44860
1774612819376447,44860
1774612819419726,44910
1774612819462752,44960
1774612819505678,44980
1774612819548670,44970
1774612819591707,45010
1774612819635648,44900
1774612819678429,44900
1774612819721476,44870
1774612819764548,44960
1774612819807625,44970
1774612819850323,44890
1774612819893303,44860
1774612819935584,44990
1774612819978705,44990
1774612820021644,44950
1774612820064882,44970
1774612820108005,44890
1774612820150596,44880
1774612820195571,44910
1774612820238798,44860
1774612820281873,45050
1774612820325077,44960
1774612820368268,44870
1774612820411396,44920
1774612820453838,44920
1774612820496790,44940
1774612820539650,44810
1774612820582359,44810
1774612820625357,44900
1774612820668403,44980
1774612820715350,44980
1774612820757930,44860
1774612820800905,44930
1774612820844005,44770
1774612820887234,44810
1774612820930470,44770
1774612820973645,44880
1774612821016778,44940
1774612821059456,44980
1774612821102591,44970
1774612821145668,45040
1774612821188651,44950
1774612821235140,45000
1774612821278226,44910
1774612821321337,45090
1774612821364589,44930
1774612821407484,44910
1774612821450445,44880
1774612821493443,44900
1774612821536527,44910
1774612821579276,44920
1774612821621632,44920
1774612821664627,44920
1774612821707789,44960
1774612821755001,44890
1774612821798067,44940
1774612821841135,44920
1774612821884184,44890
1774612821927140,44900
1774612821970086,44880
1774612822013308,44890
1774612822056524,44940
1774612822099691,44950
1774612822142699,44860
1774612822185569,44780
1774612822228346,44700
1774612822274592,44870
1774612822317805,44900
1774612822361241,45090
1774612822404243,44900
1774612822447260,45060
1774612822490229,44990
1774612822533580,45010
1774612822576568,44920
1774612822619665,44930
1774612822662912,44920
1774612822705658,44950
1774612822748686,44940
1774612822794682,44890
1774612822837216,44910
1774612822880251,44930
1774612822923132,44890
1774612822966264,44920
1774612823008684,45020
1774612823051715,45010
1774612823094711,44880
1774612823137719,44830
1774612823180680,44930
1774612823223672,44830
1774612823266713,44900
1774612823309944,44930
1774612823354418,45090
1774612823397509,44870
1774612823439879,44930
