unix_timestamp,active_power (mW)
1774614031658576,45430
1774614031700739,38050
1774614031743659,45890
1774614031786596,45650
1774614031829376,45590
1774614031872317,45540
1774614031915429,45520
1774614031958489,45550
1774614032001618,45540
1774614032044921,45610
1774614032087605,45570
1774614032130539,45600
1774614032177144,45590
1774614032220227,45600
1774614032262952,45610
1774614032306019,45590
1774614032349185,45510
1774614032392414,45580
1774614032435607,45490
1774614032478148,45590
1774614032521313,45560
1774614032563879,45590
1774614032607071,45560
1774614032650229,45640
1774614032697158,45770
1774614032740337,45430
1774614032783159,45540
1774614032826304,45520
1774614032868915,45540
1774614032911881,45450
1774614032955091,45520
1774614032997495,45440
1774614033040657,45490
1774614033083410,45510
1774614033126357,45420
1774614033169462,45420
1774614033212535,45360
1774614033257194,45400
1774614033300286,45410
1774614033343140,45460
1774614033385686,45440
1774614033428674,45500
1774614033471458,45520
1774614033514461,45460
1774614033557623,45530
1774614033600699,45550
1774614033643714,45550
1774614033686402,45570
1774614033729581,45520
1774614033772537,45600
1774614033817320,45490
1774614033860451,45450
1774614033903636,45440
1774614033946836,45450
1774614033989746,45480
1774614034032922,45420
1774614034075820,45490
1774614034118738,45510
1774614034161803,45410
1774614034204690,45400
1774614034247591,45460
1774614034290688,45430
1774614034337466,45510
1774614034380518,45450
1774614034423424,45530
1774614034466446,45550
1774614034509227,45550
1774614034552394,45490
1774614034595461,45590
1774614034638503,45600
1774614034681530,45510
1774614034724573,45510
1774614034767801,45610
1774614034810690,45750
1774614034857613,45460
1774614034900745,45560
1774614034943370,45470
1774614034986422,45620
1774614035029399,45570
1774614035072437,45490
1774614035115502,45610
1774614035158375,45540
1774614035201601,45490
1774614035244764,45530
1774614035287695,45570
1774614035330632,45510
1774614035373775,45610
1774614035417695,45450
1774614035460704,45470
1774614035503646,45460
1774614035546331,45490
1774614035589433,45460
1774614035632570,45500
1774614035675112,45480
1774614035718261,45450
1774614035761349,45460
1774614035804469,45590
1774614035847422,45490
1774614035889845,45470
1774614035932776,45430
1774614035977782,45460
1774614036020923,45380
1774614036063965,45430
1774614036106601,45480
1774614036149275,45420
1774614036192442,45400
1774614036235621,45450
1774614036278516,45390
1774614036321619,45480
1774614036364641,45440
1774614036407755,45420
1774614036450608,45480
1774614036493687,45500
1774614036537964,45560
1774614036581132,45520
1774614036624375,45440
1774614036667256,45560
1774614036710500,45530
1774614036753617,45530
1774614036796688,45550
1774614036839835,45690
1774614036882684,45490
1774614036925853,45600
1774614036968515,45580
1774614037011681,45570
1774614037058155,45550
1774614037101286,45490
1774614037144343,45530
1774614037187176,45540
1774614037230304,45570
1774614037273399,45560
1774614037316447,45610
1774614037359366,45570
1774614037402546,45550
1774614037445789,45520
1774614037488800,45620
1774614037531813,45550
1774614037578443,45610
1774614037621566,45600
1774614037664271,45600
1774614037707214,45530
1774614037749784,45560
1774614037792997,45590
1774614037836061,45650
1774614037879392,45500
1774614037922571,45500
1774614037965835,45550
1774614038008993,45490
1774614038052108,45470
1774614038098460,45540
1774614038141555,45480
1774614038184692,45490
1774614038227560,45470
1774614038270196,45520
1774614038313311,45490
1774614038356376,45440
1774614038399416,45520
1774614038442714,45500
1774614038485716,45520
1774614038528740,45460
1774614038571597,45480
1774614038614089,45460
1774614038658600,45470
1774614038701753,45530
1774614038745004,45540
1774614038788175,45490
1774614038831424,45540
1774614038873735,45590
1774614038916485,45470
1774614038959365,45510
1774614039002494,45560
1774614039045555,45520
1774614039088635,45540
1774614039131606,45540
1774614039174882,45450
1774614039218897,45480
1774614039261667,45580
1774614039304844,45470
1774614039347776,45470
1774614039390663,45510
1774614039433649,45530
1774614039476729,45460
1774614039519705,45510
1774614039562849,45480
1774614039605550,45530
1774614039648742,45500
1774614039691848,45510
1774614039734536,45520
1774614039779242,45510
1774614039822367,45480
1774614039865558,45580
1774614039908765,45600
1774614039951714,45410
1774614039994433,45560
1774614040037436,45560
1774614040079888,45500
1774614040122794,45510
1774614040165736,45560
1774614040208691,45490
1774614040251659,45590
1774614040294689,45480
1774614040339377,45510
1774614040382520,45500
1774614040425529,45490
1774614040468706,45530
1774614040511696,45520
1774614040554420,45590
1774614040597393,45490
1774614040640610,45530
1774614040683424,45470
1774614040726284,45510
1774614040769534,45540
1774614040812727,45590
1774614040859702,45570
1774614040902874,45660
1774614040946079,45570
1774614040989169,45550
1774614041032216,45570
1774614041075445,45460
1774614041118265,45560
1774614041161482,45490
1774614041204667,45540
1774614041247599,45510
1774614041290758,45490
1774614041333775,45510
1774614041379976,45560
1774614041423037,45400
1774614041466322,45520
1774614041509430,45490
1774614041552674,45380
1774614041595551,45440
1774614041638054,45480
1774614041681203,45450
1774614041724228,45400
1774614041767507,45410
1774614041810587,45390
1774614041853774,45540
1774614041900057,45470
1774614041942980,45620
1774614041985301,45470
1774614042028267,45490
1774614042071203,45530
1774614042113722,45580
1774614042156668,45540
1774614042199225,45540
1774614042242361,45550
1774614042285279,45530
1774614042328245,45540
1774614042371448,45520
1774614042414306,45540
1774614042460443,45480
1774614042503045,45440
1774614042546308,45470
1774614042589403,45460
1774614042632433,45460
1774614042675552,45540
1774614042718121,45510
1774614042761238,45500
1774614042803855,45520
1774614042846600,45510
1774614042889853,45440
1774614042933102,45540
1774614042976134,45630
1774614043020816,45520
1774614043063676,45570
1774614043106774,45520
1774614043149647,45470
1774614043192606,45440
1774614043235642,45440
1774614043278579,45530
1774614043321560,45480
1774614043364784,45500
1774614043407747,45440
1774614043450852,45500
1774614043493791,45490
1774614043537049,45530
1774614043581148,45500
1774614043623786,45470
1774614043666673,45570
1774614043709723,45540
1774614043752626,45510
1774614043795868,45580
1774614043838992,45560
1774614043881847,45500
1774614043924920,45510
1774614043968067,45490
1774614044011072,45670
1774614044053661,45550
1774614044096644,45590
1774614044141377,45530
1774614044184603,45520
1774614044227805,45570
1774614044270758,45580
1774614044313828,45530
1774614044356802,45560
1774614044399891,45450
1774614044442734,45510
1774614044485705,45430
1774614044528817,45570
1774614044571750,45480
1774614044614836,45480
1774614044661547,45460
1774614044704673,45350
1774614044747620,45470
1774614044790545,45440
1774614044833722,45500
1774614044876733,45550
1774614044920044,45550
1774614044962842,45620
1774614045005873,45660
1774614045048834,45550
1774614045091707,45600
1774614045134641,45570
1774614045177536,45550
1774614045222095,45530
1774614045265182,45570
1774614045308162,45580
1774614045350978,45600
1774614045393985,45600
1774614045437049,45540
1774614045480081,45570
1774614045523163,45540
1774614045565629,45550
1774614045608752,45520
1774614045651630,45550
1774614045694453,45570
1774614045737515,45510
1774614045782273,45610
1774614045825297,45530
1774614045868480,45460
1774614045911072,45490
1774614045954233,45470
1774614045997240,45470
1774614046040442,45580
1774614046083286,45450
1774614046126451,45470
1774614046169605,45520
1774614046212616,45520
1774614046255734,45440
1774614046302421,45530
1774614046345578,45430
1774614046388454,45450
1774614046431084,45470
1774614046474100,45460
1774614046517049,45460
1774614046560186,45510
1774614046603191,45500
1774614046646324,45500
1774614046689358,45510
1774614046732608,45570
1774614046775768,45560
1774614046822659,45490
1774614046865575,45560
1774614046908675,45600
1774614046951593,45510
1774614046994579,45480
1774614047037832,45530
1774614047081046,45690
1774614047123967,45520
1774614047167058,45600
1774614047210020,45520
1774614047253191,45600
1774614047296315,45430
1774614047342971,45580
1774614047386109,45530
1774614047429390,45470
1774614047472573,45550
1774614047515315,45500
1774614047557595,45490
1774614047600574,45540
1774614047643688,45530
1774614047686804,45530
1774614047729781,45510
1774614047772739,45500
1774614047815775,45520
1774614047858842,45490
1774614047903140,45510
1774614047946344,45490
1774614047989612,45570
1774614048031915,45440
