unix_timestamp,active_power (mW)
1774614255606549,45450
1774614255648813,37150
1774614255691402,46520
1774614255734561,45430
1774614255777561,45480
1774614255820672,45520
1774614255863690,45510
1774614255906383,45400
1774614255949616,45520
1774614255992847,45570
1774614256036031,45400
1774614256080445,45360
1774614256123248,45460
1774614256166494,45420
1774614256209398,45430
1774614256252593,45470
1774614256295782,45460
1774614256338977,45540
1774614256381994,45450
1774614256425155,45510
1774614256468280,45480
1774614256511270,45480
1774614256554344,45510
1774614256600466,45560
1774614256643202,45560
1774614256686241,45530
1774614256729462,45500
1774614256772670,45470
1774614256815438,45630
1774614256858467,45540
1774614256901643,45490
1774614256944764,45560
1774614256987886,45630
1774614257030581,45520
1774614257073706,45480
1774614257120536,45500
1774614257163344,45460
1774614257206450,45430
1774614257249408,45460
1774614257292492,45420
1774614257335143,45320
1774614257378269,45370
1774614257421478,45420
1774614257464432,45450
1774614257507519,45460
1774614257550041,45370
1774614257592939,45450
1774614257636522,45440
1774614257680499,45500
1774614257723236,45490
1774614257766310,45460
1774614257809422,45420
1774614257852581,45480
1774614257895826,45450
1774614257938875,45390
1774614257981932,45460
1774614258025117,45530
1774614258068206,45350
1774614258111076,45330
1774614258153539,45350
1774614258200379,45400
1774614258243391,45420
1774614258286364,45370
1774614258329324,45430
1774614258372376,45460
1774614258415332,45430
1774614258458556,45570
1774614258501698,45430
1774614258544769,45480
1774614258587915,45450
1774614258630694,45490
1774614258673579,45530
1774614258720445,45510
1774614258763498,45560
1774614258806642,45490
1774614258849676,45540
1774614258892985,45540
1774614258936105,45570
1774614258979268,45580
1774614259022207,45650
1774614259065281,45470
1774614259108275,45530
1774614259151404,45500
1774614259193904,45490
1774614259240447,45440
1774614259283603,45530
1774614259326737,45470
1774614259369938,45470
1774614259413153,45600
1774614259456407,45510
1774614259499275,45470
1774614259541750,45590
1774614259584733,45500
1774614259627742,45580
1774614259670822,45530
1774614259713964,45510
1774614259760414,45540
1774614259803559,45480
1774614259846406,45510
1774614259889309,45490
1774614259932455,45490
1774614259975486,45470
1774614260018540,45560
1774614260061760,45620
1774614260104667,45580
1774614260147793,45450
1774614260190753,45500
1774614260233880,45510
1774614260280405,45500
1774614260323604,45450
1774614260366762,45510
1774614260409188,45480
1774614260452236,45480
1774614260495265,45390
1774614260538180,45490
1774614260581063,45580
1774614260624270,45540
1774614260667409,45510
1774614260710319,45520
1774614260753231,45540
1774614260800323,45540
1774614260843572,45540
1774614260886280,45540
1774614260929328,45560
1774614260972394,45530
1774614261014988,45550
1774614261057783,45540
1774614261100951,45660
1774614261144054,45570
1774614261187034,45520
1774614261230124,45610
1774614261273190,45540
1774614261320175,45560
1774614261363350,45470
1774614261405766,45610
1774614261448777,45590
1774614261491789,45630
1774614261534776,45560
1774614261577686,45530
1774614261620712,45570
1774614261663804,45600
1774614261706950,45540
1774614261749794,45620
1774614261792940,45650
1774614261836215,45510
1774614261880221,45430
1774614261923239,45540
1774614261966354,45500
1774614262009226,45530
1774614262052168,45480
1774614262095333,45560
1774614262138423,45360
1774614262181477,45480
1774614262224442,45460
1774614262267319,45490
1774614262310254,45540
1774614262353175,45430
1774614262400000,45550
1774614262443056,45520
1774614262485633,45540
1774614262528818,45490
1774614262571828,45490
1774614262614592,45510
1774614262657712,45500
1774614262700821,45430
1774614262743758,45440
1774614262786358,45450
1774614262829054,45380
1774614262872085,45350
1774614262915195,45400
1774614262959917,45420
1774614263002625,45410
1774614263045680,45390
1774614263088668,45500
1774614263131710,45640
1774614263174753,45580
1774614263217998,45600
1774614263261139,45470
1774614263304334,45520
1774614263347287,45560
1774614263389755,45510
1774614263432914,45570
1774614263479803,45430
1774614263522871,45490
1774614263565659,45420
1774614263608636,45450
1774614263651722,45480
1774614263694634,45500
1774614263737678,45420
1774614263780770,45450
1774614263823971,45480
1774614263867074,45380
1774614263910294,45420
1774614263953298,45320
1774614263999750,45380
1774614264042534,45450
1774614264085657,45420
1774614264128736,45520
1774614264171780,45380
1774614264214561,45450
1774614264257827,45450
