unix_timestamp,active_power (mW)
1774614920472282,45930
1774614920514501,30540
1774614920556921,50000
1774614920599214,46650
1774614920642394,45900
1774614920685538,45990
1774614920728705,45990
1774614920771702,45950
1774614920814781,45950
1774614920857335,45980
1774614920900370,45940
1774614920946376,45930
1774614920989510,45940
1774614921032641,45930
1774614921075536,45930
1774614921118291,45970
1774614921161513,45910
1774614921204431,45950
1774614921247602,45920
1774614921290661,46000
1774614921333795,46010
1774614921377036,45920
1774614921420071,45860
1774614921466357,45900
1774614921509479,45960
1774614921552606,46090
1774614921595601,46020
1774614921638654,45990
1774614921681457,45960
1774614921724407,46030
1774614921767614,45990
1774614921810526,45970
1774614921853618,45950
1774614921896709,45980
1774614921939657,46030
1774614921986259,45920
1774614922029141,45980
1774614922072271,45960
1774614922115522,45940
1774614922158652,45960
1774614922201601,45900
1774614922244797,45950
1774614922287756,46000
1774614922330970,45980
1774614922374066,45910
1774614922417229,45950
1774614922460314,45910
1774614922506273,45970
1774614922549379,45950
1774614922592319,45990
1774614922635427,45950
1774614922677987,45920
1774614922721029,45950
1774614922764153,46040
1774614922807021,45990
1774614922850182,45960
1774614922893375,46030
1774614922936418,45990
1774614922979443,45960
1774614923026429,46030
1774614923069519,46010
1774614923112800,46030
1774614923155841,45990
1774614923198821,46020
1774614923241769,46040
1774614923284814,46030
1774614923327799,46010
1774614923370997,46010
1774614923414076,46010
1774614923457131,46050
1774614923500194,46000
1774614923546363,45970
1774614923589454,46090
1774614923632435,45940
1774614923675278,45950
1774614923718375,45990
1774614923761302,45900
1774614923804509,45980
1774614923847653,45970
1774614923890824,45930
1774614923933841,46000
1774614923976577,45960
1774614924019718,45920
1774614924066403,45940
1774614924109427,45920
1774614924152475,45980
1774614924195583,45910
1774614924238706,45920
1774614924281704,45970
1774614924324661,45980
1774614924367595,46000
1774614924410580,45940
1774614924453724,45990
1774614924496807,45960
1774614924539662,46020
1774614924586258,45940
1774614924629354,46060
1774614924672501,45950
1774614924715418,46070
1774614924758431,46010
1774614924801513,45970
1774614924844610,46030
1774614924887644,46000
1774614924930829,46000
1774614924973692,46020
1774614925016786,46020
1774614925059772,45910
1774614925106136,45960
1774614925149335,45980
1774614925192586,45940
1774614925235771,45940
1774614925278253,45960
1774614925321397,45990
1774614925364465,45970
1774614925407603,46000
1774614925450627,46000
1774614925493667,45920
1774614925536733,45990
1774614925579394,46010
1774614925622160,46030
1774614925666087,46000
1774614925709261,46000
1774614925752344,45950
1774614925795354,45990
1774614925838498,46010
1774614925881380,45930
1774614925924562,46010
1774614925967792,45950
1774614926011032,45960
1774614926054217,45970
1774614926097304,46040
1774614926140296,45960
1774614926185995,46050
1774614926228492,46050
1774614926271708,46050
1774614926314904,46070
1774614926357938,45980
1774614926401135,46020
1774614926444034,45960
1774614926486635,45960
1774614926529689,46040
1774614926572759,45940
1774614926615780,45920
1774614926658793,46020
1774614926705779,45970
1774614926748932,45980
1774614926792119,46040
1774614926834713,46030
1774614926877738,46050
1774614926920765,46020
1774614926963873,46040
1774614927007071,45960
1774614927049475,45960
1774614927091915,45920
1774614927134747,45930
1774614927177765,45930
1774614927221000,46040
1774614927265617,46030
1774614927308592,45950
1774614927351257,45970
1774614927394413,45870
1774614927437411,45940
1774614927480480,45940
1774614927523310,45990
1774614927565687,46050
1774614927608738,45900
1774614927651383,45980
1774614927693721,45970
1774614927736675,45890
1774614927779651,45920
1774614927825442,45920
1774614927868478,45970
1774614927911673,46080
1774614927954851,45960
1774614927997868,46070
1774614928040899,46030
1774614928083718,46000
1774614928126841,46070
1774614928169589,46040
1774614928212611,46010
1774614928255614,46020
1774614928298373,45980
1774614928345343,46020
1774614928388425,45950
1774614928431519,45970
1774614928474210,46040
1774614928517281,46050
1774614928560416,45970
1774614928603256,45950
1774614928646457,46000
1774614928689521,45980
1774614928732798,46140
1774614928776020,45940
1774614928819089,46010
1774614928864958,45990
1774614928907891,45920
1774614928950836,45980
1774614928993638,45940
1774614929036609,45950
1774614929079632,45990
1774614929122590,45950
1774614929165511,45830
1774614929208567,45860
1774614929251597,45980
1774614929294251,45930
1774614929337381,46010
1774614929380643,45900
1774614929424511,45940
1774614929467601,45850
1774614929510209,45870
1774614929553097,45920
1774614929596198,45980
1774614929639267,46020
1774614929682361,46020
1774614929725410,46070
1774614929768661,46130
1774614929811567,46040
1774614929854699,45980
1774614929897587,45960
1774614929944442,45970
1774614929987385,45980
1774614930030344,46010
1774614930072871,45970
1774614930115773,45960
1774614930158754,45900
1774614930201681,45980
1774614930244831,45960
1774614930287980,45920
1774614930331065,45980
1774614930374078,45900
1774614930417216,45900
1774614930464081,45860
1774614930507239,45940
1774614930549505,45950
1774614930592527,45990
1774614930635402,45900
1774614930678245,45990
1774614930721390,46040
1774614930764368,46160
1774614930807402,46070
1774614930849874,45950
1774614930892927,45960
1774614930935820,45990
1774614930978762,46000
1774614931023818,45930
1774614931067058,46030
1774614931110136,46030
1774614931153220,46060
1774614931196245,45980
1774614931239038,45970
1774614931282044,46010
1774614931325016,45990
1774614931367973,45970
1774614931411198,45990
1774614931453686,46000
1774614931496735,46030
1774614931543635,45970
1774614931587174,45990
1774614931630734,45990
1774614931673752,46020
1774614931716706,45980
1774614931759551,46000
1774614931802212,46040
1774614931845406,45960
1774614931888401,45990
1774614931931587,45910
1774614931974379,45940
1774614932017579,45960
1774614932063316,45960
1774614932106470,45970
1774614932149569,45770
1774614932192671,45830
1774614932235655,45920
1774614932278502,45920
1774614932321698,45990
1774614932364597,45960
1774614932407774,46030
1774614932450893,45950
1774614932493901,45990
1774614932537001,46010
1774614932583196,45970
1774614932626289,45940
1774614932668921,46060
1774614932712013,45950
1774614932755120,46010
1774614932798328,46050
1774614932841302,46150
1774614932884376,46070
1774614932927409,46070
1774614932970464,46040
1774614933013655,46020
1774614933056812,46050
1774614933102992,45970
1774614933145683,45990
1774614933188920,46060
1774614933232010,46010
1774614933274956,45990
1774614933318136,46010
1774614933361323,46000
1774614933404527,45970
1774614933447730,46000
1774614933490433,45910
1774614933533640,46020
1774614933576523,45990
1774614933622632,45900
1774614933665696,45970
1774614933708668,45920
1774614933751720,45930
1774614933794592,45970
1774614933837805,46140
1774614933881003,45940
1774614933924122,45870
1774614933967350,45890
1774614934009774,45910
1774614934052754,45940
1774614934095834,45960
1774614934142355,46030
1774614934185427,45960
1774614934228712,45950
1774614934271748,45970
1774614934314446,45930
1774614934357624,45900
1774614934400717,45960
1774614934443641,46010
1774614934486540,45980
1774614934529725,46010
1774614934572756,46060
1774614934615592,46090
1774614934662114,46020
1774614934705197,45950
