unix_timestamp,active_power (mW)
1774602063710748,43010
1774602063753076,43130
1774602063795431,43080
1774602063837803,43020
1774602063880760,42980
1774602063923709,42920
1774602063966744,43020
1774602064012349,42990
1774602064055279,43120
1774602064098599,43010
1774602064141592,43000
1774602064184774,43040
1774602064227857,43060
1774602064270979,43010
1774602064313491,43160
1774602064356393,43190
1774602064399465,43120
1774602064441819,43070
1774602064484912,43070
1774602064528170,42980
1774602064572140,43130
1774602064615202,43140
1774602064657665,43080
1774602064700893,43010
1774602064743299,42970
1774602064786342,43030
1774602064829302,43120
1774602064872190,43130
1774602064914964,43110
1774602064957432,43030
1774602065000545,43010
1774602065043529,42960
1774602065086595,43030
1774602065131745,43190
1774602065174420,43120
1774602065217588,43090
1774602065260799,42960
1774602065303817,42940
1774602065346917,43060
1774602065389919,43040
1774602065432977,43140
1774602065476006,43110
1774602065518430,43040
1774602065561398,43010
1774602065604399,43000
1774602065651459,43120
1774602065694272,43100
1774602065737290,43140
1774602065780722,43080
1774602065823709,42980
1774602065866969,42930
1774602065909798,43020
1774602065953059,43140
1774602065996124,43090
1774602066038925,43020
1774602066082080,42980
1774602066124965,42930
1774602066171102,43100
1774602066214203,43160
1774602066257333,43100
1774602066300214,42980
1774602066343072,42970
1774602066385886,42960
1774602066429019,43090
1774602066471959,43190
1774602066515041,43110
1774602066558273,43060
1774602066601432,42980
1774602066644626,42980
1774602066690713,43130
1774602066733735,43070
1774602066776759,43040
1774602066819947,43000
1774602066863051,42990
1774602066906264,43050
1774602066949477,43250
1774602066992642,43130
1774602067035910,43080
1774602067078954,43060
1774602067122051,43040
1774602067165054,43060
1774602067210460,43170
1774602067253489,43050
1774602067296457,42990
1774602067339459,42990
1774602067381859,43070
1774602067424837,43060
1774602067467996,43140
1774602067510820,43200
1774602067553701,43020
1774602067596752,43010
1774602067639649,43010
1774602067682662,43110
1774602067725716,43150
1774602067770098,43100
1774602067813262,43020
1774602067856276,43040
1774602067899201,43110
1774602067941625,43170
1774602067984757,43190
1774602068027657,43000
1774602068070881,43040
1774602068113917,43060
1774602068157159,43120
1774602068200298,43120
1774602068243355,43080
1774602068289737,43110
1774602068332802,43000
1774602068375983,43130
1774602068419097,43150
1774602068461911,43060
1774602068505076,43010
1774602068548122,43050
1774602068590776,43120
1774602068633732,43120
1774602068676711,43150
1774602068719680,43040
1774602068762716,42980
1774602068809361,43120
1774602068852407,43150
1774602068894993,43180
1774602068938142,43100
1774602068981309,42950
1774602069024380,43020
1774602069067325,43160
1774602069109763,43100
1774602069152913,43070
1774602069196083,42940
1774602069239201,43010
1774602069282347,43080
1774602069328982,43030
1774602069371993,42970
1774602069415248,42930
1774602069458304,43060
1774602069501309,43180
1774602069543884,43150
1774602069586900,43000
1774602069629978,42880
1774602069673011,42990
1774602069715940,43010
1774602069759093,43130
1774602069801703,43190
1774602069848602,42920
1774602069891661,42930
1774602069934788,43010
1774602069977908,43130
1774602070020969,43080
1774602070064053,43090
1774602070107168,42920
1774602070150204,42870
1774602070193269,43000
1774602070235980,43100
1774602070278836,43210
1774602070321287,43080
1774602070364225,43090
1774602070408257,42980
1774602070451413,42900
1774602070493914,43070
1774602070536996,43160
1774602070580165,43240
1774602070623375,43060
1774602070666815,42990
1774602070709786,42980
1774602070752897,43110
1774602070795984,43160
1774602070838887,43150
1774602070882154,43110
1774602070928001,42970
1774602070971118,43040
1774602071013876,43040
1774602071057080,43100
1774602071100179,43170
1774602071143123,43120
1774602071186122,43010
1774602071229056,42980
1774602071271870,42940
1774602071314460,42990
1774602071357528,43130
1774602071400740,43050
1774602071447726,43170
1774602071490753,43080
1774602071533516,43120
1774602071576396,43010
1774602071619237,43050
1774602071662318,43040
1774602071705357,43100
1774602071748296,43100
1774602071791372,43150
1774602071834302,43050
1774602071877290,42970
1774602071920305,42940
1774602071963455,43090
1774602072007414,43100
1774602072050374,43120
1774602072093348,43020
1774602072135843,42970
1774602072178873,43000
1774602072221701,43060
1774602072264932,43050
1774602072308065,43150
1774602072351267,43080
1774602072394494,42980
1774602072437764,43000
1774602072480909,43060
1774602072527025,43080
1774602072570202,43110
1774602072613279,43070
1774602072656270,42990
1774602072699259,42980
1774602072741732,43000
1774602072784790,43120
1774602072827694,43140
1774602072870727,43040
1774602072913867,42910
1774602072957123,42970
1774602073000235,42940
1774602073046687,43100
1774602073089698,43150
1774602073132736,43160
1774602073175828,43050
1774602073218619,42960
1774602073261797,42970
1774602073304806,43030
1774602073347905,43110
1774602073391166,43170
1774602073434330,43200
1774602073477363,43130
1774602073520293,43110
1774602073566433,42960
1774602073609608,43030
1774602073652951,43050
1774602073696060,43130
1774602073739140,43110
1774602073781616,43080
1774602073824799,42940
1774602073867609,42970
1774602073910725,42950
1774602073953284,43030
1774602073996523,43050
1774602074039606,43180
1774602074086180,43150
1774602074129327,42980
1774602074172282,42990
1774602074215262,42990
1774602074258590,42940
1774602074301753,43030
1774602074344873,43130
1774602074387381,43200
1774602074430613,43180
1774602074473423,43190
1774602074516544,43050
1774602074559367,42950
1774602074601853,42980
1774602074645945,43050
1774602074689126,43110
1774602074732275,43160
1774602074775375,43180
1774602074818350,43140
1774602074861395,42980
1774602074904396,42920
1774602074947407,42950
1774602074990290,43030
1774602075033461,43070
1774602075076743,43120
1774602075119866,43140
1774602075165725,43000
1774602075208822,42990
1774602075251933,42970
1774602075294538,42990
1774602075337625,42970
1774602075380876,42980
1774602075424028,43120
1774602075467195,43110
1774602075509765,43130
1774602075552924,43070
1774602075596000,42990
1774602075639014,43010
1774602075685624,42960
1774602075728761,43000
1774602075771961,43050
1774602075814636,43060
1774602075857621,42980
1774602075900880,43020
1774602075944003,43030
1774602075987254,43030
1774602076029759,43050
1774602076073017,43080
1774602076115968,43020
1774602076158927,42960
1774602076205479,42990
1774602076248582,42980
1774602076291765,42980
1774602076334638,42970
1774602076377765,43030
1774602076420966,43020
1774602076464103,43100
1774602076506812,43210
1774602076549852,43070
1774602076592931,43150
1774602076635689,43040
1774602076678651,42980
1774602076725129,43020
1774602076768157,43120
1774602076811205,43190
1774602076853686,43130
1774602076896668,43120
1774602076939691,43090
1774602076982938,43100
1774602077026043,43070
1774602077069000,43150
1774602077112024,43040
1774602077154595,42960
1774602077197802,43110
1774602077240348,43020
1774602077285000,43030
1774602077328090,43030
1774602077371123,43030
1774602077414267,43050
1774602077457324,43200
1774602077500282,43100
1774602077542813,43050
1774602077585936,43060
1774602077629059,43090
1774602077672045,42990
1774602077715110,42960
1774602077758117,42950
1774602077804911,42950
1774602077848020,42990
1774602077891221,43070
1774602077934332,43130
1774602077977404,43060
1774602078020292,43120
1774602078063367,43040
1774602078106665,42960
1774602078149796,43020
1774602078192921,43060
1774602078235991,43090
1774602078279159,43110
1774602078324549,43080
1774602078367662,43030
1774602078410846,42920
1774602078454001,42960
1774602078497097,43030
1774602078539440,43010
1774602078582244,43040
1774602078625521,43070
1774602078668731,43200
1774602078711835,43130
1774602078754861,43140
1774602078797980,43210
1774602078844478,43250
1774602078887539,43220
1774602078930465,43130
1774602078973672,43120
1774602079016793,43090
1774602079059685,43080
1774602079102265,42960
1774602079145103,42990
1774602079187972,42960
1774602079230423,42970
1774602079273465,43000
1774602079316538,42950
1774602079359456,42940
1774602079404328,42990
1774602079447152,43000
1774602079489987,43020
1774602079533019,43070
1774602079575760,42900
1774602079618431,42980
1774602079661367,42980
1774602079704301,43040
1774602079747242,43000
1774602079790173,42980
1774602079833224,43010
1774602079876302,43070
1774602079918899,43160
1774602079964171,43070
1774602080007043,43080
1774602080050111,43030
1774602080093136,42990
1774602080136253,42990
1774602080179471,42970
1774602080221856,42980
1774602080264752,43010
1774602080307803,42970
1774602080350801,43010
1774602080394054,42940
1774602080437170,43030
1774602080484101,42960
1774602080526960,42960
1774602080570038,43010
1774602080613255,43000
1774602080656419,42990
1774602080699428,43030
1774602080741876,43000
1774602080785017,42970
1774602080827839,43040
1774602080870910,42930
1774602080913970,42970
1774602080957094,43020
1774602081003936,43050
1774602081047115,43090
1774602081089922,43140
1774602081133118,43130
1774602081176365,43060
1774602081219170,43000
1774602081262375,43030
1774602081305497,42990
1774602081348441,43020
1774602081391559,43000
1774602081434474,43010
1774602081477563,42990
1774602081523735,42980
1774602081566645,42970
1774602081609802,42990
1774602081652905,43000
1774602081695798,42970
1774602081739020,43020
1774602081782117,43020
1774602081824999,42990
1774602081868000,43060
1774602081911096,42970
1774602081953736,43080
1774602081996923,43010
1774602082043697,42960
1774602082086741,43000
1774602082130023,43020
1774602082173255,43000
