unix_timestamp,active_power (mW)
1774603681392387,46480
1774603681434831,44110
1774603681477491,44890
1774603681520710,46710
1774603681566505,46580
1774603681609640,46650
1774603681652766,46600
1774603681695635,46640
1774603681738619,46600
1774603681781808,46630
1774603681824955,46600
1774603681867816,46670
1774603681910670,46610
1774603681953760,46630
1774603681996374,46630
1774603682039260,46550
1774603682082560,46580
1774603682126521,46610
1774603682169522,46550
1774603682212555,46600
1774603682255568,46530
1774603682298506,46650
1774603682341623,46490
1774603682384869,46540
1774603682427365,46610
1774603682470507,46630
1774603682513715,46550
1774603682556934,46590
1774603682599740,46540
1774603682646357,46530
1774603682689429,46570
1774603682732638,46600
1774603682775752,46660
1774603682818973,46560
1774603682861875,46630
1774603682904796,46590
1774603682947931,46530
1774603682990548,46560
1774603683033691,46550
1774603683076857,46600
1774603683120086,46550
1774603683166239,46590
1774603683209007,46570
1774603683251412,46500
1774603683294062,46540
1774603683337159,46600
1774603683380052,46660
1774603683423248,46620
1774603683466427,46620
1774603683509678,46620
1774603683552785,46600
1774603683595770,46690
1774603683638564,46620
1774603683681775,46640
1774603683726165,46650
1774603683769254,46600
1774603683812291,46600
1774603683855348,46610
1774603683898536,46580
1774603683941549,46550
1774603683984671,46560
1774603684027816,46610
1774603684071066,46650
1774603684113952,46610
1774603684156829,46690
1774603684199965,46590
1774603684246176,46630
1774603684289346,46540
1774603684332557,46570
1774603684375902,46620
1774603684418626,46600
1774603684461738,46580
1774603684504778,46540
1774603684547854,46550
1774603684591033,46520
1774603684633410,46540
1774603684676463,46620
1774603684719633,46500
1774603684766029,46530
1774603684809027,46540
1774603684852106,46540
1774603684895225,46580
1774603684937855,46520
1774603684980946,46590
1774603685023883,46520
1774603685066694,46580
1774603685109720,46530
1774603685152897,46550
1774603685196043,46620
1774603685238877,46540
1774603685282093,46610
1774603685325996,46580
1774603685369041,46620
1774603685412057,46620
1774603685454932,46620
1774603685498439,46560
1774603685541637,46650
1774603685584754,46610
1774603685627700,46690
1774603685670721,46510
1774603685713577,46600
1774603685756811,46600
1774603685799791,46600
1774603685845915,46600
1774603685888894,46550
1774603685932053,46630
1774603685974658,46590
1774603686017804,46650
1774603686060924,46640
1774603686103910,46620
1774603686147004,46610
1774603686190185,46580
1774603686233304,46590
1774603686276622,46640
1774603686319802,46600
1774603686365853,46530
1774603686408972,46550
1774603686451988,46590
1774603686495295,46620
1774603686538281,46490
1774603686581340,46560
1774603686624492,46550
1774603686667593,46540
1774603686710709,46590
1774603686753713,46580
1774603686796784,46580
1774603686839770,46580
1774603686885983,46510
1774603686929058,46520
1774603686972283,46590
1774603687015320,46510
1774603687058657,46590
1774603687101657,46640
1774603687144687,46500
1774603687187749,46610
1774603687230862,46590
1774603687274033,46620
1774603687316939,46560
1774603687360055,46550
1774603687406374,46590
1774603687449428,46570
1774603687492381,46610
1774603687535555,46550
1774603687578662,46660
1774603687621622,46540
1774603687664862,46610
1774603687707838,46570
1774603687750980,46560
1774603687794095,46580
1774603687837197,46600
1774603687880307,46560
1774603687925978,46610
1774603687969057,46560
1774603688011937,46660
1774603688054463,46610
1774603688097649,46570
1774603688140661,46610
1774603688183819,46570
1774603688226971,46550
1774603688270216,46580
1774603688313301,46600
1774603688356378,46570
1774603688399566,46540
1774603688446102,46570
1774603688489213,46540
1774603688532264,46510
1774603688575304,46620
1774603688618083,46570
1774603688661338,46540
1774603688704576,46610
1774603688747600,46520
1774603688790592,46540
1774603688832928,46540
1774603688875873,46520
1774603688919066,46560
1774603688961553,46600
1774603689005935,46580
1774603689049061,46480
1774603689092255,46610
1774603689135016,46550
1774603689177953,46580
1774603689220980,46640
1774603689263873,46630
1774603689306506,46570
1774603689349750,46650
1774603689392959,46600
1774603689435876,46590
1774603689478945,46640
1774603689521944,46600
1774603689565823,46580
1774603689608946,46520
1774603689651891,46540
1774603689695105,46580
1774603689738150,46630
1774603689781146,46560
1774603689823610,46580
1774603689866573,46580
1774603689909725,46560
1774603689952883,46520
1774603689995870,46470
1774603690038881,46540
1774603690085885,46570
1774603690128889,46560
1774603690171768,46560
1774603690214752,46530
1774603690257891,46510
1774603690300840,46540
1774603690343898,46520
1774603690386926,46580
1774603690429591,46570
1774603690472871,46570
1774603690515976,46690
1774603690558878,46570
1774603690605822,46600
1774603690648984,46570
1774603690692226,46670
1774603690735271,46550
1774603690777765,46640
1774603690820662,46450
1774603690863737,46570
1774603690906307,46520
1774603690949316,46560
1774603690992419,46590
1774603691035411,46600
1774603691077765,46530
1774603691121016,46560
1774603691165735,46490
1774603691208886,46550
1774603691251967,46530
1774603691294886,46640
1774603691337769,46520
1774603691380597,46570
1774603691423685,46580
1774603691466582,46600
1774603691509747,46560
1774603691553006,46640
1774603691595767,46580
1774603691638406,46680
1774603691685535,46510
1774603691728628,46570
1774603691771722,46600
1774603691814655,46570
1774603691857873,46510
1774603691901060,46580
1774603691944197,46610
1774603691987364,46670
1774603692030211,46590
1774603692073198,46590
1774603692116275,46560
1774603692159437,46450
1774603692205284,46370
1774603692248561,46550
1774603692291651,46580
1774603692334359,46550
1774603692377449,46570
1774603692420671,46570
1774603692463867,46550
1774603692507010,46610
1774603692549974,46530
1774603692593019,46540
1774603692635996,46550
1774603692678937,46580
1774603692725408,46500
1774603692768558,46540
1774603692811694,46540
1774603692854749,46590
1774603692897813,46560
1774603692941025,46530
1774603692984033,46540
1774603693026635,46630
1774603693069506,46560
1774603693112676,46630
1774603693155952,46640
1774603693198506,46540
1774603693245268,46570
1774603693288385,46560
1774603693331265,46570
1774603693374349,46540
1774603693417629,46490
1774603693460821,46550
1774603693504426,46570
1774603693547377,46560
1774603693590561,46580
1774603693633477,46490
1774603693676413,46570
1774603693719341,46600
1774603693765197,46590
1774603693808253,46620
1774603693851460,46580
1774603693894311,46560
1774603693937411,46530
1774603693980394,46540
1774603694023529,46590
1774603694066490,46630
1774603694109642,46530
1774603694152726,46670
1774603694195870,46570
1774603694238934,46620
1774603694285020,46630
1774603694328047,46580
1774603694370660,46630
1774603694413903,46590
1774603694457025,46640
1774603694499969,46610
1774603694542618,46640
1774603694585246,46630
1774603694628465,46590
1774603694671213,46580
1774603694714199,46480
1774603694757386,46560
1774603694800586,46550
1774603694844892,46560
1774603694887894,46520
1774603694931004,46580
1774603694973857,46620
1774603695016917,46580
1774603695059660,46510
1774603695102693,46550
1774603695145833,46590
1774603695189016,46590
1774603695232049,46500
1774603695274573,46510
1774603695317604,46580
1774603695364859,46510
1774603695407927,46630
1774603695450669,46500
1774603695494001,46560
1774603695537030,46570
1774603695579919,46580
1774603695622566,46650
1774603695665583,46560
1774603695708741,46560
1774603695751775,46470
1774603695794508,46460
1774603695837621,46540
1774603695884506,46540
1774603695927546,46610
1774603695970488,46560
1774603696013723,46610
1774603696056707,46670
1774603696099632,46650
1774603696142697,46530
1774603696185919,46540
1774603696228900,46590
1774603696271921,46620
1774603696314789,46630
1774603696357967,46500
1774603696404522,46620
1774603696447657,46520
1774603696490901,46600
1774603696533772,46550
1774603696576878,46540
1774603696619819,46580
1774603696662518,46590
1774603696705520,46570
1774603696748658,46600
1774603696791724,46550
1774603696834872,46630
1774603696877884,46530
1774603696924331,46550
1774603696967332,46540
1774603697009883,46570
1774603697053118,46570
1774603697096263,46550
1774603697139430,46530
1774603697182605,46610
1774603697225859,46630
1774603697268985,46490
1774603697311810,46560
1774603697354724,46520
1774603697397630,46480
1774603697444085,46510
1774603697486753,46530
1774603697529607,46660
1774603697572496,46610
1774603697615685,46570
1774603697658951,46610
1774603697702032,46550
1774603697745291,46540
1774603697788450,46470
1774603697831600,46600
1774603697874575,46490
1774603697917592,46570
1774603697963949,46520
1774603698006994,46540
1774603698049977,46540
1774603698093056,46570
1774603698135905,46530
1774603698178949,46530
1774603698222053,46640
1774603698264987,46590
1774603698308030,46650
1774603698351063,46650
1774603698394095,46580
1774603698437084,46600
1774603698483747,46530
1774603698526552,46580
1774603698569805,46540
1774603698613023,46550
1774603698655937,46620
1774603698698959,46600
1774603698742110,46600
1774603698785296,46570
1774603698828487,46580
1774603698871148,46550
1774603698914362,46570
1774603698957476,46540
1774603699003628,46500
1774603699046619,46640
1774603699089740,46530
1774603699132978,46520
1774603699176016,46520
1774603699218958,46500
1774603699261973,46430
1774603699305055,46500
1774603699348232,46590
1774603699391239,46540
1774603699434266,46610
1774603699477483,46610
1774603699523356,46490
1774603699565818,46510
1774603699608549,46560
1774603699651679,46620
1774603699694364,46500
1774603699737435,46580
1774603699780612,46580
1774603699823509,46640
1774603699865965,46570
1774603699908973,46670
1774603699952133,46640
1774603699995192,46640
1774603700038177,46640
1774603700083180,46590
1774603700126281,46540
1774603700169467,46510
1774603700212335,46560
