unix_timestamp,active_power (mW)
1774604474701131,45360
1774604474743497,42850
1774604474786169,45280
1774604474829382,45470
1774604474872368,45480
1774604474915415,45520
1774604474957900,45580
1774604475001028,45570
1774604475044116,45520
1774604475087256,45480
1774604475130316,45430
1774604475176252,45420
1774604475219256,45440
1774604475262142,45450
1774604475305259,45510
1774604475348123,45610
1774604475391091,45480
1774604475434153,45490
1774604475477399,45560
1774604475520673,45510
1774604475563702,45400
1774604475606282,45420
1774604475649536,45420
1774604475696007,45490
1774604475739125,45540
1774604475781729,45440
1774604475824692,45500
1774604475867632,45570
1774604475910374,45450
1774604475953297,45480
1774604475996362,45470
1774604476039368,45480
1774604476082024,45470
1774604476124946,45380
1774604476168080,45450
1774604476211147,45410
1774604476255648,45410
1774604476298258,45390
1774604476341349,45410
1774604476384512,45410
1774604476427596,45400
1774604476470617,45460
1774604476513432,45470
1774604476556616,45480
1774604476599330,45510
1774604476642313,45470
1774604476685478,45400
1774604476728475,45420
1774604476775506,45360
1774604476818510,45470
1774604476861500,45430
1774604476904722,45510
1774604476947772,45550
1774604476990652,45470
1774604477033533,45500
1774604477076626,45490
1774604477119621,45470
1774604477162751,45350
1774604477205235,45400
1774604477248402,45450
1774604477295277,45520
1774604477338445,45530
1774604477381623,45490
1774604477424500,45420
1774604477467620,45470
1774604477510690,45390
1774604477553673,45360
1774604477596835,45370
1774604477639977,45460
1774604477683202,45460
1774604477725665,45540
1774604477768818,45470
1774604477815083,45460
1774604477858218,45480
1774604477901347,45460
1774604477944588,45400
1774604477987764,45410
1774604478030406,45390
1774604478073538,45490
1774604478116671,45440
1774604478159782,45450
1774604478202290,45550
1774604478245346,45420
1774604478288404,45390
1774604478334809,45510
1774604478378041,45420
1774604478421172,45460
1774604478464510,45500
1774604478507621,45460
1774604478550406,45460
1774604478593609,45400
1774604478636493,45450
1774604478679373,45330
1774604478722092,45460
1774604478765322,45430
1774604478808529,45470
1774604478854563,45480
1774604478897722,45470
1774604478940709,45470
1774604478983742,45430
1774604479026854,45420
1774604479069866,45480
1774604479113021,45440
1774604479156213,45440
1774604479199030,45550
1774604479242062,45540
1774604479285118,45540
1774604479328299,45530
1774604479374364,45410
1774604479417472,45480
1774604479460381,45440
1774604479503547,45420
1774604479546343,45530
1774604479589317,45500
1774604479632338,45550
1774604479675567,45480
1774604479718488,45400
1774604479761354,45420
1774604479804472,45430
1774604479847721,45340
1774604479894127,45480
1774604479937283,45480
1774604479980535,45550
1774604480023233,45430
1774604480066466,45390
1774604480108915,45390
1774604480151963,45400
1774604480195054,45430
1774604480238185,45450
1774604480281476,45440
1774604480324644,45520
1774604480367771,45580
1774604480413978,45430
1774604480457090,45480
1774604480500225,45390
1774604480542933,45390
1774604480585262,45400
1774604480628471,45490
1774604480671516,45470
1774604480714214,45520
1774604480757297,45490
1774604480800446,45430
1774604480843396,45430
1774604480886068,45440
1774604480929015,45410
1774604480973724,45450
1774604481016828,45550
1774604481059934,45410
1774604481103033,45520
1774604481146025,45400
1774604481189219,45450
1774604481232365,45450
1774604481275618,45510
1774604481318132,45500
1774604481361252,45500
1774604481403732,45560
1774604481446707,45490
1774604481493408,45460
1774604481536554,45520
1774604481579285,45550
1774604481621580,45500
1774604481664610,45640
1774604481707558,45570
1774604481750160,45570
1774604481793283,45500
1774604481836397,45490
1774604481879301,45460
1774604481921745,45430
1774604481964958,45480
1774604482007804,45540
1774604482053296,45510
1774604482096353,45400
1774604482139654,45500
1774604482182656,45440
1774604482225501,45400
1774604482268473,45450
1774604482311511,45460
1774604482354611,45490
1774604482397674,45450
1774604482440801,45400
1774604482483850,45380
1774604482526284,45410
1774604482572888,45580
1774604482615915,45560
1774604482658866,45500
1774604482701973,45440
1774604482744996,45390
1774604482788185,45480
1774604482831373,45480
1774604482874499,45390
1774604482917408,45530
1774604482960476,45510
1774604483003474,45420
1774604483046164,45400
1774604483092713,45480
1774604483135756,45510
1774604483178869,45480
1774604483221651,45520
1774604483264495,45420
1774604483307512,45510
1774604483350153,45520
1774604483393186,45410
1774604483436308,45480
1774604483479387,45410
1774604483522581,45430
1774604483565505,45460
1774604483612303,45490
1774604483655486,45480
1774604483698611,45480
1774604483741821,45500
1774604483785028,45500
1774604483828178,45450
1774604483870650,45470
1774604483913810,45470
1774604483957009,45570
1774604483999962,45470
1774604484043075,45470
1774604484086240,45540
1774604484132044,45440
1774604484175098,45490
1774604484218339,45430
1774604484261561,45500
1774604484304612,45440
1774604484347621,45390
1774604484390373,45470
1774604484433495,45400
1774604484476263,45410
