unix_timestamp,active_power (mW)
1769679598680447,35740
1769679598723118,44680
1769679598765973,45090
1769679598809123,45250
1769679598852029,47810
1769679598895290,44560
1769679598938371,44940
1769679598981490,45000
1769679599024539,44950
1769679599067701,44970
1769679599110305,45030
1769679599152778,44880
1769679599198996,44910
1769679599241310,44890
1769679599284297,45010
1769679599327459,44990
1769679599370522,44870
1769679599413688,45020
1769679599455945,44890
1769679599498682,44970
1769679599541804,44910
1769679599584812,44960
1769679599627900,45010
1769679599670950,44970
1769679599713955,44950
1769679599759095,45010
1769679599801914,44980
1769679599844332,44880
1769679599887388,45060
1769679599929914,45010
1769679599972870,44940
1769679600015867,44980
1769679600058255,44950
1769679600101083,44990
1769679600144270,44940
1769679600187278,44880
1769679600229658,44910
1769679600272887,44820
1769679600319081,44860
1769679600361460,44810
1769679600404474,44860
1769679600447446,44960
1769679600489702,44910
1769679600532840,44870
1769679600575785,44840
1769679600619014,44840
1769679600661992,44770
1769679600705150,44850
1769679600747983,44820
1769679600791185,44970
1769679600833768,44890
1769679600879278,45040
1769679600922388,44970
1769679600965263,45000
1769679601008347,45030
1769679601051000,45020
1769679601094091,45060
1769679601137127,45020
1769679601180212,45090
1769679601223149,44950
1769679601266201,44940
1769679601309313,44920
1769679601352391,44940
1769679601395353,44890
1769679601439301,44930
1769679601481726,44870
1769679601524921,44900
1769679601567777,44890
1769679601610719,44940
1769679601653533,44900
1769679601696612,44900
1769679601739774,44840
1769679601782869,44930
1769679601825812,44980
1769679601869066,44960
1769679601912129,45010
1769679601954669,44960
1769679601999477,45010
1769679602041850,44970
1769679602084956,45000
1769679602127945,44990
1769679602170572,45040
1769679602213690,44960
1769679602256851,44900
1769679602299777,44920
1769679602342869,44960
1769679602385855,44880
1769679602428998,44990
1769679602471816,45010
1769679602514753,44940
1769679602559457,44880
1769679602601920,44890
1769679602644995,44820
1769679602687930,44860
1769679602730827,44810
1769679602774034,44750
1769679602816932,44830
1769679602859938,44800
1769679602902877,44810
1769679602945843,44820
1769679602989004,44740
1769679603032030,44760
1769679603075049,44760
1769679603119539,44740
1769679603162070,44910
1769679603204369,44900
1769679603247017,44900
1769679603289516,44950
1769679603332432,45030
1769679603375537,45000
1769679603418711,44980
1769679603461647,45010
1769679603504585,44990
1769679603547492,45030
1769679603590467,45020
1769679603633510,44950
1769679603679777,44920
1769679603722758,45020
1769679603765880,44970
1769679603808977,44990
1769679603852123,45010
1769679603894993,44960
1769679603937930,44930
1769679603981066,44940
1769679604023968,44990
1769679604066716,44920
1769679604109378,44960
1769679604152289,44980
1769679604195369,44960
1769679604239745,44900
1769679604282601,44960
1769679604325770,44960
1769679604369019,45030
1769679604412156,44980
1769679604455136,45150
1769679604497874,44970
1769679604540935,44970
1769679604583937,45030
