unix_timestamp,active_power (mW)
1769680836128309,34410
1769680836171160,21370
1769680836213774,38690
1769680836259190,47500
1769680836302336,47570
1769680836344999,47490
1769680836387983,47520
1769680836430269,47470
1769680836472492,47330
1769680836515029,47400
1769680836558238,47370
1769680836601398,47340
1769680836644220,47350
1769680836686756,47320
1769680836729713,47390
1769680836772552,47440
1769680836819158,47530
1769680836862260,47500
1769680836905467,47570
1769680836948265,47530
1769680836990750,47540
1769680837034032,47530
1769680837077175,47600
1769680837120119,47560
1769680837163385,47770
1769680837206623,47580
1769680837249133,47690
1769680837291867,47640
1769680837334498,47670
1769680837379115,47640
1769680837422072,47610
1769680837465150,47630
1769680837508038,47660
1769680837550781,47660
1769680837593801,47600
1769680837636975,48280
1769680837680205,48070
1769680837723274,47680
1769680837765699,47620
1769680837808948,47650
1769680837851945,47570
1769680837894681,47570
1769680837938988,47570
1769680837981845,47440
1769680838025076,47500
1769680838068126,47510
1769680838111207,47530
1769680838154319,47520
1769680838197526,47540
1769680838240625,47470
1769680838283308,47510
1769680838326335,47520
1769680838369498,47460
1769680838412576,47560
1769680838459084,47540
1769680838501798,47570
1769680838544348,47570
1769680838587147,47540
1769680838630177,47610
1769680838673414,47590
1769680838716532,47570
1769680838759035,47540
1769680838801776,47660
1769680838844787,47680
1769680838887890,47650
1769680838930485,47700
1769680838973013,47660
1769680839019190,47640
1769680839061611,47620
1769680839104430,47640
1769680839147449,47800
1769680839190372,47640
1769680839233445,47590
1769680839276484,47610
1769680839319739,47650
1769680839362171,47640
1769680839405145,47590
1769680839447546,47530
1769680839489815,47550
1769680839532998,47520
1769680839579040,47480
1769680839622206,47520
1769680839664875,47420
1769680839707587,47480
1769680839750713,47390
1769680839793830,47440
1769680839836944,47420
1769680839880019,47390
1769680839922445,47450
1769680839965494,47490
1769680840008675,47400
1769680840051563,47380
1769680840094688,47330
1769680840139115,47410
1769680840181828,47380
1769680840224841,47440
1769680840267940,47490
1769680840311143,47540
1769680840354077,47490
1769680840396974,47520
1769680840440050,47590
1769680840483019,47630
1769680840526086,47640
1769680840569199,47650
1769680840612318,47650
1769680840659159,47670
1769680840701924,47550
1769680840745013,47610
1769680840787200,47570
1769680840830218,47590
1769680840873050,47560
1769680840916064,47540
1769680840959110,47570
1769680841001981,47530
1769680841045137,47520
1769680841088183,47520
1769680841131189,47520
1769680841174352,47480
1769680841219143,47390
1769680841261794,47410
1769680841304729,47460
1769680841347290,47380
1769680841390371,47400
1769680841433531,47490
1769680841476555,47320
1769680841519710,47360
1769680841562937,47500
1769680841605868,47500
1769680841648762,47520
1769680841691961,47470
1769680841734496,47520
1769680841779204,47510
1769680841822311,47570
1769680841865371,47650
1769680841908476,47520
1769680841951705,47580
1769680841994191,47550
1769680842037377,47610
1769680842080370,47620
1769680842123327,47620
1769680842166329,47660
1769680842209638,47650
1769680842252928,48240
1769680842299288,47720
1769680842342752,47680
1769680842386090,47630
1769680842429195,47660
1769680842471631,47670
1769680842514751,47580
1769680842557796,47610
1769680842600969,47570
1769680842644066,47660
1769680842686688,47620
1769680842729956,47620
1769680842773091,47600
1769680842819136,47630
1769680842862286,47510
1769680842905586,47520
1769680842948649,47510
1769680842991261,47530
1769680843033795,47520
1769680843076993,47480
1769680843120018,47430
1769680843163059,47470
1769680843205826,47490
1769680843248950,47550
1769680843291581,47550
1769680843334498,47540
1769680843379266,47530
1769680843422401,47590
1769680843465479,47560
1769680843508602,47600
1769680843551707,47620
1769680843594387,47610
1769680843637354,47580
1769680843680336,47660
1769680843723451,47610
1769680843765833,47520
1769680843808945,47680
1769680843852063,47670
1769680843894667,47680
1769680843939429,47640
1769680843982525,47580
1769680844025742,47650
1769680844068963,47640
1769680844111837,47670
1769680844154973,47640
1769680844197816,47580
1769680844241035,47580
1769680844283884,47570
1769680844327039,47600
1769680844370083,47520
1769680844413035,47490
1769680844459383,47590
1769680844501728,47470
1769680844544890,47570
1769680844588107,47420
1769680844630861,47490
1769680844673826,47470
1769680844717001,47440
1769680844759849,47370
1769680844803050,47400
1769680844845811,47400
1769680844888737,47470
1769680844931386,47510
1769680844974603,47500
1769680845019253,47400
1769680845061703,47430
1769680845104680,47440
1769680845147802,47620
1769680845190709,47540
1769680845233900,47430
1769680845276845,47480
1769680845320001,47500
1769680845362816,47610
1769680845405774,47600
1769680845448235,47600
1769680845490787,47540
1769680845534008,47560
1769680845579441,47590
1769680845622499,47630
1769680845665577,47660
1769680845708069,47610
1769680845750490,47750
1769680845793662,47620
1769680845836789,47540
1769680845879440,47570
1769680845922578,47610
1769680845965664,47480
1769680846007933,47550
1769680846050686,47480
1769680846093655,47510
1769680846139423,47450
1769680846182437,47470
1769680846225408,47390
1769680846268494,47400
1769680846311082,47510
1769680846353993,47460
1769680846397166,47340
1769680846440435,47380
1769680846483622,47360
1769680846526711,47400
1769680846569668,47420
1769680846612778,47650
1769680846659421,47400
1769680846701923,47440
1769680846744215,47450
