unix_timestamp,active_power (mW)
1769684824995541,16770
1769684825037886,19010
1769684825080755,32630
1769684825123587,36570
1769684825166632,48900
1769684825209164,50210
1769684825252198,50270
1769684825295304,50180
1769684825337731,50170
1769684825380722,50170
1769684825423952,50090
1769684825470648,50100
1769684825513821,50040
1769684825557005,50040
1769684825600281,50030
1769684825643342,50030
1769684825685811,50000
1769684825728808,49930
1769684825771564,49970
1769684825813944,49940
1769684825856983,49990
1769684825900089,49920
1769684825943099,50020
1769684825986156,49830
1769684826030683,50010
1769684826073856,49990
1769684826117059,50040
1769684826160085,50060
1769684826203020,50110
1769684826245888,50040
1769684826289070,50090
1769684826331285,50100
1769684826373810,50060
1769684826416990,50110
1769684826460231,50120
1769684826503300,50130
1769684826546356,50140
1769684826590779,50130
1769684826633421,50080
1769684826676358,50080
1769684826719359,50080
1769684826761688,50130
1769684826804638,50060
1769684826847869,50130
1769684826891017,50040
1769684826934145,50110
1769684826977155,50120
1769684827020001,50170
1769684827063081,50120
1769684827106046,50070
1769684827150738,50030
1769684827192992,50180
1769684827236117,50050
1769684827279169,50170
1769684827322287,50090
1769684827365379,50050
1769684827407989,50070
1769684827450592,50160
1769684827493672,50110
1769684827536842,50120
1769684827579784,49990
1769684827622837,49970
1769684827665841,49950
1769684827710623,50620
1769684827753720,50090
1769684827796868,50190
1769684827840199,50170
1769684827883307,50100
1769684827926169,49970
1769684827969122,50270
1769684828012333,50190
1769684828055015,50200
1769684828098169,50240
1769684828141339,50260
1769684828184431,50220
1769684828230636,50200
1769684828273786,50210
1769684828316931,50180
1769684828359897,50170
1769684828402651,50140
1769684828445488,50200
1769684828488494,50210
1769684828531351,50100
1769684828573827,50120
1769684828616949,50170
1769684828659528,50140
1769684828702581,50160
1769684828745574,50220
1769684828790585,50190
1769684828833759,50150
1769684828876944,50160
1769684828920155,50110
1769684828963246,50080
1769684829006285,50110
1769684829049034,50070
1769684829092158,50100
1769684829135165,50130
1769684829177909,50080
1769684829221103,50260
1769684829263642,50150
1769684829306471,50210
1769684829350417,50140
1769684829393640,50210
1769684829436452,50180
1769684829479310,50230
1769684829521874,50190
1769684829564895,50070
1769684829607962,50210
1769684829650555,50150
1769684829693520,50210
1769684829736519,50150
1769684829779497,50140
1769684829822124,50200
1769684829865174,50120
1769684829910669,49990
1769684829953054,49960
1769684829996284,50200
1769684830039376,50420
1769684830082372,50180
1769684830125406,50150
1769684830168353,50120
1769684830210746,50030
1769684830253659,50080
1769684830296405,50170
1769684830339020,50090
1769684830381916,50110
1769684830424763,50070
1769684830470663,50100
1769684830513782,50100
1769684830556969,50160
1769684830599936,50040
1769684830642727,50100
1769684830685856,49990
1769684830728964,50080
1769684830771902,50070
1769684830815058,49980
1769684830858240,50010
1769684830901073,50070
1769684830943533,50000
1769684830985783,50020
1769684831030539,50040
1769684831073630,50000
1769684831116638,50030
1769684831159689,50040
1769684831202662,50180
1769684831245952,49980
1769684831289105,50070
1769684831331675,50160
1769684831374467,50080
1769684831417479,50210
1769684831460538,50070
1769684831503558,50190
1769684831546661,50250
1769684831590681,50210
1769684831633974,50150
1769684831677020,50190
1769684831719360,50150
1769684831761960,50200
1769684831805017,50230
1769684831848065,50140
1769684831890984,50140
1769684831934216,50180
1769684831977359,50170
1769684832020346,50090
1769684832063487,50060
1769684832106682,50170
1769684832150620,50120
1769684832193685,50190
1769684832236702,50090
1769684832279370,50080
1769684832322307,50070
1769684832365407,49990
1769684832408422,50020
1769684832451219,49970
1769684832494403,49990
1769684832537375,49950
1769684832580596,50000
1769684832623669,50030
1769684832670631,50050
1769684832713859,50120
1769684832756996,50060
1769684832799877,50200
1769684832842952,50110
1769684832886038,50140
1769684832928848,50190
1769684832971643,50170
1769684833014745,50160
1769684833057814,50210
1769684833101078,50070
1769684833144218,50210
1769684833186938,50200
1769684833230723,50220
1769684833273510,50140
1769684833316492,50190
1769684833359153,50200
1769684833401859,50140
1769684833444148,50140
1769684833487057,50160
1769684833530171,50080
1769684833573146,50130
1769684833616203,50140
1769684833659245,50160
1769684833702307,50060
1769684833745344,50100
1769684833790625,50100
1769684833833763,50020
1769684833876482,50000
1769684833919550,49980
1769684833961909,49990
1769684834004896,50000
1769684834047937,50060
1769684834090746,49920
1769684834133774,50050
1769684834176996,49970
1769684834220188,50020
1769684834263165,50050
1769684834305890,50190
1769684834350712,50130
1769684834393401,50060
1769684834436454,50190
1769684834479098,50190
1769684834522157,50160
1769684834564884,50190
1769684834607973,50200
1769684834650635,50230
1769684834693588,50150
1769684834736517,50160
1769684834779676,50110
1769684834822547,50140
1769684834865586,50180
1769684834910821,50140
1769684834953903,50100
1769684834996823,50170
1769684835039944,50080
1769684835082927,50120
1769684835125949,50110
1769684835168511,50110
1769684835211509,50220
1769684835254537,50120
1769684835297461,50110
1769684835340373,50070
1769684835383404,50080
1769684835425932,50120
1769684835470707,50060
1769684835513828,50050
1769684835556910,50130
1769684835599961,50170
1769684835643121,50030
1769684835685892,50060
1769684835729087,50000
1769684835771747,50070
1769684835814171,50140
1769684835857241,50110
1769684835900414,50110
1769684835943422,50120
1769684835986432,50080
1769684836030844,50080
1769684836073986,50140
1769684836117114,50650
1769684836160200,50190
1769684836202454,50120
1769684836245351,50130
1769684836288383,50200
1769684836331199,50160
1769684836374416,50160
1769684836417828,50120
1769684836460717,50170
1769684836503643,50220
1769684836546519,50170
1769684836590969,50130
1769684836633972,50140
1769684836676908,50220
1769684836719921,50120
1769684836762891,50120
1769684836805990,50130
1769684836848803,50140
1769684836891828,50140
1769684836934688,50110
1769684836977927,50020
1769684837021060,50130
1769684837064111,50090
1769684837110782,50090
1769684837154018,50060
1769684837197201,50260
1769684837240398,50090
1769684837283329,50050
1769684837326404,49990
1769684837369070,50050
1769684837412825,50070
1769684837455616,50040
1769684837497977,50080
1769684837541066,50180
1769684837584152,50020
1769684837630856,50080
1769684837673842,50030
1769684837716550,50070
1769684837759490,50120
1769684837802236,50160
1769684837845415,50160
1769684837888475,50130
1769684837931547,50450
1769684837974760,50150
1769684838017605,50160
1769684838060764,50120
1769684838103719,50090
1769684838150950,50010
