unix_timestamp,active_power (mW)
1769685627565431,22970
1769685627608440,22470
1769685627651590,34420
1769685627694554,44590
1769685627737597,49210
1769685627780602,49060
1769685627823508,49010
1769685627866551,48980
1769685627909471,48930
1769685627952612,49360
1769685627997862,48910
1769685628041001,48950
1769685628083975,48820
1769685628126155,48690
1769685628169044,49050
1769685628211990,48950
1769685628255168,48930
1769685628298732,49020
1769685628342841,49050
1769685628385351,49070
1769685628428524,49030
1769685628471458,49090
1769685628513967,49060
1769685628557941,49120
1769685628601098,49120
1769685628644087,49070
1769685628687201,49030
1769685628729513,49180
1769685628772550,49050
1769685628815313,49080
1769685628858245,49050
1769685628901477,49090
1769685628944469,49110
1769685628987575,49090
1769685629030811,49060
1769685629073125,49070
1769685629118075,49120
1769685629161270,49050
1769685629204286,49200
1769685629247218,49090
1769685629290191,49100
1769685629333409,49040
1769685629376512,49080
1769685629419124,49190
1769685629462382,49100
1769685629505589,49070
1769685629548771,49100
1769685629591386,49130
1769685629633848,49150
1769685629678125,49140
1769685629720581,49110
1769685629763449,49070
1769685629805842,49140
1769685629848864,49130
1769685629892004,49150
1769685629934792,49120
1769685629977974,49110
1769685630020877,49030
1769685630063243,49100
1769685630106206,48980
1769685630149216,49060
1769685630192397,49050
1769685630238290,49070
1769685630281415,49000
1769685630324582,49100
1769685630367481,49080
1769685630410352,49090
1769685630453510,49060
1769685630496451,49100
1769685630539342,49030
1769685630581767,49000
1769685630624777,49050
1769685630667894,49050
1769685630711088,48970
1769685630753811,49060
1769685630798318,49070
1769685630841474,49080
1769685630884627,49090
1769685630927602,48960
1769685630970840,49000
1769685631014019,49020
1769685631056730,49020
1769685631099424,49060
1769685631142651,49080
1769685631185504,49070
1769685631228365,49190
1769685631270816,49070
1769685631313994,49000
1769685631358422,49010
1769685631401556,49030
1769685631444493,49030
1769685631487401,49080
1769685631530430,49040
1769685631573374,48970
1769685631616242,49050
1769685631659460,49020
1769685631702411,49090
1769685631745461,49010
1769685631788431,48950
1769685631831381,48990
1769685631874223,49040
1769685631918598,48930
1769685631961594,49040
1769685632004687,49010
1769685632047596,49090
1769685632090226,49060
1769685632133461,49040
1769685632176417,49010
1769685632219528,48990
1769685632262577,49020
1769685632305691,49100
1769685632348620,49090
1769685632391471,49050
1769685632433912,49080
1769685632478671,49010
1769685632521752,49110
1769685632564956,49010
1769685632607973,49120
1769685632651128,49090
1769685632693633,49080
1769685632736523,49000
1769685632779439,49040
1769685632821890,48940
1769685632865152,49040
1769685632907967,49090
1769685632950648,49040
1769685632993593,49050
1769685633038797,49070
1769685633081894,49030
1769685633124904,49100
1769685633167868,49120
1769685633210878,49000
1769685633253859,49140
1769685633297003,49040
1769685633340097,49070
1769685633383172,49070
1769685633425904,49090
1769685633469145,49100
1769685633511780,49060
1769685633558912,49020
1769685633601767,49030
1769685633644523,49020
1769685633687488,49040
1769685633729936,49040
1769685633773030,49050
1769685633816057,49120
1769685633859225,49040
1769685633902098,49130
1769685633945137,49050
1769685633988257,49070
1769685634031243,49020
1769685634073643,49080
