unix_timestamp,active_power (mW)
1770034438356049,43730
1770034438398699,43750
1770034438441270,43770
1770034438484314,43820
1770034438526611,43780
1770034438569658,43830
1770034438612759,43830
1770034438655538,43820
1770034438697963,43900
1770034438740976,43860
1770034438784014,43870
1770034438826876,43850
1770034438869049,43870
1770034438914610,43890
1770034438957049,43930
1770034438999967,43900
1770034439043055,43920
1770034439085919,43900
1770034439128865,43940
1770034439172086,44030
1770034439215257,43870
1770034439258246,43850
1770034439301116,43890
1770034439344265,43900
1770034439387290,43880
1770034439429958,43850
1770034439474615,43860
1770034439517289,43930
1770034439560192,43910
1770034439603309,43840
1770034439646072,43860
1770034439689110,43850
1770034439732378,43780
1770034439775322,43830
1770034439818100,43810
1770034439861422,43860
1770034439904141,43830
1770034439947036,43790
1770034439989487,43800
1770034440034581,43710
1770034440077657,43730
1770034440120171,43780
1770034440162672,43820
1770034440205249,43900
1770034440248330,43820
1770034440290991,43830
1770034440333632,43780
1770034440376695,43800
1770034440419571,43790
1770034440462573,43850
1770034440505302,43830
1770034440548160,43830
1770034440594702,43810
1770034440637068,43890
1770034440680210,43800
1770034440723175,43860
1770034440765704,43910
1770034440808821,43900
1770034440851391,43960
1770034440893988,43910
1770034440937158,43940
1770034440980168,43890
1770034441023234,43910
1770034441066256,43850
1770034441109032,43890
1770034441154809,43870
1770034441197254,44070
1770034441240317,43820
1770034441283378,43850
1770034441326546,43960
1770034441368977,43950
1770034441411812,43880
1770034441454952,43900
1770034441497136,43890
1770034441540358,43930
1770034441583365,43820
1770034441626033,43830
1770034441668597,43860
1770034441714628,43810
1770034441757738,43740
1770034441800713,43750
1770034441843842,43800
1770034441887060,43800
1770034441930221,43710
1770034441973061,43750
1770034442015335,43700
1770034442058580,43750
1770034442101264,43700
1770034442144165,43640
1770034442187424,43690
1770034442230175,43740
1770034442274583,43730
1770034442317764,43750
1770034442360982,43760
1770034442403961,43860
1770034442447026,43850
1770034442489973,43860
1770034442532505,43940
1770034442575069,43920
1770034442617666,43860
1770034442660133,43930
1770034442702734,43990
1770034442745391,43900
1770034442788349,43990
1770034442834917,43870
1770034442878012,43910
1770034442921220,43890
1770034442964377,43930
1770034443007715,43830
1770034443050563,43790
1770034443093118,43840
1770034443136168,43860
1770034443179083,43830
1770034443222166,43910
1770034443265170,44000
1770034443308315,43830
1770034443354777,43870
1770034443397324,43880
1770034443440544,43900
1770034443483636,43870
1770034443526580,43900
1770034443569384,43870
1770034443612663,43920
1770034443655593,43840
1770034443698068,43860
1770034443741219,43890
1770034443784236,43830
1770034443827067,43920
1770034443869837,43910
1770034443914997,43840
1770034443958124,43860
1770034444001367,43860
1770034444044504,43920
1770034444087413,43950
1770034444129934,43830
1770034444173206,43950
1770034444216385,43910
1770034444258889,43900
1770034444301332,44110
1770034444344290,43850
1770034444387050,43860
1770034444429856,44050
1770034444474921,43920
1770034444517666,43890
1770034444560621,43880
1770034444603842,43860
1770034444646950,43880
1770034444689338,43880
1770034444732119,43880
1770034444775172,43890
1770034444817757,44000
1770034444860617,43970
1770034444903514,43930
1770034444946170,43890
1770034444989239,43950
1770034445035013,44000
1770034445077425,43950
1770034445120552,43940
1770034445163447,43900
1770034445205961,43930
1770034445249115,43880
1770034445292160,43940
1770034445335194,44030
1770034445378151,43900
1770034445421136,43860
1770034445464304,43860
1770034445507168,43920
1770034445550442,43960
1770034445595090,43840
1770034445637532,43820
1770034445680334,43850
1770034445723163,43900
1770034445765960,43920
1770034445809021,43860
1770034445852142,43880
1770034445895130,43890
1770034445937885,43930
1770034445981083,43910
1770034446024138,43890
1770034446067284,43830
1770034446110268,43840
1770034446155031,43820
1770034446197331,43810
1770034446240383,43800
1770034446283345,43890
1770034446326035,44050
1770034446369184,43830
1770034446412267,43850
1770034446455377,43860
1770034446498076,43860
1770034446541154,43880
1770034446584272,43870
1770034446627285,43980
1770034446670099,43830
1770034446715148,43890
1770034446757896,43950
1770034446800862,43930
1770034446843407,43900
1770034446885826,43920
1770034446928980,43910
1770034446971978,43930
1770034447015184,43930
1770034447058307,43880
1770034447101493,43920
1770034447144525,43810
1770034447187768,43850
1770034447230139,43920
1770034447275187,43900
1770034447318094,43830
1770034447361075,43970
1770034447404175,43910
1770034447447071,43970
1770034447489782,43870
1770034447532723,43940
1770034447575650,43920
1770034447618384,43870
1770034447660906,43880
1770034447703896,43890
1770034447746971,43890
1770034447789601,43870
1770034447835385,43880
1770034447878474,43910
1770034447921381,43870
1770034447964425,43840
1770034448007293,43930
1770034448050233,43890
1770034448093127,43890
1770034448136200,43900
1770034448178776,43890
1770034448221682,43780
1770034448264257,43910
1770034448307326,43890
1770034448350348,43850
1770034448395492,43850
1770034448438073,43970
1770034448480768,43860
1770034448523201,43950
1770034448565578,43950
1770034448608188,43950
1770034448650636,43930
1770034448693184,43910
1770034448735562,43900
1770034448778553,43950
1770034448821347,43950
1770034448864253,43920
1770034448907114,43860
1770034448950674,43900
1770034448995248,43840
1770034449038108,43790
1770034449080467,43740
1770034449123454,43720
1770034449166165,43740
1770034449208921,43680
1770034449251638,43710
1770034449294783,43700
1770034449337962,43750
1770034449380907,43730
1770034449423643,43850
1770034449466594,43690
1770034449509567,43750
1770034449555206,43680
1770034449597901,43730
1770034449640830,43770
1770034449683729,43780
1770034449726228,43770
1770034449769128,43720
1770034449812399,43740
1770034449854826,43770
1770034449897024,43790
1770034449939417,43750
1770034449982455,43800
1770034450025565,43770
1770034450068615,43760
1770034450115287,43860
1770034450158065,43890
1770034450201341,43850
1770034450244534,43890
1770034450287398,43880
1770034450330170,43880
1770034450373193,43900
1770034450416363,43830
1770034450459254,44060
1770034450502104,43870
1770034450545216,43840
