unix_timestamp,active_power (mW)
1770034615896489,45870
1770034615939357,41650
1770034615982115,45910
1770034616025024,45970
1770034616067499,45910
1770034616110403,45850
1770034616153239,45910
1770034616196186,45810
1770034616239293,45780
1770034616282474,45820
1770034616325556,45940
1770034616371336,45860
1770034616414407,45850
1770034616457270,45900
1770034616500230,45920
1770034616543131,45970
1770034616585796,45980
1770034616628851,45820
1770034616671965,45890
1770034616714494,45900
1770034616757291,45860
1770034616800505,45850
1770034616843421,45790
1770034616885996,45870
1770034616931420,45860
1770034616974177,45840
1770034617017226,45830
1770034617059749,45920
1770034617102066,45890
1770034617144983,45940
1770034617187951,45970
1770034617230959,45910
1770034617273963,45920
1770034617317040,45890
1770034617360168,45950
1770034617403242,45870
1770034617446380,45830
1770034617491547,45830
1770034617534338,45850
1770034617577168,45860
1770034617620245,45870
1770034617663382,45880
1770034617706042,45850
1770034617748996,45810
1770034617792162,45940
1770034617835261,45930
1770034617878076,45940
1770034617921220,45900
1770034617964196,45910
1770034618007048,45960
1770034618051794,45820
1770034618094691,45830
1770034618137816,45920
1770034618180831,45880
1770034618223854,45890
1770034618266974,45890
1770034618309668,46020
1770034618352132,45880
1770034618394877,46080
1770034618437905,45980
1770034618480988,45990
1770034618524186,46010
1770034618566798,45930
1770034618611899,45890
1770034618654727,45960
1770034618697182,45990
1770034618740372,46020
1770034618783248,45990
1770034618826386,45980
1770034618869388,45950
1770034618912459,45920
1770034618955273,45950
1770034618997933,45970
1770034619041026,45940
1770034619083990,45970
1770034619126832,46040
1770034619172052,45940
1770034619215140,45970
1770034619257794,45980
1770034619300861,45990
1770034619343907,46000
1770034619386989,46180
1770034619429898,45940
1770034619472625,46110
1770034619515224,46060
1770034619557807,46040
1770034619600576,46130
1770034619643407,46080
1770034619686007,45970
1770034619732214,46080
1770034619775218,46020
1770034619818574,46080
1770034619861449,46020
1770034619904579,46080
1770034619947479,46060
1770034619990119,46040
1770034620033090,46030
1770034620076121,46090
1770034620118540,46080
1770034620161336,46080
1770034620204437,46020
1770034620247420,46070
1770034620292276,46030
1770034620335085,46080
1770034620377616,46050
1770034620420833,46260
1770034620464112,46140
1770034620506908,46020
1770034620549255,46080
1770034620592357,46040
1770034620634694,46010
1770034620677332,46000
1770034620719691,46020
1770034620762202,46040
1770034620805267,46070
1770034620852379,45990
1770034620895296,46060
1770034620937962,46020
1770034620981224,46020
1770034621023602,46020
1770034621066180,46110
1770034621109125,45980
1770034621152386,46000
1770034621195348,46050
1770034621238117,46080
1770034621281212,46110
1770034621324240,46050
1770034621367323,46070
1770034621412384,46200
1770034621454948,46130
1770034621498150,46090
1770034621540566,46090
1770034621583443,46080
1770034621626064,46110
1770034621668469,46100
1770034621710977,46100
1770034621753795,46120
1770034621796703,46020
1770034621839543,46100
1770034621881992,46040
1770034621924518,46060
1770034621967522,46080
1770034622012879,46090
1770034622055819,46010
1770034622098857,46040
1770034622141846,46070
1770034622184976,46020
1770034622228182,46010
1770034622271403,46130
1770034622314022,46000
1770034622357209,45990
1770034622400421,46050
1770034622443530,46050
1770034622486449,46160
1770034622532586,46000
1770034622575728,46120
1770034622618281,46070
1770034622661170,46060
1770034622704296,46070
1770034622747289,46060
1770034622790389,46110
1770034622833366,46090
1770034622876497,46070
1770034622919302,46060
1770034622962108,46020
1770034623005040,46160
1770034623047981,46040
1770034623092693,46040
1770034623135817,46060
1770034623178799,46130
1770034623221225,46080
1770034623264429,46060
1770034623307492,46030
1770034623350416,46020
1770034623393282,46080
1770034623436272,46000
1770034623479181,45970
1770034623522084,46170
1770034623565148,46040
1770034623608337,46080
1770034623652755,46100
1770034623695905,46050
1770034623738908,46030
1770034623781924,46110
1770034623824892,46070
1770034623867983,46070
1770034623910542,45970
1770034623953179,46040
1770034623996282,46010
1770034624039217,45980
1770034624081866,45970
1770034624124963,46110
1770034624168025,46060
1770034624212806,46010
1770034624255837,45990
1770034624298798,45840
1770034624341189,45990
1770034624384365,45890
1770034624427499,45940
1770034624470062,45800
1770034624513253,45930
1770034624556439,45810
1770034624599361,45840
1770034624641873,45820
1770034624685101,45790
1770034624728017,45870
1770034624772752,45810
1770034624815348,45850
1770034624857980,45760
1770034624900814,45880
1770034624943385,45780
1770034624985807,45920
1770034625028849,45830
1770034625071566,45920
1770034625114454,45920
1770034625157750,45970
1770034625200127,45950
1770034625242694,46000
1770034625285865,45970
1770034625332757,46010
1770034625376000,46050
1770034625418808,46040
1770034625461714,46100
1770034625504627,46130
1770034625547376,46210
1770034625589940,46110
1770034625632686,46040
1770034625675461,46020
1770034625718089,45950
1770034625761188,46000
1770034625804277,45970
1770034625847229,45920
1770034625892835,45890
1770034625935861,45860
1770034625978648,45940
1770034626021283,45770
1770034626064436,45860
1770034626106781,45770
1770034626149504,45760
1770034626192611,45780
1770034626235564,45820
1770034626278389,45850
1770034626321163,45890
1770034626364197,45950
1770034626407000,45900
1770034626453107,46000
1770034626496173,46020
1770034626539095,46150
1770034626581686,46070
1770034626624791,46100
1770034626667851,46080
1770034626710200,46130
1770034626753183,46070
1770034626796321,46030
1770034626839151,46140
1770034626881542,46100
1770034626924236,46050
1770034626967117,46050
1770034627013067,46070
1770034627056087,46160
1770034627099247,46090
1770034627142589,46090
1770034627185565,46070
1770034627228375,46110
1770034627271249,46090
1770034627314150,46090
1770034627357183,46070
1770034627400307,46120
1770034627443517,46110
1770034627486508,46110
1770034627532819,46090
1770034627575240,46120
1770034627617828,46140
1770034627660176,46140
1770034627702769,46080
1770034627745229,46100
1770034627787872,46130
1770034627830154,46050
1770034627872520,46090
1770034627915142,46040
1770034627957757,45990
1770034628000822,46060
1770034628043836,45990
1770034628087054,45950
1770034628132748,45900
1770034628175504,45970
1770034628218401,45880
1770034628260825,45900
1770034628303256,45920
1770034628345799,45820
1770034628388176,45800
1770034628430787,45810
1770034628473341,45770
1770034628516226,45810
1770034628559135,45850
1770034628602174,45840
1770034628644700,45980
1770034628687587,45860
1770034628732759,45840
1770034628775907,45880
1770034628818650,45820
1770034628861220,45830
1770034628904435,45840
1770034628947304,45730
1770034628990475,45800
1770034629033490,45840
1770034629076580,45860
1770034629119503,45810
1770034629162617,45820
1770034629205281,45850
1770034629248429,45770
1770034629292759,45850
1770034629335795,45780
1770034629378484,45870
1770034629421361,45800
1770034629464381,45790
1770034629507291,45860
1770034629549916,45860
1770034629593034,45810
1770034629636175,46010
1770034629679163,45860
1770034629721862,45880
1770034629764828,45890
1770034629807714,45960
1770034629852691,45970
1770034629895131,45950
1770034629937432,45910
1770034629980372,45970
1770034630023389,45960
1770034630066398,45940
1770034630109574,45920
1770034630152574,45910
1770034630195706,45970
1770034630238574,45980
1770034630281310,45920
1770034630324313,46000
1770034630367888,45960
1770034630412906,45930
1770034630456010,45950
1770034630499179,46010
1770034630541813,46050
1770034630584996,46010
1770034630628134,45990
1770034630670549,46170
1770034630713176,46060
1770034630756096,46030
1770034630798859,46170
1770034630841433,46130
1770034630884086,46110
1770034630927076,46090
1770034630972926,46090
1770034631016062,46100
1770034631058940,46070
1770034631102157,46100
1770034631145195,46000
1770034631188236,46050
1770034631231222,46080
1770034631273953,46090
1770034631317179,46020
1770034631360305,46080
1770034631403215,46080
1770034631445761,46070
1770034631489011,46040
1770034631533023,46090
1770034631576083,46100
1770034631618707,46090
1770034631661455,46290
1770034631704460,45990
1770034631747087,46140
1770034631789812,46160
1770034631832791,46110
1770034631875781,46070
1770034631919021,46110
1770034631962187,46110
1770034632005338,46130
1770034632048390,46100
1770034632092972,46130
1770034632135807,46040
1770034632178195,46080
1770034632221459,46090
1770034632264474,46120
1770034632307448,46040
1770034632350014,46040
1770034632393002,46020
1770034632436178,46070
1770034632478991,46030
1770034632521815,46080
1770034632565012,46030
1770034632607417,45980
1770034632653032,45950
1770034632696115,46100
1770034632739114,45990
1770034632781745,46060
1770034632824960,46030
1770034632868142,45950
1770034632911078,46020
1770034632953899,45940
1770034632997124,45920
1770034633040093,45950
1770034633082940,46040
1770034633125431,46050
1770034633168475,45960
1770034633213039,46000
1770034633256048,45990
1770034633299007,46100
1770034633341434,46020
1770034633384471,45990
1770034633427440,45990
1770034633470174,46010
1770034633513246,46040
1770034633556392,46080
1770034633599372,46120
1770034633642030,46140
1770034633684548,46070
1770034633727330,46070
1770034633773043,46050
1770034633816276,46040
1770034633859037,46090
1770034633901593,46020
1770034633944573,46130
1770034633986972,46060
1770034634030146,46050
1770034634073254,46030
1770034634116280,46020
1770034634158751,46120
1770034634201554,46050
1770034634244499,46130
1770034634286960,46110
1770034634333148,46100
1770034634376179,46020
1770034634419116,46170
1770034634462209,46020
1770034634505232,46070
1770034634548425,46110
1770034634591594,46040
1770034634634467,46070
1770034634677297,46070
1770034634720463,46160
1770034634763440,46240
1770034634806200,46020
1770034634853053,46110
1770034634896213,46080
1770034634939187,46070
