unix_timestamp,active_power (mW)
1770036003321371,44980
1770036003363897,40300
1770036003406749,45900
1770036003449358,44850
1770036003491855,44940
1770036003534676,44960
1770036003580865,44980
1770036003623828,44980
1770036003666615,44980
1770036003709081,45030
1770036003752138,45020
1770036003795135,44950
1770036003837891,45120
1770036003880540,44980
1770036003923343,45000
1770036003966296,45010
1770036004009041,44970
1770036004052110,45010
1770036004094864,44880
1770036004141133,44950
1770036004184220,44920
1770036004227369,44970
1770036004270041,44920
1770036004313298,44980
1770036004356411,44950
1770036004399457,45010
1770036004441860,45000
1770036004485092,45060
1770036004527861,44930
1770036004570398,44970
1770036004612827,44980
1770036004655470,44900
1770036004701352,44930
1770036004744436,44980
1770036004787100,44990
1770036004830125,44950
1770036004873274,45040
1770036004916345,44980
1770036004959389,45060
1770036005001998,44990
1770036005045197,44980
1770036005088368,44930
1770036005130863,44920
1770036005173453,45030
1770036005216487,44910
1770036005261355,44990
1770036005304598,44910
1770036005347595,44940
1770036005390519,44850
1770036005433492,44850
1770036005476403,44950
1770036005519625,44940
1770036005562129,44990
1770036005605283,44930
1770036005647852,44950
1770036005690812,44960
1770036005733607,44900
1770036005776427,44930
1770036005821596,44970
1770036005864604,44910
1770036005907594,44930
1770036005950490,44900
1770036005993563,44890
1770036006036583,44830
1770036006079704,44950
1770036006122691,44920
1770036006165068,44910
1770036006207917,44930
1770036006250478,44880
1770036006293210,44860
1770036006336187,44980
1770036006381805,44840
1770036006424955,44940
1770036006467952,44980
1770036006510934,44990
1770036006553894,44930
1770036006596969,44980
1770036006639985,44940
1770036006683074,44980
1770036006726091,44910
1770036006769261,44920
1770036006812527,44870
1770036006855579,44880
1770036006897834,44870
1770036006941954,44990
1770036006984417,44970
1770036007026961,45000
1770036007069387,44980
1770036007112543,45000
1770036007155531,44970
1770036007198588,44970
1770036007241711,44930
1770036007284161,44900
1770036007326699,44950
1770036007369496,44880
1770036007412421,44910
1770036007455453,44940
1770036007502095,44910
1770036007545291,44920
1770036007588456,45000
1770036007631572,44990
1770036007674698,45060
1770036007717466,44920
1770036007760704,44920
1770036007803684,44950
1770036007846508,44920
1770036007889371,44960
1770036007932526,44870
1770036007975415,45040
1770036008018062,44920
1770036008062305,44970
1770036008105408,44920
1770036008147926,44950
1770036008190847,44990
1770036008233982,44860
1770036008276347,44930
1770036008318714,44910
1770036008361096,44880
1770036008404174,44840
1770036008447371,44870
1770036008490128,44880
1770036008533186,44920
1770036008576153,44980
1770036008622577,44930
1770036008666145,44890
1770036008709252,44890
1770036008752395,44800
1770036008795450,44830
1770036008838168,44910
1770036008881200,44920
1770036008924328,44890
1770036008967252,45030
1770036009010062,44850
1770036009053119,44920
1770036009096173,44970
1770036009142687,44940
1770036009185292,44890
1770036009228366,44880
1770036009271125,44860
1770036009313794,44860
1770036009356959,44800
1770036009400150,44890
1770036009443137,44900
1770036009485916,44960
1770036009529166,44860
1770036009572120,44890
1770036009614935,44990
1770036009657739,44940
1770036009702988,44830
1770036009745724,44840
1770036009788566,44920
1770036009831425,44880
1770036009873812,44920
1770036009916163,44900
1770036009958598,45000
1770036010001245,45070
1770036010044343,45030
1770036010087215,45000
1770036010130025,44930
1770036010172934,44920
1770036010215878,44940
1770036010258472,44860
1770036010303188,44960
1770036010345606,44940
1770036010388452,44880
1770036010431535,45020
1770036010474144,45020
1770036010517192,44970
1770036010559695,44960
1770036010602499,45000
1770036010645355,45010
1770036010688390,44910
1770036010731414,44940
1770036010774550,44940
1770036010817251,44940
1770036010863408,44960
1770036010906533,44890
1770036010949641,44990
1770036010992702,45110
1770036011035833,44950
1770036011078658,44990
1770036011121670,44970
1770036011164816,44860
1770036011207814,44960
1770036011250574,44940
1770036011293077,44880
1770036011336308,44900
1770036011379163,44950
1770036011423594,44910
1770036011466230,44890
1770036011509154,44950
1770036011552204,44930
1770036011595186,44870
1770036011638172,44860
1770036011681296,44860
1770036011724476,44890
1770036011767404,44890
1770036011810702,44880
1770036011853160,44840
1770036011896409,44830
1770036011939650,44820
1770036011983592,44770
1770036012026438,44850
1770036012069528,44800
1770036012112592,44860
1770036012155750,44820
1770036012198851,44820
1770036012241452,44840
1770036012284441,44840
1770036012326844,44810
1770036012369479,44850
1770036012411908,44850
1770036012454786,44800
1770036012497538,44790
1770036012543784,44740
1770036012586269,44690
1770036012629301,44770
1770036012672335,44750
1770036012715429,44800
1770036012758099,44800
1770036012801234,44770
1770036012844272,44810
1770036012887354,44820
1770036012930015,44800
1770036012973195,44820
1770036013016372,44780
1770036013059203,44820
1770036013103985,44730
1770036013146799,44800
1770036013190034,44840
1770036013233273,44870
1770036013276368,44870
1770036013319728,44960
1770036013362579,44860
1770036013405130,44790
1770036013448288,44870
1770036013491324,44870
1770036013533621,44830
1770036013576700,44850
1770036013619832,44760
1770036013664192,44870
1770036013706557,44880
1770036013749161,44890
1770036013791732,44910
1770036013834922,44930
1770036013877067,44830
1770036013920236,44910
1770036013962824,44720
1770036014005635,44860
1770036014048579,44800
1770036014091538,44970
1770036014134536,44780
1770036014177076,44860
1770036014220097,44850
1770036014264391,44820
1770036014307202,44820
1770036014349817,44830
1770036014392584,44850
1770036014435436,44870
1770036014478116,44850
1770036014521058,44870
1770036014563874,44850
1770036014606947,44940
1770036014649839,44820
1770036014692874,44830
1770036014735985,44840
1770036014778980,44930
1770036014824550,44820
1770036014867297,44750
1770036014910278,44770
1770036014953583,44820
1770036014996778,44730
1770036015039651,44790
1770036015082855,44790
1770036015125892,44920
1770036015168887,44870
1770036015211901,44880
1770036015254431,44840
1770036015297092,44850
1770036015340191,44780
1770036015384784,44770
1770036015427923,44680
1770036015470936,44840
1770036015513424,44860
1770036015556627,44790
1770036015599746,44820
1770036015642426,44850
1770036015685259,44760
1770036015728421,44770
1770036015771429,44770
1770036015814146,44790
1770036015857175,44790
1770036015900347,44740
1770036015945103,44880
1770036015988290,44860
1770036016031192,44940
1770036016073926,44900
1770036016116859,45070
1770036016159775,44930
1770036016202610,44930
1770036016245180,44880
1770036016288331,44920
1770036016331236,44850
1770036016373837,44870
1770036016416953,44960
1770036016459971,44940
1770036016505311,44850
1770036016548495,44960
1770036016591725,44890
1770036016634535,44850
1770036016677459,44820
1770036016720704,44850
1770036016763894,44830
1770036016806794,44780
1770036016850047,44860
1770036016892797,44730
1770036016935678,44790
1770036016978827,44860
1770036017025378,44900
1770036017068503,44790
1770036017111395,44850
1770036017154525,44900
1770036017197504,44790
1770036017240790,44770
1770036017283862,44740
1770036017326565,44810
1770036017369419,44800
1770036017412521,44890
1770036017455533,44860
1770036017498736,44900
1770036017545738,44910
1770036017588725,44740
1770036017631751,44770
1770036017674641,44740
1770036017717400,44790
1770036017760387,44750
1770036017803276,44840
1770036017846381,44810
1770036017889611,44840
1770036017932548,44870
1770036017975562,44770
1770036018017956,44850
1770036018061109,44790
1770036018106005,44800
1770036018148987,44800
1770036018192022,44860
1770036018234793,44810
1770036018277408,44820
1770036018320529,44810
1770036018363413,44850
1770036018406219,44800
1770036018449228,44810
1770036018492253,44820
1770036018535289,44780
1770036018578139,44800
1770036018621370,44810
