unix_timestamp,active_power (mW)
1770036664306004,44870
1770036664349264,37480
1770036664392231,44490
1770036664435143,45040
1770036664477961,44900
1770036664520634,44960
1770036664563463,44920
1770036664606572,44940
1770036664649111,44930
1770036664694200,44890
1770036664737202,44890
1770036664780144,44880
1770036664823189,44850
1770036664865930,44830
1770036664909019,44810
1770036664952017,44860
1770036664995087,44750
1770036665038157,44700
1770036665081257,44750
1770036665124497,44740
1770036665167016,44840
1770036665209547,44850
1770036665254383,44870
1770036665297080,44850
1770036665339653,45040
1770036665382468,44840
1770036665425030,44820
1770036665467830,44870
1770036665510399,44810
1770036665552885,44750
1770036665595394,44870
1770036665637954,44940
1770036665681030,44960
1770036665724061,44890
1770036665767011,44830
1770036665809869,44940
1770036665854531,44900
1770036665897177,44850
1770036665939988,44810
1770036665982788,44830
1770036666025159,44810
1770036666068232,44760
1770036666111184,44770
1770036666153843,44800
1770036666196955,44730
1770036666240083,44710
1770036666283032,44660
1770036666326402,44650
1770036666369467,44630
1770036666414462,44620
1770036666456945,44640
1770036666499772,44690
1770036666542534,44680
1770036666585559,44740
1770036666628407,44760
1770036666671391,44830
1770036666714082,44830
1770036666757063,44880
1770036666799947,44750
1770036666842867,44830
1770036666885721,44690
1770036666928836,44750
1770036666974681,44790
1770036667017829,44710
1770036667061059,44810
1770036667104040,44870
1770036667147210,44850
1770036667190134,44800
1770036667233248,44860
1770036667276281,44930
1770036667318917,44840
1770036667361242,44860
1770036667404142,45060
1770036667447007,44900
1770036667489531,44870
1770036667534976,44840
1770036667577433,44870
1770036667620477,44840
1770036667663412,44810
1770036667706392,44870
1770036667749571,44860
1770036667792747,44810
1770036667835235,44890
1770036667878205,44850
1770036667920917,44880
1770036667963873,44840
1770036668006478,44870
1770036668049557,44940
1770036668095124,44880
1770036668138129,44890
1770036668180957,44840
1770036668223767,44960
1770036668266412,44890
1770036668309009,44820
1770036668352161,44850
1770036668395074,44830
1770036668437928,44950
1770036668480882,44930
1770036668523176,44870
1770036668565731,44890
1770036668608225,44860
1770036668651139,44800
1770036668695124,44870
1770036668737565,44720
1770036668780421,44780
1770036668823261,44740
1770036668866467,44630
1770036668909282,44760
1770036668951753,44740
1770036668994249,44760
1770036669037483,44750
1770036669080487,44720
1770036669122885,44780
1770036669165330,44730
1770036669208026,44740
1770036669251128,44810
1770036669295189,44770
1770036669338002,44780
1770036669380844,44790
1770036669423170,44960
1770036669465554,44750
1770036669508636,44650
1770036669551622,44740
1770036669594565,44690
1770036669637042,44700
1770036669680228,44730
1770036669722834,44780
1770036669765564,44770
1770036669808436,44810
1770036669850716,44900
1770036669895410,44940
1770036669937805,44860
1770036669980824,44780
1770036670024414,44870
1770036670067485,44840
1770036670110026,44760
1770036670152932,44750
1770036670196019,44780
1770036670238686,44830
1770036670281713,44790
1770036670323929,44860
1770036670366779,44820
1770036670409958,44830
1770036670455467,44890
1770036670498204,44900
1770036670541146,44790
1770036670584080,44770
1770036670626756,44740
1770036670669431,44720
1770036670712258,44820
1770036670755094,44800
1770036670797917,44800
1770036670840841,44770
1770036670883748,44760
1770036670926840,44750
1770036670969202,44730
1770036671015586,44760
1770036671058173,44760
1770036671101284,44760
1770036671144477,44770
1770036671187444,44780
1770036671230128,44850
1770036671273165,44830
1770036671316240,44900
1770036671358888,44920
1770036671401770,44890
1770036671444339,44870
1770036671487108,44880
1770036671529776,44930
1770036671575972,44840
1770036671619059,44790
1770036671661465,44860
1770036671704455,44870
1770036671747345,44940
1770036671790463,44910
1770036671833298,44900
1770036671876497,44890
1770036671919397,44810
1770036671962139,44760
1770036672005155,44850
1770036672048224,44840
1770036672091205,44820
1770036672136004,44770
1770036672178727,44760
1770036672221210,44770
1770036672264295,44750
1770036672307329,44760
1770036672350138,44760
1770036672392625,44750
1770036672435553,44560
1770036672478286,44700
1770036672521317,44780
1770036672564102,44640
1770036672607134,44770
1770036672649953,44800
1770036672696077,44870
1770036672738967,44770
1770036672782120,44820
1770036672825064,44810
1770036672868184,44800
1770036672911036,44830
1770036672953397,44840
1770036672996543,44850
1770036673039502,44940
1770036673082567,44900
1770036673125292,44920
1770036673168335,44880
1770036673211403,44870
1770036673256362,44870
1770036673299483,44850
1770036673342183,44790
1770036673385153,44850
1770036673428373,44800
1770036673471362,44800
1770036673514157,44740
1770036673557324,44860
1770036673600477,44760
1770036673643465,44670
1770036673686624,44760
1770036673729599,44780
1770036673776441,44840
1770036673819268,44860
1770036673862079,44870
1770036673904676,44890
1770036673947253,44870
1770036673990021,44840
1770036674033021,44800
1770036674076129,44820
1770036674119158,44850
1770036674161948,44810
1770036674204742,44890
1770036674247277,44810
1770036674289730,44850
1770036674336676,44850
1770036674379327,44890
1770036674421898,44880
1770036674464368,44870
1770036674507418,44840
1770036674549691,44930
1770036674592711,44770
1770036674635777,44800
1770036674678608,44730
1770036674721576,44730
1770036674764547,44730
1770036674807418,44700
1770036674850151,44720
1770036674896686,44690
1770036674939772,44620
1770036674982238,44660
1770036675025224,44670
1770036675068641,44680
1770036675111768,44720
1770036675154464,44760
1770036675197525,44790
1770036675240679,44760
1770036675283486,44820
1770036675326301,44760
1770036675368743,44760
1770036675411386,44740
1770036675457027,44800
1770036675500094,44820
1770036675543209,44910
1770036675585812,45040
1770036675628992,44960
1770036675672057,44880
1770036675714740,44850
1770036675757394,44810
1770036675800612,44880
1770036675843806,44890
1770036675887044,44840
1770036675929271,44820
1770036675972436,44840
1770036676017088,44800
1770036676060301,44770
1770036676103343,44860
1770036676146554,44840
1770036676189636,44800
1770036676232825,44810
1770036676276025,44880
1770036676319278,44760
1770036676361822,44810
1770036676404886,44710
1770036676447761,44670
1770036676490699,44610
1770036676533157,44630
1770036676577152,44700
1770036676620398,44830
1770036676663597,44730
1770036676706521,44830
1770036676748926,44850
1770036676791946,44890
1770036676835134,44830
1770036676878020,44710
1770036676920942,44710
1770036676963261,44820
1770036677005972,44790
1770036677049253,44830
1770036677092454,44860
1770036677137431,44910
1770036677179948,44950
1770036677223080,44840
1770036677265743,44790
1770036677308926,44890
1770036677352366,44890
1770036677394585,44790
1770036677437462,44840
1770036677480418,44900
1770036677523637,44870
1770036677566267,44920
