unix_timestamp,active_power (mW)
1770038622305466,46000
1770038622348126,42960
1770038622390918,44250
1770038622433582,46140
1770038622478807,45890
1770038622521237,45920
1770038622564391,45850
1770038622607371,45910
1770038622649754,45840
1770038622693019,45850
1770038622736224,45830
1770038622779198,45900
1770038622821997,45820
1770038622865094,45780
1770038622908068,45820
1770038622950860,45820
1770038622993309,45770
1770038623038799,45790
1770038623081951,45820
1770038623125120,45690
1770038623168164,45840
1770038623211316,45770
1770038623254163,45910
1770038623297214,45700
1770038623340228,45820
1770038623382932,45820
1770038623425628,45850
1770038623468483,45870
1770038623511319,45870
1770038623554155,45920
1770038623598997,45880
1770038623641804,45890
1770038623684436,45880
1770038623727208,45920
1770038623769354,45900
1770038623812593,45950
1770038623855490,45950
1770038623898299,45900
1770038623941290,45950
1770038623984481,45990
1770038624027286,45900
1770038624070103,45990
1770038624113223,45940
1770038624159165,45900
1770038624202191,45900
1770038624245254,46020
1770038624288376,45830
1770038624331103,45880
1770038624373807,45940
1770038624416933,45930
1770038624459725,45910
1770038624502537,45860
1770038624545025,45940
1770038624587617,45790
1770038624630173,45820
1770038624672601,45920
1770038624719066,45910
1770038624761493,45810
1770038624804499,45780
1770038624847361,45810
1770038624890002,45810
1770038624932999,45810
1770038624975999,45850
1770038625018849,45800
1770038625061280,45790
1770038625104220,45760
1770038625147361,45740
1770038625190151,45770
1770038625233223,45740
1770038625279231,45910
1770038625322040,45920
1770038625364906,45860
1770038625407768,45860
1770038625450693,45800
1770038625493244,45850
1770038625536266,45810
1770038625579354,45850
1770038625622248,45740
1770038625665102,45840
1770038625707897,45800
1770038625750430,45830
1770038625793080,45910
1770038625839590,45880
1770038625882405,45900
1770038625925187,45960
1770038625968413,45930
1770038626011588,45920
1770038626053876,45900
1770038626096912,45880
1770038626139944,45880
1770038626182930,45900
1770038626225982,45910
1770038626268929,45960
1770038626312153,46040
1770038626355334,45990
1770038626399667,45970
1770038626442974,45940
1770038626485975,46010
1770038626529254,45940
1770038626572092,45990
1770038626615350,45960
1770038626658315,45940
1770038626701022,45860
1770038626744016,45890
1770038626786776,45930
1770038626829893,45900
1770038626872816,45850
1770038626919740,45860
1770038626962571,45810
1770038627005733,45760
1770038627048652,45800
1770038627091577,45910
1770038627134312,45760
1770038627176827,45770
1770038627220026,45660
1770038627262917,45710
1770038627306019,45700
1770038627349096,45800
1770038627392179,45720
1770038627435028,45700
1770038627479943,45820
1770038627522940,45860
1770038627565920,45910
1770038627609032,45920
1770038627652087,45870
1770038627694852,45880
1770038627737675,45840
1770038627780592,45880
1770038627823443,45820
1770038627866033,45850
1770038627909189,45980
1770038627952176,45920
1770038627995339,45940
1770038628040127,46060
1770038628082905,46050
1770038628125852,46010
1770038628168910,46030
1770038628211912,45950
1770038628255024,46030
1770038628297877,45970
1770038628341014,45970
1770038628384056,46080
1770038628427127,45810
1770038628469908,45950
1770038628512809,45920
1770038628555597,45860
1770038628600112,45900
1770038628642862,45870
1770038628686212,45820
1770038628729316,45750
1770038628772388,45820
1770038628815379,45740
1770038628858135,45690
1770038628901417,45740
1770038628944519,45740
1770038628987392,45810
1770038629030127,45760
1770038629073229,45810
1770038629115500,45820
1770038629160140,45860
1770038629203347,45890
1770038629246221,45910
1770038629289025,45880
1770038629332024,45870
1770038629374820,46020
1770038629417498,45890
1770038629460561,45770
1770038629503495,45820
1770038629546237,45800
1770038629589200,45830
1770038629632475,45820
1770038629675464,45870
1770038629720404,45880
1770038629763210,45900
1770038629806566,45880
1770038629849244,45900
1770038629891870,45970
1770038629934838,45940
1770038629977925,45980
1770038630021124,45970
1770038630064341,45880
1770038630107279,45960
1770038630150136,45940
1770038630192995,45920
1770038630235805,46000
1770038630280587,45930
1770038630323645,45970
1770038630366704,46050
1770038630409115,46080
1770038630452212,46030
1770038630494852,46040
1770038630537978,46050
1770038630580890,46000
1770038630623946,46000
1770038630666992,45960
1770038630709315,45960
1770038630752394,45960
1770038630795246,45950
1770038630840814,45870
1770038630883899,45940
1770038630927430,45900
1770038630970597,45910
1770038631013640,45950
1770038631056739,45940
1770038631099464,45880
1770038631141740,45860
1770038631184899,45900
1770038631227926,45990
1770038631271048,45920
1770038631314038,45920
1770038631360766,45880
1770038631403860,46000
1770038631447084,45900
1770038631489739,45810
1770038631532798,45790
1770038631575805,45710
1770038631618817,45740
1770038631661140,45840
1770038631703644,45780
1770038631746202,45920
1770038631789447,45870
1770038631832552,45890
1770038631875435,45860
1770038631921054,45960
1770038631964086,45880
1770038632007062,45860
1770038632050161,45830
1770038632093253,45810
1770038632136236,45770
1770038632179279,45800
1770038632222091,45830
1770038632264894,45900
1770038632308050,45870
1770038632350510,45930
1770038632393575,45870
1770038632436505,45940
1770038632481159,45920
1770038632523979,45910
1770038632567091,45920
1770038632610020,45880
1770038632653004,45900
1770038632696084,45890
1770038632738973,45890
1770038632781371,45930
1770038632824515,45970
1770038632867532,45950
1770038632910116,45990
1770038632953120,46070
1770038632996339,45970
1770038633041342,45940
1770038633084520,46030
1770038633127511,46050
1770038633170709,45980
1770038633214091,45960
1770038633257061,46070
1770038633300333,46020
1770038633343179,45900
1770038633386473,45990
1770038633429106,45990
1770038633472099,45880
1770038633514557,46060
1770038633557206,45930
1770038633601526,45930
1770038633644225,45910
1770038633687065,45790
1770038633729857,45860
1770038633772790,45830
1770038633815292,45850
1770038633858096,45810
1770038633901106,45930
1770038633943960,45830
1770038633986681,45870
1770038634029246,45890
1770038634072135,45820
1770038634114903,45830
1770038634161483,45900
1770038634204702,45940
1770038634247528,45880
1770038634290110,45900
1770038634333286,45790
1770038634376408,45830
1770038634419250,45800
1770038634461949,45890
1770038634504898,46030
1770038634548079,45900
1770038634591235,45980
1770038634634452,46040
1770038634677636,45990
1770038634721721,46010
1770038634764923,46020
1770038634807956,45970
1770038634850964,46000
1770038634894202,45980
1770038634937373,45990
1770038634980655,45990
1770038635023101,45910
1770038635065583,45920
1770038635108818,45870
1770038635151554,45880
1770038635194159,45770
1770038635237314,45810
1770038635281768,45790
1770038635324536,45720
1770038635367411,45780
1770038635410169,45770
1770038635452992,45670
1770038635495807,45650
1770038635538793,45830
1770038635581630,45760
1770038635624286,45750
1770038635667083,45830
1770038635709963,45880
1770038635752915,45900
1770038635796132,45900
1770038635841926,45910
1770038635885085,45890
1770038635928035,45860
1770038635971149,45840
1770038636013732,45880
1770038636056871,45920
1770038636100099,45860
1770038636143267,45930
1770038636186250,45930
1770038636228694,45940
1770038636271732,45990
1770038636314423,46070
1770038636357152,46030
1770038636402092,45980
1770038636445327,45960
1770038636488213,45930
1770038636530970,46020
1770038636573459,45840
1770038636616701,45940
1770038636659142,45860
1770038636701646,45900
1770038636744884,45820
1770038636787564,45700
1770038636830094,45690
1770038636872421,45780
1770038636914924,45740
1770038636957711,45690
1770038637002484,45710
1770038637044799,45730
1770038637087271,45800
1770038637129872,45780
1770038637172998,45890
1770038637215984,45960
1770038637258886,45930
1770038637301303,45830
1770038637343981,45870
1770038637386893,45840
1770038637429814,45810
1770038637472789,45800
1770038637515765,45840
1770038637562314,45920
1770038637605576,46000
1770038637648626,45930
1770038637691586,45950
1770038637734424,45920
1770038637777378,45900
1770038637820479,45890
1770038637863430,45870
1770038637906132,45960
1770038637949134,45940
1770038637992058,46000
1770038638035134,45990
1770038638078170,46040
1770038638122688,45970
1770038638165705,45990
1770038638208644,46040
1770038638251587,46010
1770038638294670,45980
1770038638337652,45960
1770038638380754,45920
1770038638423614,45970
1770038638466605,45920
1770038638509616,45940
1770038638552631,45900
1770038638595713,45960
1770038638642664,46040
1770038638685493,46040
1770038638728489,45990
1770038638771548,45980
1770038638814241,45920
1770038638857483,45940
1770038638900685,45930
1770038638943561,45900
1770038638986257,45840
1770038639029342,45920
1770038639072474,45930
1770038639115620,45880
1770038639158190,45960
1770038639202840,46010
1770038639245427,45990
1770038639288607,45990
1770038639331596,45900
1770038639374640,45980
1770038639417656,45920
1770038639460725,45970
1770038639503760,45970
1770038639546441,45860
1770038639589416,45870
1770038639632606,46090
1770038639675796,45880
1770038639718798,45870
1770038639763046,45890
1770038639805789,45840
1770038639848759,45870
1770038639891375,45870
1770038639934113,45940
1770038639976875,45950
1770038640019400,45840
1770038640062169,45970
1770038640105208,46000
1770038640147534,45890
1770038640190122,45800
