unix_timestamp,active_power (mW)
1770039931782292,45350
1770039931824875,40270
1770039931867746,46480
1770039931910711,45430
1770039931953420,45470
1770039931996544,45500
1770039932042895,45490
1770039932085287,45390
1770039932128385,45570
1770039932171394,45470
1770039932214465,45400
1770039932257285,45410
1770039932300334,45310
1770039932343423,45350
1770039932386028,45310
1770039932428953,45370
1770039932471946,45370
1770039932514942,45360
1770039932557744,45360
1770039932602496,45330
1770039932645698,45240
1770039932688870,45190
1770039932732089,45270
1770039932775234,45130
1770039932818309,45250
1770039932861149,45310
1770039932904080,45310
1770039932947010,45470
1770039932989743,45360
1770039933032140,45360
1770039933074812,45310
1770039933117650,45330
1770039933162357,45370
1770039933204739,45370
1770039933247167,45360
1770039933290083,45330
1770039933332717,45290
1770039933375878,45310
1770039933419057,45330
1770039933461585,45360
1770039933504731,45360
1770039933547712,45390
1770039933590537,45380
1770039933633985,45400
1770039933676944,45380
1770039933722328,45410
1770039933765189,45390
1770039933808021,45460
1770039933850800,45490
1770039933893704,45490
1770039933936032,45390
1770039933978884,45520
1770039934021528,45340
1770039934064294,45300
1770039934107123,45300
1770039934149925,45210
1770039934192724,45150
1770039934235612,45250
1770039934282105,45290
1770039934325262,45280
1770039934368482,45330
1770039934411451,45350
1770039934454115,45400
1770039934496971,45330
1770039934539427,45340
1770039934582364,45360
1770039934625550,45360
1770039934668758,45380
1770039934711908,45450
1770039934754850,45420
1770039934797753,45420
1770039934842282,45430
1770039934885214,45380
1770039934928484,45400
1770039934971446,45580
1770039935014132,45330
1770039935057368,45400
1770039935100574,45380
1770039935143299,45380
1770039935185921,45440
1770039935229003,45340
1770039935272052,45370
1770039935314926,45360
1770039935358079,45430
1770039935401900,45420
1770039935444713,45430
1770039935487326,45380
1770039935530348,45410
1770039935573140,45270
1770039935615991,45220
1770039935658996,45280
1770039935702394,45190
1770039935745356,45150
1770039935788370,45190
1770039935831345,45150
1770039935874162,45180
1770039935917082,45290
1770039935961907,45250
1770039936004977,45460
1770039936047775,45350
1770039936090326,45370
1770039936132795,45320
1770039936175398,45360
1770039936218090,45350
1770039936260790,45410
1770039936303130,45390
1770039936345625,45400
1770039936388243,45420
1770039936430782,45410
1770039936473194,45470
1770039936516025,45480
