unix_timestamp,active_power (mW)
1769525881744268,43420
1769525881786827,42720
1769525881829348,42490
1769525881872248,42450
1769525881915036,42360
1769525881958241,42410
1769525882000663,42400
1769525882043551,42390
1769525882086700,42440
1769525882129884,42370
1769525882176744,42340
1769525882219809,42360
1769525882262411,42420
1769525882305598,42510
1769525882348668,42490
1769525882391772,42470
1769525882434611,42410
1769525882477902,42520
1769525882520883,42520
1769525882563894,42540
1769525882606541,42480
1769525882649754,42510
1769525882692970,42510
1769525882736924,42530
1769525882780082,42490
1769525882822789,42460
1769525882865864,42500
1769525882908914,42520
1769525882952036,42420
1769525882994943,42450
1769525883038105,42440
1769525883081169,42430
1769525883124204,42440
1769525883167346,42400
1769525883210286,42390
1769525883256867,42420
1769525883299947,42590
1769525883343066,42300
1769525883386252,42440
1769525883429183,42410
1769525883472341,42380
1769525883515186,42380
1769525883557817,42350
1769525883600846,42290
1769525883643710,42400
1769525883686901,42340
1769525883729622,42400
1769525883776783,42390
1769525883819492,42400
1769525883862600,42460
1769525883906001,42450
1769525883949069,42420
1769525883992120,42360
1769525884035190,42370
1769525884078346,42450
1769525884121259,42440
1769525884164315,42410
1769525884207262,42380
1769525884249672,42370
1769525884296626,42370
1769525884339726,42600
1769525884382533,42370
1769525884425531,42430
1769525884468682,42240
1769525884511584,42370
1769525884554187,42330
1769525884597342,42390
1769525884640510,42400
1769525884683656,42340
1769525884726757,42340
1769525884769830,42280
1769525884816502,42400
1769525884859050,42420
1769525884901816,42330
1769525884944858,42430
1769525884987153,42450
1769525885029871,42500
1769525885072893,42420
1769525885115961,42390
1769525885159031,42410
1769525885202221,42420
1769525885245400,42410
1769525885288321,42510
1769525885330694,42510
1769525885376548,42480
1769525885419650,42360
1769525885462871,42390
1769525885505890,42430
1769525885548494,42390
1769525885591285,42250
1769525885633707,42270
1769525885676686,42350
1769525885719628,42290
1769525885762877,42340
1769525885805953,42370
1769525885848935,42250
1769525885892029,42380
1769525885936402,42380
1769525885979510,42330
1769525886022706,42380
1769525886065655,42400
1769525886108873,42460
1769525886152203,42450
1769525886194932,42440
1769525886237855,42450
1769525886280992,42410
1769525886323843,42440
1769525886366966,42300
1769525886409999,42530
1769525886456383,42370
1769525886499174,42340
1769525886542276,42350
1769525886585106,42290
1769525886627786,42410
1769525886670831,42370
1769525886713764,42390
1769525886756848,42340
1769525886799790,42380
1769525886842816,42350
1769525886885934,42440
1769525886928998,42420
1769525886971991,42460
1769525887016239,42410
1769525887059282,42380
1769525887102239,42430
1769525887145251,42310
1769525887188225,42370
1769525887231428,42320
1769525887273899,42310
1769525887317079,42330
1769525887359967,42350
1769525887403228,42380
1769525887445646,42450
1769525887488685,42400
1769525887531873,42450
1769525887576241,42390
1769525887619195,42440
1769525887661847,42420
1769525887704906,42450
1769525887747701,42360
1769525887790604,42360
1769525887833803,42380
1769525887877010,42360
1769525887919923,42340
1769525887962597,42350
1769525888005167,42290
1769525888048048,42350
1769525888091207,42400
1769525888135872,42390
1769525888179026,42450
1769525888222102,42440
1769525888265181,42430
1769525888308274,42400
1769525888350944,42340
1769525888394037,42350
1769525888437170,42430
1769525888480071,42370
1769525888522795,42310
1769525888566019,42370
1769525888609243,42340
1769525888655862,42400
1769525888698849,42360
1769525888741031,42380
1769525888783909,42470
1769525888827165,42390
1769525888870351,42390
1769525888913529,42370
1769525888956548,42380
1769525888999638,42390
1769525889042747,42290
1769525889085987,42270
1769525889129096,42330
1769525889175722,42350
1769525889218729,42400
1769525889261321,42390
1769525889304453,42450
1769525889347347,42410
1769525889390543,42450
1769525889433637,42400
1769525889476636,42490
1769525889519682,42310
1769525889562703,42250
1769525889605733,42330
1769525889648961,42420
1769525889695460,42340
1769525889737933,42450
1769525889781058,42490
1769525889824285,42440
1769525889867530,42430
1769525889910201,42350
1769525889953139,42280
1769525889996184,42370
1769525890039227,42380
1769525890082154,42350
1769525890125285,42390
1769525890168345,42400
1769525890211083,42440
1769525890255322,42490
1769525890297998,42380
1769525890341007,42480
1769525890384073,42400
1769525890427110,42400
1769525890470187,42570
1769525890513356,42320
1769525890556290,42400
1769525890599316,42380
1769525890642424,42430
1769525890685463,42460
1769525890728359,42490
1769525890771240,42500
1769525890815139,42510
1769525890858272,42450
1769525890901463,42450
1769525890944116,42400
1769525890986501,42350
1769525891029671,42440
1769525891072896,42380
1769525891115292,42460
1769525891157813,42530
1769525891200386,42480
1769525891243416,42480
1769525891286058,42460
1769525891329224,42420
1769525891374903,42470
1769525891418106,42450
1769525891461303,42430
1769525891504407,42610
1769525891546973,42520
1769525891590180,42560
1769525891633353,42480
1769525891676238,42490
1769525891718720,42490
1769525891761896,42440
1769525891805104,42490
1769525891848238,42350
1769525891894743,42510
1769525891937968,42470
1769525891981085,42520
1769525892023918,42450
1769525892067115,42530
1769525892110281,42400
1769525892153240,42410
1769525892196317,42430
1769525892239218,42440
1769525892282396,42400
1769525892325676,42460
1769525892368878,42450
1769525892414629,42530
1769525892457661,42470
1769525892500668,42550
1769525892543799,42530
1769525892586604,42440
1769525892629723,42430
1769525892673040,42410
1769525892715498,42410
1769525892758009,42340
1769525892801234,42440
1769525892844036,42470
1769525892887171,42470
1769525892930602,42470
1769525892974328,42460
1769525893017373,42480
1769525893060353,42490
1769525893103629,42440
1769525893146784,42440
1769525893189773,42400
1769525893232652,42480
1769525893275688,42500
1769525893318392,42510
1769525893361504,42470
1769525893404670,42400
1769525893447583,42440
1769525893494203,42400
1769525893537234,42580
1769525893580025,42420
1769525893623096,42420
1769525893665766,42510
1769525893709012,42500
1769525893752250,42460
1769525893794944,42470
1769525893838069,42360
1769525893881213,42390
1769525893924159,42390
1769525893966327,42390
1769525894008817,42430
1769525894053987,42410
1769525894097101,42570
1769525894140295,42510
1769525894183077,42530
1769525894225932,42480
1769525894269098,42380
1769525894311421,42490
1769525894353855,42390
1769525894396292,42390
1769525894439064,42430
1769525894481538,42450
1769525894524782,42450
1769525894567934,42510
1769525894613760,42570
1769525894656796,42530
1769525894699834,42440
1769525894742587,42430
1769525894785174,42450
1769525894828130,42390
1769525894871272,42430
1769525894913828,42440
1769525894956874,42440
1769525894999963,42500
1769525895043217,42450
1769525895086403,42430
1769525895129558,42480
1769525895173645,42430
1769525895216566,42390
1769525895259597,42480
1769525895302318,42340
1769525895345472,42420
1769525895388393,42460
1769525895431558,42480
1769525895474075,42490
1769525895517286,42520
1769525895560251,42480
1769525895602950,42540
1769525895646056,42350
1769525895688985,42410
1769525895733185,42430
1769525895776000,42460
1769525895818921,42460
1769525895861999,42370
1769525895905239,42360
1769525895948180,42330
1769525895991268,42310
1769525896033710,42350
1769525896077054,42330
1769525896119833,42470
1769525896162949,42480
1769525896205931,42460
1769525896253016,42340
1769525896296022,42330
1769525896338635,42330
1769525896381789,42270
1769525896424907,42320
1769525896467949,42360
1769525896511056,42360
1769525896554301,42420
1769525896597540,42520
1769525896640768,42530
1769525896683994,42480
1769525896726726,42440
1769525896772857,42300
1769525896815894,42350
1769525896859002,42270
1769525896902010,42360
1769525896944941,42440
1769525896987257,42350
1769525897029867,42430
1769525897072987,42420
1769525897115864,42450
1769525897158588,42430
1769525897201696,42380
1769525897244712,42300
1769525897287737,42280
1769525897332725,42250
1769525897375723,42290
1769525897418976,42270
1769525897461417,42360
1769525897504410,42390
1769525897546688,42410
1769525897589688,42430
1769525897632787,42510
1769525897675614,42530
1769525897718638,42450
1769525897761733,42430
1769525897805013,42360
1769525897847898,42310
1769525897892546,42210
1769525897935688,42400
1769525897978491,42340
1769525898021612,42470
1769525898063836,42420
1769525898106930,42480
1769525898149816,42490
1769525898192845,42450
1769525898235896,42400
1769525898279184,42400
1769525898322317,42280
1769525898365226,42230
1769525898408044,42310
1769525898452249,42360
1769525898495176,42360
1769525898537943,42460
1769525898581149,42440
1769525898624255,42390
1769525898666764,42600
1769525898709832,42350
1769525898752923,42350
1769525898795546,42330
1769525898838231,42200
1769525898881363,42290
1769525898924377,42350
1769525898967390,42340
1769525899012196,42390
1769525899054904,42470
1769525899097836,42430
1769525899140920,42430
1769525899184034,42360
1769525899227079,42290
1769525899270200,42350
1769525899313393,42320
1769525899356581,42330
1769525899399341,42310
1769525899441908,42330
1769525899484908,42380
1769525899531948,42430
1769525899574729,42490
1769525899617912,42450
1769525899661081,42450
1769525899703910,42560
1769525899746550,42340
1769525899789807,42300
1769525899832863,42260
1769525899875734,42290
1769525899918938,42270
1769525899962040,42290
1769525900004431,42370
1769525900047069,42430
1769525900091847,42520
1769525900134560,42400
1769525900177815,42430
1769525900220178,42390
1769525900262418,43040
