unix_timestamp,active_power (mW)
1769526869326522,43470
1769526869369534,43220
1769526869414155,43920
1769526869457341,43820
1769526869500177,43750
1769526869543039,43870
1769526869585863,43870
1769526869628883,43880
1769526869672034,43820
1769526869714770,43790
1769526869757921,43770
1769526869800542,43730
1769526869843533,43730
1769526869886678,43690
1769526869929673,43660
1769526869974471,43650
1769526870017585,43710
1769526870060752,43720
1769526870102967,43820
1769526870145692,43900
1769526870188734,43930
1769526870231840,43880
1769526870275122,43890
1769526870317707,43850
1769526870360939,43830
1769526870403716,43840
1769526870446561,43750
1769526870489610,43890
1769526870534508,43720
1769526870577452,43830
1769526870620483,43820
1769526870663640,43810
1769526870706437,43820
1769526870749582,43760
1769526870791912,43770
1769526870834549,43790
1769526870877634,43770
1769526870920587,43800
1769526870963441,43840
1769526871006561,43840
1769526871049546,43860
1769526871094620,43800
1769526871137746,43810
1769526871180859,43830
1769526871223871,43840
1769526871267080,43860
1769526871309504,43710
1769526871352426,43750
1769526871395614,43730
1769526871438542,43700
1769526871481671,43840
1769526871524672,43650
1769526871567790,43670
1769526871614659,43610
1769526871657806,43590
1769526871700771,43650
1769526871743864,43650
1769526871786693,43730
1769526871829305,43760
1769526871872447,43800
1769526871915446,43830
1769526871958546,43870
1769526872001589,43830
1769526872044744,43810
1769526872087936,43850
1769526872130656,43790
1769526872178897,43690
1769526872221528,43620
1769526872264525,43620
1769526872307256,43600
1769526872350163,43660
1769526872393317,43640
1769526872436107,43730
1769526872479134,43660
1769526872522325,43860
1769526872565310,43770
1769526872608417,43870
1769526872654917,43860
1769526872698127,43840
1769526872741252,43940
1769526872784488,43840
1769526872827677,43840
1769526872870254,43850
1769526872913441,43670
1769526872956420,43660
1769526872999494,43650
1769526873042380,43590
1769526873085443,43660
1769526873128536,43650
1769526873175029,43660
1769526873217837,43720
1769526873261040,43790
1769526873303931,43810
1769526873346789,43830
1769526873389993,43830
1769526873433009,43810
1769526873476093,43790
1769526873518594,44020
1769526873561464,43850
1769526873604621,43730
1769526873647472,43710
1769526873690548,43700
1769526873735142,43610
1769526873778080,43700
1769526873821272,43570
1769526873864484,43740
1769526873907302,43660
1769526873950275,43760
1769526873993485,43740
1769526874036508,43800
1769526874079510,43890
1769526874122518,43840
1769526874165672,43850
1769526874208409,43810
1769526874251403,43830
1769526874295348,43760
1769526874338404,43670
1769526874381578,43640
1769526874424561,43620
1769526874467675,43620
1769526874510744,43680
1769526874553669,43830
1769526874596710,43770
1769526874639692,43730
1769526874682526,43720
1769526874725567,43820
1769526874768614,43850
1769526874815508,43810
1769526874858564,43930
1769526874900721,43920
1769526874943295,43790
1769526874986328,43800
1769526875029429,43680
1769526875072613,43660
1769526875115539,43650
1769526875158845,43720
1769526875201450,43770
1769526875244554,43820
1769526875287724,43860
1769526875330638,43900
1769526875375953,43810
1769526875419047,43810
1769526875462253,43770
1769526875505420,43800
1769526875548245,43780
1769526875591013,43900
1769526875633932,43790
1769526875676955,43840
1769526875719976,43780
1769526875762673,43810
1769526875805828,43950
1769526875849054,43850
1769526875895922,43820
1769526875939113,43870
1769526875981792,43860
1769526876025068,43830
1769526876067998,43860
1769526876111208,43850
1769526876153725,43780
1769526876196590,43790
1769526876239121,43760
1769526876282301,43740
1769526876325557,43770
1769526876368676,43660
1769526876411630,43700
1769526876455851,43650
1769526876498407,43660
1769526876541242,43600
1769526876584397,43860
1769526876627461,43650
1769526876670572,43720
1769526876713435,43850
1769526876756705,43820
1769526876799228,43860
1769526876842362,43820
1769526876885299,43840
1769526876928414,43860
1769526876971449,43870
1769526877016065,43770
1769526877059232,43600
1769526877102507,43640
1769526877146393,43650
1769526877189634,43630
1769526877232605,43740
1769526877275642,43800
1769526877318641,43810
1769526877361748,43820
1769526877404786,43820
1769526877447381,43840
1769526877489772,43770
1769526877536262,43720
1769526877579513,43680
1769526877622520,43850
1769526877665515,43650
1769526877708697,43690
1769526877751526,43700
1769526877794473,43630
1769526877837587,43760
1769526877880578,43730
1769526877923693,43730
1769526877966579,43740
1769526878009529,43870
1769526878052096,43850
1769526878096295,43840
1769526878139270,43840
1769526878181589,43860
1769526878224643,43770
1769526878267849,43710
1769526878311064,43720
1769526878353877,43640
1769526878396901,43690
1769526878439966,43790
1769526878482915,43830
1769526878526128,43920
1769526878569179,43950
1769526878611613,43860
1769526878656721,43800
1769526878699941,43780
1769526878742317,43770
1769526878785363,43790
1769526878828436,43890
1769526878871543,43810
1769526878914556,43830
1769526878957336,43800
1769526879000567,43870
1769526879043598,43870
1769526879086599,43870
1769526879129500,43860
1769526879172446,43820
1769526879216703,43850
1769526879259607,43810
1769526879302901,43750
1769526879345161,43700
1769526879388164,43700
1769526879431454,43760
1769526879474569,43640
1769526879517665,43610
1769526879560423,43600
1769526879603266,43590
1769526879646459,43680
1769526879689651,43840
1769526879732546,43850
1769526879776852,43780
1769526879820000,43690
1769526879862661,43800
1769526879905833,43700
1769526879949049,43740
1769526879991567,43710
1769526880034536,43720
1769526880077824,43700
1769526880121027,43740
1769526880164860,43790
1769526880207813,43780
1769526880250491,43850
1769526880297085,43780
1769526880340290,43780
1769526880383077,43780
1769526880426210,43840
1769526880469530,43780
1769526880512561,43760
1769526880555626,43680
1769526880598441,43620
1769526880641400,43610
1769526880684628,43720
1769526880727443,43820
1769526880770395,43700
1769526880817274,43800
1769526880860330,43850
1769526880903108,43900
1769526880946234,43810
1769526880988882,43780
1769526881031823,43700
1769526881074746,43770
1769526881117744,43720
1769526881160223,43780
1769526881202563,43840
1769526881245574,44000
1769526881288854,43840
1769526881332093,43870
1769526881377580,43860
1769526881420655,43910
1769526881463893,43850
1769526881506998,43890
1769526881549888,43820
1769526881593340,43790
1769526881636440,43810
1769526881679529,43810
1769526881722278,43940
1769526881765406,43700
1769526881807743,43710
1769526881850812,43750
1769526881897514,43670
1769526881940593,43680
1769526881983544,43610
1769526882026002,43590
1769526882069229,43620
1769526882112422,43650
1769526882155328,43740
1769526882197887,43720
1769526882241078,43740
1769526882284051,43860
1769526882327101,43780
1769526882369959,43870
1769526882412989,43840
1769526882457723,43780
1769526882500847,43770
1769526882543982,43780
1769526882586662,43820
1769526882629682,43780
1769526882672734,43750
1769526882715583,43850
1769526882758366,43910
1769526882801419,43840
1769526882844564,43850
1769526882887220,43820
1769526882930253,43870
1769526882973509,43820
1769526883017898,43890
1769526883061036,43900
1769526883104145,43910
1769526883147411,43910
1769526883191882,43880
1769526883234585,43940
1769526883277735,43870
1769526883320929,43880
1769526883364030,43930
1769526883406628,43820
1769526883449563,43860
1769526883492712,43820
1769526883537943,43840
1769526883580953,43890
1769526883624051,43840
1769526883666733,43800
1769526883709869,43860
1769526883753114,44000
1769526883796021,43780
1769526883839240,43820
1769526883882504,43780
1769526883925611,43830
1769526883968425,43820
1769526884011348,43890
1769526884053894,43840
1769526884097865,43840
1769526884140942,43810
1769526884183394,43820
1769526884226045,43780
