unix_timestamp,active_power (mW)
1769527549161158,43590
1769527549204009,45000
1769527549246997,46060
1769527549289481,46150
1769527549331894,46120
1769527549374527,46170
1769527549417755,45880
1769527549461003,45920
1769527549503591,45950
1769527549548962,45940
1769527549591753,46010
1769527549634998,45940
1769527549678018,45930
1769527549721062,45890
1769527549764202,45790
1769527549806733,45830
1769527549849819,45820
1769527549892913,45900
1769527549935664,46010
1769527549978685,45920
1769527550021710,45820
1769527550064549,45830
1769527550109269,45910
1769527550152411,45980
1769527550195443,45900
1769527550238542,45940
1769527550281472,45840
1769527550323856,45910
1769527550366903,45940
1769527550409995,46130
1769527550453094,46040
1769527550496179,46000
1769527550538702,45990
1769527550581739,45960
1769527550624958,46070
1769527550669704,46070
1769527550712865,46040
1769527550755775,46050
1769527550798417,46060
1769527550841582,46050
1769527550884524,46170
1769527550927451,46170
1769527550970229,46020
1769527551013338,46030
1769527551056463,46090
1769527551099612,46110
1769527551142509,46160
1769527551185542,46110
1769527551230148,46000
1769527551273053,46070
1769527551316213,46020
1769527551359189,46090
1769527551402303,46240
1769527551445565,46000
1769527551488528,46040
1769527551531401,45990
1769527551574189,46000
1769527551617404,46060
1769527551660459,46130
1769527551703480,46090
1769527551745893,46060
1769527551790553,46010
1769527551833652,46070
1769527551876662,46150
1769527551919693,46090
1769527551962349,46110
1769527552005530,46010
1769527552048593,46010
1769527552091741,46060
1769527552134773,46070
1769527552177861,46130
1769527552221093,46100
1769527552264057,46060
1769527552306841,46040
1769527552350879,46100
1769527552393997,46100
1769527552437006,46200
1769527552480049,46050
1769527552523116,46070
1769527552566241,46070
1769527552609212,46200
1769527552652254,46140
1769527552695312,46160
1769527552738345,46040
1769527552781382,46080
1769527552824484,46110
1769527552867311,46080
1769527552911278,46120
1769527552953779,46090
1769527552996933,46080
1769527553039789,46040
1769527553082702,46130
1769527553125610,46300
1769527553168636,46140
1769527553211642,46030
1769527553254680,46050
1769527553296978,46090
1769527553340050,46110
1769527553383204,46140
1769527553425867,46080
1769527553471691,46160
1769527553514718,46130
1769527553557760,46140
1769527553600984,46230
1769527553643935,46130
1769527553686738,46090
1769527553729853,46060
1769527553772921,46100
1769527553816010,46140
1769527553859020,46150
1769527553904120,46110
1769527553946793,45990
1769527553992114,46100
1769527554034851,46090
1769527554077756,46230
1769527554120946,46130
1769527554163903,46110
1769527554206795,46020
1769527554249983,46020
1769527554293157,46090
1769527554336297,46160
1769527554379401,46130
1769527554422462,46040
1769527554465560,46000
1769527554512428,46140
1769527554555473,46100
1769527554598465,46110
1769527554641449,46030
1769527554684250,45990
1769527554727458,46050
1769527554769938,46070
1769527554813006,46090
1769527554856201,46100
1769527554899305,46020
1769527554941876,46000
1769527554985046,46040
1769527555028065,46040
1769527555072890,46040
1769527555115884,46020
1769527555158500,46010
1769527555201428,46010
1769527555244437,46030
1769527555287241,46050
1769527555330444,46010
1769527555373373,45960
1769527555416531,45980
1769527555459464,46020
1769527555502480,46100
1769527555545537,46290
1769527555588525,45980
1769527555633216,46060
1769527555676349,46100
1769527555718980,46160
1769527555761861,46080
1769527555805094,46060
1769527555848254,46090
1769527555891225,46150
1769527555933744,46130
1769527555976967,46230
1769527556020010,46100
1769527556063155,46030
1769527556106331,46080
1769527556149302,46180
1769527556193591,46160
1769527556236704,46110
1769527556279798,46100
1769527556322128,46080
1769527556365161,46120
1769527556407594,46100
1769527556450228,46160
1769527556493059,46100
1769527556535591,46170
1769527556578774,45950
1769527556621987,45970
1769527556665035,45990
1769527556708092,46060
1769527556754028,45960
1769527556796784,46020
1769527556839988,45980
1769527556882963,45940
1769527556925750,46030
1769527556969006,46070
1769527557011996,46030
1769527557055134,45960
1769527557098185,45990
1769527557140536,45930
1769527557183532,45980
1769527557226601,46030
1769527557268893,45980
1769527557314424,45990
1769527557357447,45940
1769527557400481,45990
1769527557443696,45990
1769527557486488,46040
1769527557529098,46000
1769527557572237,46000
1769527557615097,45970
1769527557657684,45970
1769527557700725,45990
1769527557743640,46070
1769527557786831,46040
1769527557829943,45990
1769527557874776,45890
1769527557917883,45960
1769527557960778,45940
1769527558003763,45970
1769527558046606,45900
1769527558089511,45880
1769527558132638,45890
1769527558175122,45950
1769527558218032,45960
1769527558260977,46000
1769527558303924,46020
1769527558347038,45920
1769527558390151,45910
1769527558435136,45950
1769527558477841,45990
1769527558520752,45970
1769527558564046,46100
1769527558606770,45880
1769527558649872,45950
1769527558693152,45930
1769527558736047,45970
1769527558778739,46000
1769527558821771,45980
1769527558864954,45910
