unix_timestamp,active_power (mW)
1769528410827034,44020
1769528410869586,43940
1769528410912577,45030
1769528410955352,44950
1769528410997883,45080
1769528411043977,44970
1769528411087122,44900
1769528411129879,44830
1769528411172272,44960
1769528411215273,44970
1769528411258415,44950
1769528411301617,44880
1769528411344787,44850
1769528411387129,44840
1769528411429764,44890
1769528411472054,44810
1769528411514815,44860
1769528411557930,44950
1769528411603619,44760
1769528411646687,44760
1769528411689674,44700
1769528411732593,44740
1769528411775577,44800
1769528411818390,44860
1769528411861624,44910
1769528411903990,44870
1769528411946660,44780
1769528411989803,44760
1769528412032858,44750
1769528412075834,44770
1769528412118703,44740
1769528412163385,44800
1769528412206565,44830
1769528412249730,44830
1769528412292664,44990
1769528412335814,44870
1769528412378781,45010
1769528412421900,44990
1769528412465150,45050
1769528412507939,45020
1769528412550959,44880
1769528412593886,44810
1769528412637110,44950
1769528412683216,44960
1769528412725693,44920
1769528412768742,44890
1769528412811630,44810
1769528412854390,44780
1769528412897661,44730
1769528412940763,44730
1769528412983624,44830
1769528413026770,44900
1769528413069705,44880
1769528413112851,44830
1769528413155976,44720
1769528413202916,44670
1769528413245724,44730
1769528413288858,44850
1769528413331792,44960
1769528413374883,44870
1769528413417790,44900
1769528413460896,44870
1769528413504170,44790
1769528413547048,44790
1769528413590135,44790
1769528413633160,44920
1769528413676395,44750
1769528413722861,44810
1769528413765623,44770
1769528413808437,44870
1769528413851398,44970
1769528413893796,44940
1769528413936674,45000
1769528413979545,45010
1769528414022609,44950
1769528414066028,44950
1769528414108373,44900
1769528414151558,44840
1769528414193945,44870
1769528414237032,44820
1769528414282689,44910
1769528414325745,44890
1769528414368551,44960
1769528414411092,44870
1769528414453452,44920
1769528414496218,44810
1769528414539245,44740
1769528414582009,44720
1769528414625056,44780
1769528414667978,44910
1769528414711157,44810
1769528414753714,44840
1769528414796038,44890
1769528414842315,44730
1769528414884573,44760
1769528414927207,44770
1769528414970206,44710
1769528415013179,44720
1769528415056235,44750
1769528415099279,44760
1769528415142314,44800
1769528415185377,44870
1769528415228640,44860
1769528415271757,44880
1769528415314799,44920
1769528415357915,44960
1769528415402269,44940
1769528415445384,44950
1769528415487897,44980
1769528415531109,45010
1769528415574288,44920
1769528415617574,44950
1769528415660701,45060
1769528415703561,44910
1769528415746703,44850
1769528415789698,44860
1769528415832798,44870
1769528415875880,44880
1769528415922057,44920
1769528415965208,44910
1769528416008218,44850
1769528416051134,44790
1769528416094304,44720
1769528416137574,44750
1769528416180755,44690
1769528416223636,44810
1769528416266751,44800
1769528416309665,44860
1769528416352686,44920
1769528416395683,44880
1769528416441858,44840
1769528416485020,44860
1769528416528162,44930
1769528416571195,44880
1769528416613701,44880
1769528416656802,44860
1769528416699942,45020
1769528416742833,44810
1769528416785694,44820
1769528416828529,44810
1769528416871485,44820
1769528416913928,44810
1769528416957017,44850
1769528417001912,44920
1769528417044892,44970
1769528417088177,44930
1769528417131097,44930
1769528417174272,44960
1769528417217418,45000
1769528417260597,44980
1769528417303753,44920
1769528417346619,44880
1769528417389661,44860
1769528417432780,44940
1769528417475104,44780
1769528417521672,44790
1769528417564817,44780
1769528417607284,44830
1769528417649768,44830
1769528417692868,44880
1769528417735748,45040
1769528417778321,44880
1769528417821148,44910
1769528417863947,44920
1769528417906330,44870
1769528417949336,44750
1769528417992425,44810
1769528418035435,44730
1769528418081439,44660
1769528418124560,44710
1769528418167485,44800
1769528418210735,44770
1769528418253283,44710
1769528418296468,44710
1769528418339569,44780
1769528418382471,44770
1769528418425573,44860
1769528418468564,44890
1769528418511468,44900
1769528418554643,44910
1769528418601581,45040
1769528418644595,44980
1769528418687662,44940
1769528418730706,45080
1769528418773917,44990
1769528418816756,45020
1769528418859693,45010
1769528418902714,45000
1769528418945827,44980
1769528418988422,44960
1769528419031345,44930
1769528419074216,44890
1769528419121406,44850
1769528419164559,44770
1769528419207585,44880
1769528419250123,44810
1769528419293332,44880
1769528419336602,44820
1769528419379212,44860
1769528419422302,44790
1769528419465397,44820
1769528419508427,44740
1769528419551493,44710
1769528419594438,44750
1769528419641162,44760
1769528419684263,44780
1769528419727311,44740
1769528419769716,44910
1769528419812752,44780
1769528419855871,44790
1769528419898626,44730
1769528419941734,44780
1769528419984669,44750
1769528420027605,44870
1769528420070718,44860
1769528420113631,44850
1769528420156587,44800
1769528420201223,44870
1769528420244347,44840
1769528420287234,44960
1769528420329745,44880
1769528420372636,44930
1769528420415457,44980
1769528420457807,44940
1769528420500809,44930
1769528420543726,44960
1769528420586797,44950
1769528420629689,44950
1769528420673195,44920
1769528420716048,44920
1769528420761075,44990
1769528420804175,44900
1769528420847360,44800
1769528420889910,44830
1769528420933170,44770
1769528420976273,44790
1769528421018996,44790
1769528421062085,44850
1769528421105312,44870
1769528421148497,44850
1769528421191474,44860
1769528421233843,44820
1769528421276750,44830
1769528421321123,44860
1769528421364189,44810
1769528421407380,44800
1769528421450295,44820
1769528421493445,44830
1769528421536665,44820
1769528421579677,44830
1769528421622282,44820
1769528421665346,44780
1769528421708411,44820
1769528421751113,44740
1769528421794668,44870
1769528421841118,44820
1769528421884245,44810
1769528421927031,44820
1769528421969948,44810
1769528422012831,44870
1769528422055876,44890
1769528422098897,44850
1769528422141639,44810
1769528422184759,44860
1769528422227745,44870
1769528422270733,44920
1769528422313683,44930
1769528422356791,44920
1769528422401228,44940
1769528422444338,44970
1769528422487110,44940
1769528422530462,44900
1769528422573618,44940
1769528422616435,44960
1769528422659190,44900
1769528422702075,44930
1769528422745476,44970
1769528422788586,44940
1769528422831529,45030
1769528422873925,45030
1769528422916385,44880
1769528422961161,44820
1769528423004243,44830
1769528423046819,44840
1769528423089759,44890
1769528423132738,44780
1769528423175790,44790
1769528423218908,44790
1769528423261980,44780
1769528423304943,44790
1769528423347977,44790
1769528423390971,44820
1769528423433154,44770
1769528423475493,44770
1769528423521138,44770
1769528423564115,44700
1769528423607218,44760
1769528423650249,44730
1769528423693408,44690
1769528423735949,44770
1769528423778681,44730
1769528423821832,44700
