unix_timestamp,active_power (mW)
1769528670001417,44140
1769528670044283,43590
1769528670086819,44810
1769528670132295,44760
1769528670175004,44720
1769528670218024,44680
1769528670260825,44750
1769528670304057,44740
1769528670346989,44690
1769528670390120,44700
1769528670433318,44660
1769528670476580,44770
1769528670519769,44700
1769528670562980,44750
1769528670605919,44760
1769528670652362,44750
1769528670695040,44680
1769528670737801,44770
1769528670780808,44710
1769528670823974,44800
1769528670866967,44800
1769528670910009,44790
1769528670952545,44680
1769528670995488,44700
1769528671038617,44720
1769528671081511,44740
1769528671124711,44720
1769528671167940,44620
1769528671212725,44700
1769528671255818,44750
1769528671298520,44780
1769528671341618,44670
1769528671384723,44720
1769528671427755,44690
1769528671470505,44610
1769528671513666,44620
1769528671556351,44640
1769528671599096,44620
1769528671641351,44650
1769528671684389,44800
1769528671727080,44560
1769528671772916,44720
1769528671816003,44750
1769528671858623,44720
1769528671901542,44690
1769528671944686,44720
1769528671987704,44680
1769528672030747,44600
1769528672073921,44680
1769528672116898,44650
1769528672159929,44680
1769528672203029,44730
1769528672245880,44760
1769528672289132,44790
1769528672333182,44750
1769528672375973,44800
1769528672419010,44780
1769528672462183,44860
1769528672504541,44900
1769528672546838,44830
1769528672589697,44870
1769528672632836,44840
1769528672675483,44720
1769528672717949,44880
1769528672760929,44800
1769528672803896,44750
1769528672846888,44690
1769528672893443,44740
1769528672936495,44650
1769528672979678,44750
1769528673022713,44710
1769528673065611,44660
1769528673108655,44610
1769528673151807,44700
1769528673194774,44790
1769528673237815,44710
1769528673280962,44760
1769528673324117,44650
1769528673367042,44660
1769528673413570,44620
1769528673456586,44630
1769528673499084,44690
1769528673541710,44750
1769528673584700,44830
1769528673627753,44700
1769528673670327,44660
1769528673713514,44820
1769528673756584,44710
1769528673799674,44720
1769528673843040,44730
1769528673886149,44820
1769528673929212,44820
1769528673973889,44800
1769528674017081,44760
1769528674059996,44790
1769528674103180,44800
1769528674146345,44870
1769528674189624,44870
1769528674232844,44830
1769528674275836,44790
1769528674318831,44760
1769528674361858,44710
1769528674404659,44750
1769528674447913,44740
1769528674494099,44800
1769528674537217,44700
1769528674580209,44690
1769528674623311,44690
1769528674666114,44640
1769528674709246,44710
1769528674752235,44790
1769528674794751,44750
1769528674837930,44770
1769528674881038,44770
1769528674924020,44760
1769528674966599,44710
1769528675009399,44680
1769528675054287,44610
1769528675097411,44650
1769528675140547,44700
1769528675183606,44670
1769528675226724,44720
1769528675269915,44610
1769528675313141,44690
1769528675356055,44710
1769528675398784,44660
1769528675441914,44670
1769528675484648,44680
1769528675527282,44650
1769528675569797,44710
1769528675614437,44720
1769528675657630,44630
1769528675700809,44660
1769528675743753,44660
1769528675786590,44840
1769528675829698,44680
1769528675872670,44680
1769528675915648,44660
1769528675958079,44600
1769528676001100,44710
1769528676043998,44650
1769528676086697,44620
1769528676129858,44630
1769528676174710,44670
1769528676217806,44760
1769528676261060,44690
1769528676303524,44690
1769528676346570,44620
1769528676389419,44620
1769528676432590,44680
1769528676475755,44590
1769528676518303,44690
1769528676561513,44670
1769528676604755,44710
1769528676647928,44680
1769528676691057,44740
1769528676734759,44700
1769528676777915,44820
1769528676820894,44640
1769528676863996,44560
1769528676906889,44740
1769528676949899,44590
1769528676992709,44640
1769528677035714,44690
1769528677078834,44690
1769528677122095,44720
1769528677165282,44680
1769528677208417,44750
1769528677254953,44680
1769528677297917,44690
1769528677340999,44670
1769528677383945,44680
1769528677427111,44620
1769528677470012,44640
1769528677512961,44640
1769528677555946,44630
1769528677598936,44650
1769528677641885,44650
1769528677685140,44690
1769528677728254,44690
1769528677770823,44750
1769528677815224,44750
1769528677858288,44630
1769528677901178,44710
1769528677944001,44670
1769528677987138,44640
1769528678030203,44650
1769528678073404,44620
1769528678116668,44620
1769528678159915,44730
1769528678202738,44730
1769528678245956,44760
1769528678288842,44680
1769528678335484,44690
1769528678378142,44750
1769528678421082,44680
1769528678463908,44590
1769528678506281,44630
1769528678549318,44670
1769528678592422,44630
1769528678635327,44710
1769528678677960,44700
1769528678721027,44760
1769528678763631,44720
1769528678806413,44740
