unix_timestamp,active_power (mW)
1769530506331533,43360
1769530506374043,44670
1769530506417208,45440
1769530506460333,45500
1769530506503099,45430
1769530506546042,45480
1769530506588546,45550
1769530506631404,45480
1769530506673905,45530
1769530506719008,45540
1769530506762032,45530
1769530506805224,45570
1769530506847828,45550
1769530506890892,45540
1769530506933834,45430
1769530506977017,45580
1769530507020075,45390
1769530507063187,45460
1769530507105743,45510
1769530507148822,45510
1769530507191842,45430
1769530507235028,45500
1769530507279057,45430
1769530507321750,45430
1769530507364863,45500
1769530507407455,45400
1769530507450398,45380
1769530507493433,45480
1769530507536447,45410
1769530507579330,45380
1769530507622204,45420
1769530507665371,45360
1769530507708215,45410
1769530507751191,45430
1769530507794317,45330
1769530507839011,45310
1769530507882232,45400
1769530507925450,45400
1769530507968482,45330
1769530508011565,45390
1769530508054744,45370
1769530508097961,45390
1769530508141087,45360
1769530508184075,45400
1769530508226796,45430
1769530508269756,45380
1769530508312879,45390
1769530508359079,45440
1769530508402277,45410
1769530508445506,45410
1769530508488570,45370
1769530508531179,45370
1769530508573759,45450
1769530508616877,45390
1769530508659743,45430
1769530508702982,45410
1769530508745459,45630
1769530508788392,45470
1769530508831204,45530
1769530508873661,45530
1769530508919191,45460
1769530508962320,45500
1769530509005413,45540
1769530509048386,45390
1769530509091457,45510
1769530509134512,45390
1769530509177562,45510
1769530509220435,45440
1769530509263079,45480
1769530509306177,45470
1769530509349169,45450
1769530509392229,45440
1769530509434847,45410
1769530509479267,45410
1769530509522730,45340
1769530509565974,45470
1769530509609198,45390
1769530509652383,45420
1769530509695166,45380
1769530509737940,45410
1769530509780931,45570
1769530509824016,45290
1769530509866540,45370
1769530509909556,45380
1769530509952706,45340
1769530509999258,45390
1769530510042294,45350
1769530510085207,45460
1769530510128035,45430
1769530510171109,45320
1769530510214116,45340
1769530510257295,45320
1769530510300428,45300
1769530510343370,45360
1769530510385855,45350
1769530510428992,45330
1769530510472130,45320
1769530510519102,45380
1769530510561860,45350
1769530510604979,45420
1769530510647968,45290
1769530510691064,45320
1769530510733845,45300
1769530510776165,45540
1769530510818973,45340
1769530510862251,45470
1769530510905397,45400
1769530510948398,45390
1769530510991156,45450
1769530511034128,45430
1769530511079211,45400
1769530511122414,45410
1769530511165402,45440
1769530511208385,45430
1769530511251435,45430
1769530511294440,45430
1769530511336993,45400
1769530511379637,45430
1769530511422717,45490
1769530511465959,45460
1769530511509189,45400
1769530511552391,45390
1769530511595032,45440
1769530511639215,45360
1769530511682284,45480
1769530511725237,45420
1769530511768386,45430
1769530511810746,45560
1769530511853775,45450
1769530511896060,45430
1769530511939115,45390
1769530511981628,45370
1769530512024802,45310
1769530512067927,45310
1769530512111124,45340
1769530512154226,45260
1769530512199069,45290
1769530512241563,45360
1769530512284432,45290
1769530512327582,45330
1769530512369967,45340
1769530512413025,45290
1769530512456213,45320
1769530512499545,45380
1769530512543462,45460
1769530512585805,45350
1769530512628767,45350
1769530512671889,45420
1769530512714999,45440
1769530512759203,45380
1769530512801795,45510
1769530512844889,45550
1769530512887744,45470
1769530512930238,45460
1769530512973323,45530
1769530513016273,45550
1769530513059264,45520
1769530513101553,45570
1769530513144482,45510
1769530513187483,45490
1769530513230443,45450
1769530513273378,45350
1769530513319217,45340
1769530513361907,45350
1769530513405158,45320
1769530513448217,45310
1769530513490712,45330
1769530513533988,45340
1769530513577178,45320
1769530513620076,45270
1769530513663289,45300
1769530513706380,45290
1769530513749547,45310
1769530513792453,45360
1769530513839070,45490
1769530513882096,45300
1769530513925133,45340
1769530513967786,45360
1769530514010797,45370
1769530514053508,45370
1769530514096523,45360
1769530514139539,45320
1769530514182590,45350
1769530514225754,45350
1769530514268203,45380
1769530514311126,45350
1769530514354260,45380
1769530514399086,45390
1769530514442320,45410
1769530514485468,45500
1769530514528445,45410
1769530514571168,45450
1769530514613732,45410
1769530514656508,45430
1769530514699487,45380
1769530514741937,45420
1769530514784676,45470
1769530514827203,45370
1769530514869663,45430
1769530514912617,45590
1769530514959160,45480
1769530515002297,45430
1769530515045453,45420
1769530515088525,45390
1769530515131494,45370
1769530515174600,45370
1769530515217586,45300
1769530515260658,45200
1769530515303816,45250
1769530515347016,45290
1769530515390048,45260
1769530515433146,45200
1769530515478917,45270
1769530515522092,45210
1769530515566702,45280
1769530515609654,45190
1769530515652835,45310
1769530515695996,45320
1769530515739183,45270
1769530515782215,45280
1769530515824970,45300
1769530515868188,45280
1769530515911178,45420
1769530515953935,45270
1769530515999033,45380
1769530516042108,45420
1769530516085149,45420
1769530516127609,45420
1769530516171211,45490
1769530516214289,45410
1769530516257547,45480
1769530516300691,45440
1769530516343505,45460
1769530516386471,45530
1769530516429750,45520
1769530516473004,45560
1769530516519030,45520
1769530516561741,45480
1769530516604715,45550
1769530516647523,45520
1769530516690045,45560
1769530516733116,45410
1769530516776112,45440
1769530516818987,45470
1769530516861722,45400
1769530516905044,45460
1769530516948114,45510
1769530516990713,45430
1769530517033711,45430
1769530517079109,45450
1769530517121866,45360
1769530517164990,45350
1769530517208183,45340
1769530517251063,45330
1769530517294225,45390
