unix_timestamp,active_power (mW)
1769531076564016,44490
1769531076610065,45750
1769531076653198,45600
1769531076696348,45740
1769531076738725,45730
1769531076781775,45770
1769531076824917,45660
1769531076868025,45670
1769531076910919,45630
1769531076953970,45730
1769531076997148,45730
1769531077040132,45730
1769531077083193,45800
1769531077130017,45740
1769531077173215,45840
1769531077216190,45740
1769531077259348,45840
1769531077301812,45780
1769531077344959,45710
1769531077387235,45730
1769531077431120,45760
1769531077473765,45740
1769531077516957,45770
1769531077560123,45790
1769531077602785,45740
1769531077645906,45660
1769531077690247,45760
1769531077733015,45750
1769531077775811,45720
1769531077818743,45770
1769531077861846,45790
1769531077904814,45750
1769531077947967,45800
1769531077991008,45740
1769531078034105,45760
1769531078077046,45800
1769531078120073,45860
1769531078163157,45800
1769531078206301,45750
1769531078250230,45730
1769531078293328,45780
1769531078336281,45690
1769531078379262,45710
1769531078422397,45660
1769531078465556,45740
1769531078508652,45690
1769531078551698,45660
1769531078594213,45710
1769531078636773,45620
1769531078679586,45750
1769531078722249,45660
1769531078765410,45690
1769531078810431,45630
1769531078853601,45680
1769531078896721,45760
1769531078939637,45700
1769531078982831,45750
1769531079025716,45720
1769531079068965,45700
1769531079112055,45820
1769531079154727,45710
1769531079197904,45750
1769531079240946,45710
1769531079283903,45700
1769531079330612,45690
1769531079373662,45730
1769531079416541,45760
1769531079459165,45680
1769531079501976,45650
1769531079544827,45690
1769531079587729,45670
1769531079630758,45680
1769531079673754,45740
1769531079716838,45740
1769531079759785,45730
1769531079802607,45740
1769531079845579,45770
1769531079890708,45720
1769531079933759,45730
1769531079976924,45700
1769531080020023,45730
1769531080063057,45760
1769531080105964,45720
1769531080148858,45960
1769531080191978,45700
1769531080234496,45790
1769531080277689,45680
1769531080320743,45700
1769531080363431,45790
1769531080406369,45650
1769531080450622,45640
1769531080493905,45680
1769531080537184,45680
1769531080580010,45620
1769531080623149,45660
1769531080666169,45630
1769531080709229,45710
1769531080751626,45710
1769531080794663,45700
1769531080837838,45740
1769531080880770,45830
1769531080923758,45850
1769531080970820,45740
1769531081013948,45740
1769531081056885,45750
1769531081100089,45760
1769531081142519,45870
1769531081185140,45710
1769531081228334,45740
1769531081271295,45760
1769531081314439,45710
1769531081357200,45680
1769531081400083,45710
1769531081443096,45660
1769531081485462,45620
1769531081530898,45670
1769531081573771,45690
1769531081616845,45680
1769531081659790,45580
1769531081702581,45710
1769531081745474,45730
1769531081788510,45720
1769531081831595,45720
1769531081874697,45720
1769531081917780,45760
1769531081960151,45630
1769531082002684,45630
1769531082045884,45750
1769531082090966,45680
1769531082133983,45770
1769531082176876,45890
1769531082220309,45810
1769531082263175,45690
1769531082305785,45700
1769531082348649,45770
1769531082391662,45760
1769531082434931,45750
1769531082478152,45730
1769531082521318,45850
1769531082564517,45760
1769531082611190,45750
1769531082654244,45790
1769531082697155,45740
1769531082739984,45710
1769531082782781,45800
1769531082826010,45780
1769531082869250,45800
1769531082911692,45740
1769531082954778,45660
1769531082997910,45720
1769531083040896,45690
1769531083083947,45770
1769531083126622,45700
1769531083171046,45860
1769531083214214,45700
1769531083257217,45710
1769531083300263,45760
1769531083343143,45690
1769531083386140,45700
1769531083428845,45680
1769531083472384,45740
1769531083515058,45770
1769531083557872,45710
1769531083600954,45720
1769531083643883,45710
1769531083687022,45690
1769531083731175,45600
1769531083773643,45730
1769531083816832,45710
1769531083859759,45830
1769531083902811,45780
1769531083945854,45820
1769531083989054,45750
1769531084032184,45720
1769531084074684,45720
1769531084117920,45790
1769531084160948,45740
1769531084203872,45770
1769531084246814,45880
1769531084291164,45810
1769531084334219,45720
1769531084376851,45740
1769531084419649,45720
1769531084462548,45700
1769531084505731,45790
1769531084548961,45700
1769531084591764,45730
1769531084634275,45730
1769531084677378,45730
1769531084720465,45670
1769531084763394,45730
1769531084806518,45650
1769531084851109,45680
1769531084894191,45720
1769531084937338,45660
1769531084979656,45740
1769531085022424,45630
1769531085065677,45700
1769531085108849,45660
1769531085152146,45650
1769531085194935,45660
1769531085238183,45700
1769531085281235,45770
1769531085324161,45680
1769531085371151,45660
1769531085414161,45720
1769531085457156,45670
1769531085499785,45720
1769531085542461,45640
1769531085585726,45610
1769531085628913,45740
1769531085672002,45660
1769531085715021,45660
1769531085757427,45720
1769531085800488,45710
1769531085843577,45680
1769531085886353,45670
1769531085931147,45680
1769531085974200,45730
1769531086017176,45680
1769531086060259,45710
1769531086103177,45690
1769531086146148,45730
1769531086189209,45720
1769531086232070,45690
1769531086275249,45900
1769531086318369,45710
1769531086361334,45730
1769531086404342,45740
1769531086451168,45740
1769531086494227,45740
1769531086537469,45750
1769531086580449,45760
1769531086623154,45740
1769531086666225,45690
1769531086709255,45680
1769531086752034,45730
1769531086794648,45680
1769531086837870,45790
1769531086881088,45770
1769531086923903,45760
1769531086966876,45700
1769531087011059,45830
1769531087054209,45780
1769531087097233,45760
1769531087140292,45730
1769531087183264,45790
1769531087225610,45800
1769531087268679,45780
1769531087311760,45920
1769531087354736,45720
1769531087397857,45700
1769531087441079,45820
1769531087484200,45800
1769531087531070,45760
1769531087573879,45780
1769531087616929,45850
1769531087660065,45800
1769531087703254,45800
1769531087745730,45800
1769531087788862,45880
1769531087831874,45820
1769531087874930,45860
1769531087917898,45830
1769531087961142,45790
1769531088003678,45790
1769531088046536,45830
1769531088091248,45860
1769531088134258,45830
1769531088177073,45870
1769531088220035,45820
1769531088263245,45820
1769531088305682,45870
1769531088348770,45940
1769531088391921,45870
1769531088434962,45860
1769531088477956,45790
1769531088520695,45840
1769531088563564,45830
1769531088605894,45770
1769531088651153,45730
1769531088694213,45870
1769531088737094,45780
1769531088780291,45780
1769531088823057,45770
1769531088866044,45800
1769531088909310,45790
1769531088952493,45780
1769531088995676,45780
1769531089038762,45830
1769531089081797,45780
1769531089124766,45730
1769531089171122,45780
1769531089214277,45790
1769531089257377,45810
1769531089300230,45820
1769531089343185,45860
1769531089386272,45760
1769531089429234,45860
1769531089471868,45770
1769531089515027,45780
1769531089557784,45770
1769531089600778,45840
1769531089643852,45820
1769531089687157,45820
1769531089731190,45790
1769531089773873,45720
1769531089816925,45730
1769531089860064,45730
1769531089903266,45750
1769531089946141,45780
1769531089988990,45610
1769531090031390,45670
1769531090074357,45650
1769531090117413,45700
1769531090160391,45710
1769531090203268,45720
1769531090245829,45710
1769531090291270,45600
1769531090334020,45690
1769531090377290,45780
1769531090420325,45590
1769531090463214,45630
1769531090506196,45540
1769531090549071,45590
1769531090591938,45620
1769531090634701,45630
1769531090677626,45620
1769531090720809,45600
1769531090763222,45630
1769531090805743,45700
1769531090851261,45630
1769531090894352,45740
1769531090937488,45690
1769531090979794,45780
1769531091022435,45790
1769531091065676,45790
1769531091108549,45870
1769531091151675,45870
1769531091194533,45900
1769531091237734,45840
1769531091280594,45820
1769531091323185,45720
1769531091365717,45790
1769531091411450,45650
1769531091453848,45820
1769531091497169,45840
1769531091540312,45880
1769531091582974,45840
1769531091625649,45770
1769531091668907,45840
1769531091712082,45860
1769531091755246,45840
1769531091797964,45820
1769531091841085,45830
1769531091884161,45820
1769531091927187,45820
1769531091971485,45870
1769531092014636,45890
1769531092057759,45750
1769531092100923,45930
1769531092143897,45840
1769531092186886,45850
1769531092229255,45800
1769531092272178,45810
1769531092315260,45770
1769531092357855,45780
1769531092400849,45830
1769531092443929,45900
1769531092487077,45730
1769531092531527,45680
1769531092574018,45660
1769531092617123,45610
1769531092660333,45620
1769531092703301,45560
1769531092746358,45670
1769531092789323,45550
1769531092832286,45660
1769531092875091,45590
1769531092918219,45560
1769531092961281,45580
1769531093004260,45680
1769531093047033,45640
1769531093091605,45750
1769531093134650,45720
1769531093177586,45760
1769531093220757,45770
1769531093263339,45790
1769531093306325,45800
1769531093349397,45810
1769531093392567,45780
1769531093435682,45930
1769531093478393,45750
1769531093521573,45730
1769531093564625,45760
1769531093607488,45710
1769531093651767,45760
1769531093694940,45750
1769531093737360,45720
1769531093780336,45740
1769531093823304,45800
1769531093865906,45920
1769531093908985,45890
1769531093952157,45970
1769531093994603,45930
1769531094037717,45860
1769531094080863,45970
1769531094123931,45860
1769531094166928,45810
1769531094211917,45810
1769531094255118,45910
1769531094297895,45800
1769531094340987,45810
1769531094384090,45820
1769531094427264,45820
1769531094470075,45940
1769531094513264,45790
1769531094555734,45810
