unix_timestamp,active_power (mW)
1769784099867421,41810
1769784099909895,40580
1769784099952884,40550
1769784099996123,40540
1769784100039137,40480
1769784100082423,40540
1769784100125468,40500
1769784100168532,40500
1769784100211314,40580
1769784100254460,40470
1769784100297385,40540
1769784100339873,40450
1769784100382507,40420
1769784100428026,40590
1769784100471147,40620
1769784100514140,40530
1769784100557230,40480
1769784100600181,40490
1769784100645238,40470
1769784100687835,40460
1769784100730250,40530
1769784100772462,40530
1769784100815112,40540
1769784100858129,40470
1769784100901098,40470
1769784100944273,40500
1769784100988410,40470
1769784101030672,40530
1769784101073679,40600
1769784101116836,40530
1769784101159741,40540
1769784101203012,40500
1769784101246346,40490
1769784101289482,40610
1769784101331979,40450
1769784101374509,40610
1769784101417500,40570
1769784101460508,40560
1769784101503529,40550
1769784101548724,40490
1769784101591716,40450
1769784101634379,40550
1769784101677545,40520
1769784101720594,39140
1769784101763517,19400
1769784101806779,19700
1769784101849733,30310
1769784101892808,43660
1769784101935972,40220
1769784101978837,40600
1769784102021952,40610
1769784102064968,40500
1769784102108996,40520
1769784102151883,40470
1769784102194856,40520
1769784102237964,40530
1769784102281060,40510
1769784102324156,40450
1769784102366938,40520
1769784102409932,40520
1769784102453179,40490
1769784102496444,40590
1769784102539350,40650
1769784102582177,40690
1769784102625145,40510
1769784102669576,40520
1769784102712681,40460
1769784102755701,27170
1769784102798499,23030
1769784102841508,30010
1769784102884572,42230
1769784102927172,40550
1769784102969583,40520
1769784103012524,40510
1769784103055418,40550
1769784103098433,40710
1769784103141644,40480
1769784103184648,40510
1769784103229913,40600
1769784103273032,40460
1769784103315505,40520
1769784103358156,40500
1769784103401392,40470
1769784103444321,40450
1769784103487111,40480
1769784103529633,40450
1769784103572075,40460
1769784103615337,40480
1769784103657874,40500
1769784103700997,40530
1769784103743972,40520
1769784103790227,23780
1769784103833403,28620
1769784103876542,40620
1769784103919591,40690
1769784103962367,40550
1769784104005593,40430
1769784104048651,40460
1769784104091658,40580
1769784104134370,40560
1769784104177606,40510
1769784104220508,40450
1769784104263481,40530
1769784104305904,40490
1769784104350622,40560
1769784104393862,40530
1769784104437019,40410
1769784104480204,40500
1769784104523177,40440
1769784104565791,40760
1769784104608709,40620
1769784104651692,40520
1769784104694622,40480
1769784104737564,40430
1769784104780594,40530
1769784104823635,31810
1769784104866250,30500
1769784104910999,40580
1769784104954176,40630
1769784104997339,40440
1769784105040409,40500
1769784105083528,40520
1769784105125914,40660
1769784105168968,40520
1769784105212038,40530
1769784105254973,40450
1769784105298074,40480
1769784105341182,40500
1769784105384164,40520
1769784105427035,40560
1769784105471416,40400
1769784105514469,40380
1769784105557431,40390
1769784105600359,40610
1769784105643420,40480
1769784105686431,40490
1769784105729666,40510
1769784105772596,40430
1769784105815488,40500
1769784105857904,33520
1769784105900896,40770
1769784105943519,40620
1769784105986595,40420
1769784106031857,40490
1769784106074994,40480
1769784106118175,40500
1769784106161410,40440
1769784106204151,40460
1769784106247202,40490
1769784106290331,40500
1769784106333317,40430
1769784106375578,40560
1769784106418051,40500
1769784106461172,40420
1769784106504268,40450
1769784106547376,40500
1769784106592220,40600
1769784106635014,40480
1769784106677910,40570
1769784106721109,40510
1769784106764091,40410
1769784106806769,40440
1769784106849756,40500
1769784106892871,40450
1769784106935481,40470
1769784106978103,40480
1769784107021282,40450
1769784107063627,40570
1769784107106591,40520
1769784107152625,40410
1769784107195738,40440
1769784107238746,40600
1769784107281745,40470
1769784107325031,40510
1769784107368181,40580
1769784107410738,40580
1769784107453884,40480
1769784107497407,40550
1769784107540450,40410
1769784107583426,40470
1769784107626023,40530
1769784107672786,40520
1769784107715890,40580
1769784107758893,40520
1769784107802060,40520
1769784107844634,40550
1769784107887394,26570
1769784107929774,24430
1769784107972877,23580
