unix_timestamp,active_power (mW)
1769784865181228,42600
1769784865224274,42250
1769784865266968,42250
1769784865309881,42240
1769784865353007,42190
1769784865396036,42170
1769784865438813,42190
1769784865485294,42230
1769784865528407,42240
1769784865571354,42200
1769784865614558,42190
1769784865657536,42170
1769784865699802,42160
1769784865742688,42130
1769784865785579,42170
1769784865828459,42130
1769784865871573,42260
1769784865913865,42260
1769784865956896,42260
1769784865999925,42190
1769784866045571,42300
1769784866088503,42330
1769784866131503,42220
1769784866173871,42180
1769784866216997,42210
1769784866260046,42260
1769784866303211,42200
1769784866345775,42170
1769784866388969,42160
1769784866432230,42400
1769784866475238,42130
1769784866517831,42190
1769784866560839,42310
1769784866605651,42250
1769784866648766,40290
1769784866691705,18110
1769784866734439,19330
1769784866777459,23410
1769784866820427,23910
1769784866863146,35100
1769784866906120,41970
1769784866949181,42420
1769784866992242,42410
1769784867035259,42280
1769784867078385,42280
1769784867121523,42340
1769784867165869,42250
1769784867209117,42270
1769784867251957,42240
1769784867295014,42170
1769784867338013,42170
1769784867381180,42130
1769784867424085,42160
1769784867467300,42160
1769784867510353,42230
1769784867553444,42250
1769784867596518,42220
1769784867639452,42150
1769784867685948,42230
1769784867729048,42270
1769784867772068,42260
1769784867815133,42190
1769784867857619,42270
1769784867900706,42270
1769784867943861,42310
1769784867986152,42400
1769784868029299,42320
1769784868072309,42240
1769784868115337,42210
1769784868157974,42240
1769784868201130,42130
1769784868246076,42180
1769784868289221,42200
1769784868332152,42210
1769784868374814,42320
1769784868417880,42270
1769784868460504,42410
1769784868503539,42200
1769784868546510,42210
1769784868589442,42200
1769784868632577,42210
1769784868675598,42190
1769784868718721,41790
1769784868761635,23290
1769784868806283,19000
1769784868849282,36770
1769784868891681,42360
1769784868934844,42340
1769784868977829,42280
1769784869020990,42230
1769784869063617,42250
1769784869106760,42250
1769784869149978,42130
1769784869193079,42160
1769784869235953,42150
1769784869278745,42230
1769784869321554,42260
1769784869366763,42220
1769784869409988,42200
1769784869453092,42240
1769784869496294,42240
1769784869539283,42280
1769784869581809,42250
1769784869624945,42220
1769784869668116,42270
1769784869711111,42290
1769784869754231,32330
1769784869797314,21050
1769784869840395,22490
1769784869886615,42400
1769784869929704,42250
1769784869972332,42290
1769784870015428,42250
1769784870058464,42340
1769784870101490,42300
1769784870144500,42290
1769784870186952,42290
1769784870229821,42300
1769784870272998,42390
1769784870316100,42310
1769784870358709,42320
1769784870401704,42210
1769784870446763,42210
1769784870489906,42230
1769784870532639,42260
1769784870575388,42200
1769784870618458,42220
1769784870661454,42230
1769784870704633,42280
1769784870747286,42300
1769784870790290,42330
1769784870833504,42310
1769784870876535,42260
1769784870919388,42170
1769784870961817,42210
1769784871006996,42180
1769784871050087,42140
1769784871092848,42330
1769784871135258,42160
1769784871178699,42200
1769784871222265,42220
1769784871265096,42240
1769784871307954,42210
1769784871351082,42180
1769784871394105,42170
1769784871437289,42170
1769784871480219,42190
1769784871526914,42300
1769784871569705,42270
1769784871612847,43410
1769784871655797,44390
1769784871698725,42090
1769784871741824,42330
1769784871784833,39930
1769784871828029,18090
1769784871870795,36520
1769784871913782,42320
1769784871956924,42340
1769784871999952,42150
1769784872047023,42170
1769784872089817,42160
1769784872132820,42170
1769784872176031,42210
1769784872218542,42180
1769784872261654,42160
1769784872304689,42340
1769784872347535,42310
1769784872390317,42310
1769784872433299,42240
1769784872476355,42200
1769784872519642,42290
1769784872562162,42410
1769784872607211,42340
1769784872650429,42180
1769784872693628,42240
1769784872736582,42270
1769784872779552,42100
1769784872821998,26630
1769784872865069,38250
1769784872908235,41690
1769784872950793,42260
1769784872993696,42210
1769784873036844,42190
1769784873080113,42230
1769784873122773,42290
1769784873167330,42290
1769784873209818,42270
1769784873252973,42310
1769784873295846,42270
1769784873338531,42290
1769784873381567,42230
1769784873424636,42280
1769784873467501,42200
1769784873510502,42170
1769784873553098,42240
1769784873596337,42160
1769784873639486,42160
1769784873681952,42140
1769784873727509,42120
1769784873770601,42130
1769784873813521,41050
1769784873856683,36790
1769784873899621,41290
1769784873942373,42350
1769784873985451,42330
1769784874028536,42290
1769784874071337,42270
1769784874114326,42340
1769784874157077,42350
1769784874200538,42280
1769784874243246,42340
1769784874287649,42220
1769784874330594,42250
1769784874373553,42240
1769784874416406,42300
1769784874458954,42240
1769784874501619,42160
1769784874544935,42250
1769784874587777,42170
1769784874630824,42320
1769784874673675,42540
1769784874716864,42120
1769784874760072,42270
1769784874802937,42280
1769784874847647,42180
1769784874890712,42230
1769784874933678,42290
1769784874976676,42260
1769784875019709,42270
1769784875062558,42290
1769784875105251,42320
1769784875148011,42320
1769784875191200,42300
1769784875234024,42350
1769784875277065,42340
1769784875320140,42240
1769784875363181,42240
1769784875407813,42240
1769784875450901,42150
1769784875493945,42210
1769784875536921,42240
1769784875579086,42160
1769784875621790,42210
1769784875664818,42160
1769784875707324,42170
1769784875749769,42200
1769784875792186,42220
1769784875835256,42820
1769784875877879,42260
1769784875921058,25480
1769784875967883,17920
1769784876010693,22970
1769784876053486,23250
1769784876096351,23190
1769784876139293,23520
1769784876181807,18340
1769784876225006,19450
1769784876267960,23720
1769784876310680,23200
1769784876353567,23040
1769784876396506,23400
1769784876439254,18130
1769784876482274,19290
1769784876527994,23000
1769784876571089,23270
1769784876614310,23250
1769784876657483,18990
1769784876700366,20280
1769784876743547,22910
1769784876786422,24190
1769784876829383,22170
1769784876872564,35160
1769784876915537,42020
1769784876958703,42280
1769784877001554,42160
1769784877048019,42170
1769784877091101,42240
1769784877134142,42130
1769784877177286,42040
1769784877221062,42100
1769784877263941,42070
1769784877306600,42120
1769784877349609,42120
1769784877392652,42100
1769784877435842,42080
1769784877478647,42070
1769784877521541,42210
1769784877568065,42160
1769784877611180,42150
1769784877654300,42150
1769784877697376,42250
1769784877740522,42150
1769784877783620,42180
1769784877826235,42170
1769784877869432,42080
1769784877912529,42210
1769784877955516,26430
1769784877998777,23920
1769784878042020,23140
1769784878088180,19200
1769784878130776,21780
1769784878173919,23650
1769784878216163,23400
1769784878258764,18230
1769784878301772,19270
1769784878344905,23600
1769784878387623,22880
1769784878430485,23840
1769784878473488,20370
1769784878516515,20500
1769784878559448,24040
1769784878601887,19750
1769784878648031,22300
1769784878691285,24670
1769784878733783,21250
1769784878776986,20170
1769784878819876,22020
1769784878863086,38210
1769784878906176,42060
1769784878949303,42480
1769784878992335,42290
1769784879035519,42230
1769784879078495,42280
1769784879121594,42370
1769784879168167,42190
1769784879210775,42220
1769784879253843,42290
1769784879296995,42180
1769784879340021,42200
1769784879383082,42190
1769784879426239,42210
1769784879469244,42210
1769784879511882,42160
1769784879555093,42240
1769784879597545,42200
1769784879640480,42090
1769784879683501,42190
1769784879728125,42260
1769784879771195,42110
1769784879814443,42200
1769784879857509,42160
1769784879900464,42180
1769784879943623,42210
1769784879986239,30720
1769784880029392,20720
1769784880072554,22600
1769784880115507,22480
1769784880158342,21690
1769784880201372,18960
1769784880244026,21370
1769784880288075,20010
1769784880330796,19880
1769784880373838,23880
1769784880416943,19330
1769784880459993,21150
1769784880502860,23070
1769784880545889,22950
1769784880589125,19580
1769784880631636,17720
1769784880674484,22890
1769784880717669,22740
1769784880760862,22830
1769784880803800,22860
1769784880848136,35750
1769784880890611,42230
1769784880933671,42330
1769784880976670,42240
1769784881019820,42260
1769784881062966,42220
1769784881105922,42160
1769784881148981,42270
1769784881192010,42180
1769784881235116,42220
1769784881277974,42160
1769784881320979,42140
1769784881364086,42190
1769784881407970,42140
1769784881450558,42160
1769784881493676,42180
1769784881536711,42190
1769784881579453,42110
