unix_timestamp,active_power (mW)
1769787117889677,38980
1769787117932684,42680
1769787117975466,43070
1769787118018599,42990
1769787118061653,42990
1769787118108566,43060
1769787118151357,42960
1769787118193918,42950
1769787118237145,43010
1769787118280258,43110
1769787118323358,43050
1769787118366457,42930
1769787118409566,42920
1769787118452085,42940
1769787118495019,42920
1769787118538172,42920
1769787118581099,42860
1769787118624215,42940
1769787118668716,42920
1769787118711374,42880
1769787118753917,42930
1769787118796894,42910
1769787118840073,42940
1769787118883117,42890
1769787118926172,42890
1769787118969345,42920
1769787119012262,42940
1769787119054884,42890
1769787119097989,42860
1769787119141002,43010
1769787119184071,42960
1769787119228726,43160
1769787119271877,43050
1769787119314887,43170
1769787119357785,42910
1769787119400940,42860
1769787119444124,42860
1769787119487166,39700
1769787119529920,17750
1769787119573129,20000
1769787119616114,22760
1769787119658564,22660
1769787119701653,23110
1769787119744664,22760
1769787119789047,20810
1769787119832201,22520
1769787119875222,38970
1769787119918271,42830
1769787119961405,43080
1769787120003711,42960
1769787120046704,42870
1769787120089638,42870
1769787120132611,42890
1769787120175081,42830
1769787120217827,42830
1769787120260769,42790
1769787120303581,42820
1769787120349100,42800
1769787120392153,42800
1769787120434604,42920
1769787120477555,42880
1769787120520551,42860
1769787120563667,42950
1769787120606239,42880
1769787120649363,42970
1769787120692335,42860
1769787120735083,42930
1769787120778111,42830
1769787120821274,42870
1769787120864258,42870
1769787120909372,42930
1769787120952467,42920
1769787120995514,42960
1769787121038480,42870
1769787121081531,42920
1769787121124656,42830
1769787121167501,42970
1769787121209846,42900
1769787121252872,42860
1769787121295954,43140
1769787121339141,42940
1769787121382319,42940
1769787121429570,42930
1769787121472324,42910
1769787121514681,41330
1769787121557743,23710
1769787121600996,17860
1769787121643947,21040
1769787121686885,22060
1769787121730040,23900
1769787121773073,23080
1769787121816065,20400
1769787121859059,19350
1769787121901567,38600
1769787121944494,43230
1769787121989595,42820
1769787122032676,42920
1769787122075651,42860
1769787122118583,42770
1769787122161337,42860
1769787122204142,42790
1769787122247025,42900
1769787122290044,42860
1769787122333137,43110
1769787122376258,42850
1769787122419313,42830
1769787122462517,42980
1769787122505748,42920
1769787122549671,42870
1769787122592540,42800
1769787122635560,42780
1769787122678358,42860
1769787122721525,42880
1769787122764698,42850
1769787122807496,42830
1769787122850444,42850
1769787122893345,42800
1769787122936073,42830
1769787122979146,42910
1769787123022264,42920
1769787123065146,42850
1769787123109857,42930
1769787123152967,42930
1769787123195632,42820
1769787123238158,43020
1769787123281251,42910
1769787123324263,43100
1769787123367243,42920
1769787123410456,43360
1769787123453618,43010
1769787123496582,42950
1769787123539687,42990
1769787123582352,42910
1769787123625524,23890
1769787123670277,19900
1769787123713095,18890
1769787123756305,22440
1769787123799393,23120
1769787123842406,22720
1769787123885505,36880
1769787123928418,42660
1769787123971626,43170
1769787124014530,42970
1769787124057507,42950
1769787124100611,42900
1769787124143210,42900
1769787124185664,42850
1769787124230373,42820
1769787124273403,42850
1769787124316390,42820
1769787124359474,42810
1769787124401739,42870
1769787124444679,42800
