unix_timestamp,active_power (mW)
1769789286950203,44280
1769789286992898,43640
1769789287035904,43520
1769789287078993,43540
1769789287122176,43550
1769789287165263,43470
1769789287208497,43470
1769789287251358,43490
1769789287294365,43510
1769789287339029,43450
1769789287381836,43420
1769789287424844,43390
1769789287467838,43320
1769789287510398,43380
1769789287553566,43410
1769789287596466,43390
1769789287639403,43350
1769789287681882,43380
1769789287725009,43430
1769789287767983,43410
1769789287811101,43420
1769789287854332,43430
1769789287899054,43450
1769789287942190,43470
1769789287985392,43390
1769789288028388,43470
1769789288071417,43500
1769789288114078,43520
1769789288156457,43630
1769789288199622,46440
1769789288242780,43460
1769789288285727,43400
1769789288328440,43400
1769789288371432,27470
1769789288414942,26210
1769789288459045,22350
1769789288502195,21960
1769789288545423,23560
1769789288587904,24540
1769789288631104,26480
1769789288673983,21390
1769789288717098,23610
1769789288759966,23930
1769789288802699,25430
1769789288845948,25150
1769789288888949,24150
1769789288932123,41560
1769789288979107,43470
1769789289022099,43420
1769789289065116,43410
1769789289108305,43390
1769789289151505,43390
1769789289194477,43430
1769789289237083,43470
1769789289280089,43330
1769789289322737,43310
1769789289365797,43380
1769789289408968,43340
1769789289451981,43480
1769789289494583,43290
1769789289539043,43270
1769789289582195,43310
1769789289625306,43390
1769789289668084,43400
1769789289711027,43410
1769789289754286,43410
1769789289797498,43450
1769789289840477,43400
1769789289883668,43390
1769789289926425,43500
1769789289969602,43810
1769789290012762,44000
1769789290058970,43860
1769789290101949,43950
1769789290145013,44180
1769789290188166,43960
1769789290231446,43900
1769789290274212,43920
1769789290317224,43970
1769789290360279,43850
1769789290403320,30980
1769789290446453,24400
1769789290489684,24750
1769789290532772,25310
1769789290579027,21380
1769789290621368,24100
1769789290664886,26190
1769789290707738,21290
1769789290750402,24180
1769789290792784,26210
1769789290835575,21300
1769789290878753,24410
1769789290921835,43800
1769789290964614,43540
1769789291007492,43440
1769789291050365,43400
1769789291093229,43420
1769789291139036,43510
1769789291182091,43200
1769789291225358,43300
1769789291268298,43770
1769789291311026,44220
1769789291353967,43190
1769789291397233,43310
1769789291440383,43310
1769789291483217,43290
1769789291526271,43360
1769789291568705,43350
1769789291611717,43370
1769789291658858,43360
1769789291701320,43370
1769789291744295,43340
1769789291787057,43380
1769789291830258,43480
1769789291873429,43390
1769789291916416,43400
1769789291959484,43850
1769789292002391,43960
1769789292045601,43970
1769789292088465,44020
1769789292131353,43980
1769789292173868,43880
1769789292218923,43860
1769789292261983,44030
1769789292304421,43900
1769789292347451,43950
1769789292390535,43870
1769789292433562,31010
1769789292476556,24420
1769789292519724,24780
1769789292562383,25410
1769789292605492,24650
1769789292648385,21970
1769789292690716,22000
1769789292733843,23520
1769789292778823,23530
1769789292821855,25320
1769789292864934,25310
1769789292907378,43160
1769789292949726,44400
1769789292992833,44080
1769789293035735,43940
1769789293078558,43880
1769789293121836,43870
1769789293164938,44020
1769789293208092,43970
1769789293250689,43840
1769789293293994,43900
1769789293338646,43970
1769789293381466,43930
1769789293424627,43950
1769789293467491,43970
1769789293510048,43980
1769789293553128,43930
1769789293596005,44000
1769789293639224,43950
1769789293683958,43980
1769789293726740,43860
1769789293769893,43880
1769789293813076,43870
1769789293858459,43830
1769789293901635,43870
1769789293944809,43910
1769789293987782,43970
1769789294030845,43960
1769789294073458,43890
1769789294116635,44010
1769789294159826,44040
1769789294202547,43980
1769789294245551,44150
1769789294288777,43980
1769789294331808,44530
1769789294378721,44690
1769789294421794,31310
1769789294465256,24570
1769789294508251,24660
1769789294551329,25580
1769789294594030,21100
1769789294637133,24290
1769789294680122,26180
1769789294722455,21260
1769789294765713,24240
1769789294808977,26220
1769789294852084,21160
1769789294898218,43950
1769789294941205,43750
1769789294983777,43560
1769789295026905,43470
1769789295069955,43470
1769789295112946,43560
1769789295155873,43470
1769789295198891,43420
1769789295241864,43360
1769789295285015,43510
1769789295328121,43310
1769789295371048,43330
1769789295417887,43530
1769789295461017,43480
1769789295503878,43470
1769789295547075,43400
1769789295589970,43400
1769789295633157,43290
1769789295676411,43330
1769789295719055,43320
1769789295761957,43340
1769789295804773,43500
1769789295847989,43480
1769789295891448,43500
1769789295937861,43510
1769789295980826,43470
1769789296023730,43520
1769789296066906,43520
1769789296110196,43500
1769789296152778,43400
1769789296195951,43400
1769789296238983,43410
1769789296282148,43620
1769789296325130,43360
1769789296368416,43420
1769789296411511,43360
1769789296457777,43950
1769789296500765,43920
1769789296543691,26950
1769789296586796,20900
1769789296629880,24110
1769789296672927,26090
1769789296715798,21140
1769789296758580,24060
1769789296801469,26110
1769789296843940,21250
1769789296886877,24240
1769789296929199,43220
1769789296972336,43660
1769789297017569,43460
1769789297060702,43520
1769789297103474,43400
1769789297145885,43360
1769789297189156,43480
1769789297231982,43280
1769789297275175,43260
1769789297318402,43330
1769789297361467,43330
1769789297404324,43310
1769789297447008,43380
1769789297489779,43320
1769789297532876,43250
1769789297577167,43280
1769789297620337,43350
1769789297663127,43350
1769789297707092,43440
1769789297749500,43340
1769789297792426,43290
1769789297835448,43300
1769789297878570,43310
1769789297921634,43430
1769789297964875,43970
1769789298007949,43950
1769789298050946,43980
1769789298097045,44030
1769789298140060,43940
1769789298183034,43950
1769789298226191,43950
1769789298269434,43920
1769789298312413,43970
1769789298355312,44000
1769789298398425,44420
1769789298441488,43880
1769789298484375,44030
1769789298527441,44090
1769789298570520,44070
1769789298616888,26000
1769789298659925,24630
1769789298703146,21800
1769789298745815,21910
1769789298788837,23400
1769789298831996,23220
1769789298874615,25490
1769789298917674,43540
1769789298960863,44260
1769789299003604,44020
1769789299046592,43960
1769789299089762,43850
1769789299136564,44050
1769789299179804,43970
1769789299222447,43950
1769789299265383,44100
1769789299308520,43790
1769789299351206,43810
1769789299393836,43770
1769789299437025,44770
1769789299480187,43720
1769789299523065,43900
1769789299566199,43900
1769789299609046,43940
1769789299651975,43990
1769789299696254,43930
1769789299739130,43940
1769789299781869,43910
1769789299825052,43870
1769789299867894,43870
1769789299910518,43840
1769789299953665,43910
1769789299996807,43920
1769789300039898,44000
1769789300082692,43900
1769789300125788,43980
1769789300168902,44020
1769789300211872,44000
1769789300256162,44040
1769789300299327,43980
1769789300342524,44010
1769789300385402,44110
1769789300428272,43730
1769789300471416,43330
1769789300513983,43370
1769789300557184,43460
1769789300600485,43390
1769789300643555,32510
1769789300686710,23550
1769789300729134,24970
1769789300771388,24730
1769789300816055,20190
1769789300859555,22250
1769789300902072,43880
1769789300945267,43820
1769789300988274,43480
1769789301030993,43380
1769789301074102,43470
1769789301117262,43490
1769789301160474,43520
1769789301203396,43380
1769789301245838,43390
1769789301289042,43390
1769789301335846,43290
1769789301378972,43380
1769789301422148,43350
1769789301465275,43390
1769789301508237,43320
1769789301551017,43310
1769789301593956,43370
1769789301636946,43340
1769789301680101,43380
1769789301723500,43340
1769789301765963,43290
1769789301809097,43300
1769789301855569,43320
1769789301898724,43340
1769789301941875,43400
1769789301984935,43380
1769789302027973,43490
1769789302070988,43440
1769789302114090,43370
1769789302157224,43350
1769789302200380,43350
1769789302243399,43350
1769789302286504,43330
1769789302329712,43380
1769789302375518,43380
1769789302417872,43840
1769789302461044,44060
1769789302503856,44080
1769789302546402,44030
1769789302589325,44010
1769789302632428,43970
1769789302675087,41220
1769789302718170,19530
1769789302761315,22610
1769789302804380,23840
1769789302846960,24520
1769789302889618,24830
1769789302935275,44010
1769789302977716,44190
1769789303020908,44110
1769789303063485,44170
1769789303106457,44160
1769789303149415,44100
1769789303192428,44000
1769789303235408,43960
1769789303277977,44090
1769789303320935,43910
1769789303363906,43980
1769789303406936,44010
1769789303450077,43910
1769789303495094,43980
1769789303538323,44020
1769789303581382,44010
1769789303624260,44010
1769789303666983,43890
1769789303709957,43920
1769789303752328,43900
1769789303795037,43890
1769789303838139,43900
1769789303881249,43910
1769789303924209,43950
1769789303967440,43530
1769789304009725,43430
1769789304055014,43390
1769789304098069,43430
1769789304141310,43400
1769789304184249,43370
1769789304227321,43350
1769789304270599,43330
1769789304313810,43280
1769789304356916,43370
1769789304399668,43320
1769789304442632,43590
1769789304485544,44130
1769789304528506,43910
1769789304574903,43990
1769789304618005,44000
1769789304661223,44030
1769789304704418,43510
1769789304747550,24520
1769789304789982,22800
1769789304832997,20470
1769789304875713,22670
1769789304918895,42680
1769789304961917,43640
1769789305005083,43520
1769789305047860,43410
1769789305094614,43450
1769789305137551,43420
1769789305180757,43500
1769789305223837,43400
1769789305266602,43390
1769789305309572,43460
1769789305352695,43350
1769789305395717,43380
1769789305438416,43390
1769789305481583,43350
1769789305524642,43280
1769789305567643,43320
1769789305610387,43330
1769789305654498,43440
1769789305697575,43380
1769789305740515,43340
1769789305783339,43420
1769789305825837,43430
1769789305868911,43330
1769789305912166,43390
1769789305955378,43870
1769789305998361,43940
1769789306040619,43910
1769789306083233,43940
1769789306125739,43900
1769789306168911,43930
1769789306214279,43970
1769789306257453,43960
1769789306300286,44080
1769789306343519,44010
1769789306385939,43990
1769789306429107,43720
1769789306472235,43410
