unix_timestamp,active_power (mW)
1769790625117382,39070
1769790625162152,43720
1769790625205271,43650
1769790625248369,43520
1769790625291179,43590
1769790625333723,43550
1769790625376719,43640
1769790625419858,43630
1769790625462600,43940
1769790625505743,43930
1769790625548861,43610
1769790625591747,43590
1769790625634071,43600
1769790625676695,43590
1769790625721758,43530
1769790625764806,43540
1769790625807996,43580
1769790625850605,43670
1769790625893701,43650
1769790625936196,43560
1769790625979356,43560
1769790626022432,43550
1769790626065681,43590
1769790626108892,43610
1769790626152043,43500
1769790626194824,43560
1769790626241338,43610
1769790626284007,43610
1769790626326990,43570
1769790626370055,43490
1769790626413202,43580
1769790626456373,43820
1769790626499265,43690
1769790626541684,43760
1769790626584816,43730
1769790626628035,43780
1769790626671199,43790
1769790626714383,43780
1769790626760906,26480
1769790626803941,24200
1769790626847161,24710
1769790626889594,25770
1769790626932453,44840
1769790626975373,43630
1769790627017774,43600
1769790627060866,43560
1769790627103817,43560
1769790627146602,43550
1769790627189584,43500
1769790627231799,43480
1769790627275446,43500
1769790627320563,43540
1769790627363559,43520
1769790627406536,43500
1769790627449606,43370
1769790627492606,43730
1769790627535548,43570
1769790627578627,43630
1769790627621703,43490
1769790627664747,43430
1769790627707741,43500
1769790627750503,43610
1769790627793591,43600
1769790627840122,43420
1769790627882737,43420
1769790627925854,43560
1769790627968906,43560
1769790628012026,43510
1769790628054379,43470
1769790628097438,43470
1769790628140452,43370
1769790628183110,43510
1769790628226124,43510
1769790628269306,43610
1769790628312371,43550
1769790628355070,43390
1769790628399732,43470
1769790628442730,43540
1769790628485700,43540
1769790628528820,43450
1769790628571929,43410
1769790628614970,43500
1769790628657936,43640
1769790628700976,43570
1769790628744031,43470
1769790628786674,30970
1769790628829804,24590
1769790628872813,24950
1769790628915212,25970
1769790628959303,43540
1769790629002392,43500
1769790629045536,43520
1769790629088650,43630
1769790629131598,43610
1769790629174699,43670
1769790629217932,43470
1769790629261036,43450
1769790629303875,43540
1769790629347052,43620
1769790629390251,43610
1769790629433222,43500
1769790629478957,43360
1769790629521795,43850
1769790629564830,43590
1769790629608073,43560
1769790629651229,43840
1769790629694351,44360
1769790629737609,43630
1769790629780443,43620
1769790629823242,26800
1769790629865731,21540
1769790629908898,25800
1769790629952015,46640
1769790629998599,43660
1769790630041745,43610
1769790630084902,43740
1769790630127903,43620
1769790630170746,44040
1769790630213754,44150
1769790630256896,43570
1769790630299693,43510
1769790630342770,43560
1769790630385785,43550
1769790630428858,43510
1769790630471351,43490
1769790630518184,43610
1769790630561224,43540
1769790630603519,43560
1769790630646574,43470
1769790630689896,43440
1769790630732919,43570
1769790630775952,43550
1769790630818577,43620
1769790630861851,43610
1769790630904353,43520
1769790630947228,43480
1769790630989786,43400
1769790631032869,43520
1769790631077945,43580
1769790631120934,43810
1769790631163805,43610
1769790631207022,43570
1769790631249893,43570
1769790631293069,43710
1769790631336047,43600
1769790631379184,43610
1769790631421775,43600
1769790631464795,43630
1769790631507955,43550
1769790631551014,43580
1769790631597760,43660
1769790631640697,43690
1769790631683711,43550
1769790631726460,43590
1769790631769547,43560
1769790631812514,43490
1769790631855510,28500
1769790631898711,27200
1769790631941708,44140
1769790631984816,43820
1769790632027889,43670
1769790632070918,43670
1769790632117296,43760
1769790632160368,43710
1769790632203590,43570
1769790632246694,43560
1769790632289590,43630
1769790632332747,43680
1769790632375556,43650
1769790632418707,43570
1769790632461733,43600
1769790632504808,43570
1769790632547688,43530
1769790632590778,43570
1769790632636967,43660
1769790632679757,43660
1769790632722290,43640
1769790632765304,43730
1769790632808310,43530
1769790632850764,42030
1769790632893235,25480
1769790632936278,43940
1769790632978938,43820
1769790633021400,43640
1769790633064499,43600
1769790633107094,43470
1769790633149880,43360
1769790633192585,43570
1769790633236653,43570
1769790633279687,43590
1769790633322788,43540
1769790633365768,43500
1769790633408915,43430
1769790633452202,43500
1769790633494829,43480
1769790633537911,43490
1769790633580875,43400
1769790633624001,43380
1769790633667071,43720
1769790633710107,44060
1769790633756246,43510
1769790633799318,43380
1769790633841701,43440
1769790633884716,32890
1769790633927767,46620
1769790633970612,44220
1769790634013919,43590
1769790634057121,43590
1769790634100021,43640
1769790634142695,43530
1769790634185908,43390
1769790634228893,43490
1769790634276045,43530
1769790634318677,43490
1769790634361625,43630
1769790634404829,43530
1769790634447946,43420
1769790634490710,43500
1769790634533724,43530
1769790634576769,43560
1769790634619687,43620
1769790634662403,43540
1769790634705415,43520
1769790634748498,43510
1769790634791351,43580
1769790634835591,43580
1769790634878714,43520
1769790634921909,43470
1769790634965080,43420
1769790635008195,43580
1769790635051200,43670
1769790635094076,43560
1769790635137200,43470
1769790635180226,43530
1769790635222815,43540
1769790635265863,43540
1769790635308082,43960
1769790635351071,44310
1769790635395308,43670
1769790635437710,43600
1769790635480924,43540
1769790635523755,43530
1769790635566832,43600
1769790635609906,43570
1769790635653050,43660
1769790635695846,43810
1769790635738258,43680
1769790635780641,43650
1769790635823615,43650
1769790635866527,43550
1769790635909286,43540
1769790635955086,19970
1769790635997605,23550
1769790636039798,23940
1769790636082678,25450
1769790636125862,24950
1769790636169062,24380
1769790636211614,22500
1769790636254390,22130
1769790636297447,23720
1769790636340399,24170
1769790636383522,24660
1769790636426728,26610
1769790636469931,21680
1769790636514635,26400
1769790636557705,21540
1769790636600643,24110
1769790636643802,26320
1769790636686703,21310
1769790636729851,24120
1769790636772779,26340
1769790636815743,21320
1769790636858499,24350
1769790636901642,26480
1769790636944795,43480
1769790636987920,43860
1769790637034398,43580
1769790637077348,43560
1769790637120434,43600
1769790637163207,43660
1769790637205628,43590
1769790637248731,43550
1769790637291843,43540
1769790637334975,43470
1769790637378028,43420
1769790637421105,43360
1769790637464276,43460
1769790637507020,43570
1769790637549744,43520
1769790637594184,43400
1769790637637277,43390
1769790637680318,43420
1769790637723386,43830
1769790637765966,43550
1769790637808514,43950
1769790637851773,43410
1769790637894818,43760
1769790637937764,43520
1769790637980921,43320
1769790638023786,25290
1769790638066615,23080
1769790638109692,21420
1769790638153776,26130
1769790638196912,21160
1769790638239903,23950
1769790638282851,26250
1769790638325848,21490
1769790638369008,24200
1769790638412170,26300
1769790638455391,21380
1769790638497910,24210
1769790638540916,26240
1769790638583981,21170
1769790638627050,24190
1769790638673498,21370
1769790638716340,24150
1769790638759028,26290
1769790638801859,21270
1769790638844884,23990
1769790638888003,26310
1769790638931528,42870
1769790638974740,43890
1769790639017468,43570
1769790639060524,43450
1769790639103224,43380
1769790639145983,43640
1769790639189245,43530
1769790639233286,43550
1769790639276182,43600
1769790639318821,43320
1769790639361973,43300
1769790639405072,43340
1769790639448042,43360
1769790639491129,43370
1769790639533615,43490
1769790639576681,43420
1769790639619489,43500
1769790639662536,43490
1769790639705881,43410
1769790639752988,43450
1769790639796094,43490
1769790639839091,43820
1769790639881612,43510
1769790639924670,43620
1769790639967736,43560
1769790640010762,43430
1769790640053924,26610
1769790640097116,25930
1769790640140177,23860
1769790640182608,21100
1769790640225288,24130
