unix_timestamp,active_power (mW)
1769791205425160,44090
1769791205468119,44150
1769791205510776,43960
1769791205553327,44020
1769791205596486,44060
1769791205639642,44040
1769791205682149,44120
1769791205725413,44130
1769791205768581,44030
1769791205811521,44020
1769791205853840,43940
1769791205897057,44060
1769791205943110,44170
1769791205986202,44090
1769791206029083,44030
1769791206072278,44010
1769791206115406,44050
1769791206157699,44120
1769791206200866,44230
1769791206244047,44190
1769791206287110,44080
1769791206329947,44130
1769791206372973,44010
1769791206416014,44080
1769791206462923,18120
1769791206505582,18810
1769791206548656,23290
1769791206591300,18850
1769791206634057,19260
1769791206676990,22020
1769791206719892,22020
1769791206762156,22660
1769791206804556,17440
1769791206847654,18130
1769791206890478,22330
1769791206933670,37480
1769791206976567,44300
1769791207022630,44090
1769791207065748,44260
1769791207108937,44040
1769791207152069,44650
1769791207194623,44140
1769791207237848,44060
1769791207281016,44110
1769791207324156,44090
1769791207366825,44010
1769791207409889,43990
1769791207452829,44070
1769791207495904,44050
1769791207542509,44100
1769791207585541,44060
1769791207628601,44030
1769791207670826,43950
1769791207713749,44050
1769791207756729,43900
1769791207799704,44130
1769791207842738,44070
1769791207885839,44020
1769791207928904,43970
1769791207971942,44000
1769791208014939,44110
1769791208058115,44140
1769791208102025,44080
1769791208145003,44000
1769791208187931,43970
1769791208231125,44000
1769791208273834,44090
1769791208316821,44140
1769791208359943,34830
1769791208402495,19610
1769791208444929,22070
1769791208487464,22320
1769791208530583,19370
1769791208573518,17750
1769791208616580,20760
1769791208661738,22310
1769791208704842,22290
1769791208747662,18620
1769791208790757,19330
1769791208833864,22410
1769791208876780,22290
1769791208919020,33510
1769791208961753,44480
1769791209004667,44100
1769791209046973,44110
1769791209089959,44090
1769791209132988,44270
1769791209175423,44270
1769791209221260,44020
1769791209264546,43950
1769791209307165,43930
1769791209350068,43970
1769791209393136,44030
1769791209436153,44140
1769791209479036,44090
1769791209521840,44020
1769791209564935,43990
1769791209608006,43950
1769791209650771,43970
1769791209693931,44010
1769791209737107,43970
1769791209780974,44090
1769791209824109,44040
1769791209867094,43990
1769791209909844,44100
1769791209953049,44050
1769791209996144,44020
1769791210039135,44150
1769791210081645,44170
1769791210124797,44110
1769791210167948,44200
1769791210210730,44070
1769791210253943,43970
1769791210300780,43970
1769791210343885,43920
1769791210386569,42290
1769791210429645,21810
1769791210472783,17620
1769791210515664,18910
1769791210558672,22080
1769791210601769,22520
1769791210644894,22300
1769791210689346,21380
1769791210732462,18790
1769791210775299,21040
1769791210820701,19550
1769791210863892,19770
1769791210906950,37190
1769791210949795,42830
1769791210992975,44490
1769791211035947,44190
1769791211078997,44140
1769791211122010,44080
1769791211165147,44060
1769791211208275,44380
1769791211251544,44610
1769791211294672,43900
1769791211340406,43990
1769791211383184,43990
1769791211426328,44020
1769791211469491,43960
1769791211512095,43990
1769791211555278,43980
1769791211598378,44080
1769791211641564,44070
1769791211684539,44050
1769791211727432,43920
1769791211769801,43950
1769791211812913,44050
1769791211856020,44050
1769791211900105,44140
1769791211943225,44230
1769791211985950,44100
1769791212028957,44050
1769791212071948,44000
1769791212115010,44030
1769791212158110,44020
1769791212201079,44000
1769791212243828,43950
1769791212286785,44050
1769791212329977,44160
1769791212372236,44090
1769791212415278,44120
1769791212460018,19980
1769791212502787,21930
1769791212546010,23010
1769791212589185,23670
1769791212632115,22830
1769791212675231,20510
1769791212717822,19300
1769791212760953,23700
1769791212803876,23090
1769791212846833,24210
1769791212889805,23020
1769791212933009,33240
1769791212979807,44360
1769791213022948,44240
1769791213066100,44140
1769791213108659,44040
1769791213151797,44220
1769791213194384,44040
1769791213237596,44310
1769791213280748,44100
1769791213323840,44100
1769791213366746,44080
1769791213409908,44050
1769791213452860,44050
1769791213495368,44060
1769791213539707,43980
1769791213582779,43940
1769791213625997,44070
1769791213669093,43980
1769791213711633,44020
1769791213754466,44030
1769791213797290,44130
1769791213840449,44190
1769791213883473,44160
1769791213926597,44070
1769791213969654,44130
1769791214012649,44050
1769791214059558,44070
1769791214102686,43990
1769791214145787,44010
1769791214188871,44150
1769791214231722,44150
1769791214274700,44120
1769791214317950,44080
1769791214360931,44110
1769791214403637,44200
1769791214446732,42390
1769791214489753,25830
1769791214532816,23100
1769791214579321,21370
1769791214622489,26190
1769791214665703,24630
1769791214708753,25460
1769791214751738,24430
1769791214794507,22330
1769791214837725,21840
1769791214880931,24300
1769791214923782,36760
1769791214966665,44380
1769791215009789,44290
1769791215052847,44200
1769791215099104,44080
1769791215142115,44060
1769791215185174,44050
1769791215228279,44010
1769791215271417,44270
1769791215313721,44210
1769791215356863,44110
1769791215400012,44170
1769791215442565,44100
1769791215485743,44210
1769791215528939,44140
1769791215572143,44070
1769791215614739,44050
1769791215658986,44010
1769791215701851,44050
1769791215744292,43960
1769791215787115,44050
1769791215830014,44030
1769791215873069,44030
1769791215916023,44100
1769791215959133,44180
1769791216002193,44120
1769791216045297,44110
1769791216088394,44130
1769791216131403,44110
1769791216174417,44100
1769791216218845,44060
1769791216261898,44070
1769791216304872,44050
1769791216348074,44100
1769791216391002,44050
1769791216433778,44090
1769791216476938,44200
1769791216520111,44090
1769791216563300,32210
1769791216605805,24350
1769791216648970,24850
1769791216691867,25460
1769791216734407,24630
1769791216778727,24710
1769791216821869,21310
1769791216865004,24600
1769791216908118,36930
1769791216951086,43050
1769791216994042,44330
1769791217037247,44100
1769791217080379,44030
1769791217123515,44080
1769791217166472,44090
1769791217209593,44260
1769791217252538,44090
1769791217298656,44340
1769791217341750,44070
1769791217384838,44130
1769791217427487,44140
1769791217470687,44090
1769791217513275,44090
1769791217556320,44060
1769791217599025,44130
1769791217641969,44000
1769791217684987,44070
1769791217728982,44040
1769791217771963,44030
1769791217818426,44160
1769791217860971,44050
1769791217903799,44090
1769791217946959,44130
1769791217990087,44170
1769791218033055,44100
1769791218076053,44050
1769791218119143,44090
1769791218161788,44050
1769791218204911,44080
