unix_timestamp,active_power (mW)
1769770506963634,24800
1769770507006458,45900
1769770507049569,43420
1769770507092622,43360
1769770507135645,43400
1769770507182168,43330
1769770507225291,43300
1769770507268248,43370
1769770507311061,46330
1769770507353892,43320
1769770507397165,43420
1769770507440251,43400
1769770507483384,43530
1769770507526040,43520
1769770507569236,43450
1769770507612249,43560
1769770507655263,43490
1769770507697804,43500
1769770507742183,43480
1769770507785196,43450
1769770507828052,43440
1769770507870622,43360
1769770507913622,43360
1769770507956657,43420
1769770507999833,43350
1769770508042874,43320
1769770508085912,43390
1769770508128429,43440
1769770508171776,43320
1769770508214421,43330
1769770508257392,43340
1769770508302131,43410
1769770508345218,43530
1769770508388430,43500
1769770508431009,43480
1769770508474164,43560
1769770508517301,43520
1769770508560479,43530
1769770508603326,43550
1769770508645879,43490
1769770508689032,43540
1769770508731571,43690
1769770508774128,43590
1769770508817281,43570
1769770508861927,43520
1769770508905005,43470
1769770508947985,43480
1769770508991250,43420
1769770509034351,43420
1769770509077552,43340
1769770509120728,43490
1769770509163945,43550
1769770509206440,43330
1769770509249428,43340
1769770509292574,43570
1769770509335411,43380
1769770509381932,44390
1769770509425046,44220
1769770509468116,43790
1769770509511182,43560
1769770509554320,43530
1769770509597380,43570
1769770509640411,43590
1769770509683530,43520
1769770509726710,43530
1769770509769871,43540
1769770509812900,43430
1769770509855706,43360
1769770509901862,43380
1769770509944537,43360
1769770509987407,43440
1769770510029952,43370
1769770510072962,43390
1769770510115992,43460
1769770510158824,43530
1769770510202049,43580
1769770510245037,43490
1769770510288094,43600
1769770510330786,43540
1769770510373776,43540
1769770510416928,43640
1769770510461663,43570
1769770510504360,43540
1769770510546716,43500
1769770510589847,43480
1769770510632300,43440
1769770510675190,43470
1769770510718240,43410
1769770510761226,43350
1769770510804402,43560
1769770510847062,43390
1769770510890145,43380
1769770510933270,43310
1769770510976213,43420
1769770511021566,43440
1769770511064724,43430
1769770511107837,43490
1769770511150541,43600
1769770511193660,43470
1769770511236784,43510
1769770511279784,43460
1769770511322905,43530
1769770511366134,43520
1769770511408507,43590
1769770511451124,43610
1769770511494189,43520
1769770511537029,43590
1769770511581537,43470
1769770511624697,43460
1769770511667626,43410
1769770511710438,43400
1769770511754485,43260
1769770511797061,43320
1769770511840055,43230
1769770511883183,43280
1769770511926262,43370
1769770511969163,43360
1769770512012057,43380
1769770512055266,43350
1769770512101409,43420
1769770512144575,43490
1769770512186953,43540
1769770512230054,43470
1769770512273104,43530
1769770512315460,43530
1769770512358399,43480
1769770512401302,43590
1769770512444231,43590
1769770512487346,43440
1769770512529889,43430
1769770512573025,43430
1769770512616203,43430
1769770512661294,43380
1769770512704465,43310
1769770512747210,43340
1769770512789814,43320
1769770512833048,43360
1769770512875934,43370
1769770512918592,43400
1769770512961161,43240
1769770513004063,43290
1769770513046641,43350
1769770513089000,43350
1769770513132206,43410
1769770513175230,43500
1769770513221321,43400
1769770513264099,43540
1769770513306892,43520
