unix_timestamp,active_power (mW)
1769770934321975,22360
1769770934364621,43570
1769770934407620,44410
1769770934450206,44100
1769770934493359,44100
1769770934536196,44090
1769770934579366,43980
1769770934622342,44040
1769770934668872,44060
1769770934711881,44120
1769770934754591,44110
1769770934797763,44210
1769770934840993,44080
1769770934883937,44120
1769770934927068,44100
1769770934970140,44050
1769770935013368,44060
1769770935056567,44090
1769770935099808,44020
1769770935142389,43990
1769770935188746,44030
1769770935231805,44050
1769770935274785,44000
1769770935317612,43940
1769770935360634,43970
1769770935403710,44020
1769770935446816,43950
1769770935489689,44030
1769770935532847,44000
1769770935575268,43980
1769770935618381,43970
1769770935661541,44070
1769770935704710,44000
1769770935748707,44090
1769770935791049,44020
1769770935834002,44010
1769770935876934,43990
1769770935919881,44080
1769770935962446,44050
1769770936005740,43960
1769770936048938,43960
1769770936091752,43950
1769770936135025,43950
1769770936177901,44000
1769770936221087,43970
1769770936263889,43930
1769770936308646,43950
1769770936351691,43980
1769770936394291,43900
1769770936437428,43980
1769770936480646,44000
1769770936523596,43950
1769770936566367,43970
1769770936609546,44050
1769770936652710,43950
1769770936695792,44010
1769770936738473,44030
1769770936781545,44190
1769770936828509,44050
1769770936871685,43950
1769770936914832,44030
1769770936957952,44000
1769770937000952,44030
1769770937043890,44070
1769770937087079,43950
1769770937130176,43980
1769770937173452,44100
1769770937216674,44010
1769770937259766,43880
1769770937302649,44090
1769770937348476,43970
1769770937391393,43960
1769770937433772,43900
1769770937476567,43900
1769770937519782,43980
1769770937563136,43930
1769770937605982,44020
1769770937649160,44050
1769770937692186,44000
1769770937735183,43980
1769770937777630,44000
1769770937820489,44000
1769770937863592,44010
1769770937908290,44000
1769770937951154,43990
1769770937993809,43980
1769770938036794,44000
1769770938079329,43980
1769770938122287,44040
1769770938165372,43960
1769770938208531,43940
1769770938251568,44010
1769770938294699,43860
1769770938337830,43950
1769770938381863,43940
1769770938428195,43960
1769770938470939,44060
1769770938513871,43940
1769770938556085,44020
1769770938599295,44030
1769770938641991,43990
1769770938684977,44010
1769770938727730,44080
1769770938770689,44030
1769770938813866,44110
