unix_timestamp,active_power (mW)
1770048685432874,42930
1770048685475276,43070
1770048685518044,42870
1770048685560918,42980
1770048685603966,42980
1770048685646964,42880
1770048685691520,42860
1770048685734333,42990
1770048685776841,42900
1770048685819462,42860
1770048685862062,42930
1770048685905247,42920
1770048685948357,42910
1770048685991067,42840
1770048686033504,42900
1770048686075891,42990
1770048686118220,42900
1770048686161221,42840
1770048686204105,42930
1770048686246882,43010
1770048686292136,42830
1770048686335179,42880
1770048686378160,42940
1770048686421220,42910
1770048686464402,42870
1770048686507412,42900
1770048686550585,42990
1770048686593740,42970
1770048686636663,42840
1770048686679608,42830
1770048686722786,42890
1770048686765751,42980
1770048686812621,42860
1770048686855532,42920
1770048686898382,42990
1770048686941274,42930
1770048686984221,42900
1770048687026605,42890
1770048687069000,43020
1770048687111789,42990
1770048687154791,42950
1770048687197707,42960
1770048687240817,43050
1770048687283799,42980
1770048687326314,42990
1770048687368943,43000
1770048687413285,43070
1770048687456205,42920
1770048687499043,42950
1770048687541913,43020
1770048687584744,43030
1770048687627684,42950
1770048687670608,43050
1770048687713172,43110
1770048687755805,43070
1770048687798591,43050
1770048687841057,43090
1770048687883765,43030
1770048687926508,43090
1770048687969217,42970
1770048688013970,43080
1770048688057112,43100
1770048688100364,43100
1770048688143241,43090
1770048688186468,42950
1770048688229503,43050
1770048688272657,43100
1770048688315706,43060
1770048688358796,43110
1770048688401261,43070
1770048688444154,43050
1770048688487232,43110
1770048688529481,43020
1770048688574368,42940
1770048688616761,43030
1770048688659318,42940
1770048688701617,42970
1770048688744014,42960
1770048688786878,42860
1770048688829177,42900
1770048688871916,43020
1770048688914573,42970
1770048688957449,42870
1770048689000109,42780
1770048689042773,42940
1770048689085462,42990
1770048689127888,43020
1770048689170176,42880
1770048689215015,42980
1770048689257761,42920
1770048689300293,42860
1770048689342937,42940
1770048689385438,43040
1770048689428554,43010
1770048689471216,42990
1770048689514065,42960
1770048689556727,43050
1770048689599619,43070
1770048689642166,42980
1770048689685078,42990
1770048689727970,43100
1770048689770846,43080
1770048689815652,43080
1770048689858606,43090
1770048689901018,43030
1770048689944019,43040
1770048689987025,42950
1770048690030005,43070
1770048690072990,43100
1770048690116187,43060
1770048690159322,42970
1770048690202125,43060
1770048690245256,43160
1770048690288484,43130
1770048690331341,43060
1770048690376166,43090
1770048690419077,43140
1770048690462177,42980
1770048690505302,42950
1770048690548279,42950
1770048690591314,43100
1770048690633908,43050
1770048690676650,43070
1770048690719588,42980
1770048690762640,43120
1770048690805300,43070
1770048690848257,43030
1770048690891177,43010
1770048690936763,43110
1770048690980347,43060
1770048691023497,43040
1770048691066113,42930
1770048691109315,43080
1770048691152199,43050
1770048691195254,43070
1770048691238007,42910
1770048691281094,43000
1770048691324218,43040
1770048691367350,43100
1770048691410117,43000
1770048691457168,43090
1770048691499735,43120
1770048691542574,42990
1770048691585006,43020
1770048691627671,43060
1770048691670196,43100
1770048691712864,43050
1770048691755190,43010
1770048691798152,42980
1770048691841038,43110
1770048691883869,43040
1770048691926503,42990
1770048691969381,42990
1770048692012300,43060
1770048692057657,43050
1770048692100670,42990
1770048692143825,43030
1770048692186613,43110
1770048692229260,43070
1770048692272389,42980
1770048692315425,43060
1770048692358259,42940
1770048692401201,43020
1770048692444400,43000
1770048692487404,42950
1770048692530083,42920
1770048692573134,42960
1770048692618142,42970
1770048692661263,42910
1770048692704345,42880
1770048692747473,42870
1770048692790812,42950
1770048692834118,42950
1770048692877167,42870
1770048692920066,42830
1770048692962409,42910
1770048693005526,43040
1770048693048449,42900
1770048693090963,42810
1770048693133437,42870
1770048693178616,42920
1770048693221368,42820
1770048693264363,42900
1770048693307419,42900
1770048693350143,42900
1770048693393208,42920
1770048693436351,42920
1770048693479337,42900
1770048693522562,43020
1770048693565433,42920
1770048693608433,42970
1770048693651361,42950
1770048693694163,42970
1770048693739283,42930
1770048693782032,43030
1770048693825080,43060
1770048693867910,42990
1770048693910429,42900
1770048693953313,43050
1770048693996184,43110
1770048694039317,43020
1770048694082155,42970
1770048694125395,43060
1770048694168612,43050
1770048694211537,43060
1770048694254121,42980
1770048694299805,43120
1770048694342314,43090
1770048694385252,42990
1770048694428396,43060
1770048694471583,43100
1770048694514209,43100
1770048694557268,43060
1770048694600185,43010
1770048694642862,43030
1770048694685250,43030
1770048694728325,43110
1770048694771412,43070
1770048694814509,42980
1770048694860468,43020
1770048694903666,42990
1770048694946261,43010
1770048694988984,43030
1770048695031467,43030
1770048695073974,43120
1770048695116872,43010
1770048695159864,43000
1770048695202636,43020
1770048695245264,43040
1770048695288321,43040
1770048695331191,43030
1770048695373746,42950
1770048695416592,43050
1770048695460992,43030
1770048695503894,43070
1770048695546700,43020
1770048695589173,43100
1770048695632208,43120
1770048695675150,43010
1770048695717812,43020
1770048695760893,43020
1770048695804001,43090
1770048695846955,43050
1770048695889430,43020
1770048695932318,42960
1770048695974969,42990
1770048696021322,43030
1770048696064556,42910
1770048696107504,42970
1770048696150360,42970
1770048696193283,42990
1770048696236342,42960
1770048696279292,42940
1770048696321758,42890
1770048696364519,42940
1770048696406860,43030
1770048696449606,43030
1770048696492197,42970
1770048696534655,42960
1770048696577383,43100
1770048696622135,42970
1770048696664463,43020
1770048696707430,43110
1770048696750296,43070
1770048696793245,43080
1770048696836078,43070
1770048696878530,43010
1770048696920773,43030
1770048696963402,43140
1770048697006179,43100
