unix_timestamp,active_power (mW)
1770050198054350,46420
1770050198096729,41830
1770050198139059,46470
1770050198181654,46600
1770050198224885,46480
1770050198268010,46520
1770050198310915,46410
1770050198353197,46420
1770050198396080,46370
1770050198438879,46400
1770050198481205,46450
1770050198524311,46480
1770050198568584,46400
1770050198611686,46430
1770050198654420,46470
1770050198697395,46460
1770050198740402,46460
1770050198783323,46510
1770050198826510,46460
1770050198869322,46510
1770050198912407,46580
1770050198954807,46530
1770050198997732,46580
1770050199040111,46530
1770050199083169,46480
1770050199128890,46640
1770050199172014,46600
1770050199214791,46550
1770050199257413,46470
1770050199300639,46500
1770050199343701,46460
1770050199386578,46460
1770050199429641,46530
1770050199472896,46500
1770050199515896,46480
1770050199558865,46510
1770050199601538,46460
1770050199644610,46430
1770050199689174,46510
1770050199732260,46520
1770050199775205,46560
1770050199817835,46400
1770050199860856,46460
1770050199903807,46410
1770050199946734,46550
1770050199989920,46580
1770050200032881,46440
1770050200075905,46460
1770050200118770,46470
1770050200161961,46480
1770050200205148,46470
1770050200249672,46440
1770050200292857,46510
1770050200336051,46500
1770050200378959,46660
1770050200421262,46580
1770050200463630,46550
1770050200506214,46500
1770050200549194,46450
1770050200592364,46580
1770050200635540,46580
1770050200678559,46630
1770050200721731,46560
1770050200764759,46570
1770050200810082,46570
1770050200853110,46540
1770050200896128,46500
1770050200939095,46560
1770050200982187,46450
1770050201025094,46430
1770050201067539,46440
1770050201110524,46370
1770050201153075,46530
1770050201195936,46420
1770050201238926,46480
1770050201281920,46440
1770050201325099,46390
1770050201370412,46440
1770050201413143,46480
1770050201456208,46500
1770050201499275,46430
1770050201541857,46370
1770050201584950,46360
1770050201628239,46390
1770050201671001,46410
1770050201714125,46460
1770050201756504,46430
1770050201799724,46440
1770050201842526,46420
1770050201885614,46330
1770050201930698,46390
1770050201973540,46450
1770050202016167,46390
1770050202058946,46420
1770050202101201,46440
1770050202144044,46490
1770050202186942,46550
1770050202229838,46450
1770050202272679,46440
1770050202315018,46410
1770050202357444,46550
1770050202400633,46520
1770050202443219,46620
1770050202485845,46380
1770050202531222,46520
1770050202574479,46590
1770050202617646,46570
1770050202660611,46540
1770050202703672,46570
1770050202746625,46460
1770050202789562,46530
1770050202832767,46440
1770050202875727,46460
1770050202918905,46510
1770050202962081,46370
1770050203004965,46430
1770050203051571,46440
1770050203094772,46480
1770050203137182,46420
1770050203180131,46390
1770050203223218,46490
1770050203265947,46450
1770050203308978,46540
1770050203352163,46500
1770050203395021,46490
1770050203437322,46500
1770050203480104,46600
1770050203522698,46570
1770050203565536,46550
1770050203612031,46570
1770050203654857,46500
1770050203697049,46550
1770050203740219,46570
1770050203783150,46580
1770050203825742,46540
1770050203868341,46580
1770050203911314,46550
1770050203954032,46570
1770050203996971,46640
1770050204040192,46590
1770050204082665,46470
1770050204125843,46480
1770050204172436,46520
1770050204215314,46640
1770050204258536,46560
1770050204301528,46560
1770050204344581,46610
1770050204387553,46560
1770050204429944,46510
1770050204472824,46600
1770050204515857,46650
1770050204558738,46530
1770050204601298,46480
1770050204643663,46490
1770050204685931,46490
1770050204732905,46460
1770050204775996,46480
1770050204818889,46420
1770050204861423,46450
1770050204904519,46390
1770050204947410,46480
1770050204990514,46460
1770050205033611,46520
1770050205076683,46390
1770050205119762,46410
1770050205162509,46400
1770050205205159,46400
1770050205248098,46380
1770050205293226,46370
1770050205336253,46390
1770050205379259,46330
1770050205422481,46350
1770050205465235,46500
1770050205507972,46430
1770050205550718,46350
1770050205593396,46410
1770050205636119,46410
1770050205678795,46460
1770050205721223,46390
1770050205763908,46460
1770050205806328,46470
1770050205849427,46510
1770050205893757,46550
1770050205936623,46440
1770050205979721,46510
1770050206022685,46520
1770050206065563,46630
1770050206108301,46580
1770050206150962,46620
1770050206194153,46520
1770050206236470,46540
1770050206279587,46540
1770050206322605,46540
1770050206365806,46540
1770050206408846,46550
1770050206454174,46570
1770050206496681,46500
1770050206539391,46470
1770050206582051,46480
1770050206625071,46470
1770050206667918,46520
1770050206710663,46530
1770050206753358,46550
1770050206796422,46440
1770050206839385,46490
1770050206882177,46390
1770050206924988,46440
1770050206968007,46430
1770050207014426,46370
1770050207057139,46410
1770050207099763,46350
1770050207142374,46350
1770050207185172,46380
1770050207228279,46320
1770050207271300,46390
1770050207314033,46430
1770050207357114,46370
1770050207400067,46370
1770050207442941,46430
1770050207485455,46510
1770050207528503,46410
1770050207575043,46430
1770050207618060,46480
1770050207661160,46510
1770050207703607,46460
1770050207746544,46570
1770050207789348,46570
1770050207832232,46600
1770050207874862,46590
1770050207917219,46630
1770050207960206,46510
1770050208002966,46460
1770050208045916,46470
1770050208089197,46410
1770050208135356,46400
1770050208178560,46380
1770050208221395,46380
1770050208264462,46350
1770050208307394,46310
1770050208350066,46400
1770050208392933,46400
1770050208436000,46470
1770050208478805,46480
1770050208521497,46400
1770050208564506,46320
1770050208607426,46480
1770050208650508,46480
1770050208695720,46390
1770050208738536,46360
1770050208781500,46520
1770050208824329,46420
1770050208866744,46420
1770050208909493,46460
1770050208952593,46460
1770050208995206,46420
1770050209037839,46430
1770050209080822,46410
1770050209123975,46490
1770050209166985,46470
1770050209209727,46410
1770050209256250,46550
1770050209299242,46490
1770050209342069,46570
1770050209385055,46530
1770050209428120,46540
1770050209470962,46660
1770050209513306,46550
1770050209556368,46570
1770050209598654,46510
1770050209641179,46600
1770050209684327,46580
1770050209727231,46520
1770050209770047,46600
1770050209816714,46570
1770050209859855,46610
1770050209902914,46600
1770050209946091,46640
1770050209989266,46520
1770050210032176,46530
1770050210075401,46580
1770050210118577,46500
1770050210161777,46520
1770050210204764,46420
1770050210247876,46350
1770050210291027,46380
1770050210336944,46400
1770050210379788,46360
1770050210422270,46450
1770050210465176,46410
1770050210507563,46350
1770050210550138,46380
1770050210592933,46420
1770050210636042,46460
1770050210678830,46390
