unix_timestamp,active_power (mW)
1770051768354542,45380
1770051768397169,43520
1770051768442956,45150
1770051768485747,45610
1770051768528900,45500
1770051768571682,45470
1770051768614634,45470
1770051768657731,45400
1770051768700927,45390
1770051768743911,45450
1770051768786997,45320
1770051768829827,45390
1770051768872757,45460
1770051768915849,45450
1770051768958541,45430
1770051769002749,45430
1770051769045493,45440
1770051769088280,45460
1770051769130771,45410
1770051769173377,45460
1770051769216107,45350
1770051769258881,45350
1770051769301453,45390
1770051769344045,45440
1770051769386734,45470
1770051769429205,45490
1770051769472204,45470
1770051769514978,45440
1770051769557623,45390
1770051769602534,45490
1770051769645023,45350
1770051769688135,45430
1770051769731228,45380
1770051769773880,45430
1770051769816583,45460
1770051769859094,45460
1770051769901985,45430
1770051769945135,45360
1770051769987928,45420
1770051770030382,45390
1770051770073308,45380
1770051770116301,45400
1770051770162102,45450
1770051770204444,45570
1770051770247452,45440
1770051770290033,45470
1770051770333225,45410
1770051770376339,45400
1770051770419237,45430
1770051770462399,45320
1770051770505283,45430
1770051770548467,45460
1770051770591608,45480
1770051770634546,45490
1770051770677279,45440
1770051770721977,45440
1770051770764649,45370
1770051770807512,45420
1770051770850172,45460
1770051770893144,45460
1770051770936112,45470
1770051770979023,45390
1770051771021405,45430
1770051771063964,45330
1770051771106800,45390
1770051771149211,45400
1770051771192348,45420
1770051771235247,45360
1770051771281637,45390
1770051771324784,45470
1770051771367712,45400
1770051771410541,45340
1770051771453364,45400
1770051771496583,45460
1770051771539382,45450
1770051771581917,45430
1770051771625109,45430
1770051771668236,45500
1770051771710707,45440
1770051771754045,45370
1770051771797015,45350
1770051771841453,45380
1770051771884243,45430
1770051771927035,45470
1770051771969623,45430
1770051772012438,45410
1770051772055226,45380
1770051772098016,45390
1770051772140923,45380
1770051772183951,45380
1770051772226858,45380
1770051772269102,45440
1770051772312012,45470
1770051772354735,45460
1770051772401272,45330
1770051772444319,45340
1770051772487300,45400
1770051772530346,45410
1770051772572871,45390
1770051772615931,45460
1770051772658999,45440
1770051772702153,45380
1770051772745286,45330
1770051772788313,45340
1770051772831344,45380
1770051772874140,45450
1770051772921053,45400
1770051772964148,45410
1770051773007267,45380
1770051773049692,45320
1770051773092739,45330
1770051773135738,45340
1770051773178371,45340
1770051773220777,45470
1770051773263369,45340
1770051773306073,45460
1770051773349065,45390
1770051773391897,45380
1770051773434763,45300
1770051773480799,45390
1770051773523877,45420
1770051773566923,45410
1770051773609961,45460
1770051773653052,45400
1770051773696269,45410
1770051773739287,45420
1770051773781894,45340
1770051773825044,45330
1770051773868326,45440
1770051773911471,45390
1770051773954640,45420
1770051774000502,45390
1770051774043429,45320
1770051774086376,45410
1770051774129459,45420
1770051774172497,45450
1770051774215437,45430
1770051774257944,45380
1770051774300315,45390
1770051774342724,45330
1770051774385199,45320
1770051774428047,45420
1770051774471101,45380
1770051774513648,45450
1770051774560152,45430
1770051774603330,45360
1770051774646356,45390
1770051774689383,45370
1770051774732539,45420
1770051774775630,45400
1770051774818178,45420
1770051774861357,45400
1770051774904221,45390
1770051774947150,45360
1770051774989855,45320
1770051775033093,45310
1770051775079776,45380
1770051775122783,45390
1770051775165737,45360
1770051775208926,45390
1770051775251580,45330
1770051775294273,45370
1770051775336637,45370
1770051775379334,45400
1770051775422066,45400
1770051775465272,45390
1770051775508463,45330
1770051775551521,45330
1770051775594406,45320
1770051775639580,45430
1770051775682264,45340
1770051775725313,45430
1770051775768320,45370
1770051775811224,45400
1770051775854041,45400
1770051775896861,45340
1770051775939379,45360
1770051775982141,45380
1770051776025324,45400
1770051776068210,45470
1770051776111003,45430
1770051776153984,45410
1770051776199317,45400
1770051776241644,45350
1770051776284762,45340
1770051776327775,45420
1770051776370106,45430
1770051776413175,45420
1770051776456245,45360
1770051776499155,45340
1770051776542168,45380
1770051776585102,45370
1770051776628372,45360
1770051776671372,45330
1770051776714347,45390
1770051776759064,45400
1770051776801824,45400
1770051776844960,45320
1770051776888018,45390
1770051776931075,45350
1770051776974287,45390
1770051777017352,45360
1770051777060211,45410
1770051777103108,45420
1770051777146155,45420
1770051777189387,45410
1770051777232313,45320
1770051777278823,45360
1770051777321210,45390
1770051777364318,45400
1770051777407328,45440
1770051777450038,45430
