unix_timestamp,active_power (mW)
1770052242816644,45340
1770052242859233,43470
1770052242905515,45630
1770052242947956,45400
1770052242990466,45340
1770052243033379,45360
1770052243076071,45310
1770052243119067,45280
1770052243162097,45240
1770052243204936,45260
1770052243247879,45270
1770052243290650,45360
1770052243333154,45350
1770052243375971,45390
1770052243418535,45380
1770052243461452,45400
1770052243505335,45450
1770052243548469,45420
1770052243591559,45320
1770052243634646,45350
1770052243677406,45300
1770052243720118,45300
1770052243763073,45220
1770052243806199,45240
1770052243849141,45290
1770052243892188,45290
1770052243935225,45320
1770052243978408,45320
1770052244020897,45280
1770052244065142,45380
1770052244108157,45400
1770052244151190,45390
1770052244194122,45390
1770052244237241,45340
1770052244280292,45310
1770052244323222,45260
1770052244366355,45290
1770052244409397,45230
1770052244452557,45280
1770052244495110,45320
1770052244537978,45250
1770052244581065,45280
1770052244625135,45290
1770052244667956,45240
1770052244710705,45240
1770052244753683,45280
1770052244796641,45270
1770052244839745,45290
1770052244882457,45220
1770052244925234,45230
1770052244968250,45240
1770052245011071,45220
1770052245053777,45280
1770052245096935,45220
1770052245140076,45330
1770052245185152,45240
1770052245227489,45350
1770052245270129,45230
1770052245313203,45310
1770052245356133,45260
1770052245398911,45320
1770052245442147,45260
1770052245485102,45320
1770052245528299,45250
1770052245571307,45350
1770052245614196,45250
1770052245657022,45260
1770052245699948,45320
1770052245745005,45200
1770052245787873,45260
1770052245830703,45290
1770052245873092,45280
1770052245915983,45320
1770052245959120,45380
1770052246001775,45410
1770052246044810,45520
1770052246087735,45850
1770052246130448,45810
1770052246173067,45910
1770052246215822,45830
1770052246258656,45760
1770052246304809,45760
1770052246347979,45740
1770052246390911,45780
1770052246433753,45740
1770052246476924,45810
1770052246520343,45680
1770052246563240,45760
1770052246606126,45720
1770052246649179,45810
1770052246692150,45750
1770052246734874,45790
1770052246777161,45730
1770052246820044,45910
1770052246864848,45880
1770052246907864,45890
1770052246950608,45910
1770052246993651,45840
1770052247036378,45860
1770052247079273,45480
1770052247122135,45350
1770052247165294,45250
1770052247208208,45280
1770052247251385,45290
1770052247294606,45290
1770052247337446,45250
1770052247384708,45250
1770052247427094,45370
1770052247470145,45390
1770052247513141,45400
1770052247555978,45440
1770052247599108,45420
1770052247641717,45500
1770052247684882,45390
1770052247727989,45330
1770052247770798,45410
1770052247813199,45230
1770052247856276,45340
1770052247899108,45210
1770052247944611,45390
1770052247987742,45240
1770052248030834,45240
1770052248073224,45270
1770052248116311,45310
1770052248159405,45300
1770052248202128,45280
1770052248244835,45200
1770052248287622,45320
1770052248329946,45360
1770052248372984,45370
1770052248416245,45440
1770052248458681,45390
1770052248504415,45380
1770052248547193,45420
1770052248590100,45380
1770052248633005,45480
1770052248675817,45430
1770052248718666,45360
1770052248761153,45290
1770052248804213,45340
1770052248846725,45370
1770052248889065,45320
1770052248931724,45310
1770052248974405,45280
1770052249016805,45320
1770052249059705,45310
1770052249104402,45300
1770052249147145,45370
1770052249189706,45300
1770052249232548,45320
1770052249275782,45380
1770052249318932,45270
1770052249361427,45350
1770052249404486,45190
1770052249446882,45290
1770052249489272,45280
1770052249532173,45260
1770052249575095,45310
1770052249618135,45310
1770052249664435,45210
1770052249707446,45260
1770052249750413,45210
1770052249793166,45230
1770052249836105,45260
1770052249878928,45290
1770052249921815,45380
1770052249964881,45440
1770052250007881,45400
1770052250050672,45400
1770052250093086,45390
1770052250136260,45310
1770052250178833,45320
1770052250224238,45270
1770052250267070,45260
1770052250309881,45340
1770052250352937,45330
1770052250395999,45310
1770052250438787,45300
1770052250481828,45340
1770052250524897,45220
1770052250567828,45250
1770052250610992,45310
1770052250653555,45330
1770052250696601,45320
1770052250739622,45340
1770052250784220,45270
1770052250827004,45270
1770052250869531,45280
1770052250912045,45340
1770052250954510,45270
1770052250997165,45280
1770052251040197,45210
1770052251083057,45260
1770052251125967,45180
1770052251168972,45310
1770052251211922,45240
1770052251254945,45240
1770052251298116,45260
1770052251344162,45380
1770052251387384,45400
1770052251430086,45370
1770052251472980,45450
1770052251515979,45420
