unix_timestamp,active_power (mW)
1770053437557918,45870
1770053437600173,42100
1770053437642873,45540
1770053437685438,46040
1770053437728249,46000
1770053437771100,45980
1770053437813826,45970
1770053437856335,45950
1770053437899004,45990
1770053437941683,46050
1770053437984704,46040
1770053438027690,45950
1770053438070833,45830
1770053438115954,45970
1770053438158204,45970
1770053438201162,46040
1770053438244082,45920
1770053438287144,45920
1770053438329989,45900
1770053438373147,45970
1770053438416191,45990
1770053438459243,45930
1770053438501967,45800
1770053438544979,45910
1770053438588086,45960
1770053438631010,45980
1770053438675513,45890
1770053438718173,45920
1770053438760838,45890
1770053438803969,45900
1770053438847024,45960
1770053438889610,45860
1770053438932810,45970
1770053438975965,45880
1770053439018715,45850
1770053439061284,45930
1770053439104497,45980
1770053439147505,45880
1770053439190139,45900
1770053439235181,45890
1770053439278250,45910
1770053439321132,45950
1770053439364073,45920
1770053439407103,45910
1770053439449997,45900
1770053439493105,45970
1770053439535942,45970
1770053439578601,45960
1770053439621293,45930
1770053439664427,45830
1770053439707469,45900
1770053439750484,45940
1770053439794777,45910
1770053439837435,45870
1770053439880373,45940
1770053439922698,45860
1770053439965250,45930
1770053440008273,45960
1770053440051126,45960
1770053440093701,45960
1770053440136687,45940
1770053440179752,45960
1770053440222830,46070
1770053440266036,46000
1770053440309066,45950
1770053440354495,45940
1770053440397563,45890
1770053440440420,46040
1770053440482674,45940
1770053440525475,45950
1770053440568299,45890
1770053440611348,45920
1770053440654264,45940
1770053440696975,45970
1770053440739667,45920
1770053440782248,45960
1770053440824735,45880
1770053440867291,45900
1770053440913951,45910
1770053440957039,45890
1770053440999969,45950
1770053441042778,45860
1770053441085289,45870
1770053441128293,45960
1770053441170993,45930
1770053441214087,45840
1770053441257245,45950
1770053441300417,45920
1770053441343519,45960
1770053441386092,45920
1770053441429195,45990
1770053441473625,45860
1770053441516642,45890
1770053441559472,45870
1770053441602682,45920
1770053441645692,46010
1770053441688421,45960
1770053441731487,45890
1770053441774054,45900
1770053441817255,45940
1770053441860324,45940
1770053441903322,45970
1770053441946026,46020
1770053441993263,45920
1770053442035946,45930
1770053442079087,45950
1770053442121624,46010
1770053442164129,45970
1770053442206475,45950
1770053442249361,45840
1770053442292036,46010
1770053442335060,45970
1770053442377442,45940
1770053442420589,45890
1770053442463745,45920
1770053442506463,46000
1770053442552778,45950
1770053442595881,45870
1770053442638666,45980
1770053442681255,45930
1770053442724364,46100
1770053442767184,46040
1770053442809829,45950
1770053442852862,45860
1770053442895204,45860
1770053442937891,45980
1770053442980966,46040
1770053443024168,45990
1770053443067306,45830
1770053443112414,45940
1770053443155404,46020
1770053443198298,46000
1770053443241417,45950
1770053443284484,45980
1770053443327588,45880
1770053443370355,45900
1770053443413206,45960
1770053443455964,45920
1770053443498954,45990
1770053443541342,45930
1770053443584028,45900
1770053443627000,45850
1770053443672002,45960
1770053443715091,45950
1770053443758194,45910
1770053443800863,45890
1770053443843907,45890
1770053443887126,46050
1770053443930199,45970
1770053443973180,45970
1770053444016364,45920
1770053444059353,45930
1770053444101954,45990
1770053444145146,45940
1770053444191546,45860
1770053444234031,45920
1770053444277120,45860
1770053444320047,46000
1770053444362951,45910
1770053444406049,45960
1770053444448887,45900
1770053444492010,45840
1770053444534572,45900
1770053444577305,45960
1770053444620433,45910
1770053444663409,45950
1770053444706188,45940
1770053444751300,45870
1770053444794054,45880
1770053444837154,45920
1770053444880144,45960
1770053444923187,45860
1770053444966253,45840
1770053445008560,45930
1770053445051302,45960
1770053445094415,45840
1770053445137275,45830
1770053445180492,45860
1770053445223509,45910
1770053445266525,45890
1770053445310860,45920
1770053445353176,45860
1770053445396244,45890
1770053445439289,45880
1770053445482471,45940
1770053445525263,46000
1770053445568448,45960
1770053445611615,45900
1770053445654710,45880
1770053445697704,45900
1770053445740804,45920
1770053445783946,45930
1770053445830546,45890
1770053445873519,45910
1770053445916640,45940
1770053445959424,45960
1770053446002206,45870
1770053446045145,45890
1770053446088109,45920
1770053446130907,45970
1770053446173757,45980
1770053446216530,45940
1770053446259341,45890
1770053446301715,45910
1770053446344564,45820
1770053446390112,46040
1770053446433062,45920
1770053446475942,45940
1770053446518376,45900
1770053446561247,45930
1770053446604356,46040
1770053446647302,45890
1770053446690413,45970
1770053446733645,46010
1770053446776725,45970
1770053446819918,46030
1770053446862783,45990
1770053446909664,45860
1770053446952690,45900
1770053446995570,46020
1770053447038548,46020
1770053447081321,45950
1770053447123933,45910
1770053447166944,45900
1770053447209360,45900
1770053447252367,45920
1770053447295334,45940
1770053447338511,45930
1770053447381336,45890
1770053447423816,45910
1770053447469350,45970
1770053447512506,45930
1770053447555494,45810
1770053447598077,45820
1770053447641155,45900
1770053447684339,45910
1770053447726809,45880
1770053447769615,45930
1770053447812784,45860
1770053447855879,45900
1770053447898675,46010
1770053447941112,45890
1770053447983945,45920
1770053448028723,45990
1770053448071745,45950
1770053448114877,45960
1770053448158104,45910
1770053448201160,46010
1770053448244260,45970
1770053448286938,45890
1770053448329374,45920
1770053448371810,45850
1770053448414212,46040
1770053448457287,45980
1770053448500293,45970
1770053448543212,45940
1770053448588252,45930
1770053448630736,46030
1770053448673890,46010
1770053448716915,46010
1770053448759806,45960
1770053448802706,45830
1770053448845185,45920
1770053448888274,46020
1770053448931269,46000
1770053448973968,45970
1770053449017144,45940
1770053449060161,45890
1770053449103666,45930
1770053449147793,46020
1770053449190471,45970
1770053449233158,45890
1770053449276272,45870
1770053449319232,45840
1770053449362021,45980
1770053449405253,45960
1770053449448387,45960
1770053449491170,45910
1770053449533749,45930
1770053449576865,45980
1770053449620037,45920
1770053449662766,45970
1770053449707470,45860
1770053449750556,45890
1770053449793919,45900
1770053449837021,45940
1770053449880218,45910
1770053449922760,45930
1770053449965832,45950
1770053450008976,45900
1770053450051853,46020
1770053450094506,46000
1770053450136867,45920
1770053450179984,45930
1770053450223180,45880
1770053450267134,45970
1770053450309830,45940
1770053450352588,45830
1770053450395622,45910
1770053450438714,45890
1770053450481140,45920
1770053450524268,45940
1770053450566858,45880
1770053450609344,45800
1770053450652071,45910
1770053450694495,45970
1770053450737768,45940
1770053450780908,45940
1770053450826724,45900
1770053450869403,45980
1770053450912395,45940
1770053450955296,45940
1770053450997902,45920
1770053451040899,45850
1770053451083301,45910
1770053451126105,45940
1770053451169156,45920
1770053451212065,46000
1770053451255270,45900
1770053451298489,45890
1770053451341608,45850
1770053451386321,45910
1770053451429328,45880
1770053451472572,45930
1770053451515771,45900
1770053451558610,45880
1770053451601430,45930
1770053451644258,45950
1770053451687286,45950
1770053451730205,45870
1770053451773329,45910
1770053451816330,45980
1770053451859470,45980
1770053451905898,45890
1770053451948660,45830
1770053451991428,45960
1770053452034059,45960
1770053452076749,46020
1770053452119441,45950
1770053452162138,45890
1770053452204523,45930
1770053452247287,45920
1770053452289654,45980
1770053452332690,45910
1770053452375119,45900
1770053452418188,45940
1770053452461115,45920
1770053452505469,46000
1770053452547911,45910
1770053452590733,45920
1770053452633611,45910
1770053452676436,45970
1770053452719116,45910
1770053452762039,45920
1770053452804453,45920
1770053452847288,45960
1770053452889664,45920
1770053452932652,45950
1770053452975897,46020
1770053453018894,45960
1770053453065033,45890
1770053453108215,45910
1770053453151376,46000
1770053453194064,45950
1770053453237072,45940
1770053453280249,45860
1770053453323411,45870
