unix_timestamp,active_power (mW)
1770054813951288,46420
1770054813993947,44060
1770054814037124,40550
1770054814082030,46570
1770054814125019,46490
1770054814168016,46570
1770054814210969,46550
1770054814254081,46460
1770054814297251,46430
1770054814340579,46490
1770054814383579,46520
1770054814426185,46480
1770054814469134,46500
1770054814512133,46500
1770054814554540,46510
1770054814597389,46460
1770054814642085,46530
1770054814684766,46530
1770054814727362,46520
1770054814770180,46520
1770054814812796,46520
1770054814855577,46520
1770054814898430,46530
1770054814941215,46450
1770054814984044,46410
1770054815026830,46440
1770054815069565,46390
1770054815112420,46500
1770054815155106,46400
1770054815197643,46390
1770054815241941,46410
1770054815284803,46470
1770054815327635,46510
1770054815370440,46470
1770054815413056,46480
1770054815456589,46420
1770054815499701,46420
1770054815542879,46480
1770054815585389,46540
1770054815628554,46420
1770054815671411,46540
1770054815714386,46460
1770054815756997,46540
1770054815801861,46430
1770054815844778,46410
1770054815887996,46410
1770054815930408,46490
1770054815973478,46450
1770054816016547,46460
1770054816059928,46430
1770054816102833,46520
1770054816145626,46500
1770054816189015,46470
1770054816232030,46480
1770054816274952,46450
1770054816321916,46500
1770054816364712,46470
1770054816407548,46500
1770054816450651,46420
1770054816493846,46540
1770054816537064,46480
1770054816580370,46480
1770054816623370,46430
1770054816666001,46470
1770054816709028,46390
1770054816752037,46420
1770054816794933,46480
1770054816837491,46480
1770054816881825,46470
1770054816924890,46480
1770054816967764,46460
1770054817010648,46530
1770054817053792,46580
1770054817096877,46470
1770054817139971,46440
1770054817182782,46400
1770054817225270,46570
1770054817268526,46550
1770054817311717,46490
1770054817354825,46420
1770054817397175,46480
1770054817441763,46460
1770054817484979,46450
1770054817527674,46440
1770054817570264,46390
1770054817613527,46420
1770054817656652,46440
1770054817699024,46420
1770054817741560,46500
1770054817784202,46440
1770054817826654,46460
1770054817869832,46500
1770054817912277,46470
1770054817955428,46490
1770054818001642,46490
1770054818044728,46460
1770054818087931,46430
1770054818130782,46440
1770054818173659,46530
1770054818216832,46460
1770054818260144,46520
1770054818302937,46410
1770054818345503,46490
1770054818388497,46470
1770054818430738,46490
1770054818473781,46440
1770054818516919,46430
1770054818561730,46430
1770054818604792,46430
1770054818647248,46380
1770054818690175,46410
1770054818733196,46440
1770054818776051,46410
1770054818819027,46450
1770054818861656,46350
1770054818904740,46390
1770054818947584,46400
1770054818990438,46440
1770054819033011,46470
1770054819076041,46430
1770054819121632,46470
1770054819164730,46400
1770054819207646,46430
1770054819250370,46400
1770054819293200,46410
1770054819336112,46490
1770054819378979,46430
1770054819421568,46430
1770054819464613,46440
1770054819507458,46380
1770054819550079,46470
1770054819593060,46380
1770054819636001,46400
1770054819681362,46450
1770054819724504,46430
1770054819767404,46430
1770054819810128,46430
1770054819852407,46430
1770054819895346,46430
1770054819938331,46480
1770054819981645,46470
1770054820024981,46360
1770054820067981,46450
1770054820110890,46460
1770054820154166,46410
1770054820197341,46420
1770054820241362,46370
1770054820284124,46470
1770054820326405,46490
1770054820369002,46470
1770054820411958,46530
1770054820454485,46440
1770054820497624,46500
1770054820540747,46400
1770054820583256,46410
1770054820626006,46460
1770054820669253,46400
1770054820712150,46380
1770054820755624,46440
1770054820801170,46460
1770054820843867,46490
1770054820886548,46390
1770054820928945,46450
1770054820971739,46450
1770054821014493,46380
1770054821057291,46430
1770054821100471,46420
1770054821143586,46420
1770054821186133,46440
1770054821228866,46480
1770054821271656,46450
1770054821314694,46470
1770054821360938,46460
1770054821403990,46440
1770054821446961,46430
1770054821489389,46510
1770054821532545,46440
1770054821575724,46510
1770054821618587,46450
1770054821661867,46380
1770054821704938,46480
1770054821747951,46460
1770054821790764,46500
1770054821833917,46460
1770054821880760,46490
1770054821923913,46450
1770054821966981,46460
1770054822009864,46430
1770054822052893,46500
1770054822095972,46380
1770054822138980,46460
1770054822181325,46470
1770054822224520,46450
1770054822267421,46420
1770054822310542,46490
1770054822353339,46470
1770054822396419,46530
1770054822440676,46420
1770054822483801,46440
1770054822526923,46470
1770054822569431,46390
1770054822612642,46480
1770054822655779,46420
1770054822698744,46450
1770054822741203,46490
1770054822784103,46420
1770054822826930,46480
1770054822869402,46430
1770054822912472,46430
1770054822954726,46470
1770054823000467,46470
1770054823043450,46410
1770054823086455,46390
1770054823129566,46390
1770054823172222,46460
1770054823215216,46460
1770054823257911,46400
1770054823300987,46430
1770054823344100,46380
1770054823387089,46480
1770054823429709,46480
1770054823472612,46460
1770054823515564,46400
1770054823560211,46440
1770054823603342,46430
1770054823646129,46500
1770054823689317,46430
1770054823732534,46470
1770054823775332,46480
1770054823818579,46460
1770054823861498,46480
1770054823904306,46550
1770054823946892,46470
1770054823989998,46480
1770054824033208,46460
1770054824076093,46440
1770054824120058,46420
1770054824162390,46400
1770054824205333,46430
1770054824248130,46450
1770054824290995,46500
1770054824333727,46480
1770054824376555,46510
1770054824419299,46460
1770054824461927,46530
1770054824504583,46450
1770054824547272,46400
1770054824589911,46470
1770054824632340,46460
1770054824675094,46430
1770054824719759,46450
1770054824762494,46490
1770054824805016,46410
1770054824847882,46510
1770054824890635,46360
1770054824932974,46410
1770054824976043,46480
1770054825019282,46440
1770054825061847,46460
1770054825104962,46390
1770054825148109,46460
1770054825191099,46480
1770054825233861,46490
1770054825279519,46420
1770054825322668,46400
1770054825365747,46420
1770054825408748,46410
1770054825451954,46450
1770054825495152,46420
1770054825537765,46440
1770054825580890,46460
1770054825624229,46400
1770054825667353,46430
1770054825710002,46460
1770054825752983,46420
1770054825799293,46360
1770054825842454,46460
1770054825885767,46430
1770054825928530,46400
1770054825971545,46380
1770054826014585,46440
1770054826058026,46410
1770054826100986,46400
1770054826144175,46510
1770054826187756,46420
1770054826230539,46420
1770054826273047,46450
1770054826319181,46430
1770054826362005,46500
1770054826405126,46430
1770054826447949,46460
1770054826490738,46450
1770054826533041,46420
1770054826575447,46430
1770054826618175,46430
1770054826661179,46450
1770054826704035,46480
1770054826746952,46450
1770054826789252,46460
1770054826832295,46510
1770054826879031,46440
1770054826922039,46360
1770054826964937,46480
1770054827007959,46380
1770054827050933,46430
1770054827093791,46530
1770054827136763,46490
1770054827179735,46460
1770054827222477,46500
1770054827264891,46410
1770054827307456,46370
1770054827349998,46460
1770054827393027,46410
1770054827438922,46490
1770054827481705,46410
1770054827524888,46420
1770054827567848,46410
1770054827610947,46490
1770054827654089,46480
1770054827696938,46430
1770054827739903,46440
1770054827782686,46420
1770054827825249,46450
1770054827868342,46390
1770054827911380,46500
1770054827954103,46480
1770054827998732,46440
1770054828041370,46520
1770054828084607,46470
1770054828127522,46470
1770054828170212,46450
1770054828213203,46460
1770054828256351,46440
1770054828298816,46480
1770054828341697,46420
1770054828384547,46450
1770054828427585,46460
1770054828470269,46410
1770054828513413,46460
1770054828558515,46360
1770054828600930,46380
1770054828643724,46410
1770054828686971,46440
1770054828730034,46480
1770054828772963,46460
1770054828815391,46450
1770054828858000,46490
1770054828901156,46430
1770054828943613,46430
1770054828986468,46470
1770054829029306,46450
1770054829072056,46440
1770054829118206,46440
1770054829161132,46410
1770054829204109,46460
1770054829247062,46440
1770054829289663,46420
1770054829332786,46410
1770054829375699,46460
1770054829418481,46460
1770054829461018,46430
1770054829503986,46400
1770054829546680,46450
1770054829589502,46430
1770054829632332,46450
1770054829678161,46420
1770054829721209,46400
1770054829764341,46460
1770054829806813,46370
1770054829849361,46410
1770054829892569,46500
1770054829935624,46460
1770054829978359,46390
1770054830021106,46410
1770054830064298,46440
1770054830107514,46460
1770054830150200,46460
1770054830193459,46400
1770054830237905,46460
1770054830280902,46430
1770054830323875,46440
1770054830366634,46420
1770054830409375,46480
1770054830452615,46440
1770054830495742,46430
1770054830538337,46400
1770054830581253,46370
1770054830623980,46410
1770054830666757,46400
1770054830709213,46420
1770054830752416,46440
1770054830797626,46500
1770054830840217,46390
1770054830882824,46410
1770054830925625,46480
1770054830968127,46410
1770054831010824,46500
1770054831053810,46460
1770054831096929,46490
1770054831139866,46450
1770054831182673,46460
1770054831225107,46450
1770054831268040,46500
1770054831310478,46500
1770054831353359,46480
1770054831397358,46500
1770054831439922,46500
1770054831482174,46510
1770054831525374,46480
1770054831568489,46470
1770054831611306,46400
1770054831653602,46500
1770054831696655,46430
1770054831739818,46430
1770054831782898,46460
1770054831825896,46430
