unix_timestamp,active_power (mW)
1770055111405213,45850
1770055111447433,43280
1770055111489910,43890
1770055111532477,46110
1770055111578209,45910
1770055111620652,45930
1770055111663096,45780
1770055111705405,45860
1770055111748403,45820
1770055111791366,45900
1770055111833813,45990
1770055111876301,45910
1770055111918866,45970
1770055111961449,45920
1770055112003752,45900
1770055112046306,46000
1770055112089265,46010
1770055112132235,46020
1770055112178352,46020
1770055112221513,45930
1770055112264754,45910
1770055112307241,45850
1770055112349789,45830
1770055112392747,45850
1770055112435915,45890
1770055112478659,45910
1770055112521158,45870
1770055112564155,45890
1770055112606660,45900
1770055112649297,45880
1770055112692456,45950
1770055112738594,45790
1770055112781271,45700
1770055112824259,45770
1770055112867301,45820
1770055112910352,45850
1770055112953589,45830
1770055112996542,45800
1770055113039441,45920
1770055113082528,45900
1770055113125683,45860
1770055113168776,45880
1770055113211808,45860
1770055113254455,45850
1770055113298796,45730
1770055113341559,45860
1770055113384167,45770
1770055113426532,45760
1770055113469244,45840
1770055113511610,45850
1770055113554723,45860
1770055113597713,45840
1770055113640776,45770
1770055113683779,45880
1770055113726303,45950
1770055113769459,45940
1770055113812380,45920
1770055113854967,45960
1770055113898858,45960
1770055113941577,45900
1770055113983852,45910
1770055114026266,45970
1770055114069215,45930
1770055114112257,45940
1770055114155361,45880
1770055114198198,45920
1770055114241344,45890
1770055114284643,45900
1770055114327375,45880
1770055114370257,45830
1770055114413144,45880
1770055114459046,45990
1770055114501838,45990
1770055114545067,46010
1770055114588251,45940
1770055114631273,45920
1770055114674066,45790
1770055114717168,45870
1770055114760170,45710
1770055114803317,45750
1770055114845987,45870
1770055114889203,45910
1770055114932249,45930
1770055114979221,45920
1770055115021933,45870
1770055115064947,45880
1770055115107837,45850
1770055115150952,45840
1770055115193915,45770
1770055115237116,45860
1770055115280241,45800
1770055115322441,45780
1770055115365347,45820
1770055115408301,45900
1770055115451064,45880
1770055115493879,45950
1770055115539406,45850
1770055115582593,45870
1770055115624940,45860
1770055115667946,45770
1770055115710523,45820
1770055115753332,45830
1770055115796414,45760
1770055115839293,45760
1770055115881870,45860
1770055115924949,45860
1770055115968074,45870
1770055116010911,45800
1770055116053297,45960
1770055116099630,45880
1770055116142725,45870
1770055116185331,45920
1770055116227649,45840
1770055116270651,45830
1770055116313841,45850
1770055116356722,45840
1770055116399894,45840
1770055116442894,45870
1770055116485707,45800
1770055116528642,45850
1770055116571056,45880
1770055116613785,45850
1770055116659765,45900
1770055116702389,45880
1770055116745373,45820
1770055116788545,45870
1770055116830722,45880
1770055116873354,45840
1770055116916589,45730
1770055116959650,45770
1770055117002966,45850
1770055117045381,45830
1770055117088457,45770
1770055117131559,45820
1770055117174578,45810
1770055117220031,45870
1770055117263138,45910
1770055117306223,45860
1770055117349224,45840
1770055117392350,45910
1770055117435305,45900
1770055117478326,45900
1770055117521293,45810
1770055117564261,45850
1770055117607379,45870
1770055117650529,45740
1770055117693496,45800
1770055117740092,45780
1770055117783135,45780
1770055117825927,45900
1770055117869109,45790
1770055117912189,45820
1770055117955298,45920
1770055117998175,45860
1770055118041437,45870
1770055118084605,45850
1770055118127506,45930
1770055118170312,45930
1770055118213222,45980
1770055118259958,45960
1770055118303025,45940
1770055118345497,45990
1770055118388570,45950
1770055118431667,46010
1770055118474778,46010
1770055118517829,45930
1770055118560367,45950
1770055118602871,45940
1770055118645410,45940
1770055118688033,45940
1770055118730565,45920
1770055118773547,45970
1770055118820142,45940
1770055118863215,45950
1770055118906170,45880
1770055118949291,45960
1770055118992163,45850
1770055119034896,45830
1770055119077894,45850
1770055119120944,45950
1770055119163700,45950
1770055119206530,45970
1770055119249156,45940
1770055119292227,46020
1770055119335258,45920
1770055119380425,45830
1770055119423266,45830
1770055119465930,45760
1770055119508551,45870
1770055119551590,45830
1770055119593907,45840
1770055119636806,45750
1770055119679559,45780
1770055119722434,45870
1770055119765567,45740
1770055119808064,45810
1770055119850258,45790
1770055119892811,45810
1770055119935778,45780
1770055119980426,45910
1770055120023221,45750
1770055120066026,45860
1770055120108733,45920
1770055120151540,45920
1770055120194516,45820
1770055120237135,45890
1770055120279988,45930
1770055120322795,45790
1770055120365666,45860
1770055120408547,45860
1770055120451334,45930
1770055120494242,45900
1770055120540309,45920
1770055120583295,45890
1770055120626052,45920
1770055120669230,45920
1770055120712458,45960
1770055120755444,45950
1770055120798655,45960
1770055120841094,45880
1770055120884097,45910
1770055120926843,45850
1770055120969800,45860
1770055121012629,45830
1770055121055577,45840
1770055121100601,45960
1770055121143721,45960
1770055121186365,45890
1770055121229418,45900
1770055121272509,45880
1770055121315279,45820
1770055121358057,45860
1770055121401248,45820
1770055121444329,45830
1770055121487363,45860
1770055121530342,45830
1770055121573489,45850
1770055121616688,45830
1770055121660624,45840
1770055121703388,45860
1770055121746171,45910
1770055121788804,45880
1770055121831706,45880
1770055121874056,45830
1770055121917130,45920
1770055121959832,45850
1770055122002662,45850
1770055122046090,45870
1770055122089162,45850
1770055122132060,45880
1770055122174809,45830
1770055122220616,45900
1770055122263657,45970
1770055122306792,45920
1770055122349294,45940
1770055122392140,45920
1770055122435145,45920
1770055122477868,45890
1770055122520425,45920
1770055122563236,45860
1770055122605632,45750
1770055122648693,45890
1770055122691874,45800
1770055122734553,45830
1770055122780996,45800
1770055122824090,45820
1770055122866465,45770
1770055122909316,45800
1770055122952411,45900
1770055122995453,45840
1770055123038280,45890
1770055123081189,45860
1770055123124306,45950
1770055123167209,45920
1770055123209919,45980
1770055123252983,45960
1770055123295727,45950
1770055123340924,45930
1770055123384038,45890
1770055123426654,45910
1770055123468961,45880
1770055123511508,45900
1770055123554160,45910
1770055123596864,45810
1770055123639460,45900
1770055123682606,45880
1770055123725796,45910
1770055123768746,45960
1770055123811615,45930
1770055123854476,45920
1770055123900923,45930
1770055123943937,45950
1770055123986950,45920
1770055124029955,45870
1770055124072761,45870
1770055124115796,45850
1770055124158854,45860
1770055124202074,45860
1770055124245277,45740
1770055124288284,45830
1770055124331348,45870
1770055124373861,45790
1770055124417069,45840
1770055124461076,45780
1770055124504222,45840
1770055124547123,45880
1770055124589957,45880
1770055124632830,45820
1770055124675624,45810
1770055124718564,45890
1770055124761115,45880
1770055124804280,45920
1770055124847226,45840
1770055124889939,45870
1770055124932883,45810
1770055124975972,45840
1770055125021154,45820
1770055125064281,45810
1770055125107271,45880
1770055125149724,45860
1770055125192867,45800
1770055125235836,45820
1770055125278501,45910
1770055125321284,45870
1770055125364372,45800
1770055125407327,45920
1770055125449876,45880
1770055125492774,45900
1770055125535953,45850
1770055125581153,45900
1770055125624265,45900
1770055125667127,45920
1770055125709922,45840
1770055125752857,45910
1770055125795743,45930
1770055125838215,45910
1770055125883665,45910
1770055125926433,46000
1770055125969547,45950
1770055126012548,46010
1770055126055584,46010
1770055126101174,45960
1770055126144076,45890
1770055126187073,46010
1770055126229721,45850
1770055126272556,45880
1770055126315096,45850
1770055126357543,45840
1770055126400138,45820
1770055126443288,45850
1770055126486133,45820
1770055126528681,45830
1770055126571860,45850
1770055126614810,45760
1770055126657279,45850
1770055126701263,45800
1770055126744178,45800
1770055126786573,45830
1770055126830085,45860
1770055126872961,45750
1770055126915833,45810
1770055126958498,45740
1770055127001110,45850
1770055127044172,45790
1770055127087063,45800
1770055127130045,45850
1770055127173057,45820
1770055127216311,45850
1770055127261392,45790
1770055127304450,45830
1770055127347248,45850
1770055127389708,45840
1770055127432590,45830
1770055127475275,45820
1770055127518116,45900
1770055127560549,45860
1770055127603093,45780
1770055127645894,45800
1770055127688797,45850
1770055127731213,45840
1770055127774189,45870
1770055127817295,45800
1770055127861369,45850
1770055127904220,45830
1770055127946965,45830
1770055127989626,45800
1770055128032483,45870
1770055128075223,45820
1770055128117629,45890
