unix_timestamp,active_power (mW)
1769590291918613,43950
1769590291961602,44400
1769590292004532,44470
1769590292047457,44450
1769590292090290,44450
1769590292133331,44430
1769590292176413,44410
1769590292219355,44430
1769590292262405,44430
1769590292305622,44460
1769590292348741,44460
1769590292391812,44360
1769590292437053,44380
1769590292480213,44400
1769590292522860,44410
1769590292566042,44410
1769590292609089,44420
1769590292652072,44350
1769590292695141,44450
1769590292738017,44470
1769590292781305,44440
1769590292824373,44410
1769590292867423,44370
1769590292910565,44460
1769590292957078,44450
1769590293000091,44360
1769590293042917,44530
1769590293086021,44380
1769590293129120,44390
1769590293171725,44330
1769590293214908,44420
1769590293257777,44420
1769590293300841,44420
1769590293343730,44360
1769590293387011,44420
1769590293430216,44420
1769590293477117,44410
1769590293519904,44360
1769590293563043,44340
1769590293606251,44410
1769590293649507,44350
1769590293692737,44360
1769590293735719,44350
1769590293778718,44390
1769590293821797,44380
1769590293864807,44410
1769590293907711,44400
1769590293950202,44310
1769590293996985,44360
1769590294040031,44300
1769590294082691,44360
1769590294125690,44370
1769590294168685,44390
1769590294211803,44360
1769590294254169,44340
1769590294297101,44400
1769590294340093,44360
1769590294383202,44370
1769590294426336,44390
1769590294469471,44310
1769590294512490,44430
1769590294557252,44300
1769590294599650,44330
1769590294642756,44390
1769590294685801,44400
1769590294729077,44370
1769590294771982,44410
1769590294814632,44410
1769590294857702,44390
1769590294900631,44380
1769590294943200,44340
1769590294986338,44360
1769590295029576,44360
1769590295072746,44420
1769590295117218,44380
1769590295160315,44390
1769590295203316,44290
1769590295246430,44440
1769590295289440,44390
1769590295331802,44450
1769590295374669,44380
1769590295417887,44400
1769590295461061,44430
1769590295504013,44400
1769590295547223,44360
1769590295589712,44320
1769590295632955,44360
1769590295677290,44420
1769590295720093,44300
1769590295762849,44350
1769590295806062,44290
1769590295849340,44330
1769590295892547,44290
1769590295935773,44330
1769590295978633,44270
1769590296021778,44240
1769590296064819,44290
1769590296107579,44250
1769590296150744,44300
1769590296197275,44250
1769590296240445,44230
1769590296283536,44290
1769590296326189,44200
1769590296369061,44240
1769590296411433,44260
1769590296454461,44290
1769590296497540,44260
1769590296540496,44190
1769590296583591,44270
1769590296626320,44260
1769590296669346,44310
1769590296712321,44270
1769590296757335,44310
1769590296799704,44310
1769590296842302,44330
1769590296885531,44350
1769590296928507,44410
1769590296971581,44250
1769590297014653,44330
1769590297057799,44280
1769590297100904,44380
1769590297144087,44330
1769590297187292,44410
1769590297230435,44370
1769590297272737,44370
1769590297317507,44290
1769590297360490,44340
1769590297403474,44350
1769590297445977,44400
1769590297489128,44240
1769590297532203,44330
1769590297575286,44380
1769590297618493,44330
1769590297661641,44310
1769590297704508,44280
1769590297746950,44240
1769590297790027,44330
1769590297833212,44340
1769590297877539,44300
1769590297920352,44390
1769590297963158,44290
1769590298005479,44340
1769590298048615,44420
1769590298091392,44350
1769590298134596,44370
1769590298177597,44310
1769590298220555,44330
1769590298263536,44320
1769590298306548,44400
1769590298349543,44360
1769590298392621,44330
1769590298437641,44380
1769590298480660,44440
1769590298523451,44270
1769590298565982,44320
1769590298608945,44310
1769590298652177,44280
1769590298695307,44330
1769590298737726,44250
1769590298780717,44240
1769590298823552,44330
1769590298866363,44320
1769590298909408,44260
1769590298952473,44320
1769590298997513,44290
1769590299040659,44350
1769590299083583,44340
1769590299126348,44310
1769590299169506,44250
1769590299212706,44260
1769590299255742,44250
1769590299298538,44280
1769590299341737,44250
1769590299384809,44280
1769590299427750,44300
1769590299470727,44300
1769590299517575,44240
1769590299560601,44160
1769590299603644,44210
1769590299646322,44160
1769590299689360,44170
1769590299731865,44220
1769590299774989,44240
1769590299818230,44170
1769590299861006,44230
1769590299903936,44150
1769590299946920,44190
1769590299989993,44160
1769590300034074,44240
1769590300077742,44250
1769590300120721,44250
1769590300164034,44280
1769590300206937,44290
1769590300249346,44200
1769590300292286,44220
1769590300335114,44260
1769590300378080,44290
1769590300421178,44250
1769590300464166,44270
1769590300507325,44340
1769590300550242,44230
1769590300593073,44250
1769590300637875,44230
1769590300680997,44300
1769590300724146,44270
1769590300767272,44250
1769590300809926,44230
1769590300852417,44240
1769590300895256,44210
1769590300937864,44290
1769590300981019,44180
1769590301024052,44180
1769590301066640,44220
1769590301109828,44270
1769590301152812,44160
1769590301197928,44200
1769590301241026,44320
1769590301284146,44230
1769590301327085,44310
1769590301370260,44220
1769590301413445,44260
1769590301455962,44310
1769590301499100,44290
1769590301541707,44330
1769590301584671,44260
1769590301627683,44290
1769590301670631,44380
1769590301713658,44360
1769590301757871,44370
1769590301800935,44330
1769590301843998,44370
1769590301887138,44290
1769590301929963,44380
1769590301973008,44370
1769590302016111,44320
1769590302059422,44330
1769590302101837,44310
1769590302144724,44300
1769590302187611,44340
1769590302230522,44290
1769590302273756,44330
1769590302318152,44400
1769590302360489,44240
1769590302403479,44320
1769590302446717,44330
1769590302489882,44370
1769590302533016,44420
1769590302576065,44400
1769590302619129,44370
1769590302662275,44400
1769590302705336,44430
1769590302748080,44380
1769590302791100,44430
1769590302833756,44470
1769590302878126,44280
1769590302920600,44440
1769590302963392,44370
1769590303005719,44510
1769590303048726,44400
1769590303091674,44440
1769590303134355,44420
1769590303177382,44330
1769590303220317,44390
1769590303262693,44370
1769590303305547,44460
1769590303348501,44330
1769590303391313,44420
1769590303438277,44420
1769590303481387,44480
1769590303524663,44460
1769590303567468,44370
1769590303610603,44360
1769590303653587,44390
1769590303696465,44390
1769590303739629,44360
1769590303782533,44350
1769590303825652,44430
1769590303868682,44380
1769590303911556,44430
1769590303958248,44310
1769590304001364,44360
1769590304044314,44440
1769590304086772,44340
1769590304129911,44400
1769590304172822,44320
1769590304215841,44320
1769590304258858,44300
1769590304301755,44410
1769590304344712,44360
1769590304387753,44390
1769590304430705,44440
1769590304473258,44390
1769590304518369,44370
1769590304561433,44420
1769590304604572,44350
1769590304647621,44320
1769590304690080,44440
1769590304732852,44400
1769590304775329,44350
1769590304817889,44390
1769590304861081,44450
1769590304904179,44390
1769590304946913,44440
1769590304990092,44420
1769590305033211,44440
1769590305078302,44330
1769590305121510,44430
1769590305164495,44380
1769590305207229,44460
1769590305250304,44430
1769590305293296,44390
1769590305336563,44440
1769590305379382,44440
1769590305421844,44380
1769590305464820,44400
1769590305507920,44430
1769590305551000,44400
1769590305594102,44450
1769590305638360,44450
1769590305681581,44450
1769590305724833,44440
1769590305767703,44330
1769590305810739,44390
1769590305853776,44410
1769590305896881,44350
1769590305940090,44370
1769590305983108,44350
1769590306026201,44330
1769590306069345,44290
1769590306112415,44250
1769590306158439,44340
1769590306201177,44310
1769590306243523,44340
1769590306286126,44240
1769590306329345,44290
1769590306372330,44220
1769590306415540,44250
1769590306457934,44270
1769590306500944,44190
1769590306544071,44170
1769590306587288,44220
1769590306630409,44270
1769590306673443,44240
1769590306718600,44230
1769590306761495,44220
