unix_timestamp,active_power (mW)
1769594662713467,44110
1769594662756476,46140
1769594662799286,46440
1769594662842496,46440
1769594662885522,46460
1769594662928591,46400
1769594662971684,46390
1769594663014257,46350
1769594663057387,46290
1769594663099771,46230
1769594663142335,46270
1769594663185446,46290
1769594663231667,46280
1769594663274406,46220
1769594663317366,46390
1769594663360440,46290
1769594663403596,46270
1769594663446706,46300
1769594663489691,46270
1769594663532757,46310
1769594663575844,46320
1769594663618999,46360
1769594663661955,46380
1769594663705093,46340
1769594663751603,46440
1769594663794530,46450
1769594663837733,46470
1769594663880933,46520
1769594663923550,46480
1769594663966574,46540
1769594664009831,46560
1769594664052738,46520
1769594664095764,46580
1769594664138307,46540
1769594664181394,46480
1769594664224426,46460
1769594664267388,46460
1769594664311779,46410
1769594664354748,46380
1769594664397947,46320
1769594664441187,46300
1769594664484299,46310
1769594664526722,46350
1769594664569807,46280
1769594664612930,46350
1769594664656059,46300
1769594664699302,46270
1769594664742307,46360
1769594664785319,46270
1769594664831453,46310
1769594664874518,46220
1769594664917510,46320
1769594664960431,46270
1769594665003572,46330
1769594665046580,46350
1769594665089716,46340
1769594665133570,46420
1769594665176411,46350
1769594665219192,46360
1769594665262191,46460
1769594665304663,46380
1769594665351512,46410
1769594665393807,46450
1769594665436526,46490
1769594665479632,46480
1769594665522156,46530
1769594665565053,46490
1769594665608246,46510
1769594665651507,46480
1769594665694674,46550
1769594665737568,46430
1769594665780620,46470
1769594665823580,46420
1769594665866476,46490
1769594665911499,46440
1769594665954584,46470
1769594665997638,46480
1769594666040272,46470
1769594666082832,46440
1769594666125200,46490
1769594666167450,46510
1769594666210329,46490
1769594666253394,46480
1769594666296398,46530
1769594666338915,46560
1769594666382127,46550
1769594666424798,46460
1769594666471904,46520
1769594666514836,46610
1769594666558062,46570
1769594666600987,46520
1769594666643411,46490
1769594666686347,46520
1769594666729421,46440
1769594666772448,46480
1769594666815269,46400
1769594666857725,46380
1769594666900942,46320
1769594666943598,46380
1769594666986535,46370
1769594667031422,46350
1769594667074228,46340
1769594667117211,46380
1769594667160587,46400
1769594667203402,46390
1769594667245921,46370
1769594667289147,46400
1769594667332396,46420
1769594667375544,46470
1769594667418446,46420
1769594667461632,46420
1769594667504493,46510
1769594667547389,46510
1769594667591390,46490
1769594667633853,46510
1769594667676829,46390
1769594667719823,46540
1769594667762638,46490
1769594667805656,46480
1769594667848856,46500
1769594667892005,46460
1769594667935044,46550
1769594667977913,46470
1769594668021072,46460
1769594668064025,46420
1769594668111143,46480
1769594668154305,46380
1769594668197279,46300
1769594668240395,46230
1769594668283445,46290
1769594668325877,46250
1769594668368939,46300
1769594668412063,46210
1769594668454939,46220
1769594668497926,46230
1769594668541028,46300
1769594668583883,46280
1769594668626728,46300
1769594668671192,46310
1769594668714278,46320
1769594668757092,46360
1769594668800004,46400
1769594668843198,46340
1769594668886550,46370
1769594668929637,46420
1769594668972564,46450
1769594669015625,46440
1769594669058576,46440
1769594669101037,46520
1769594669144028,46450
1769594669186723,46490
1769594669231247,46460
1769594669273904,46500
1769594669317029,46530
1769594669360093,46540
1769594669403111,46480
1769594669446058,46440
1769594669489200,46320
1769594669532321,46370
1769594669575390,46290
1769594669617834,46180
1769594669660939,46160
1769594669704094,46200
1769594669746710,46140
1769594669790948,46110
1769594669834084,46250
1769594669877024,46250
1769594669919293,46350
1769594669961743,46360
1769594670004766,46270
1769594670047814,46250
1769594670090813,46320
1769594670134171,46280
1769594670177335,46300
1769594670220489,46270
1769594670263292,46300
1769594670305944,46370
1769594670351009,46320
1769594670394129,46350
1769594670437138,46420
1769594670480284,46410
1769594670522963,46480
1769594670565943,46480
1769594670609213,46430
1769594670652422,46470
1769594670695439,46570
1769594670737794,46510
1769594670780833,46530
1769594670823889,46550
1769594670866587,46480
1769594670910972,46520
1769594670954182,46540
1769594670997387,46480
1769594671040920,46430
1769594671083936,46420
1769594671126627,46360
1769594671169583,46310
1769594671212595,46270
1769594671255412,46210
1769594671298028,46190
1769594671341083,46150
1769594671383908,46260
1769594671430763,46260
1769594671473579,46300
1769594671516519,46310
1769594671559593,46240
1769594671601921,46380
1769594671645009,46320
1769594671688219,46310
1769594671730965,46350
1769594671774015,46290
1769594671817140,46240
1769594671860339,46320
1769594671903589,46380
1769594671946336,46290
1769594671990747,46300
1769594672033570,46370
1769594672075944,46340
1769594672118817,46340
1769594672161797,46400
1769594672204956,46490
1769594672247785,46460
1769594672290425,46470
1769594672333330,46510
1769594672376468,46500
1769594672419370,46520
1769594672462536,46540
1769594672505451,46550
1769594672550873,46450
1769594672593347,46480
1769594672636749,46490
1769594672679860,46530
1769594672722713,46540
1769594672765710,46570
1769594672808634,46510
1769594672851889,46410
1769594672894919,46440
1769594672937765,46340
1769594672980735,46320
1769594673023856,46300
1769594673070735,46390
1769594673113931,46200
1769594673156679,46190
1769594673200212,46170
1769594673242815,46100
1769594673285866,46180
1769594673328910,46220
1769594673371989,46210
1769594673414938,46240
1769594673458184,46310
1769594673500986,46210
1769594673543678,46250
1769594673586280,46260
1769594673630729,46260
1769594673673790,46300
1769594673716732,46270
1769594673759943,46260
1769594673802926,46330
1769594673845712,46220
1769594673888835,46350
1769594673931840,46260
1769594673974545,46310
1769594674017545,46360
1769594674060606,46440
1769594674103596,46420
1769594674146600,46490
1769594674190829,46450
1769594674233933,46470
1769594674277118,46480
1769594674320055,46440
1769594674363137,46420
1769594674406243,46410
1769594674449225,46400
1769594674492232,46380
1769594674535283,46350
1769594674578065,46340
1769594674621065,46370
1769594674664108,46390
1769594674710633,46330
1769594674753853,46370
1769594674797039,46380
1769594674839913,46350
1769594674883078,46480
1769594674926207,46330
1769594674969464,46280
1769594675012467,46300
1769594675055532,46260
1769594675097981,46330
1769594675140895,46300
1769594675183785,46310
1769594675226623,46320
1769594675270682,46360
1769594675313777,46350
1769594675356801,46370
1769594675399866,46450
1769594675442832,46490
1769594675486036,46520
1769594675528814,46510
1769594675571823,46480
1769594675614627,46540
1769594675657781,46570
1769594675700994,46580
1769594675743999,46590
1769594675790876,46550
1769594675833874,46500
1769594675877166,46550
1769594675920373,46490
1769594675963130,46500
1769594676006059,46470
1769594676049244,46540
1769594676092410,46440
1769594676135421,46390
1769594676178370,46490
1769594676220555,46380
1769594676263482,46320
1769594676305825,46300
1769594676350585,46230
1769594676393772,46220
1769594676436746,46150
1769594676479838,46180
1769594676523080,46120
1769594676566149,46190
1769594676609160,46150
1769594676652413,46250
1769594676695580,46110
1769594676738040,46220
1769594676781093,46230
1769594676824124,46240
1769594676870680,46200
1769594676913854,46270
1769594676957058,46320
1769594677000189,46420
1769594677042816,46460
1769594677086045,46390
1769594677129239,46420
1769594677172344,46540
1769594677215469,46460
1769594677258132,46510
1769594677301346,46560
1769594677344446,46570
1769594677390717,46570
1769594677433870,46520
1769594677477145,46500
1769594677519622,46550
1769594677562826,46520
1769594677605752,46520
1769594677648879,46510
1769594677691850,46390
1769594677734249,46430
1769594677777353,46320
1769594677820550,46350
1769594677863476,46390
1769594677906040,46260
1769594677950651,46250
1769594677993590,46210
1769594678036604,46310
1769594678078834,46270
1769594678121645,46310
1769594678164615,46310
1769594678207712,46340
1769594678250312,46430
1769594678293417,46460
1769594678336342,46420
1769594678379412,46550
1769594678422244,46440
1769594678465407,46550
1769594678510796,46600
1769594678553981,46540
1769594678596422,46490
1769594678639358,46540
1769594678682507,46600
1769594678725519,46550
1769594678768518,46520
1769594678811478,46510
1769594678854655,46550
1769594678897666,46540
1769594678940724,46590
1769594678983565,46500
1769594679026078,46560
1769594679070928,46540
1769594679114001,46490
1769594679157220,46580
1769594679200375,46540
1769594679243089,46570
1769594679285837,46550
1769594679328929,46430
1769594679372038,46400
1769594679415038,46400
1769594679457519,46370
1769594679500602,46430
1769594679543432,46420
1769594679585741,46410
1769594679630743,46440
1769594679673761,46480
1769594679716781,46420
1769594679759863,46470
1769594679802782,46550
1769594679846074,46560
1769594679889224,46580
1769594679932507,46600
1769594679975293,46610
1769594680018266,46570
1769594680061472,46570
1769594680104505,46570
1769594680150926,46570
1769594680193857,46570
1769594680236897,46590
1769594680279459,46520
1769594680321899,46530
1769594680365099,46570
1769594680408141,46490
1769594680450770,46560
1769594680493954,46490
1769594680536978,46540
1769594680579501,46600
1769594680622500,46540
1769594680665494,46460
1769594680710743,44980
