unix_timestamp,active_power (mW)
1769595447198085,44370
1769595447241130,44620
1769595447284179,45840
1769595447327064,45770
1769595447370260,45880
1769595447413306,46030
1769595447458365,45970
1769595447501519,45880
1769595447544428,45770
1769595447587269,45800
1769595447629804,45730
1769595447672317,45610
1769595447715412,45700
1769595447758602,45770
1769595447801276,45790
1769595447844343,45770
1769595447887473,45780
1769595447930490,45800
1769595447973508,45770
1769595448018454,45760
1769595448061467,45820
1769595448104497,45920
1769595448147574,45910
1769595448190733,45810
1769595448233372,45800
1769595448276165,45830
1769595448319119,45890
1769595448362046,46020
1769595448405176,46040
1769595448448345,45980
1769595448491474,45950
1769595448533916,45960
1769595448578968,45990
1769595448621936,45990
1769595448664921,45970
1769595448707955,46030
1769595448751077,46010
1769595448794386,45920
1769595448837667,45820
1769595448880382,45820
1769595448923357,45870
1769595448965923,45910
1769595449008259,45890
1769595449050501,45930
1769595449093454,45900
1769595449139256,45890
1769595449181677,45710
1769595449223999,45770
1769595449266505,45660
1769595449309466,45640
1769595449352529,45690
1769595449395347,45720
1769595449438373,45900
1769595449481550,45840
1769595449524646,45710
1769595449567587,45780
1769595449610019,45740
1769595449653043,45880
1769595449699597,45900
1769595449742666,45840
1769595449785696,45830
1769595449828625,45900
1769595449871529,45980
1769595449914550,46040
1769595449957052,46050
1769595450000014,45990
1769595450042671,45930
1769595450085685,45950
1769595450128603,45990
1769595450171547,45980
1769595450213942,45980
1769595450259832,45980
1769595450302990,45870
1769595450346114,45860
1769595450389191,45790
1769595450432364,45730
1769595450475456,45720
1769595450517789,45760
1769595450560920,45830
1769595450603884,45870
1769595450646377,45860
1769595450689490,45850
1769595450732441,45730
1769595450775375,45720
1769595450820055,45740
1769595450863070,45790
1769595450905462,45790
1769595450948540,45870
1769595450991539,45740
1769595451034385,45620
1769595451077483,45600
1769595451120549,45630
1769595451163419,45750
1769595451206539,45840
1769595451249723,45800
1769595451292917,45770
1769595451335837,45700
1769595451380621,45850
1769595451423623,45860
1769595451466648,45920
1769595451509823,45800
1769595451552767,45800
1769595451595388,45880
1769595451637747,46000
1769595451680721,46030
1769595451723682,45880
1769595451766145,45950
1769595451809300,45930
1769595451852304,45970
1769595451895474,46050
1769595451941015,46080
1769595451984488,45970
1769595452026976,45990
1769595452070057,46010
1769595452113096,45990
1769595452156175,45980
1769595452199292,46040
1769595452241678,46010
1769595452284565,45910
1769595452327158,45860
1769595452370290,45850
1769595452413236,45860
1769595452456109,45830
1769595452501306,45830
1769595452544337,45820
1769595452587305,45830
1769595452629770,45810
1769595452672708,45790
1769595452715886,45710
1769595452758694,45590
1769595452801663,45660
1769595452844844,45810
1769595452887896,45800
1769595452930559,45840
1769595452973541,45840
1769595453016470,45710
1769595453061519,45890
1769595453104543,45900
1769595453147560,45840
1769595453190504,45880
1769595453233115,45820
1769595453276231,45840
1769595453319222,46040
1769595453361462,46040
1769595453404490,45940
1769595453447545,45970
1769595453489786,46010
1769595453532916,46020
1769595453575827,45970
1769595453622033,46030
1769595453664710,45860
1769595453707620,45860
1769595453750793,45780
1769595453794041,45790
1769595453837305,45950
1769595453880309,45920
1769595453923403,45970
1769595453966394,45830
1769595454009594,45870
1769595454052508,45710
1769595454095531,45680
1769595454142295,45840
1769595454185446,45780
1769595454227969,45880
1769595454271120,45900
1769595454313898,45810
1769595454356993,45750
1769595454399964,45700
1769595454442892,45760
1769595454485884,45830
1769595454528957,45880
1769595454572003,45760
1769595454614568,45710
1769595454657554,45710
1769595454702634,45870
1769595454745828,45970
1769595454788881,45810
1769595454831785,45840
1769595454874971,45850
1769595454917810,45970
1769595454960983,46010
1769595455003550,46010
1769595455046060,46030
1769595455089325,45890
1769595455132500,45970
1769595455175407,45950
1769595455217862,46070
1769595455263081,46050
1769595455306116,45920
1769595455349382,45870
1769595455391954,45770
1769595455435049,45840
1769595455477695,45800
1769595455520498,45790
1769595455563462,45890
1769595455606541,45790
1769595455649814,45880
1769595455692973,45820
1769595455736009,45690
1769595455783109,45670
1769595455826166,45730
1769595455869221,45890
1769595455912199,45830
1769595455955486,45790
1769595455998499,45680
1769595456041657,45670
1769595456084696,45670
1769595456127651,45770
1769595456170758,45780
1769595456213562,45880
1769595456256659,45870
1769595456303479,45710
1769595456345845,45700
1769595456388930,45770
1769595456432055,45760
1769595456475069,45890
1769595456518309,45790
1769595456561539,45730
1769595456604815,45740
1769595456647741,45870
1769595456690561,45880
1769595456732952,45950
1769595456775996,45940
1769595456818735,45870
1769595456863895,45900
1769595456907083,46040
1769595456950255,46050
1769595456993299,45910
1769595457036201,45950
1769595457079422,45970
1769595457122658,45980
1769595457165510,46010
1769595457208445,45970
1769595457251464,46000
1769595457294453,45940
1769595457337477,46020
1769595457384345,45920
1769595457426985,45980
1769595457470005,45990
1769595457512475,45960
1769595457555530,45900
1769595457598617,45850
1769595457641769,45720
1769595457684739,45760
1769595457727545,45830
1769595457770470,45760
1769595457813619,45820
1769595457856688,45860
1769595457899798,45830
1769595457944526,45710
1769595457987636,45730
1769595458030195,45670
1769595458073035,45780
1769595458116056,45880
1769595458159294,45810
1769595458202563,45740
1769595458244857,45720
1769595458287897,45750
1769595458331205,45850
1769595458374285,45850
1769595458417271,45860
1769595458460321,45820
1769595458504940,45720
1769595458547830,45860
1769595458590676,45920
1769595458633492,45980
1769595458676442,46000
1769595458719312,45920
1769595458761896,45930
1769595458805152,45860
1769595458848378,46020
1769595458891523,46050
1769595458934407,45960
1769595458977647,45980
1769595459020787,45950
1769595459065317,45860
1769595459108461,45770
1769595459151552,45780
1769595459194178,45880
1769595459237082,45960
1769595459280262,45970
1769595459322947,45900
1769595459365970,45900
1769595459409267,45820
1769595459452539,45800
1769595459495354,45760
1769595459537832,45780
1769595459580978,45750
1769595459625469,45840
1769595459668536,45900
1769595459711197,45840
1769595459753907,45840
1769595459797035,45780
1769595459840046,45700
1769595459882981,45690
1769595459925559,45630
1769595459968656,45690
1769595460011590,45760
1769595460054607,45900
1769595460097787,45900
1769595460140950,45860
1769595460185697,45750
1769595460228632,45680
1769595460271659,45710
1769595460314708,45730
1769595460357635,45830
1769595460400656,45850
1769595460443734,45800
1769595460486571,45840
1769595460529611,45720
1769595460572587,45720
1769595460616048,45730
1769595460659166,45810
1769595460702045,45890
1769595460746108,45880
1769595460789270,45790
1769595460832323,45780
1769595460875401,45840
1769595460918657,45890
1769595460961838,46060
1769595461004993,45940
1769595461047670,45990
1769595461090890,45940
1769595461133818,45900
1769595461176986,45940
1769595461219990,46020
1769595461266454,45990
1769595461309553,45990
1769595461352744,45940
1769595461395688,45910
1769595461438844,45900
1769595461481840,45870
1769595461525015,45800
1769595461568138,45800
1769595461611127,45820
1769595461654365,45840
1769595461696720,45880
1769595461739416,45900
1769595461781809,45920
1769595461826570,45830
1769595461869715,45740
1769595461912788,45770
1769595461955824,45640
1769595461999072,45630
1769595462041939,45680
1769595462085060,45740
1769595462127265,45820
1769595462170178,45810
1769595462213345,45840
1769595462256354,45830
1769595462299611,45740
1769595462342813,45720
1769595462386789,45730
1769595462429976,45800
1769595462473009,45780
1769595462515980,45760
1769595462558932,45870
1769595462602256,45790
1769595462645317,45700
1769595462687672,45660
1769595462730402,45740
1769595462773517,45720
1769595462816628,45860
1769595462859547,45880
1769595462902640,45910
1769595462947104,45840
1769595462990180,45760
1769595463033114,45640
1769595463075905,45640
1769595463118756,45660
1769595463161818,45720
1769595463204941,45670
1769595463248190,45760
1769595463291389,45840
1769595463334339,45870
1769595463377288,45860
1769595463420455,45800
1769595463467410,45800
1769595463510527,45810
1769595463553685,45910
1769595463596211,45940
1769595463639470,45960
1769595463682599,45910
1769595463725660,45870
1769595463768714,45850
1769595463811775,45820
1769595463854962,45780
1769595463897943,45780
1769595463940220,45770
