unix_timestamp,active_power (mW)
1769526734807593,43340
1769526734850158,43680
1769526734893330,43840
1769526734936246,43800
1769526734979129,43790
1769526735022239,43760
1769526735065114,43840
1769526735108124,43780
1769526735150874,43730
1769526735193845,43720
1769526735236971,43730
1769526735281034,43880
1769526735324114,43800
1769526735367473,43780
1769526735409736,43810
1769526735452570,43720
1769526735494858,43770
1769526735537884,43780
1769526735580930,43740
1769526735624187,43760
1769526735667238,43740
1769526735709904,43680
1769526735753168,43720
1769526735796331,43700
1769526735841121,43840
1769526735884139,43760
1769526735926646,43730
1769526735969785,43760
1769526736012928,43710
1769526736055379,43760
1769526736098490,43700
1769526736141477,43740
1769526736184648,43670
1769526736227485,43700
1769526736270358,43690
1769526736313502,43780
1769526736356530,43690
1769526736401161,43610
1769526736444282,43670
1769526736487503,43670
1769526736530052,43710
1769526736573187,43640
1769526736615893,43730
1769526736658944,43670
1769526736702177,43760
1769526736744772,43690
1769526736787938,43750
1769526736830759,43740
1769526736873771,43780
1769526736916830,43760
1769526736961410,43760
1769526737004392,43770
1769526737047455,43800
1769526737090458,43760
1769526737132831,43790
1769526737175114,43700
1769526737218001,43690
1769526737261169,43680
1769526737304382,43670
1769526737347379,43820
1769526737390437,43660
1769526737433325,43650
1769526737476226,43660
1769526737521277,43640
1769526737564262,43690
1769526737606980,43670
1769526737649811,43730
1769526737692992,43760
1769526737735973,43740
1769526737779102,43690
1769526737821674,43690
1769526737864879,43740
1769526737907775,43740
1769526737950693,43740
1769526737993824,43800
1769526738037030,43780
1769526738081393,43790
1769526738124434,43720
1769526738167354,43670
1769526738209914,43740
1769526738252798,43710
1769526738295952,43700
1769526738338950,43740
1769526738382064,43810
1769526738425225,43660
1769526738468370,43710
1769526738511336,43700
1769526738554368,43740
1769526738597501,43650
1769526738641413,43720
1769526738684402,43720
1769526738727556,43700
1769526738770021,43730
1769526738813276,43640
1769526738856383,43700
1769526738899260,43720
1769526738941852,43710
1769526738985040,43700
1769526739028134,43710
1769526739070773,43750
1769526739114012,43720
1769526739157157,43750
1769526739201718,43740
1769526739244826,43720
1769526739287995,43770
1769526739331143,43750
1769526739374316,43930
1769526739417352,43660
1769526739460488,43830
1769526739502888,43710
1769526739545502,43780
1769526739588687,43690
1769526739631912,43730
1769526739674878,43710
1769526739721741,43700
1769526739764721,43720
1769526739807657,43670
1769526739850464,43670
1769526739893477,43610
1769526739936552,43670
1769526739979359,43700
1769526740022432,43640
1769526740065576,43670
1769526740108603,43640
1769526740150834,43710
1769526740193106,43760
1769526740235914,43740
1769526740281794,43720
1769526740324818,43780
1769526740367854,43720
1769526740410823,43930
1769526740453707,43740
1769526740496742,43740
1769526740539507,43700
1769526740581788,43740
1769526740624968,43700
1769526740668146,43770
1769526740711039,43730
1769526740753877,43810
