unix_timestamp,active_power (mW)
1769527794203896,43320
1769527794246215,45590
1769527794288776,45860
1769527794331896,45950
1769527794374570,45900
1769527794417778,45980
1769527794460834,45890
1769527794503767,45830
1769527794546765,45890
1769527794589447,45840
1769527794632155,45960
1769527794674742,45900
1769527794717809,45930
1769527794762778,46060
1769527794805965,45960
1769527794849173,45930
1769527794892279,46110
1769527794935070,46100
1769527794978252,46020
1769527795021387,46060
1769527795064474,46050
1769527795107369,46160
1769527795150373,46260
1769527795193562,46040
1769527795236572,46190
1769527795283436,46170
1769527795326536,46160
1769527795369541,46120
1769527795412377,46070
1769527795455208,46090
1769527795498293,46080
1769527795541379,46010
1769527795584521,46010
1769527795627487,46040
1769527795670003,45960
1769527795712869,45940
1769527795756010,45970
1769527795799167,45920
1769527795843833,45950
1769527795886874,45910
1769527795929785,45900
1769527795972802,45940
1769527796015904,45870
1769527796058770,45840
1769527796101725,45890
1769527796144431,45980
1769527796187205,45860
1769527796229781,45840
1769527796272099,45870
1769527796314791,45850
1769527796357166,45830
1769527796404124,45920
1769527796447316,45780
1769527796489752,45930
1769527796532880,45890
1769527796576044,45870
1769527796619068,45930
1769527796661892,45900
1769527796704872,45900
1769527796747821,45920
1769527796790540,46000
1769527796833568,45900
1769527796877059,45970
1769527796919634,45980
1769527796964772,45970
1769527797007545,46080
1769527797050585,46120
1769527797093003,46070
1769527797136107,46150
1769527797179339,46270
1769527797222472,46260
1769527797265529,46110
1769527797308652,46010
1769527797351841,46040
1769527797394488,46080
1769527797437700,46040
1769527797480910,46080
1769527797525352,45990
1769527797568380,45970
1769527797611038,45930
1769527797653814,45910
1769527797696822,45910
1769527797739585,45940
1769527797782663,45880
1769527797825816,45840
1769527797868972,45800
1769527797912153,45860
1769527797954591,45930
1769527797997670,45860
1769527798040656,45840
1769527798085719,45950
1769527798128859,45850
1769527798171802,45860
1769527798214320,45960
1769527798257239,45980
1769527798300196,45980
1769527798343426,45970
1769527798386652,45950
1769527798429105,46000
1769527798472122,46000
1769527798514688,46010
1769527798557979,45950
1769527798601158,45940
1769527798646170,46020
1769527798689332,45970
1769527798732422,45960
1769527798775326,45930
1769527798817696,45930
