unix_timestamp,active_power (mW)
1769527949824269,43360
1769527949866812,44400
1769527949910060,44820
1769527949953198,44820
1769527949996151,44780
1769527950038823,44790
1769527950081860,44810
1769527950125342,44750
1769527950168378,44790
1769527950211437,44800
1769527950254678,44850
1769527950299394,44820
1769527950342500,44860
1769527950385473,44790
1769527950428564,44840
1769527950471485,44790
1769527950513969,44860
1769527950556994,44820
1769527950600008,44800
1769527950642741,44790
1769527950685771,44780
1769527950729009,44790
1769527950771688,44780
1769527950814389,44860
1769527950859512,44770
1769527950901932,44730
1769527950945044,44810
1769527950987984,44710
1769527951031132,44760
1769527951073717,44820
1769527951116853,44800
1769527951159912,44800
1769527951203055,44780
1769527951246070,44750
1769527951289150,44770
1769527951332268,44820
1769527951379481,44740
1769527951422671,44770
1769527951465805,44840
1769527951508779,44760
1769527951551815,44760
1769527951594680,44730
1769527951637616,44740
1769527951680805,44760
1769527951723746,44680
1769527951766519,44720
1769527951809685,44880
1769527951852704,44800
1769527951899451,44790
1769527951942656,44700
1769527951985799,44780
1769527952029068,44770
1769527952072397,44860
1769527952115501,44720
1769527952158352,44800
1769527952201571,44770
1769527952244721,44870
1769527952287690,44880
1769527952330685,44790
1769527952372997,44850
1769527952419543,44810
1769527952462729,44850
1769527952505597,44790
1769527952548511,44820
1769527952591625,44880
1769527952634420,44820
1769527952677540,44890
1769527952720515,44840
1769527952763205,44860
1769527952806331,44870
1769527952849529,44940
1769527952892427,44840
1769527952934818,44840
1769527952979626,44750
1769527953022785,44800
1769527953065941,44760
1769527953108979,44790
1769527953151869,44860
1769527953195055,44850
1769527953237922,44900
1769527953281139,44900
1769527953323948,44940
1769527953366889,45010
1769527953410006,45030
1769527953453049,44940
1769527953499804,44920
1769527953542589,44910
1769527953585748,44970
1769527953629026,44890
1769527953672147,44980
1769527953714740,44900
1769527953757810,44930
1769527953800939,44840
1769527953844487,44950
1769527953887328,44860
1769527953930492,44900
1769527953973693,44820
1769527954019782,44850
1769527954062971,44880
1769527954106161,44830
1769527954149457,44810
1769527954192585,44790
1769527954235396,44750
1769527954278354,44700
1769527954321636,44720
1769527954364759,44760
1769527954407792,44740
1769527954450372,44810
1769527954493489,44800
1769527954539989,44790
1769527954582705,44730
1769527954625869,44830
1769527954668850,44820
1769527954712014,44830
1769527954754667,44790
1769527954797755,44800
1769527954840656,44800
1769527954883776,44850
1769527954926773,44770
1769527954969669,44790
1769527955012605,44710
1769527955055763,44810
1769527955100144,44840
1769527955143245,44880
1769527955186198,44930
1769527955229223,44950
1769527955272336,44910
1769527955315555,44950
1769527955358567,44920
1769527955400792,44980
1769527955443743,44900
1769527955486577,44940
1769527955529802,44840
1769527955572979,44810
1769527955616034,44850
1769527955660197,44880
1769527955703385,44800
1769527955745945,44880
1769527955789104,44790
1769527955832312,44820
1769527955875394,44870
1769527955918389,45010
1769527955961613,44900
1769527956004819,44890
1769527956047807,44870
1769527956090652,44930
1769527956133801,44840
1769527956180315,44840
1769527956223487,44860
1769527956266782,44840
1769527956309874,44810
1769527956352998,44810
1769527956395842,44870
1769527956438857,44840
1769527956482005,44810
1769527956524994,44780
1769527956568074,44740
1769527956610573,44760
1769527956653484,44760
1769527956700370,44780
1769527956743133,44750
1769527956785839,44780
1769527956828954,44730
1769527956872017,44750
1769527956914773,45010
1769527956957882,44680
1769527957000295,44810
1769527957043390,44810
1769527957085844,44900
1769527957128960,44760
1769527957172080,44830
1769527957214423,44890
1769527957260494,44810
1769527957303619,44720
1769527957346649,44750
1769527957389765,44730
1769527957432790,44730
1769527957475793,44730
1769527957518737,44740
1769527957561876,44710
1769527957604456,44780
1769527957647501,44820
1769527957690606,44790
1769527957734050,44750
1769527957780768,44820
1769527957823807,44820
1769527957866702,44860
1769527957909944,44880
1769527957953009,44970
1769527957995982,44860
1769527958039127,44850
1769527958081377,44780
1769527958124142,44720
1769527958167131,44770
1769527958210343,44750
1769527958253565,44710
1769527958296501,44750
1769527958340829,44820
1769527958383061,44690
1769527958425679,44750
1769527958468641,44790
1769527958511485,44760
1769527958553926,44820
1769527958596896,44840
1769527958640015,44760
1769527958683259,44790
1769527958726330,44870
1769527958769376,44850
1769527958812326,44820
1769527958855394,44860
1769527958900839,44780
1769527958943549,44870
1769527958986587,44770
1769527959029744,44770
1769527959072681,44740
1769527959115553,44760
1769527959158674,44710
1769527959201823,44700
1769527959244731,44770
1769527959287660,44740
1769527959330913,44750
1769527959373976,44740
1769527959417095,44850
1769527959460998,44760
1769527959504061,44840
1769527959546646,44800
1769527959589834,44820
1769527959633108,44850
1769527959676052,44860
1769527959719087,44820
1769527959761834,44790
1769527959804937,44770
1769527959848096,44860
1769527959890755,44820
1769527959933850,44720
1769527959976875,44750
1769527960021158,44720
1769527960064265,44790
1769527960107428,44750
1769527960150601,44700
1769527960193603,44750
1769527960236856,44740
1769527960280058,44760
1769527960323322,44860
1769527960366451,44830
1769527960409493,44800
1769527960452639,44840
1769527960495515,44820
1769527960541416,44860
1769527960584650,44750
1769527960627657,44770
1769527960670732,44870
1769527960713765,44770
1769527960756922,44710
1769527960799953,44670
1769527960842656,44780
1769527960885902,44720
1769527960928930,44690
1769527960971232,44720
1769527961013629,44710
1769527961056337,44890
1769527961101419,44810
1769527961143993,44800
1769527961187002,44750
1769527961230095,44740
1769527961273045,44850
1769527961316006,44820
1769527961359039,44810
1769527961401281,44800
1769527961444529,44790
1769527961487578,44860
1769527961529879,44850
1769527961573065,44800
