unix_timestamp,active_power (mW)
1769528936165943,43260
1769528936208416,44520
1769528936251107,44650
1769528936293380,44660
1769528936336523,44670
1769528936379201,44700
1769528936421831,44720
1769528936464894,44710
1769528936507776,44740
1769528936549969,44730
1769528936592477,44650
1769528936635455,44620
1769528936678613,44620
1769528936724785,44690
1769528936767976,44680
1769528936810680,44690
1769528936853725,44770
1769528936896669,44870
1769528936939251,44770
1769528936982417,44710
1769528937025621,44660
1769528937068650,44720
1769528937111819,44810
1769528937154819,44780
1769528937197941,44810
1769528937241174,44860
1769528937285264,44810
1769528937328483,44820
1769528937371269,44810
1769528937414403,44890
1769528937457469,44870
1769528937500491,44890
1769528937543359,44880
1769528937585917,44820
1769528937628927,44870
1769528937672020,44790
1769528937714775,44750
1769528937757802,44710
1769528937800917,44750
1769528937845424,44730
1769528937888646,44840
1769528937931754,44840
1769528937974413,44720
1769528938017425,44730
1769528938060386,44740
1769528938103004,44690
1769528938145426,44680
1769528938188565,44680
1769528938231410,44670
1769528938273906,44670
1769528938316967,44670
1769528938360098,44700
1769528938406027,44700
1769528938449034,44760
1769528938492146,44700
1769528938534687,44770
1769528938577653,44710
1769528938620820,44660
1769528938663766,44700
1769528938706418,44640
1769528938749517,44700
1769528938792599,44580
1769528938835621,44680
1769528938878155,44630
1769528938920316,44670
1769528938965832,44700
1769528939008093,44690
1769528939050650,44690
1769528939093233,44700
1769528939136347,44620
1769528939179362,44600
1769528939222279,44660
1769528939265471,44650
1769528939308446,44730
1769528939351594,44760
1769528939394132,44750
1769528939437359,44720
1769528939480260,44690
1769528939526027,44640
1769528939568377,44620
1769528939610651,44640
1769528939653911,44670
1769528939697095,44640
1769528939740040,44710
1769528939782771,44680
1769528939825748,44680
1769528939868866,44740
1769528939911863,44630
1769528939955022,44700
1769528939997672,44750
1769528940040307,44700
1769528940086344,44720
1769528940129364,44650
1769528940172432,44690
1769528940214729,44650
1769528940257898,44770
1769528940301006,44770
1769528940343918,44780
1769528940386750,44730
1769528940429910,44830
1769528940472893,44810
1769528940516062,44780
1769528940558669,44740
1769528940601827,44740
1769528940646527,44680
1769528940689732,44670
1769528940732870,44750
1769528940775827,44720
1769528940818633,44630
1769528940861608,44690
1769528940904282,44640
1769528940947188,44690
1769528940990262,44850
1769528941033339,44710
1769528941076191,44680
1769528941119265,44660
1769528941162368,44650
1769528941206691,44580
1769528941249812,44630
1769528941292751,44700
1769528941335895,44760
1769528941378423,44700
1769528941421371,44670
1769528941464495,44710
1769528941507444,44670
1769528941550018,44710
1769528941593210,44740
1769528941636114,44650
1769528941679189,44630
1769528941722228,44600
1769528941766954,44710
1769528941810169,44670
1769528941853366,44710
1769528941896286,44700
1769528941939164,44600
1769528941982193,44630
1769528942024764,44740
1769528942067650,44640
1769528942110757,44580
1769528942153784,44640
1769528942197019,44660
1769528942239929,44710
1769528942287057,44670
1769528942329284,44720
1769528942372221,44720
1769528942415122,44690
1769528942458324,44590
1769528942501334,44680
1769528942544353,44610
1769528942586743,44690
1769528942629752,44640
1769528942672909,44670
1769528942715944,44730
1769528942758592,44660
1769528942801639,44670
1769528942847490,44670
1769528942890455,44660
1769528942933389,44680
1769528942976399,44590
1769528943019459,44800
1769528943061808,44660
1769528943105000,44670
1769528943147911,44760
1769528943191083,44660
1769528943234353,44650
1769528943277459,44550
1769528943320434,44620
1769528943363338,44680
1769528943407614,44650
1769528943450847,44740
1769528943493954,44710
1769528943537573,44680
1769528943580542,44670
1769528943623168,44630
1769528943665948,44680
1769528943709150,44700
1769528943752058,44710
1769528943795159,44640
1769528943838038,44640
1769528943881017,44680
1769528943927857,44650
1769528943970658,44660
1769528944013743,44680
1769528944056444,44720
1769528944099660,44700
1769528944142443,44600
1769528944185782,44650
1769528944228939,44660
1769528944271981,44660
1769528944315063,44730
1769528944358274,44750
1769528944401347,44710
1769528944448050,44670
1769528944490826,44640
1769528944533855,44610
1769528944576759,44700
1769528944619752,44650
1769528944662748,44660
1769528944705764,44570
1769528944748936,44730
1769528944791934,44690
1769528944834917,44680
1769528944878001,44690
1769528944921082,44630
1769528944964268,44660
1769528945008197,44630
1769528945050710,44690
1769528945093533,44720
1769528945136406,44730
1769528945179491,44760
1769528945222675,44660
1769528945265715,44640
1769528945308745,44740
1769528945351464,44650
1769528945393712,44700
1769528945436745,44670
1769528945479828,44640
1769528945522515,44690
1769528945568398,44710
1769528945610996,44630
1769528945653878,44660
1769528945696975,44730
1769528945739299,44680
1769528945782453,44660
1769528945825472,44630
1769528945868557,44600
1769528945911459,44640
1769528945954311,44660
1769528945997263,44650
1769528946040484,44720
1769528946083348,44660
1769528946128855,44740
1769528946171946,44660
1769528946214389,44720
1769528946257446,44650
1769528946300698,44760
1769528946343844,44700
1769528946386778,44740
1769528946429397,44740
1769528946472409,44780
1769528946515320,44840
1769528946558872,44760
1769528946601936,44760
1769528946645136,44830
1769528946689159,44880
1769528946731996,44850
1769528946774686,44840
1769528946817752,44820
1769528946860684,44880
1769528946903789,44800
1769528946946595,44820
1769528946989570,44730
1769528947032716,44770
1769528947075592,44730
1769528947118057,44750
1769528947160915,44870
1769528947203837,44760
1769528947249394,44780
1769528947292372,44750
1769528947335389,44760
1769528947377758,44720
1769528947420248,44700
1769528947463136,44670
1769528947505905,44620
1769528947548518,44630
1769528947591392,44720
1769528947633853,44640
1769528947676446,44640
1769528947719051,44700
1769528947761864,44830
1769528947804890,44750
1769528947849522,44790
1769528947892636,44750
1769528947935203,44710
1769528947978304,44670
1769528948021250,44680
1769528948064013,44700
1769528948107112,44700
1769528948150277,44830
1769528948193392,44680
1769528948236398,44660
1769528948279146,44730
1769528948322319,44660
1769528948365371,44650
1769528948409645,44650
1769528948452517,44620
1769528948495573,44680
1769528948538608,44690
1769528948580902,44690
1769528948623823,44650
1769528948666772,44630
1769528948709308,44680
1769528948752128,44720
1769528948794835,44740
1769528948838015,44770
1769528948880907,44680
1769528948924029,44710
1769528948970045,44830
1769528949013269,44830
1769528949056344,44760
1769528949098918,44730
1769528949141775,44830
1769528949184950,44920
1769528949227923,44740
1769528949270441,44790
1769528949313684,44770
1769528949356881,44780
1769528949399754,44730
1769528949442087,44800
