unix_timestamp,active_power (mW)
1769529322112788,43300
1769529322155016,44620
1769529322197922,45290
1769529322240946,45230
1769529322284031,45180
1769529322327178,45290
1769529322370129,45320
1769529322413230,45280
1769529322456066,45270
1769529322502554,45360
1769529322545447,45320
1769529322588533,45300
1769529322631139,45410
1769529322673713,45350
1769529322716840,45290
1769529322759781,45410
1769529322802499,45450
1769529322845593,45440
1769529322888769,45320
1769529322932003,45490
1769529322974543,45610
1769529323017676,45410
1769529323063260,45430
1769529323106430,45380
1769529323149680,45500
1769529323192863,45350
1769529323235779,45270
1769529323278710,45300
1769529323321780,45410
1769529323364798,45300
1769529323407906,45270
1769529323450941,45290
1769529323493609,45330
1769529323536692,45400
1769529323579248,45340
1769529323623635,45180
1769529323666008,45160
1769529323708914,45270
1769529323751863,45330
1769529323794454,45190
1769529323837692,45150
1769529323880645,45130
1769529323923500,45330
1769529323965863,45460
1769529324008836,45280
1769529324051831,45190
1769529324094822,45210
1769529324137870,45350
1769529324184103,45180
1769529324226663,45290
1769529324269856,45350
1769529324312749,45310
1769529324355862,45280
1769529324398678,45240
1769529324441894,45270
1769529324484856,45290
1769529324527610,45300
1769529324570528,45300
1769529324613421,45260
1769529324656600,45250
1769529324699690,45280
1769529324744768,45250
1769529324787625,45240
1769529324830716,45350
1769529324873681,45270
1769529324916875,45230
1769529324959356,45300
1769529325002504,45500
1769529325045597,45360
1769529325088484,45290
1769529325131383,45220
1769529325173842,45300
1769529325216873,45190
1769529325259772,45300
1769529325305160,45200
1769529325348347,45260
1769529325391475,45330
1769529325434529,45330
1769529325477774,45290
1769529325520483,45170
1769529325563367,45250
1769529325605783,45340
1769529325648210,45200
1769529325690830,45240
1769529325733727,45180
1769529325776838,45270
1769529325819837,45280
1769529325865732,45250
1769529325908846,45250
1769529325951913,45220
1769529325994674,45520
1769529326037471,45160
1769529326080485,45200
1769529326123591,45260
1769529326166634,45290
1769529326209720,45360
1769529326252792,45270
1769529326295510,45200
1769529326338589,45240
1769529326381013,45270
1769529326426230,45320
1769529326469242,45160
1769529326511873,45260
1769529326554755,45320
1769529326597922,45300
1769529326640399,45210
1769529326683074,45140
1769529326725923,45250
1769529326768956,45280
1769529326811913,45330
1769529326855021,45200
1769529326897901,45190
1769529326940828,45260
1769529326986678,45300
1769529327029843,45310
1769529327072802,45250
1769529327115886,45260
1769529327158576,45340
1769529327200957,45240
1769529327243851,45160
1769529327286386,45210
1769529327329352,45220
1769529327372592,45290
1769529327415627,45260
1769529327458729,45220
1769529327501787,45230
1769529327547097,45270
1769529327589891,45200
1769529327632258,45240
1769529327674688,45240
1769529327717639,45290
1769529327760812,45360
1769529327803647,45260
1769529327846626,45160
1769529327889529,45210
1769529327932738,45340
1769529327975833,45290
1769529328018611,45240
1769529328061709,45280
1769529328107642,45290
1769529328150839,45370
1769529328193640,45280
1769529328236634,45140
1769529328279440,45250
1769529328321904,45300
1769529328364972,45280
1769529328407956,45220
1769529328451008,45150
1769529328493588,45300
1769529328536577,45320
1769529328579682,45290
1769529328622678,45160
1769529328668224,45310
1769529328711014,45320
1769529328753921,45250
1769529328796993,45290
1769529328839982,45360
1769529328882969,45360
1769529328926109,45320
1769529328969015,45280
1769529329011678,45150
1769529329054797,45210
1769529329098029,45370
1769529329141155,45330
1769529329184165,45330
1769529329228640,45220
1769529329271481,45260
1769529329314342,45330
1769529329357484,45260
1769529329400539,45180
1769529329443696,45200
1769529329486609,45330
1769529329529835,45300
1769529329572744,45230
1769529329615616,45260
1769529329657793,45350
1769529329700764,45290
1769529329743581,45310
1769529329789195,45190
1769529329832057,45360
1769529329874611,45260
1769529329917817,45280
1769529329961040,45260
1769529330003959,45240
1769529330046603,45180
1769529330089574,45340
1769529330132200,45490
1769529330175396,45250
1769529330218285,45270
1769529330261236,45200
1769529330304319,45310
1769529330349549,45300
1769529330392731,45170
1769529330435642,45320
1769529330479111,45300
1769529330522132,45330
1769529330565096,45320
1769529330608042,45260
1769529330650607,45250
1769529330693710,45400
1769529330736311,45330
1769529330779053,45290
1769529330822172,45300
1769529330865275,45310
1769529330910182,45330
1769529330952921,45190
1769529330995747,45210
1769529331038641,45200
1769529331081880,45370
1769529331124833,45490
1769529331167954,45250
1769529331210837,45200
1769529331253893,45240
1769529331296953,45290
1769529331339907,45350
1769529331383124,45270
1769529331426140,45180
1769529331470459,45290
1769529331512847,45370
1769529331555784,45320
1769529331598851,45160
1769529331641985,45310
1769529331685018,45330
1769529331727845,45310
1769529331770590,45350
1769529331813578,45190
1769529331856703,45230
1769529331899303,45380
1769529331942294,45320
1769529331985448,45320
1769529332031019,45210
1769529332073978,45320
1769529332116997,45390
1769529332159953,45360
1769529332203218,45220
1769529332246134,45190
1769529332289389,45270
1769529332332088,45330
1769529332375136,45310
1769529332418320,45210
1769529332461260,45220
1769529332504239,45260
1769529332546977,45300
1769529332591415,45160
1769529332633807,45210
1769529332676476,45260
1769529332719295,45360
1769529332761966,45250
1769529332805119,45190
1769529332848265,45250
1769529332890837,45320
1769529332933832,45270
1769529332976820,45300
1769529333020268,45270
1769529333063234,45200
1769529333105859,45310
1769529333151821,45420
1769529333194939,45280
1769529333237153,45200
1769529333280071,45330
1769529333322709,45340
1769529333365631,45300
1769529333408769,45220
1769529333452010,45200
1769529333495013,45170
1769529333538160,45350
1769529333581235,45360
1769529333624421,45310
1769529333667611,45280
1769529333712317,45320
1769529333755251,45300
1769529333797990,45320
1769529333840507,45230
1769529333883622,45200
1769529333926370,45270
1769529333969379,45320
1769529334012668,45410
1769529334055795,45260
1769529334098790,45310
1769529334141752,45270
1769529334184937,45280
1769529334228070,45430
1769529334272870,45280
1769529334315580,45230
1769529334358652,45270
1769529334401690,45340
1769529334443973,45330
1769529334486919,45220
1769529334529833,45150
1769529334572946,45280
1769529334615791,45340
1769529334658746,45330
1769529334701717,45280
1769529334744936,45160
1769529334788090,45280
1769529334833286,45320
1769529334876423,45280
1769529334919414,45120
1769529334961841,45220
1769529335004930,45320
1769529335047317,45310
1769529335089863,45340
1769529335132982,45230
1769529335175961,45170
1769529335218652,45340
1769529335261155,45400
1769529335304180,45230
1769529335346911,45150
1769529335393737,45300
1769529335436813,45370
1769529335479750,45230
1769529335522707,45230
1769529335565680,45220
1769529335608890,45310
1769529335651243,45270
1769529335693891,45280
1769529335736885,45270
1769529335779887,45160
1769529335823068,45140
1769529335866134,45230
1769529335909380,45290
1769529335954081,45140
1769529335996924,45200
1769529336039835,45240
1769529336082706,45290
1769529336125702,45250
1769529336168853,45210
1769529336211876,45220
1769529336254994,45380
1769529336297436,45270
1769529336340470,45370
1769529336383639,45250
1769529336426597,45140
1769529336469731,45280
1769529336514630,45400
1769529336557712,45290
1769529336600639,45220
1769529336643186,45250
1769529336685691,45260
1769529336728490,45290
1769529336771190,45370
1769529336814441,45280
1769529336857594,45220
1769529336900705,45220
1769529336943704,45290
1769529336986343,45330
1769529337029536,45310
1769529337075135,45210
1769529337118283,45190
1769529337161324,45350
1769529337203541,45410
1769529337245851,45300
1769529337288299,45330
1769529337330516,45210
1769529337373767,45350
1769529337416758,45260
1769529337459527,45310
1769529337502137,45200
