unix_timestamp,active_power (mW)
1769530490559872,43330
1769530490602078,44970
1769530490644824,45510
1769530490687826,45460
1769530490730718,45470
1769530490773838,45410
1769530490816902,45500
1769530490859238,45400
1769530490901922,45410
1769530490944964,45360
1769530490988049,45360
1769530491031091,45420
1769530491075599,45310
1769530491118680,45320
1769530491161847,45290
1769530491204784,45340
1769530491247960,45260
1769530491290945,45320
1769530491334003,45360
1769530491377033,45350
1769530491419869,45250
1769530491462608,45380
1769530491505478,45400
1769530491548410,45300
1769530491591578,45350
1769530491635801,45370
1769530491678672,45330
1769530491721710,45380
1769530491764803,45340
1769530491807762,45290
1769530491850838,45290
1769530491893802,45330
1769530491936493,45320
1769530491979150,45330
1769530492022378,45390
1769530492065530,45350
1769530492108433,45350
1769530492151620,45420
1769530492195672,45360
1769530492238796,45420
1769530492281345,45410
1769530492324430,45550
1769530492367271,45560
1769530492410326,45370
1769530492453496,45450
1769530492496492,45430
1769530492539242,45420
1769530492581642,45440
1769530492624879,45380
1769530492668221,45390
1769530492711399,45280
1769530492755631,45250
1769530492798264,45210
1769530492841352,45240
1769530492884194,45230
1769530492927492,45240
1769530492970568,45210
1769530493013641,45200
1769530493056789,45180
1769530493099552,45190
1769530493142434,45150
1769530493185573,45260
1769530493228582,45320
1769530493271481,45290
1769530493315765,45330
1769530493358837,45540
1769530493401276,45410
1769530493444370,45390
1769530493487167,45400
1769530493530373,45410
1769530493573321,45420
1769530493615818,45360
1769530493658915,45330
1769530493702016,45330
1769530493744336,45310
1769530493786811,45260
1769530493829763,45310
1769530493875844,45280
1769530493918390,45150
1769530493961539,45200
1769530494004473,45340
1769530494047700,45290
1769530494090813,45310
1769530494133365,45340
1769530494176558,45320
1769530494219054,45370
1769530494261960,45370
1769530494305109,45390
1769530494348033,45430
1769530494391088,45390
1769530494436017,45410
1769530494478465,45400
1769530494521514,45440
1769530494564560,45380
1769530494607308,45370
1769530494650402,45320
1769530494693524,45350
1769530494736433,45290
1769530494779560,45300
1769530494822525,45340
1769530494865510,45300
1769530494908551,45350
1769530494951112,45320
1769530494996117,45370
1769530495039204,45360
1769530495081768,45410
1769530495124924,45480
1769530495167927,45460
1769530495211088,45530
1769530495254209,45450
1769530495297344,45470
1769530495340547,45400
1769530495383619,45450
1769530495426525,45530
1769530495469837,45340
1769530495516333,45270
1769530495559469,45270
1769530495601863,45290
1769530495644856,45250
1769530495687989,45360
1769530495730594,45290
1769530495773607,45350
1769530495816637,45360
1769530495859514,45370
1769530495902708,45350
1769530495945178,45460
1769530495988200,45440
1769530496031425,45420
1769530496076386,45420
1769530496119522,45370
1769530496162386,45350
1769530496205405,45340
1769530496248461,45360
1769530496291363,45310
1769530496333894,45260
1769530496376463,45220
1769530496419413,45290
1769530496461863,45400
1769530496505078,45310
1769530496548307,45290
1769530496591256,45350
1769530496636527,45390
1769530496679679,45400
1769530496722893,45380
1769530496765905,45450
1769530496809010,45430
1769530496851956,45430
1769530496894348,45430
1769530496937458,45320
1769530496980547,45350
1769530497023801,45310
1769530497067061,45340
1769530497110190,45330
1769530497156687,45370
1769530497199539,45340
1769530497242357,45360
1769530497285429,45540
1769530497328504,45490
1769530497371690,45520
1769530497414581,45460
1769530497457779,45460
1769530497500839,45590
1769530497543888,45450
1769530497586689,45400
1769530497630030,45440
1769530497676829,45350
1769530497719827,45310
1769530497762888,45370
1769530497805886,45400
1769530497849011,45450
1769530497891929,45520
1769530497935118,45420
1769530497978308,45510
1769530498021429,45550
1769530498064068,45500
1769530498107210,45500
1769530498149836,45470
1769530498193088,45420
1769530498236937,45390
1769530498280107,45380
1769530498322997,45420
1769530498366234,45290
1769530498409434,45320
1769530498451755,45260
1769530498494403,45460
1769530498537317,45230
1769530498580111,45190
1769530498622663,45250
1769530498665792,45260
1769530498708832,45360
1769530498751629,45280
1769530498797036,45350
1769530498839931,45430
1769530498882973,45500
1769530498925959,45380
1769530498969215,45380
1769530499012238,45370
1769530499055030,45370
1769530499098103,45280
1769530499140257,45190
1769530499182982,45170
1769530499225874,45280
1769530499268090,45110
1769530499310389,45170
1769530499353261,45350
1769530499397210,45310
1769530499440094,45400
1769530499482890,45440
1769530499525832,45500
1769530499569035,45360
1769530499612252,45340
1769530499655171,45310
1769530499697693,45300
1769530499740818,45280
1769530499783804,45340
1769530499826497,45430
1769530499868781,45490
1769530499911369,45460
1769530499957575,45390
1769530500000557,45450
1769530500043074,45400
1769530500085720,45410
1769530500128821,45300
1769530500172012,45370
1769530500215023,45390
1769530500257486,45340
1769530500300456,45210
1769530500343194,45230
1769530500386370,45240
1769530500429351,45320
1769530500472488,45340
1769530500517629,45530
1769530500560651,45350
1769530500603682,45370
1769530500647192,45350
1769530500689716,45440
1769530500732917,45320
1769530500775801,45370
1769530500818135,45280
1769530500860310,45340
1769530500903068,45250
1769530500945794,45220
1769530500988830,45200
1769530501032013,45220
1769530501077819,45270
1769530501120866,45300
1769530501164004,45380
1769530501206994,45440
1769530501249931,45430
1769530501293075,45400
1769530501335995,45410
1769530501378842,45380
1769530501422091,45340
1769530501465843,45380
1769530501509002,45300
1769530501552079,45370
1769530501597937,45390
1769530501641119,45390
1769530501684043,45440
1769530501726834,45400
1769530501769804,45530
1769530501812964,45510
1769530501856079,45490
1769530501899112,45420
1769530501942361,45460
1769530501985577,45430
1769530502028819,45380
1769530502071750,45360
1769530502118200,45410
1769530502160920,45440
1769530502203894,45540
1769530502247054,45440
1769530502289836,45520
1769530502333001,45620
1769530502376091,45530
1769530502419257,45510
1769530502462379,45590
1769530502505591,45560
1769530502548606,45520
1769530502591453,45520
1769530502633969,45510
1769530502678367,45400
1769530502721358,45320
1769530502764335,45340
1769530502807176,45450
1769530502850436,45370
1769530502894849,45420
1769530502937912,45320
1769530502981136,45440
