unix_timestamp,active_power (mW)
1769532068549152,43820
1769532068591954,44210
1769532068634273,45360
1769532068676975,45380
1769532068719974,45420
1769532068762707,45330
1769532068805294,45350
1769532068849728,45300
1769532068892700,45260
1769532068935737,45290
1769532068978613,45220
1769532069021793,45230
1769532069064697,45320
1769532069107440,45360
1769532069150332,45250
1769532069192578,45290
1769532069235549,45440
1769532069278565,45390
1769532069321627,45500
1769532069365178,45440
1769532069409884,45340
1769532069452980,45380
1769532069495689,45330
1769532069538386,45420
1769532069581526,45320
1769532069624640,45320
1769532069667109,45370
1769532069710176,45300
1769532069753444,45240
1769532069796247,45320
1769532069839255,45280
1769532069882268,45210
1769532069925289,45280
1769532069969770,45170
1769532070012951,45220
1769532070056096,45260
1769532070098966,45310
1769532070141898,45250
1769532070185091,45240
1769532070228088,45140
1769532070270712,45160
1769532070313711,45230
1769532070356731,45330
1769532070399630,45270
1769532070442419,45250
1769532070485568,45210
1769532070529958,45300
1769532070572386,45290
1769532070615390,45330
1769532070657839,45320
1769532070700993,45320
1769532070743937,45320
1769532070786913,45330
1769532070830063,45320
1769532070873311,45380
1769532070916530,45370
1769532070959677,45280
1769532071002280,45290
1769532071045452,45340
1769532071090181,45340
1769532071132502,45340
1769532071175076,45430
1769532071217774,45400
1769532071260764,45390
1769532071303751,45430
1769532071346888,45410
1769532071389698,45490
1769532071432640,45430
1769532071475395,45340
1769532071518517,45420
1769532071561553,45360
1769532071604587,45410
1769532071650251,45410
1769532071693397,45340
1769532071736231,45380
1769532071779177,45350
1769532071821965,45370
1769532071865184,45290
1769532071908024,45250
1769532071951127,45290
1769532071994149,45250
1769532072037258,45260
1769532072080461,45160
1769532072123268,45250
1769532072170215,45230
1769532072212545,45140
1769532072255812,45220
1769532072298991,45170
1769532072341874,45210
1769532072385008,45330
1769532072427899,45160
1769532072470501,45240
1769532072513173,45250
1769532072556228,45190
1769532072599402,45230
1769532072642674,45130
1769532072685158,45140
1769532072730232,45190
1769532072773234,45190
1769532072816189,45160
1769532072859185,45210
1769532072902345,45250
1769532072945479,45210
1769532072988410,45230
1769532073031466,45210
1769532073074475,45230
1769532073117459,45280
1769532073160585,45320
1769532073203762,45340
1769532073250398,45270
1769532073293512,45290
1769532073336540,45290
1769532073379566,45320
1769532073421831,45510
1769532073464968,45320
1769532073508054,45390
1769532073550272,45310
1769532073593273,45380
1769532073636487,45330
1769532073679609,45360
1769532073722493,45300
1769532073765486,45330
1769532073810534,45250
1769532073853595,45270
1769532073896794,45300
1769532073939568,45240
1769532073982504,45260
1769532074025589,45290
1769532074068614,45210
1769532074111697,45230
1769532074154817,45210
1769532074197880,45180
1769532074240995,45210
1769532074284043,45200
1769532074330399,45170
1769532074373173,45160
1769532074416006,45330
1769532074458628,45080
1769532074501469,45270
1769532074544629,45230
1769532074587527,45260
1769532074630630,45220
1769532074673712,45260
1769532074716783,45240
1769532074759664,45260
1769532074802348,45170
1769532074844964,45290
1769532074890475,45190
1769532074933591,45150
1769532074976555,45190
1769532075019483,45230
1769532075062600,45120
1769532075105544,45190
1769532075148497,45220
1769532075190967,45220
1769532075233547,45180
1769532075276593,45190
1769532075319570,45180
1769532075362605,45230
1769532075405018,45260
1769532075450596,45380
1769532075493598,45260
1769532075536552,45340
1769532075579710,45360
1769532075622905,45310
1769532075665879,45300
1769532075709064,45340
1769532075752182,45300
1769532075795221,45290
1769532075837841,45370
1769532075881121,45270
1769532075923973,45300
1769532075970529,45270
1769532076013638,45270
1769532076056796,45240
1769532076099707,45190
1769532076142907,45250
1769532076185885,45220
1769532076228176,45250
1769532076270768,45190
1769532076313915,45190
1769532076357118,45160
1769532076400065,45240
1769532076442600,45160
1769532076485666,45220
1769532076530478,45220
1769532076573567,45210
1769532076616544,45220
1769532076659531,45230
1769532076702595,45300
1769532076745548,45150
1769532076788700,45230
1769532076831466,45180
1769532076873998,45180
1769532076917091,45290
1769532076960191,45270
1769532077003329,45210
1769532077046319,45260
1769532077090654,45250
1769532077133759,45250
1769532077176923,45280
1769532077219840,45250
1769532077263109,45260
1769532077306254,45310
1769532077349230,45370
1769532077392331,45310
1769532077434843,45380
1769532077477828,45370
1769532077521040,45510
1769532077564220,45350
1769532077610738,45460
1769532077653838,45410
1769532077697046,45340
1769532077739563,45380
1769532077782220,45360
1769532077825241,45300
1769532077868461,45310
1769532077911748,45250
1769532077954890,45310
1769532077997913,45270
1769532078040968,45330
1769532078084196,45240
1769532078130614,45240
1769532078173691,45180
1769532078216173,45150
1769532078258704,45190
1769532078301713,45180
1769532078344839,45170
1769532078387703,45200
1769532078431539,45170
1769532078474288,45250
1769532078516647,45290
1769532078559288,45400
1769532078602387,45310
1769532078645438,45370
1769532078690870,45310
1769532078733385,45290
1769532078776617,45230
1769532078819316,45310
1769532078862370,45230
1769532078905000,45320
1769532078948018,45320
1769532078991293,45350
1769532079034452,45340
1769532079077602,45330
1769532079120758,45230
1769532079163821,45320
1769532079210953,45290
1769532079254044,45260
