unix_timestamp,active_power (mW)
1769680208293327,22000
1769680208336042,36050
1769680208378699,45940
1769680208421948,47480
1769680208465012,47490
1769680208507646,47570
1769680208550480,47530
1769680208593595,47570
1769680208636712,47580
1769680208679579,47470
1769680208721865,47490
1769680208764950,47420
1769680208807937,47470
1769680208853154,47350
1769680208896089,47410
1769680208939174,47430
1769680208982108,47430
1769680209025240,47520
1769680209068202,47510
1769680209111288,47510
1769680209153779,47420
1769680209197035,47660
1769680209240068,47350
1769680209283048,47430
1769680209325427,47380
1769680209368352,47400
1769680209413121,47440
1769680209456169,47500
1769680209499149,47520
1769680209542167,47430
1769680209585158,47450
1769680209627802,47470
1769680209670404,47460
1769680209713638,47350
1769680209756421,47470
1769680209799340,47450
1769680209842123,47370
1769680209885264,47410
1769680209928141,47470
1769680209972959,47490
1769680210015942,47330
1769680210058710,47410
1769680210101725,47400
1769680210144769,47410
1769680210187837,47380
1769680210230579,47320
1769680210273774,47380
1769680210316945,47450
1769680210359928,47400
1769680210402850,47490
1769680210445945,47430
1769680210492774,47470
1769680210535865,47450
1769680210579005,47380
1769680210622109,47390
1769680210664253,47460
1769680210706698,47380
1769680210749723,47420
1769680210792784,47340
1769680210835688,47440
1769680210878264,47410
1769680210921335,47520
1769680210964326,47440
1769680211007513,47500
1769680211052584,47440
1769680211095663,47350
1769680211137993,47380
1769680211180235,47410
1769680211223102,47320
1769680211265630,47430
1769680211308743,47410
1769680211351629,47420
1769680211394851,47460
1769680211437997,47430
1769680211481182,47460
1769680211524096,47400
1769680211566716,47370
1769680211612356,47400
1769680211655437,47370
1769680211697878,47430
1769680211741063,47500
1769680211784313,47540
1769680211827448,47470
1769680211870287,47450
1769680211913583,47440
1769680211956772,47420
1769680211999872,47420
1769680212043030,47330
1769680212086022,47380
1769680212132044,47480
1769680212175186,47390
1769680212218326,47500
1769680212260911,47410
1769680212304098,47480
1769680212346425,47420
1769680212389491,47400
1769680212432548,47380
1769680212475514,47890
1769680212518076,48010
1769680212560799,47460
1769680212603938,47410
1769680212647004,47520
1769680212691979,47550
1769680212734630,47550
1769680212777540,47500
1769680212820302,47500
1769680212863252,47480
1769680212906291,47440
1769680212949237,47450
1769680212992049,47460
1769680213034615,47500
1769680213077813,47470
1769680213121017,47490
1769680213163862,47560
1769680213207134,47540
1769680213251722,47470
1769680213294835,47460
1769680213337994,47460
1769680213381173,47450
1769680213424012,47360
1769680213467057,47500
1769680213510039,47530
1769680213552998,47550
1769680213595404,47490
1769680213638579,47550
1769680213680974,47500
1769680213723839,47480
1769680213766594,47490
1769680213811538,47430
1769680213854526,47510
1769680213897550,47450
1769680213940644,47520
1769680213983652,47560
1769680214026693,47450
1769680214069665,47540
1769680214112815,47530
1769680214155702,47570
1769680214198890,47640
1769680214242028,47550
1769680214284975,47550
1769680214331485,47550
1769680214374493,47520
1769680214417708,47530
1769680214460857,47580
1769680214503872,47570
1769680214546888,47520
1769680214589875,47520
1769680214632954,47550
1769680214675876,47520
1769680214718646,47500
1769680214761538,47510
1769680214804590,47510
1769680214846884,47480
1769680214891259,47540
1769680214934282,47520
1769680214977159,48790
1769680215020285,57370
1769680215062782,65120
1769680215105942,59410
1769680215149126,47030
1769680215192040,47460
1769680215235183,47450
1769680215278364,47510
1769680215320705,47540
1769680215363707,47500
1769680215410858,47510
1769680215453951,47480
1769680215497036,47450
1769680215540045,47460
1769680215582652,47490
1769680215625831,47570
1769680215668999,47530
1769680215711508,47480
1769680215753890,47580
1769680215796741,47530
1769680215839642,47440
1769680215882764,47500
1769680215925886,47470
1769680215970676,47460
1769680216013876,47450
1769680216056797,47450
1769680216099751,47450
1769680216142740,47550
1769680216185833,47450
1769680216228885,47450
1769680216271826,47490
1769680216314956,47570
1769680216358022,47460
1769680216401205,47430
1769680216444159,47410
1769680216490529,47410
1769680216533688,47450
1769680216576931,47470
1769680216620153,47520
1769680216662830,47460
1769680216705430,47480
1769680216748589,47760
1769680216791490,47430
1769680216833867,47480
1769680216876824,47390
1769680216919894,47420
1769680216962905,47430
1769680217006046,47480
1769680217050492,47460
1769680217093639,47400
1769680217136738,47400
1769680217179890,47610
1769680217222711,47430
1769680217265879,47380
1769680217308967,47460
1769680217352054,47460
1769680217395216,47440
1769680217438160,47430
1769680217481246,47510
1769680217524098,47480
1769680217570234,47560
1769680217613205,47470
1769680217656274,47590
1769680217699197,47580
1769680217741964,47580
1769680217785165,47680
1769680217827670,47630
1769680217870480,47680
1769680217913667,47660
1769680217956755,47670
1769680217999913,47610
1769680218042943,47500
1769680218085896,47690
1769680218130204,47560
1769680218173289,47690
1769680218216193,47670
1769680218259021,47600
1769680218301577,47630
1769680218343818,47560
1769680218386886,47530
1769680218430012,47580
1769680218473185,47580
1769680218516305,47550
1769680218559215,47480
1769680218602300,47480
1769680218645195,47490
1769680218689955,47460
1769680218732182,47410
1769680218774436,47450
1769680218817941,47450
1769680218861205,47340
1769680218904114,47350
1769680218946705,47410
1769680218989761,47380
1769680219033042,47410
1769680219076035,47360
1769680219119120,47410
1769680219161774,47380
1769680219204859,47570
1769680219249819,47490
1769680219292997,47420
1769680219335724,47510
1769680219378565,47550
1769680219421720,47490
1769680219464671,47630
1769680219507590,47540
1769680219549996,47580
1769680219593223,47590
1769680219636155,47630
1769680219678893,47650
1769680219721991,47670
1769680219765107,47580
1769680219809766,47660
1769680219852838,47610
1769680219895872,47650
1769680219938642,47600
1769680219981732,47590
1769680220024815,47700
1769680220067788,47640
1769680220110874,47620
1769680220153847,48230
1769680220197018,48460
1769680220239959,48070
1769680220282878,47550
1769680220329546,47520
1769680220372664,47500
1769680220415851,47540
1769680220458911,47510
1769680220501874,47510
1769680220545026,47490
1769680220588264,47450
1769680220631488,47440
1769680220674660,47490
1769680220717616,47490
1769680220760605,47520
1769680220803586,47440
1769680220849386,47470
1769680220892533,47550
1769680220935650,47570
1769680220978843,47510
1769680221022037,47530
1769680221065257,47600
1769680221108225,47580
1769680221151156,47670
1769680221194171,47750
1769680221237129,47640
1769680221279982,47660
1769680221322870,47720
1769680221369330,47750
1769680221412124,47650
1769680221454746,47640
1769680221497744,47710
1769680221540925,47710
1769680221584059,47650
1769680221627029,47610
1769680221670156,47580
1769680221713289,47550
1769680221755720,47620
1769680221798286,47550
1769680221841218,47510
1769680221884299,47530
1769680221929076,47480
1769680221971497,47460
1769680222014665,47230
1769680222057597,47500
1769680222100739,47510
1769680222143836,47500
1769680222186740,47480
1769680222229819,47430
1769680222272793,47430
1769680222315853,47470
1769680222358908,47410
1769680222401981,47390
1769680222448859,47430
1769680222491911,47400
1769680222534912,47400
1769680222577974,47390
1769680222620906,47410
1769680222664020,47490
1769680222706703,47450
1769680222749923,47450
1769680222793169,47440
1769680222835507,47430
1769680222877716,47430
