unix_timestamp,active_power (mW)
1769681350396928,21200
1769681350440034,17480
1769681350483164,34630
1769681350525734,39780
1769681350568896,50630
1769681350611846,50120
1769681350655082,50080
1769681350697867,50060
1769681350740832,50070
1769681350783814,50070
1769681350826723,50070
1769681350869730,50140
1769681350915478,50080
1769681350958228,50020
1769681351000786,50050
1769681351043004,50090
1769681351085773,50080
1769681351128709,49990
1769681351171712,50230
1769681351214162,50040
1769681351257309,50030
1769681351300310,50060
1769681351343507,50070
1769681351385999,50060
1769681351429017,50050
1769681351475701,50030
1769681351518527,50000
1769681351561423,50060
1769681351604706,50110
1769681351647806,50060
1769681351690701,50050
1769681351733706,50050
1769681351776645,49990
1769681351819704,50040
1769681351862612,50050
1769681351905774,50020
1769681351948832,50060
1769681351995995,50030
1769681352038713,50090
1769681352081934,50020
1769681352124650,49950
1769681352167473,49960
1769681352210658,49990
1769681352253608,50060
1769681352296720,50000
1769681352339626,50020
1769681352382406,50060
1769681352424973,50040
1769681352468018,50030
1769681352510434,50030
1769681352556163,49990
1769681352599057,50010
1769681352641858,50090
1769681352684403,50100
1769681352726995,49990
1769681352770257,50000
1769681352813374,50030
1769681352856571,50030
1769681352899876,50000
1769681352942692,49980
1769681352985724,49980
1769681353028924,49980
1769681353072107,50010
1769681353116495,50080
1769681353159543,49980
1769681353202199,50080
1769681353245292,49990
1769681353288282,49980
1769681353331156,49990
1769681353373747,49940
1769681353416815,50020
1769681353459781,50030
1769681353502724,49980
1769681353545863,50090
1769681353588347,50020
1769681353631293,49910
1769681353676693,49980
1769681353719564,50020
1769681353762126,50040
1769681353805297,50030
1769681353848254,50020
1769681353891474,49960
1769681353934687,49990
1769681353977632,50040
1769681354020794,49980
1769681354063890,49960
1769681354106999,50090
1769681354150009,50030
1769681354197108,49970
1769681354240153,50030
1769681354283395,50030
1769681354325845,50020
1769681354368854,50010
1769681354411786,50030
1769681354454500,49950
1769681354497398,50120
1769681354540383,50090
1769681354583270,50040
1769681354625784,50010
1769681354669075,50090
1769681354712223,50000
1769681354757381,50040
1769681354800447,49980
1769681354843470,50070
1769681354886643,50090
1769681354929849,50080
1769681354972983,50000
1769681355016016,50040
1769681355059133,50060
1769681355102108,50090
1769681355145300,50070
1769681355188429,50150
1769681355231476,50170
1769681355277632,50140
1769681355320803,50010
1769681355363850,50040
1769681355407014,50050
1769681355449815,50140
1769681355492777,50020
1769681355535056,50160
1769681355577651,50100
1769681355620638,50020
1769681355663726,50040
1769681355706735,50060
1769681355749966,50060
1769681355793056,50190
1769681355838345,50120
1769681355881385,50080
1769681355924489,50130
1769681355967505,50140
1769681356010797,50040
1769681356053757,50070
1769681356096841,50130
1769681356139835,50100
1769681356182934,50110
1769681356225835,50150
1769681356269181,50060
1769681356312351,50030
1769681356358195,50040
1769681356401350,50110
1769681356444442,50060
1769681356487550,50130
1769681356530351,50230
1769681356573624,50070
1769681356616870,50100
1769681356659395,50010
1769681356702618,50060
1769681356745776,50070
1769681356788757,50130
1769681356831858,50100
1769681356878461,50100
1769681356921675,50090
1769681356964525,49990
1769681357007421,50020
1769681357049828,50090
1769681357092914,50120
1769681357135987,50080
1769681357179190,50210
1769681357222224,50160
1769681357265442,50150
1769681357308673,50030
1769681357351815,49990
1769681357398747,50030
1769681357441830,50150
1769681357484757,50120
1769681357527699,50100
1769681357570471,50120
1769681357613766,50090
1769681357656785,50030
1769681357699938,50050
1769681357742710,50060
1769681357785748,50130
1769681357828830,50230
1769681357871931,50230
1769681357915087,50120
1769681357959008,50040
1769681358001756,50110
1769681358044628,50120
1769681358087575,50100
1769681358130433,50060
1769681358173272,50120
1769681358216268,50040
1769681358259122,50080
1769681358301700,50030
1769681358344525,50050
1769681358387329,50060
1769681358430260,50040
1769681358473254,49990
1769681358519289,50020
1769681358561627,49980
1769681358604568,50000
1769681358647483,49980
1769681358690649,50080
1769681358733576,50070
1769681358776634,50030
1769681358819635,49930
1769681358862863,49900
1769681358905879,49790
1769681358948909,49960
1769681358991813,49800
1769681359034656,49960
1769681359079626,49900
1769681359122398,49880
1769681359165654,49970
1769681359208826,49800
1769681359251693,49940
1769681359294338,49980
1769681359337203,49990
1769681359380464,50000
1769681359423360,49950
1769681359466460,49920
1769681359509473,50060
1769681359553664,50010
1769681359600033,49910
1769681359642664,49930
1769681359685662,49880
1769681359728545,49880
1769681359771366,49920
1769681359813836,49990
1769681359856647,50020
1769681359899652,49990
1769681359942769,49940
1769681359985766,49790
1769681360028750,49970
1769681360071973,49970
1769681360115146,50030
1769681360160302,49900
1769681360203388,49930
1769681360246395,49870
1769681360289533,50030
1769681360332532,50010
1769681360375636,50040
1769681360418246,49960
1769681360461245,49850
1769681360504343,49880
1769681360546892,50030
1769681360589749,50000
1769681360632779,50050
1769681360675642,49910
1769681360720690,50010
1769681360763689,50030
1769681360806722,50060
1769681360849711,50040
1769681360892648,49980
1769681360935542,49980
1769681360978817,50130
1769681361022025,50040
1769681361064778,50080
1769681361107797,50040
1769681361150707,50110
1769681361193796,50120
1769681361236908,50260
1769681361281215,50150
1769681361324416,50170
1769681361367307,50090
1769681361410484,50110
1769681361453528,50160
1769681361496737,50090
1769681361539110,49990
1769681361581384,50130
1769681361624449,50140
1769681361667181,50070
1769681361710362,50110
1769681361752755,50080
1769681361795813,50090
1769681361841567,50060
1769681361884740,50040
1769681361927706,49970
1769681361970524,49930
1769681362013522,49920
1769681362056628,50030
1769681362099519,50030
1769681362142380,50090
1769681362185481,49850
1769681362228575,49950
1769681362271238,49900
1769681362314295,50040
1769681362357363,50050
1769681362402004,49910
1769681362445186,50030
1769681362488069,50080
1769681362531139,50020
1769681362574640,50050
1769681362617707,50020
1769681362660801,50110
1769681362703842,50130
1769681362746645,50110
1769681362789727,50040
1769681362832683,50140
1769681362875675,50140
1769681362918652,50100
1769681362962671,50040
1769681363005782,49990
1769681363048659,50190
1769681363091507,50140
1769681363134471,50090
1769681363177339,50150
1769681363220355,50040
1769681363263427,50090
1769681363306498,50110
1769681363349641,49960
1769681363392838,49970
1769681363435988,49930
1769681363482975,49990
1769681363526109,50040
1769681363568910,49910
1769681363611837,49900
1769681363654464,49910
1769681363697339,49860
1769681363740012,49950
1769681363782716,50010
1769681363825708,49950
1769681363868817,49900
1769681363911810,50050
1769681363954424,49970
1769681363997452,50050
1769681364043510,50080
1769681364086575,50130
1769681364129520,50080
1769681364172531,50010
1769681364215410,50120
1769681364258578,50140
1769681364301641,50130
1769681364344557,50020
1769681364387368,50120
1769681364429841,50130
1769681364472764,50170
1769681364515404,50130
1769681364557803,50070
1769681364603992,50110
1769681364646666,50130
1769681364689747,50030
1769681364732641,50180
1769681364775814,50120
1769681364818381,50100
1769681364861292,50100
1769681364904375,49990
1769681364947155,49980
1769681364989675,49960
1769681365032758,50060
1769681365075652,49950
1769681365118678,50050
1769681365164407,50030
1769681365207448,49860
1769681365250438,49950
1769681365293366,50060
1769681365336297,50040
1769681365379199,49930
1769681365422292,49990
1769681365465319,50050
1769681365508580,50070
1769681365551285,49970
1769681365593887,50020
1769681365636872,50070
1769681365679799,50140
1769681365725003,50000
1769681365768187,50040
1769681365811310,50170
1769681365854317,50090
1769681365896984,50000
1769681365940087,50080
1769681365982375,50000
1769681366025643,50100
1769681366068874,50120
1769681366111956,50030
1769681366154819,50070
1769681366197813,50080
1769681366240876,50080
1769681366285431,50190
1769681366328380,50070
1769681366371513,50000
1769681366413926,50030
1769681366457011,50070
1769681366499406,50040
1769681366542395,50000
1769681366585561,49920
1769681366628675,49900
1769681366671614,50000
1769681366714834,50060
1769681366757842,49970
1769681366800811,49940
