unix_timestamp,active_power (mW)
1769682059993211,20450
1769682060035804,17910
1769682060078334,34410
1769682060120863,38720
1769682060163763,48830
1769682060206714,48470
1769682060249677,48420
1769682060292391,48320
1769682060335459,48360
1769682060378589,48450
1769682060421429,48410
1769682060464410,48230
1769682060507384,48330
1769682060551972,48330
1769682060594599,48360
1769682060637170,48330
1769682060679532,48270
1769682060722160,48360
1769682060765224,48420
1769682060808208,48310
1769682060851204,48250
1769682060894215,48390
1769682060937391,48450
1769682060980397,48300
1769682061023320,48340
1769682061066425,48550
1769682061112736,48440
1769682061155196,48500
1769682061198356,48590
1769682061241413,48510
1769682061284289,48470
1769682061327401,48460
1769682061369840,48350
1769682061413050,48570
1769682061455493,48400
1769682061497975,48440
1769682061541237,48420
1769682061584436,48530
1769682061627040,48490
1769682061673297,48300
1769682061716427,48390
1769682061759223,48390
1769682061801872,48440
1769682061844848,48350
1769682061887992,48300
1769682061931215,48290
1769682061973680,48440
1769682062016253,48370
1769682062059134,48250
1769682062102065,48280
1769682062145308,48420
1769682062188299,48410
1769682062233788,48280
1769682062276494,48400
1769682062319493,48470
1769682062362012,48260
1769682062405174,48230
1769682062447678,48410
1769682062490305,48430
1769682062533379,48380
1769682062576503,48350
1769682062619115,48400
1769682062661850,48470
1769682062704749,48430
1769682062747476,48250
1769682062790373,48360
1769682062834408,48390
1769682062877585,48280
1769682062920752,48270
1769682062963635,48390
1769682063006198,48380
1769682063049028,48310
1769682063091990,48240
1769682063135072,48290
1769682063178217,48500
1769682063220701,48350
1769682063263596,48190
1769682063306232,48380
1769682063349243,48400
1769682063394853,48190
1769682063438054,48350
1769682063481244,48430
1769682063524262,48420
1769682063567402,48290
1769682063610582,48310
1769682063653299,48390
1769682063698849,48430
1769682063741865,48300
1769682063784915,48300
1769682063827918,48400
1769682063871086,48410
1769682063915442,48280
1769682063958629,48400
1769682064001610,48460
1769682064044478,48370
1769682064087526,48410
1769682064130504,48470
1769682064173515,48450
1769682064216687,48370
1769682064259612,48430
1769682064302333,48410
1769682064345471,48470
1769682064388275,48410
1769682064431189,48380
1769682064476029,48450
1769682064518734,48370
1769682064561722,48390
1769682064604632,48370
1769682064647590,48440
1769682064690083,48370
1769682064733057,48400
1769682064775986,48340
1769682064818716,48390
1769682064861715,48490
1769682064904661,48390
1769682064947664,48370
1769682064990645,48440
1769682065036585,48430
1769682065079475,48370
1769682065122581,48430
1769682065165653,48460
1769682065208463,48540
1769682065251081,48300
1769682065293490,48280
1769682065336534,48410
1769682065379239,48390
1769682065422197,48330
1769682065465223,48210
1769682065508251,48400
1769682065550769,48340
1769682065597056,48290
1769682065640141,48400
1769682065682745,48420
1769682065725648,48310
1769682065768664,48220
1769682065811453,48360
1769682065854410,48380
1769682065896646,48430
1769682065939451,48290
1769682065981768,48360
1769682066024524,48400
1769682066067218,48410
1769682066109951,48270
1769682066153020,48330
1769682066197842,48330
1769682066240889,48330
1769682066283523,48320
1769682066325974,48320
1769682066368893,48350
1769682066411985,48360
1769682066455017,48390
1769682066497935,48430
1769682066540826,48390
1769682066583746,48390
1769682066626783,48360
1769682066669116,48490
1769682066712015,48420
1769682066758291,48390
1769682066801217,48470
1769682066844378,48500
