unix_timestamp,active_power (mW)
1769683045541127,22520
1769683045583989,22080
1769683045626763,32640
1769683045669825,41280
1769683045712945,48630
1769683045755870,48280
1769683045799005,48310
1769683045841887,48290
1769683045885011,48280
1769683045928214,48220
1769683045972160,48190
1769683046015083,48160
1769683046058236,48150
1769683046100513,48050
1769683046142734,47990
1769683046185080,48170
1769683046228360,48230
1769683046271280,48240
1769683046314401,48310
1769683046357479,48250
1769683046400546,48250
1769683046443655,48290
1769683046486718,48250
1769683046532077,48340
1769683046575062,48260
1769683046617992,48360
1769683046660583,48210
1769683046703284,48300
1769683046745583,48220
1769683046788636,48230
1769683046831799,48240
1769683046874678,48230
1769683046917646,48350
1769683046960803,48240
1769683047004015,48290
1769683047047117,48200
1769683047091911,48200
1769683047134538,48100
1769683047177771,48230
1769683047221002,48040
1769683047263913,48260
1769683047306390,48330
1769683047349549,48210
1769683047392806,48260
1769683047435936,48320
1769683047478742,48350
1769683047521713,48250
1769683047564741,48220
1769683047607388,48230
1769683047651757,48130
1769683047694525,48200
1769683047737566,48170
1769683047780499,48230
1769683047823631,48200
1769683047866002,48290
1769683047908661,48340
1769683047951621,48290
1769683047994230,48250
1769683048037338,48240
1769683048080477,48180
1769683048123320,48230
1769683048165828,48180
1769683048211538,48130
1769683048254640,48130
1769683048297623,48190
1769683048340702,48180
1769683048383671,48210
1769683048426689,48240
1769683048469872,48260
1769683048513132,48300
1769683048556058,48210
1769683048598704,48300
1769683048641700,48270
1769683048684910,48190
1769683048731350,48080
1769683048774513,48160
1769683048817703,48060
1769683048860862,48160
1769683048903841,48210
1769683048946511,48220
1769683048989509,48240
1769683049032674,48250
1769683049075757,48310
1769683049118378,48230
1769683049161372,48290
1769683049204348,48180
1769683049251198,48140
1769683049294358,48180
1769683049337601,48110
1769683049380477,48100
1769683049423466,48240
1769683049466113,48230
1769683049509284,48300
1769683049552560,48270
1769683049595608,48310
1769683049638152,48320
1769683049681172,48310
1769683049724250,48230
1769683049771254,48140
1769683049813845,48260
1769683049857023,48160
1769683049899904,48250
1769683049942989,48210
1769683049986061,48390
1769683050029033,48310
1769683050072042,48230
1769683050114692,48250
1769683050157952,48190
1769683050201179,48140
1769683050243974,48120
1769683050290817,48380
1769683050333840,48220
1769683050376988,48300
1769683050420009,48310
1769683050462759,48380
1769683050505752,48160
1769683050548503,48230
1769683050591655,48210
1769683050634810,48170
1769683050677739,48090
1769683050720977,48180
1769683050763806,48250
1769683050806690,48220
1769683050850559,48330
1769683050893198,48260
1769683050936165,48250
1769683050979245,48250
1769683051022290,48130
1769683051065323,48110
1769683051109095,48130
1769683051152189,48100
1769683051194733,48200
1769683051237851,48280
1769683051281062,48270
1769683051323954,48240
1769683051370343,48280
1769683051413419,48240
1769683051456041,48190
1769683051498759,48120
1769683051541768,48040
1769683051584469,48180
1769683051627704,48190
1769683051670380,48210
1769683051713447,48410
1769683051756604,48290
1769683051799563,48240
1769683051842728,48230
1769683051885894,48190
1769683051930237,48110
1769683051973411,48160
1769683052016542,48190
1769683052059149,48190
1769683052101854,48230
1769683052145036,48270
1769683052187899,48290
1769683052230350,48250
1769683052273422,48240
1769683052316492,48130
1769683052359592,48160
1769683052402455,48180
1769683052445511,48270
1769683052489919,48330
1769683052532801,48350
1769683052575659,48230
1769683052618487,48310
1769683052661542,48280
1769683052704519,48200
1769683052747363,48240
1769683052790482,48130
1769683052833570,48210
1769683052876594,48230
1769683052919395,48260
1769683052962068,48280
1769683053004803,48330
1769683053049812,48300
1769683053092938,48240
1769683053135724,48230
1769683053178367,48340
1769683053221071,48200
1769683053264233,48270
1769683053306756,48330
1769683053349688,48380
1769683053392821,48260
1769683053435722,48370
1769683053478862,48390
1769683053521748,48330
1769683053564805,48280
1769683053609622,48290
1769683053652782,48290
1769683053695918,48380
1769683053738662,48410
1769683053781626,48350
1769683053824432,48400
1769683053866830,48380
1769683053909692,48380
1769683053952671,48400
1769683053995362,48290
1769683054037895,48350
1769683054081143,48320
1769683054124198,48420
1769683054169497,48390
1769683054212468,48320
1769683054255512,48320
1769683054298252,48400
1769683054341465,48330
1769683054384659,48310
1769683054427183,48370
1769683054469804,48310
1769683054512754,48400
1769683054555605,48410
1769683054598555,48390
1769683054641696,48420
1769683054684859,48370
1769683054729255,48440
1769683054772303,48430
1769683054815158,48390
1769683054858277,48380
1769683054901533,48370
1769683054944469,48400
1769683054987506,48440
1769683055030531,48410
1769683055073550,48380
1769683055116045,48390
1769683055158629,48370
1769683055201805,48440
1769683055245019,48470
1769683055288985,48340
1769683055332211,48410
1769683055374964,48430
1769683055418010,48500
1769683055461043,48390
1769683055503953,48370
1769683055546309,48360
1769683055589534,48320
1769683055632616,48410
1769683055675543,48330
1769683055718392,48380
1769683055761570,48400
