unix_timestamp,active_power (mW)
1769683536405109,30380
1769683536451539,35220
1769683536493833,40420
1769683536536968,49970
1769683536579877,49650
1769683536622487,49720
1769683536665503,49810
1769683536708659,49570
1769683536751163,49640
1769683536793634,49610
1769683536836782,49520
1769683536879698,49400
1769683536922835,49540
1769683536965018,49450
1769683537011176,49580
1769683537054058,49580
1769683537096981,49740
1769683537140048,49560
1769683537183095,49720
1769683537226060,49850
1769683537269281,49700
1769683537312300,49680
1769683537355173,49510
1769683537397666,49480
1769683537440632,49680
1769683537483423,49600
1769683537525612,49480
1769683537571003,49580
1769683537613673,49480
1769683537656607,49500
1769683537699587,49720
1769683537743027,49480
1769683537785784,49680
1769683537828734,49610
1769683537871677,49500
1769683537914738,49560
1769683537957610,49610
1769683538000434,49680
1769683538043300,49590
1769683538085859,49600
1769683538131003,49560
1769683538173828,49500
1769683538216929,49510
1769683538259614,49540
1769683538302162,49530
1769683538345175,49590
1769683538388249,49500
1769683538431326,49410
1769683538473807,49530
1769683538516899,49560
1769683538559633,49570
1769683538602640,49530
1769683538645721,49390
1769683538690849,49550
1769683538733172,49470
1769683538776123,49510
1769683538819273,49370
1769683538861772,49620
1769683538904746,49640
1769683538947653,49580
1769683538990824,49380
1769683539034002,49540
1769683539077182,49610
1769683539120356,49720
1769683539163575,49630
1769683539206556,49610
1769683539250741,49620
1769683539293710,49690
1769683539336775,49470
1769683539379083,49590
1769683539421461,49610
1769683539464287,49680
1769683539506890,49520
1769683539549769,49710
1769683539592829,49720
1769683539635829,49690
1769683539678934,49520
1769683539722173,49530
1769683539765348,49610
1769683539810917,49650
1769683539854131,49570
1769683539897274,49590
1769683539939639,49380
1769683539982008,49590
1769683540024959,49420
1769683540068213,49470
1769683540111382,49470
1769683540154211,49420
1769683540196655,49440
1769683540239271,49580
1769683540282454,49440
1769683540325523,49310
1769683540370686,49520
1769683540413748,49500
1769683540456876,49490
1769683540499846,49470
1769683540542450,49610
1769683540585571,49330
1769683540628563,49560
1769683540671594,49630
1769683540714612,49640
1769683540756917,49510
1769683540799833,49560
1769683540842656,49500
1769683540885665,49520
1769683540930698,49790
1769683540973811,49660
1769683541016942,49490
1769683541059597,49630
1769683541102411,49570
1769683541145621,49560
1769683541188744,49750
1769683541231723,49530
1769683541274116,49550
1769683541316938,49640
1769683541359575,49420
1769683541402658,49630
1769683541445608,49520
1769683541490590,49570
1769683541533667,49590
1769683541576623,49530
1769683541619664,49530
1769683541662321,49640
1769683541705311,49500
1769683541748307,49480
1769683541791437,49440
1769683541834421,49570
1769683541877665,49460
1769683541920721,49590
1769683541963663,49350
1769683542006262,49390
1769683542050595,49410
1769683542093657,49360
1769683542136591,49390
1769683542179538,49350
1769683542222640,49380
1769683542265646,49530
1769683542308836,49430
1769683542351445,49300
1769683542393755,49410
1769683542436937,49540
1769683542480052,49580
1769683542522650,49440
1769683542565752,49450
1769683542610612,49650
1769683542653602,49470
1769683542696702,49540
1769683542739473,49660
1769683542782316,49590
1769683542825534,49480
1769683542868621,49510
1769683542911665,49590
1769683542954844,49560
1769683542997188,49550
1769683543040211,49620
1769683543083296,49710
1769683543126125,49570
1769683543170587,49710
1769683543213702,49580
1769683543256852,49670
1769683543299989,49570
1769683543342961,49560
1769683543386095,49630
1769683543429085,49590
1769683543472248,49610
1769683543514744,49430
1769683543557223,49650
1769683543600157,49530
1769683543643412,49630
1769683543685873,49530
1769683543730582,49710
1769683543773666,49620
1769683543816588,49450
1769683543859787,49520
1769683543902843,49600
1769683543945933,49700
1769683543989065,49570
1769683544032232,49540
1769683544075313,49600
1769683544118431,49590
1769683544161180,49450
1769683544204024,49650
1769683544250460,49520
1769683544293226,49530
1769683544336253,49570
1769683544379043,49530
1769683544422135,49470
1769683544465295,49500
1769683544508197,49280
1769683544550753,49400
1769683544593751,49260
1769683544636762,49370
