unix_timestamp,active_power (mW)
1769684502745281,31660
1769684502788179,20220
1769684502835100,39550
1769684502878080,49810
1769684502921204,49580
1769684502963954,49520
1769684503006555,49550
1769684503049342,49620
1769684503092593,49510
1769684503134888,49570
1769684503177928,49630
1769684503221031,49810
1769684503263972,49730
1769684503306390,49760
1769684503349396,49880
1769684503395030,49800
1769684503438001,49880
1769684503481067,49860
1769684503523951,49920
1769684503566920,49920
1769684503609644,49860
1769684503652891,49880
1769684503695649,49830
1769684503737967,49890
1769684503780365,49800
1769684503822682,49810
1769684503865686,49790
1769684503908902,49790
1769684503955092,49730
1769684503998135,49750
1769684504041350,49730
1769684504084542,49770
1769684504127287,49710
1769684504170251,49760
1769684504212682,49720
1769684504255859,49760
1769684504298669,49800
1769684504341653,49700
1769684504384744,49850
1769684504427760,49770
1769684504470427,49720
1769684504514819,49730
1769684504557990,49650
1769684504600953,49670
1769684504643980,49820
1769684504687085,49660
1769684504730156,49760
1769684504773331,49760
1769684504816441,49740
1769684504859062,49810
1769684504902136,49690
1769684504945091,49820
1769684504987872,49820
1769684505034691,49780
1769684505077737,49780
1769684505120736,49780
1769684505163653,49710
1769684505206678,49720
1769684505249344,49860
1769684505292402,49720
1769684505335537,49770
1769684505378570,49650
1769684505421695,49680
1769684505464626,49670
1769684505507701,49720
1769684505554674,49670
1769684505597677,49690
1769684505640656,49800
1769684505683714,49800
1769684505726346,49710
1769684505768872,49590
1769684505811919,49700
1769684505854968,49730
1769684505898093,49680
1769684505941194,49680
1769684505984044,49640
1769684506027146,49650
1769684506070158,49570
1769684506114513,49750
1769684506156803,49740
1769684506199898,49770
1769684506242883,49790
1769684506285187,49770
1769684506328361,49810
1769684506371469,49700
1769684506414957,49890
1769684506457968,49730
1769684506501091,49760
1769684506544001,49660
1769684506586421,49690
1769684506629591,49650
1769684506674449,49680
1769684506717538,49700
1769684506760744,49700
1769684506803693,49660
1769684506846762,49730
1769684506889332,49660
1769684506931968,49780
1769684506974659,49770
1769684507017853,49790
1769684507061036,49770
1769684507103908,49720
1769684507146512,49780
1769684507189484,49730
1769684507234386,49740
1769684507277534,49840
1769684507320629,49800
1769684507363717,49770
1769684507406284,49830
1769684507449462,49810
1769684507492538,49810
1769684507535585,49780
1769684507578738,49790
1769684507621968,49760
1769684507665052,49700
1769684507708118,49720
1769684507754230,49690
1769684507797222,49680
1769684507840479,49700
1769684507883696,49780
1769684507926471,49690
1769684507969706,49750
1769684508012807,49710
1769684508055504,49810
1769684508098492,49790
1769684508141737,49660
1769684508184885,50120
1769684508227790,49660
1769684508273841,49720
1769684508316900,49690
1769684508359865,49730
1769684508402479,49730
1769684508445492,49750
1769684508488524,49760
1769684508531672,49720
1769684508574814,49790
1769684508617666,49710
1769684508660807,49730
1769684508703901,49730
1769684508746696,49710
1769684508789289,49700
1769684508833760,49750
1769684508876942,49790
1769684508919958,49820
1769684508962885,49760
1769684509005698,49710
1769684509048629,49650
1769684509091501,49640
1769684509133826,49730
1769684509176784,49710
1769684509219917,49870
1769684509262778,49710
1769684509305252,49770
1769684509348412,49700
1769684509393480,49670
1769684509436583,49690
1769684509479462,49750
1769684509521875,49700
1769684509565062,49710
1769684509607747,49700
1769684509650737,49760
1769684509693786,49690
1769684509736498,49760
1769684509779328,49760
1769684509821919,49730
1769684509864548,49680
1769684509907547,49660
1769684509953279,49730
1769684509996412,49680
1769684510039552,49750
1769684510082522,49740
1769684510125642,49700
1769684510168913,49720
1769684510211671,49790
1769684510254578,49740
1769684510297707,49710
1769684510340623,49670
1769684510383767,49700
1769684510426954,49760
1769684510472957,49610
1769684510515492,49660
1769684510558640,49720
1769684510601862,49630
1769684510644959,49680
1769684510687764,49650
1769684510730565,49750
1769684510773243,49680
1769684510816190,49680
1769684510859188,49720
1769684510901775,49610
1769684510944819,49520
1769684510987858,49480
1769684511032839,49530
1769684511075859,49560
1769684511119366,49590
1769684511161998,49630
1769684511205013,49690
1769684511247900,49690
1769684511291081,49720
1769684511334048,49720
1769684511377229,49700
1769684511420147,49680
1769684511463292,49730
1769684511505783,49660
1769684511552681,49670
1769684511595801,49700
1769684511638526,49710
1769684511681555,49700
1769684511724691,49720
1769684511767889,49790
1769684511810681,49750
1769684511853909,49740
1769684511896993,49830
1769684511939881,49750
1769684511983054,49740
1769684512025736,49780
1769684512072370,49710
1769684512115095,49730
1769684512157455,49740
1769684512200413,49750
1769684512243275,49680
1769684512286886,49650
1769684512329885,49600
1769684512372486,49670
1769684512415722,49720
1769684512458695,49600
1769684512501787,49680
1769684512544978,49520
1769684512588180,49800
1769684512632193,49710
1769684512675366,49680
1769684512718458,49670
1769684512761473,49660
1769684512804484,49710
1769684512847425,49690
1769684512890630,49680
1769684512933664,49740
1769684512976828,49720
1769684513020011,49840
1769684513062955,49760
1769684513106100,49790
1769684513152004,49650
1769684513194592,49620
1769684513237623,49870
1769684513280879,49750
1769684513323883,49750
1769684513366878,49710
1769684513410094,49690
1769684513453060,49800
1769684513496102,49710
1769684513538619,49730
1769684513581686,49730
1769684513624755,49650
1769684513667760,49670
1769684513711778,49720
1769684513754383,49760
1769684513797091,49750
1769684513840026,49800
1769684513882775,49770
1769684513926297,49770
1769684513969518,49670
1769684514012634,49710
1769684514055798,49780
1769684514099023,49740
1769684514141980,49740
1769684514185071,49790
1769684514231598,49730
1769684514274687,49690
1769684514317284,49760
1769684514360433,49640
1769684514403645,49760
1769684514446606,49710
1769684514489660,49720
1769684514532805,49780
1769684514575772,49650
1769684514618847,49680
1769684514662058,49800
1769684514704625,49770
1769684514751422,49700
1769684514793951,49690
1769684514836979,49670
1769684514879955,49710
1769684514922657,49730
1769684514965739,49660
1769684515008926,49740
1769684515051879,49780
1769684515094783,49720
1769684515137100,49820
1769684515179975,49690
1769684515222607,49770
1769684515265763,49680
1769684515311284,49800
1769684515354377,49750
1769684515397523,49700
1769684515440608,49790
1769684515483571,49760
1769684515526793,49770
1769684515569929,49780
1769684515612670,49720
1769684515655331,49670
1769684515698471,49680
1769684515741665,49740
1769684515784929,49700
1769684515830988,49790
1769684515873900,49740
1769684515916933,49760
1769684515959741,49710
1769684516002560,49720
1769684516045673,49690
1769684516088735,49690
1769684516131957,49650
1769684516174707,49770
1769684516217877,49690
1769684516260736,49740
1769684516303581,49770
1769684516346743,49730
1769684516390883,49720
1769684516433808,49680
1769684516477068,49660
1769684516520080,49700
1769684516562519,49680
1769684516605649,49780
1769684516648876,49650
1769684516692074,49790
1769684516734558,49640
1769684516777797,49620
1769684516820918,49630
1769684516863889,49570
1769684516906199,49600
1769684516950665,49620
1769684516993863,49670
1769684517037008,49620
1769684517079996,49660
