unix_timestamp,active_power (mW)
1769685535472572,27780
1769685535515331,21590
1769685535558422,32210
1769685535600823,39400
1769685535643757,49130
1769685535686886,49130
1769685535731613,49010
1769685535774695,49110
1769685535817639,48980
1769685535860824,49070
1769685535903770,48970
1769685535946579,48990
1769685535989675,48970
1769685536032218,48990
1769685536074581,48960
1769685536117192,48970
1769685536160417,48950
1769685536203568,49050
1769685536246060,49030
1769685536291636,49070
1769685536334618,49070
1769685536377790,49040
1769685536420814,49040
1769685536463918,49010
1769685536507091,49070
1769685536549715,48990
1769685536592930,49090
1769685536635523,49070
1769685536677734,49090
1769685536720755,49030
1769685536763870,49090
1769685536806615,49030
1769685536851471,48950
1769685536894549,49020
1769685536937700,49000
1769685536980969,48930
1769685537024013,49050
1769685537066681,48920
1769685537109265,48980
1769685537151927,49000
1769685537194667,48970
1769685537237267,49040
1769685537280250,49050
1769685537323316,49050
1769685537366299,49010
1769685537411327,49020
1769685537453619,49000
1769685537496625,48990
1769685537539719,49000
1769685537582355,48950
1769685537625602,48970
1769685537668731,48890
1769685537711898,48990
1769685537755042,48980
1769685537797595,49010
1769685537840836,49010
1769685537883853,48950
1769685537926817,49040
1769685537971120,48930
1769685538014356,48970
1769685538057589,49050
1769685538100794,48970
1769685538143696,49040
1769685538186488,49020
1769685538229398,49000
1769685538272398,48980
1769685538314961,48960
1769685538357177,49030
1769685538400290,49030
1769685538442989,49030
1769685538485628,48980
1769685538531071,48970
1769685538574169,48840
1769685538617437,48990
1769685538660296,49040
1769685538703238,48990
1769685538745965,49000
1769685538788955,48960
1769685538832153,48930
1769685538875248,48910
1769685538917804,48920
1769685538960964,48940
1769685539003937,48910
1769685539046700,48930
1769685539091002,48950
1769685539133807,48930
1769685539177004,48920
1769685539219842,49050
1769685539262775,48950
1769685539305844,48940
1769685539348839,48960
1769685539391975,48940
1769685539435228,49000
1769685539478408,49030
1769685539520776,48930
1769685539563789,49010
1769685539606845,49050
1769685539650978,48930
1769685539694074,48950
1769685539736955,48980
1769685539780076,48930
1769685539822671,48970
1769685539865920,48910
1769685539909051,48940
1769685539951992,48920
1769685539994715,48950
1769685540037911,48990
1769685540081026,48960
1769685540123263,49020
1769685540165896,48970
1769685540210905,48980
1769685540253747,48930
1769685540296832,48940
1769685540339705,48970
1769685540383030,48980
1769685540426299,48920
1769685540469485,49000
1769685540512718,49010
1769685540555793,49000
1769685540598366,49000
1769685540641427,48840
1769685540684459,49040
1769685540730836,48990
1769685540773947,49010
1769685540816921,49010
1769685540860077,49060
1769685540903392,49020
1769685540945802,48990
1769685540988963,48980
1769685541031872,48990
1769685541074636,49040
1769685541117642,49040
1769685541160843,49010
1769685541203944,48960
1769685541250822,48990
1769685541294019,48940
1769685541336375,48970
1769685541379055,48990
1769685541422240,48930
1769685541464724,48980
1769685541507924,48980
1769685541550700,49020
1769685541593627,49080
1769685541636757,48960
1769685541679878,48940
1769685541722787,48920
1769685541765730,48970
1769685541810799,48970
1769685541853943,48960
1769685541897032,48950
1769685541940029,48920
1769685541983233,48950
1769685542026236,48980
1769685542069292,48990
1769685542112092,48980
1769685542154749,49070
1769685542197809,48980
1769685542240930,49080
1769685542284022,49100
1769685542330685,49140
1769685542373230,49000
1769685542416324,48980
1769685542459247,49030
1769685542502407,48970
1769685542544980,49050
1769685542587776,49010
1769685542630188,49050
1769685542673179,48950
1769685542716268,48980
1769685542759226,49040
1769685542801569,49020
1769685542844482,48970
1769685542890588,48970
1769685542933776,49050
1769685542976750,48970
1769685543019817,48920
1769685543063157,48990
1769685543105818,48950
1769685543148019,48950
1769685543190746,49130
1769685543233387,49010
1769685543276384,49020
1769685543319340,48980
1769685543361756,49000
1769685543404641,48970
1769685543450672,48980
1769685543493292,49000
1769685543536201,49030
1769685543579089,49040
1769685543622091,49030
1769685543665138,49020
1769685543708315,49030
1769685543751483,48980
1769685543794370,48980
1769685543837322,49060
1769685543880382,49000
1769685543923232,48990
1769685543970476,48870
1769685544013295,48910
1769685544056175,48930
1769685544099387,48960
1769685544141817,48960
1769685544184996,48930
1769685544227912,48940
1769685544270994,48970
1769685544313983,48960
1769685544356266,48970
1769685544398790,48980
1769685544441764,48960
1769685544484857,48920
1769685544530366,48920
1769685544573407,48990
1769685544615801,48920
